# c0 + a0 * (range_at_rad * mean_at_mass) + a1 * (|std_EA - wtd_mean_EA|) + a2 * ln(lambda) + a3 * (w_log / mean_at_mass)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.40264971198035; Max AE: 11.3928205078314
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  7.177645129327541e-02,  7.059085880418038e+00,  4.409426713518471e+00,  8.195912901129287e-01, -1.966840955281913e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; AA * g * mol^-1;                                  16|8|mult; (range_at_rad * mean_at_mass); $\left(range_{at, rad} mean_{at, mass}\right)$; (range_at_rad .* mean_at_mass); (newdata$range_at_rad * newdata$mean_at_mass); range_at_rad,mean_at_mass
# 1;  1; eV;                                               30|27|abd; (|std_EA - wtd_mean_EA|); $\left(\left|std_{EA} - wtd_{mean, EA}\right|\right)$; abs(std_EA - wtd_mean_EA); abs(newdata$std_EA - newdata$wtd_mean_EA); std_EA,wtd_mean_EA
# 2;  1; Unitless;                                         5|log; ln(lambda); $\left(\ln{ lambda }\right)$; log(lambda); log(newdata$lambda); lambda
# 3;  1; K * g^-1 * mol;                                   4|8|div; (w_log / mean_at_mass); $\left(\frac{ w_{log} }{ mean_{at, mass} } \right)$; (w_log ./ mean_at_mass); (newdata$w_log / newdata$mean_at_mass); w_log,mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01,  1.145019807307235e+00,  8.461585000000001e+00,  3.720000000000001e-01, -7.577923740534765e-01,  3.928748691882194e+00
B1Mo1       ,  2.500000000000000e-01,  5.197176876123745e+00,  3.736460000000000e+01,  2.770000000000000e-01, -6.543111567747470e-01,  6.603156731237589e+00
Cr3Ir1      ,  2.560000000000000e-01,  3.957260545582645e+00,  2.442132000000000e+00,  4.413000000000000e-01,  4.274874921426571e-01,  9.134608612474673e-01
Al1Os1      ,  3.900000000000000e-01,  1.614205804842213e+00,  2.497933400000000e+01,  4.409999999999999e-01, -6.023928172914812e-01,  1.624308278195087e+00
Al1Mo3      ,  5.800000000000000e-01,  2.315995030986836e+00,  2.028371400000000e+01,  5.173000000000000e-01, -1.082935809283102e+00,  4.819968177425495e+00
Sb1V3       ,  6.500000000000000e-01,  2.106387547918516e+00,  1.208911200000000e+01,  3.888000000000000e-01, -1.971103742673939e-01,  1.622865103739630e+00
Nb3Os1      ,  6.633333330000000e-01,  4.721752363924449e+00,  2.831364000000000e+01,  8.412999999999999e-01, -5.411130247044473e-01,  1.346439383985952e+00
Ti1O1       ,  7.200000000000000e-01,  5.587464868771883e+00,  3.001720800000000e+01,  7.900000000000007e-02, -2.086667586771576e+00,  1.713429283629577e+01
Ga1Mo3      ,  7.600000000000000e-01,  1.571905790752222e+00,  2.650768000000000e+01,  4.115000000000000e-01, -8.957530806566070e-01,  3.271219812522258e+00
B2Ru1       ,  8.000000000000000e-01,  2.652516972463221e+00,  3.468156000000000e+01,  1.481999999999999e-01, -9.859087987550249e-01,  6.626686688834067e+00
La1Se1      ,  1.020000000000000e+00,  4.828519499680911e+00,  9.477623399999999e+01,  5.000000000000000e-01, -1.000487890674911e+00,  1.067231696503155e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  4.944291820166226e+00,  2.559665300000000e+01,  6.162000000000000e-01, -3.233783371100550e-01,  2.623258986243241e+00
Co1Si2      ,  1.306666667000000e+00,  5.552938480054344e+00,  6.526440000000000e+00,  7.817000000000000e-01, -1.114741670597993e+00,  7.868091179877544e+00
Nb1O1       ,  1.380000000000000e+00,  9.607647145128469e+00,  5.336384200000000e+01,  8.930000000000000e-01, -7.726233820617421e-01,  5.914269028830421e+00
Hg2Na1      ,  1.620000000000000e+00, -3.102443959128517e-01,  3.800890600000000e+01,  9.130000000000002e-02, -4.849954470649726e-01,  5.155124433205208e-01
Ga2Y1       ,  1.680000000000000e+00,  4.924898026395679e+00,  5.393379200000001e+01,  2.988000000000000e-01,  1.552072643023826e-01,  2.768854079460980e-01
Ge1Mo3      ,  2.179200000000000e+00,  3.463273616632122e+00,  2.865860000000000e+01,  5.950000000000000e-01, -7.962879394794586e-01,  3.274948392454621e+00
B1Hf1       ,  3.100000000000000e+00,  3.239916561809608e+00,  8.612786000000000e+01,  0.000000000000000e+00, -9.137938516755678e-01,  3.726384633265009e+00
C1In1Ti2    ,  3.100000000000000e+00, -9.969333139980546e-02,  5.066201400000000e+01,  8.370000000000000e-02, -1.346689106527531e+00,  4.365699733137337e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  4.213201464866528e+00,  6.888716800000000e+01,  1.243000000000000e-01, -2.149273965428693e-01,  1.593267529883069e+00
Sn1         ,  3.740729412000000e+00,  1.208689849745189e+00,  0.000000000000000e+00,  1.200000000000000e+00, -1.370421011963600e+00,  9.119164350096876e-01
B1Ta1       ,  4.000000000000000e+00,  2.764539177582521e+00,  8.245413400000001e+01,  2.770000000000000e-01, -1.476219068647878e+00,  4.108179342469354e+00
Sn1V3       ,  4.462500000000000e+00,  4.475356079691453e+00,  1.187561200000000e+01,  3.563000000000000e-01,  5.778485561964825e-01,  6.426063768334633e-01
B2Nb1       ,  4.597500000000000e+00,  6.248379004226533e+00,  4.148496000000000e+01,  1.743000000000000e-01, -3.563892704615717e-01,  6.806624858743988e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  1.690008025715943e+00,  3.995250000000000e+01,  3.100000000000003e-02, -4.523994952973785e-01,  3.129841787122208e+00
Fe1Li1P1    ,  4.965000000000000e+00,  2.156127176528245e+00,  7.813075000000000e+00,  2.588000000000000e-01, -1.644029357203719e+00,  1.096218198340602e+01
Ga1Si1Sr1   ,  5.000000000000000e+00,  7.489510531773942e+00,  5.192014800000000e+01,  3.320000000000001e-02,  1.165024054187361e+00,  4.371174750888615e-01
Os0.5V0.5   ,  5.150000000000000e+00,  3.883909577883502e+00,  1.085272200000000e+01,  5.250000000000000e-01,  2.946171014961905e-02,  1.507887330017299e+00
Ir1Mo1      ,  5.325000000000000e+00,  2.467675300563374e+00,  1.873085500000000e+01,  7.460000000000000e-01, -7.872381039595407e-01,  1.580388455305431e+00
La1         ,  5.343000000000000e+00,  6.980396039967657e+00,  0.000000000000000e+00,  5.000000000000000e-01,  1.192557901510638e+00,  1.942399688997196e-01
