# c0 + a0 * (wtd_range_at_rad * lambda)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.70034295652255; Max AE: 11.0325393042112
# Coefficients
# Task   a0                      c0
# all ,  1.221308224419235e+00,  4.398258049834792e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; AA;                                               17|5|mult; (wtd_range_at_rad * lambda); $\left(wtd_{range, at, rad} lambda\right)$; (wtd_range_at_rad .* lambda); (newdata$wtd_range_at_rad * newdata$lambda); wtd_range_at_rad,lambda
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
Rh1V3       ,  1.900000000000000e-01,  4.851906577927139e+00,  3.714447500000000e-01
B1Mo1       ,  2.500000000000000e-01,  4.620450655103383e+00,  1.819300000000000e-01
Cr3Ir1      ,  2.560000000000000e-01,  5.690458331448665e+00,  1.058046000000000e+00
Al1Os1      ,  3.900000000000000e-01,  4.475154668914787e+00,  6.296250000000000e-02
Al1Mo3      ,  5.800000000000000e-01,  4.750796607316863e+00,  2.886565000000000e-01
Nb3Os1      ,  6.633333330000000e-01,  5.016761510002752e+00,  5.064270000000000e-01
Ti1O1       ,  7.200000000000000e-01,  4.469493294640492e+00,  5.832700000000000e-02
Ga1Mo3      ,  7.600000000000000e-01,  4.822119175660609e+00,  3.470550000000000e-01
La1Se1      ,  1.020000000000000e+00,  4.593605689676536e+00,  1.599495000000000e-01
Al1Nb1Ni2   ,  1.075000000000000e+00,  4.678883841773665e+00,  2.297747500000000e-01
Co1Si2      ,  1.306666667000000e+00,  4.526446561069834e+00,  1.049600000000000e-01
Cr1         ,  1.550000000000000e+00,  4.398258049834792e+00,  0.000000000000000e+00
Hg2Na1      ,  1.620000000000000e+00,  4.643923209917059e+00,  2.011491900000000e-01
Ga2Y1       ,  1.680000000000000e+00,  4.655003907388652e+00,  2.102220000000000e-01
Be2Nb1      ,  2.150000000000000e+00,  4.451323660137245e+00,  4.344981000000000e-02
Ge1Mo3      ,  2.179200000000000e+00,  4.869200607711971e+00,  3.856050000000000e-01
B1Hf1       ,  3.100000000000000e+00,  4.621091841921203e+00,  1.824550000000000e-01
B1Zr1       ,  3.100000000000000e+00,  4.641819274451934e+00,  1.994265000000000e-01
C1In1Ti2    ,  3.100000000000000e+00,  4.594414501048158e+00,  1.606117500000000e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  5.013950058470138e+00,  5.041249999999999e-01
Sn1         ,  3.740729412000000e+00,  4.398258049834792e+00,  0.000000000000000e+00
Sn1V3       ,  4.462500000000000e+00,  6.139550463882760e+00,  1.425760000000000e+00
B2Nb1       ,  4.597500000000000e+00,  4.409631678084011e+00,  9.312660000000000e-03
Al1Si1Sr1   ,  4.750000000000000e+00,  4.615782815069653e+00,  1.781080000000000e-01
Fe1Li1P1    ,  4.965000000000000e+00,  4.417913247022976e+00,  1.609356000000000e-02
Ga1Si1Sr1   ,  5.000000000000000e+00,  5.494602016731450e+00,  8.976800000000000e-01
Os0.5V0.5   ,  5.150000000000000e+00,  4.454860190149613e+00,  4.634550000000000e-02
Ir1Ti3      ,  5.185000000000000e+00,  6.553043293537371e+00,  1.764325500000000e+00
Ir1Mo1      ,  5.325000000000000e+00,  4.434386179075450e+00,  2.958150000000000e-02
La1         ,  5.343000000000000e+00,  4.398258049834792e+00,  0.000000000000000e+00
N1Ti1       ,  5.387500000000000e+00,  4.776358588453957e+00,  3.095865000000000e-01
B6Y1        ,  5.692857143000000e+00,  4.751859072193614e+00,  2.895264400000000e-01
Nb1S2       ,  5.821818182000000e+00,  4.457196968027723e+00,  4.825884000000000e-02
Ge1V3       ,  6.680000000000000e+00,  6.583577525783133e+00,  1.789326750000000e+00
Sn1Ta3      ,  6.692500000000000e+00,  7.495686231044981e+00,  2.536156000000000e+00
Al1Ge1Sr1   ,  6.700000000000000e+00,  6.335894080581518e+00,  1.586525000000000e+00
Ir1Mo3      ,  8.031000000000001e+00,  8.287784304942498e+00,  3.184721250000000e+00
N1V1        ,  8.528333333499999e+00,  4.449032717956797e+00,  4.157400000000000e-02
C1Ta1       ,  8.637499999999999e+00,  4.997937486339778e+00,  4.910140000000000e-01
Re3W1       ,  8.733333332999999e+00,  9.199543716052164e+00,  3.931264500000001e+00
Hf1N1       ,  8.830000000000000e+00,  4.789594516336100e+00,  3.204240000000000e-01
Nb0.75Si0.25,  9.000000000000000e+00,  6.114585091813295e+00,  1.405318500000000e+00
Ta1B2       ,  9.500000000000000e+00,  4.405492432462892e+00,  5.923470000000000e-03
Nb3Pt1      ,  9.516428571000001e+00,  7.992639600831729e+00,  2.943058500000000e+00
C1I1Y1      ,  9.917500000000000e+00,  4.825841723128639e+00,  3.501030000000001e-01
C1Nb1       ,  1.002500000000000e+01,  4.838757668255985e+00,  3.606785000000000e-01
C1Mo1       ,  1.015200000000000e+01,  4.495205496689191e+00,  7.938000000000001e-02
Nb1Ru3      ,  1.350000000000000e+01,  5.017422848406275e+00,  5.069685000000000e-01
Mo1Ni1P1    ,  1.550000000000000e+01,  4.467460695788755e+00,  5.666272000000000e-02
Nb3Sn1      ,  1.670900000000000e+01,  7.551482918585799e+00,  2.581842000000000e+00
Ga0.25Nb0.75,  1.816296296333330e+01,  1.949446124651971e+01,  1.236068250000000e+01
