# c0 + a0 * (|wtd_std_EA - wtd_mean_IP|) + a1 * (wtd_mean_EA * lambda)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.26494575442797; Max AE: 10.2073099936367
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.540804342512867e+00,  1.818121207159050e+00, -7.942251839879511e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               31|21|abd; (|wtd_std_EA - wtd_mean_IP|); $\left(\left|wtd_{std, EA} - wtd_{mean, IP}\right|\right)$; abs(wtd_std_EA - wtd_mean_IP); abs(newdata$wtd_std_EA - newdata$wtd_mean_IP); wtd_std_EA,wtd_mean_IP
# 1;  1; eV;                                               27|5|mult; (wtd_mean_EA * lambda); $\left(wtd_{mean, EA} lambda\right)$; (wtd_mean_EA .* lambda); (newdata$wtd_mean_EA * newdata$lambda); wtd_mean_EA,lambda
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01,  2.931779110369783e+00,  6.682399999999999e+00,  3.177786000000000e-01
B1Mo1       ,  2.500000000000000e-01,  4.036316842318405e+00,  7.460500000000001e+00,  2.658777000000000e-01
Cr3Ir1      ,  2.560000000000000e-01,  5.318988063772328e+00,  6.994899999999999e+00,  1.365952720000000e+00
Al1Os1      ,  3.900000000000000e-01,  3.631151574923016e+00,  7.013500000000000e+00,  4.218487500000000e-01
Al1Mo3      ,  5.800000000000000e-01,  2.785618642940250e+00,  6.694900000000001e+00,  2.267942800000000e-01
Nb3Os1      ,  6.633333330000000e-01,  4.093667892877442e+00,  7.162500000000000e+00,  5.499680800000000e-01
Ti1O1       ,  7.200000000000000e-01,  6.918429361145633e+00,  9.532000000000000e+00,  9.555700000000000e-02
Ga1Mo3      ,  7.600000000000000e-01,  2.763555030258496e+00,  6.642500000000000e+00,  2.590663500000000e-01
La1Se1      ,  1.020000000000000e+00,  3.538134793932460e+00,  6.904000000000000e+00,  4.634858500000000e-01
Al1Nb1Ni2   ,  1.075000000000000e+00,  3.643638523511271e+00,  6.741000000000001e+00,  6.596525500000000e-01
Co1Si2      ,  1.306666667000000e+00,  4.681174248707378e+00,  7.750100000000000e+00,  3.751336000000000e-01
Cr1         ,  1.550000000000000e+00,  3.028535550456246e+00,  6.767000000000000e+00,  2.993004000000000e-01
Hg2Na1      ,  1.620000000000000e+00,  5.260337040542961e+00,  8.435900000000000e+00,  1.124883900000000e-01
Ga2Y1       ,  1.680000000000000e+00,  2.050326383523674e+00,  6.068700000000000e+00,  3.530561700000000e-01
Be2Nb1      ,  2.150000000000000e+00,  4.765672771040495e+00,  8.084000000000000e+00,  1.386388900000000e-01
Ge1Mo3      ,  2.179200000000000e+00,  3.663946437409838e+00,  7.055199999999999e+00,  4.045470000000000e-01
B1Hf1       ,  3.100000000000000e+00,  3.596114519257303e+00,  7.423000000000000e+00,  5.553850000000001e-02
B1Zr1       ,  3.100000000000000e+00,  3.726707665376226e+00,  7.391500000000001e+00,  1.540624500000000e-01
C1In1Ti2    ,  3.100000000000000e+00,  3.384146626456709e+00,  7.218900000000001e+00,  1.119210300000000e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.701686390822094e+00,  6.675900000000000e+00,  7.467502800000000e-01
Sn1         ,  3.740729412000000e+00,  3.927578595477062e+00,  7.344000000000000e+00,  3.048000000000000e-01
Sn1V3       ,  4.462500000000000e+00,  4.519367251299258e+00,  6.628700000000000e+00,  1.236490360000000e+00
B2Nb1       ,  4.597500000000000e+00,  4.258434012103606e+00,  7.519900000000000e+00,  3.377064600000000e-01
Al1Si1Sr1   ,  4.750000000000000e+00,  2.057848749756594e+00,  6.033300000000000e+00,  3.871940700000000e-01
Fe1Li1P1    ,  4.965000000000000e+00,  4.064986794489838e+00,  7.676800000000000e+00,  9.833880000000000e-02
Ga1Si1Sr1   ,  5.000000000000000e+00,  4.608097838473283e+00,  6.020400000000000e+00,  1.800810200000000e+00
Os0.5V0.5   ,  5.150000000000000e+00,  5.035791311768059e+00,  7.435500000000000e+00,  8.367937500000000e-01
Ir1Ti3      ,  5.185000000000000e+00,  4.253595216996795e+00,  6.808600000000000e+00,  9.378508999999999e-01
Ir1Mo1      ,  5.325000000000000e+00,  4.857232592718017e+00,  7.686500000000001e+00,  5.258680500000000e-01
La1         ,  5.343000000000000e+00,  3.646623197411071e+00,  5.577000000000000e+00,  1.647750000000000e+00
N1Ti1       ,  5.387500000000000e+00,  8.504179814462072e+00,  1.064150000000000e+01,  2.748015000000000e-02
B6Y1        ,  5.692857143000000e+00,  4.700089259915663e+00,  7.990800000000000e+00,  1.815510200000000e-01
Nb1S2       ,  5.821818182000000e+00,  6.348869130307087e+00,  8.650200000000002e+00,  5.295880400000000e-01
Ge1V3       ,  6.680000000000000e+00,  5.201247682942560e+00,  6.708400000000000e+00,  1.543993690000000e+00
Sn1Ta3      ,  6.692500000000000e+00,  6.161612788033150e+00,  7.406400000000000e+00,  1.480677600000000e+00
Al1Ge1Sr1   ,  6.700000000000000e+00,  8.136665441448459e+00,  5.964900000000000e+00,  3.788621700000000e+00
Ir1Mo3      ,  8.031000000000001e+00,  1.012008345278043e+01,  7.270300000000001e+00,  3.773249800000000e+00
N1V1        ,  8.528333333499999e+00,  8.095839065779323e+00,  1.037750000000000e+01,  2.661750000000000e-02
C1Ta1       ,  8.637499999999999e+00,  7.544729030305183e+00,  9.104500000000000e+00,  8.023269999999999e-01
Re3W1       ,  8.733333332999999e+00,  6.940301682893602e+00,  7.642100000000000e+00,  1.709221940000000e+00
Hf1N1       ,  8.830000000000000e+00,  8.512768135986652e+00,  1.067950000000000e+01,  0.000000000000000e+00
Nb0.75Si0.25,  9.000000000000000e+00,  5.434395744550577e+00,  6.912800000000001e+00,  1.499006400000000e+00
Ta1B2       ,  9.500000000000000e+00,  5.073262679566561e+00,  8.142600000000002e+00,  2.581572000000000e-01
Nb3Pt1      ,  9.516428571000001e+00,  1.167237485838396e+01,  6.831100000000000e+00,  4.999247639999999e+00
C1I1Y1      ,  9.917500000000000e+00,  7.162181021966528e+00,  8.168500000000000e+00,  1.385151100000000e+00
C1Nb1       ,  1.002500000000000e+01,  7.208216286651627e+00,  8.824499999999999e+00,  8.545306000000000e-01
C1Mo1       ,  1.015200000000000e+01,  6.155826223986868e+00,  8.917500000000000e+00,  1.968820000000000e-01
Nb1Ru3      ,  1.350000000000000e+01,  4.432157815816398e+00,  7.148400000000000e+00,  7.480930800000000e-01
Mo1Ni1P1    ,  1.550000000000000e+01,  5.292690006363303e+00,  8.212999999999999e+00,  3.191843200000000e-01
Nb3Sn1      ,  1.670900000000000e+01,  7.668869461767374e+00,  6.783900000000000e+00,  2.837246880000000e+00
Ga0.25Nb0.75,  1.816296296333330e+01,  1.991332032379019e+01,  6.334600000000000e+00,  9.952687920000001e+00
