# c0 + a0 * (wtd_range_PE * std_EA) + a1 * (mean_IP * wtd_range_at_mass) + a2 * (wtd_mean_EA * V_molar) + a3 * cbrt(lambda) + a4 * (w_log / wtd_mean_at_mass)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.98386947658297; Max AE: 10.7272136709848
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -1.297878791494063e+01,  7.191817781941507e-03,  1.989371082380302e-01,  9.085401513914841e+00,  7.315352906749402e-01, -9.841709265570397e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               35|30|mult; (wtd_range_PE * std_EA); $\left(wtd_{range, PE} std_{EA}\right)$; (wtd_range_PE .* std_EA); (newdata$wtd_range_PE * newdata$std_EA); wtd_range_PE,std_EA
# 1;  1; eV * g * mol^-1;                                  20|11|mult; (mean_IP * wtd_range_at_mass); $\left(mean_{IP} wtd_{range, at, mass}\right)$; (mean_IP .* wtd_range_at_mass); (newdata$mean_IP * newdata$wtd_range_at_mass); mean_IP,wtd_range_at_mass
# 2;  1; cm^3 * eV * mol^-1;                               27|3|mult; (wtd_mean_EA * V_molar); $\left(wtd_{mean, EA} V_{molar}\right)$; (wtd_mean_EA .* V_molar); (newdata$wtd_mean_EA * newdata$V_molar); wtd_mean_EA,V_molar
# 3;  1; Unitless;                                         5|cbrt; cbrt(lambda); $\left(\sqrt[3]{ lambda }\right)$; nthroot(lambda, 3); nthroot(newdata$lambda, 3); lambda
# 4;  1; K * g^-1 * mol;                                   4|9|div; (w_log / wtd_mean_at_mass); $\left(\frac{ w_{log} }{ wtd_{mean, at, mass} } \right)$; (w_log ./ wtd_mean_at_mass); (newdata$w_log / newdata$wtd_mean_at_mass); w_log,wtd_mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01,  3.080369942074185e+00,  1.996650000000000e-01,  8.863777949999999e+01,  2.191971288000000e+01,  7.767805056618703e-01,  4.727065264145779e+00
B1Mo1       ,  2.500000000000000e-01,  5.731814224288912e+00,  1.407000000000000e-02,  3.275915400000000e+02,  6.357131715000000e+00,  8.040420429653392e-01,  6.603156731237589e+00
Sb1V3       ,  6.500000000000000e-01,  2.763196132110305e+00,  1.934750000000000e-01,  5.974460730000000e+01,  2.355158449100000e+01,  9.364085074913270e-01,  2.041422600846953e+00
Nb3Os1      ,  6.633333330000000e-01,  7.117595053952071e+00,  6.727500000000000e-02,  1.709943178500000e+02,  3.934589366400000e+01,  8.349603767636989e-01,  1.625873335533998e+00
Ti1O1       ,  7.200000000000000e-01,  1.657945619785671e+00,  6.564499999999999e-01,  1.628912374000000e+02,  8.957525500000001e+00,  4.987971084244104e-01,  1.713429283629577e+01
Ga1Mo3      ,  7.600000000000000e-01,  2.900138131551175e+00,  2.603525000000000e-01,  3.569378968999999e+02,  2.310387718500000e+01,  7.418676950890964e-01,  3.031283105109667e+00
B2Ru1       ,  8.000000000000000e-01,  3.404292144445516e+00,  2.422195500000000e-01,  2.073721370000000e+02,  8.679678160000000e+00,  7.199048228099766e-01,  9.064498459431702e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  5.001363143387639e+00,  1.638915000000000e-01,  1.535758335000000e+02,  2.906923897500000e+01,  8.978136229592979e-01,  2.632475087957086e+00
Nb1O1       ,  1.380000000000000e+00,  4.540684979187810e+00,  2.612800000000000e-01,  3.917834847500000e+02,  1.813035499000000e+01,  7.729498362782934e-01,  5.914269028830421e+00
Cr1         ,  1.550000000000000e+00,  3.165948725351107e+00,  0.000000000000000e+00,  0.000000000000000e+00,  5.246867880000001e+00,  7.659686989416105e-01,  6.841403489877125e+00
