# c0 + a0 * ((lambda4w_low * w_log) / (wtd_mean_at_mass * density))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.33124987436727; Max AE: 11.416305926181
# Coefficients
# Task   a0                      c0
# all ,  8.419988682250926e-03,  4.063340963038904e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; K^2 * cm^3 * g^-2 * mol;                          6|4|mult|9|2|mult|div; ((lambda4w_low * w_log) / (wtd_mean_at_mass * density)); $\left(\frac{ \left(lambda4w_{low} w_{log}\right) }{ \left(wtd_{mean, at, mass} density\right) } \right)$; ((lambda4w_low .* w_log) ./ (wtd_mean_at_mass .* density)); ((newdata$lambda4w_low * newdata$w_log) / (newdata$wtd_mean_at_mass * newdata$density)); lambda4w_low,w_log,wtd_mean_at_mass,density
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
Rh1V3       ,  1.900000000000000e-01,  4.136730315556656e+00,  8.716086836607609e+00
B1Mo1       ,  2.500000000000000e-01,  4.229884051597450e+00,  1.977949078596908e+01
Cr3Ir1      ,  2.560000000000000e-01,  4.628589666563688e+00,  6.713176523815412e+01
Al1Os1      ,  3.900000000000000e-01,  4.079531306217524e+00,  1.922846192507119e+00
Al1Mo3      ,  5.800000000000000e-01,  4.077674840510676e+00,  1.702363033098613e+00
Sb1V3       ,  6.500000000000000e-01,  4.205352184459787e+00,  1.686596345672504e+01
Nb3Os1      ,  6.633333330000000e-01,  4.089948604318893e+00,  3.160056656142233e+00
Ti1O1       ,  7.200000000000000e-01,  4.066757205612455e+00,  4.057300671618306e-01
Ga1Mo3      ,  7.600000000000000e-01,  4.082914944223780e+00,  2.324703978063228e+00
B2Ru1       ,  8.000000000000000e-01,  4.135857884387205e+00,  8.612472544192846e+00
La1Se1      ,  1.020000000000000e+00,  4.066338673786554e+00,  3.560231326639253e-01
Co1Si2      ,  1.306666667000000e+00,  4.121703826099473e+00,  6.931465737429761e+00
Nb1O1       ,  1.380000000000000e+00,  4.166508212354737e+00,  1.225265890598008e+01
Cr1         ,  1.550000000000000e+00,  4.189974943374362e+00,  1.503968533857988e+01
Hg2Na1      ,  1.620000000000000e+00,  4.066342333973952e+00,  3.564578348395324e-01
Ga2Y1       ,  1.680000000000000e+00,  4.079719862792245e+00,  1.945240115092643e+00
Be2Nb1      ,  2.150000000000000e+00,  4.278840288081698e+00,  2.559377846873594e+01
Ge1Mo3      ,  2.179200000000000e+00,  4.093004690490582e+00,  3.523012746348272e+00
B1Hf1       ,  3.100000000000000e+00,  4.089117432029566e+00,  3.061342474841767e+00
B1Zr1       ,  3.100000000000000e+00,  4.244678562399168e+00,  2.153656093891407e+01
C1In1Ti2    ,  3.100000000000000e+00,  4.070634178281264e+00,  8.661787465027819e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  4.212823755100072e+00,  1.775332458299764e+01
Sn1         ,  3.740729412000000e+00,  4.063963791286015e+00,  7.397020003405920e-02
B1Ta1       ,  4.000000000000000e+00,  4.065968299991683e+00,  3.120356869739807e-01
Sn1V3       ,  4.462500000000000e+00,  4.559746417073138e+00,  5.895559635141095e+01
B2Nb1       ,  4.597500000000000e+00,  5.037615688898382e+00,  1.157097429255717e+02
Al1Si1Sr1   ,  4.750000000000000e+00,  4.265953259776238e+00,  2.406325048446134e+01
Fe1Li1P1    ,  4.965000000000000e+00,  4.074431086667913e+00,  1.317118590953318e+00
Ga1Si1Sr1   ,  5.000000000000000e+00,  6.506490897046704e+00,  2.901607147237483e+02
Os0.5V0.5   ,  5.150000000000000e+00,  4.241361988747958e+00,  2.114266805183680e+01
Ir1Ti3      ,  5.185000000000000e+00,  4.776000755429913e+00,  8.463904398034094e+01
Ir1Mo1      ,  5.325000000000000e+00,  4.071379388468578e+00,  9.546836383069540e-01
N1Ti1       ,  5.387500000000000e+00,  5.759984373998482e+00,  2.015018635994191e+02
B6Y1        ,  5.692857143000000e+00,  4.515400155453575e+00,  5.368881235762206e+01
Nb1S2       ,  5.821818182000000e+00,  4.102802167799939e+00,  4.686610190369711e+00
