# c0 + a0 * ((range_EA - wtd_mean_IP) - (mean_EA * lambda)) + a1 * ((wtd_range_EA * w_log) * (lambda4w_low * w_log))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.19036922942843; Max AE: 10.8303052256046
# Coefficients
# Task   a0                      a1                      c0
# all , -1.413840285076851e+00,  1.310042572078058e-06, -7.148820511891556e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               28|21|sub|26|5|mult|sub; ((range_EA - wtd_mean_IP) - (mean_EA * lambda)); $\left(\left(range_{EA} - wtd_{mean, IP}\right) - \left(mean_{EA} lambda\right)\right)$; ((range_EA - wtd_mean_IP) - (mean_EA .* lambda)); ((newdata$range_EA - newdata$wtd_mean_IP) - (newdata$mean_EA * newdata$lambda)); range_EA,wtd_mean_IP,mean_EA,lambda
# 1;  2; K^3 * eV;                                         29|4|mult|6|4|mult|mult; ((wtd_range_EA * w_log) * (lambda4w_low * w_log)); $\left(\left(wtd_{range, EA} w_{log}\right) \left(lambda4w_{low} w_{log}\right)\right)$; ((wtd_range_EA .* w_log) .* (lambda4w_low .* w_log)); ((newdata$wtd_range_EA * newdata$w_log) * (newdata$lambda4w_low * newdata$w_log)); wtd_range_EA,w_log,lambda4w_low,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01,  2.517527360075830e+00, -6.701789700000000e+00,  1.458636658587153e+05
Cr3Ir1      ,  2.560000000000000e-01,  5.479157742583340e+00, -8.161807700000001e+00,  8.308781350806390e+05
Al1Os1      ,  3.900000000000000e-01,  3.110646472224893e+00, -7.105848750000000e+00,  1.625380474206297e+05
Al1Mo3      ,  5.800000000000000e-01,  2.541285357190131e+00, -6.711459100000001e+00,  1.535634231618515e+05
Sb1V3       ,  6.500000000000000e-01,  3.420653120536456e+00, -7.329327250000000e+00,  1.579914334678200e+05
Nb3Os1      ,  6.633333330000000e-01,  4.032171458580039e+00, -7.617362650000000e+00,  3.139270422406823e+05
Ti1O1       ,  7.200000000000000e-01,  5.521274710800528e+00, -8.936557000000001e+00,  2.689296283759246e+04
Ga1Mo3      ,  7.600000000000000e-01,  2.514203609871153e+00, -6.586340900000001e+00,  2.679226107412903e+05
B2Ru1       ,  8.000000000000000e-01,  3.612516741864439e+00, -7.460251850000000e+00,  1.631493937390605e+05
La1Se1      ,  1.020000000000000e+00,  2.221019066468440e+00, -6.606985850000000e+00,  2.184419140813472e+04
Al1Nb1Ni2   ,  1.075000000000000e+00,  3.235423109427885e+00, -6.891971000000001e+00,  4.886080739519005e+05
Co1Si2      ,  1.306666667000000e+00,  4.127547023806468e+00, -7.673244000000000e+00,  3.264214922385834e+05
Nb1O1       ,  1.380000000000000e+00,  7.786699506240961e+00, -1.016403860000000e+01,  4.314308545560212e+05
Cr1         ,  1.550000000000000e+00,  2.841799660083107e+00, -7.066300400000000e+00,  0.000000000000000e+00
Be2Nb1      ,  2.150000000000000e+00,  4.487085680627783e+00, -7.783235049999999e+00,  4.821636670976588e+05
Ge1Mo3      ,  2.179200000000000e+00,  3.231126421477377e+00, -7.162648000000000e+00,  1.932048992440824e+05
B1Hf1       ,  3.100000000000000e+00,  3.434629629912263e+00, -7.340038499999999e+00,  1.571002506905547e+05
B1Zr1       ,  3.100000000000000e+00,  3.667169526512669e+00, -7.471062450000000e+00,  1.932005719995730e+05
C1In1Ti2    ,  3.100000000000000e+00,  2.257618083780136e+00, -6.633852730000000e+00,  2.078585941482376e+04
Pt0.25V0.75 ,  3.102500000000000e+00,  3.009381557655631e+00, -6.776454900000000e+00,  4.407315870696483e+05
Sn1         ,  3.740729412000000e+00,  3.665361060604259e+00, -7.648800000000000e+00,  0.000000000000000e+00
B1Ta1       ,  4.000000000000000e+00,  4.332848491266478e+00, -8.117435750000000e+00,  3.748983727471841e+03
Sn1V3       ,  4.462500000000000e+00,  4.020039825947677e+00, -7.757647500000001e+00,  1.532666107140462e+05
Al1Si1Sr1   ,  4.750000000000000e+00,  1.114010383564642e+00, -5.613194070000000e+00,  2.493590653451277e+05
Fe1Li1P1    ,  4.965000000000000e+00,  3.387708545426850e+00, -7.442338799999999e+00,  1.087800273948103e+04
Ga1Si1Sr1   ,  5.000000000000000e+00,  4.052316899799981e+00, -7.031110200000001e+00,  9.620073339431089e+05
Os0.5V0.5   ,  5.150000000000000e+00,  6.687816794121286e+00, -7.984793750000000e+00,  1.944527825681380e+06
Ir1Ti3      ,  5.185000000000000e+00,  5.227850717555205e+00, -7.621239600000000e+00,  1.222445510456554e+06
Ir1Mo1      ,  5.325000000000000e+00,  4.154895885895598e+00, -7.802868050000000e+00,  2.074033434860891e+05
