# c0 + a0 * ((wtd_std_EA - wtd_range_EA) * (|mean_EA - std_IP|)) + a1 * ((|mean_EA - std_IP|) * (mean_EA / w_log)) + a2 * ((wtd_range_IP - range_IP) / (wtd_range_PE + lambda3)) + a3 * ((wtd_range_PE * lambda3) * (w_log^2))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.2080021589468; Max AE: 6.36160556039155
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.928160953447620e+01,  2.913398310254890e+02, -6.739484170092837e-01,  1.607728055189926e-04,  1.569395000290629e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2;                                             31|29|sub|26|24|abd|mult; ((wtd_std_EA - wtd_range_EA) * (|mean_EA - std_IP|)); $\left(\left(wtd_{std, EA} - wtd_{range, EA}\right) \left(\left|mean_{EA} - std_{IP}\right|\right)\right)$; ((wtd_std_EA - wtd_range_EA) .* abs(mean_EA - std_IP)); ((newdata$wtd_std_EA - newdata$wtd_range_EA) * abs(newdata$mean_EA - newdata$std_IP)); wtd_std_EA,wtd_range_EA,mean_EA,std_IP
# 1;  2; K^-1 * eV^2;                                      26|24|abd|26|4|div|mult; ((|mean_EA - std_IP|) * (mean_EA / w_log)); $\left(\left(\left|mean_{EA} - std_{IP}\right|\right) \left(\frac{ mean_{EA} }{ w_{log} } \right)\right)$; (abs(mean_EA - std_IP) .* (mean_EA ./ w_log)); (abs(newdata$mean_EA - newdata$std_IP) * (newdata$mean_EA / newdata$w_log)); mean_EA,std_IP,mean_EA,w_log
# 2;  2; eV;                                               23|22|sub|35|7|add|div; ((wtd_range_IP - range_IP) / (wtd_range_PE + lambda3)); $\left(\frac{ \left(wtd_{range, IP} - range_{IP}\right) }{ \left(wtd_{range, PE} + lambda3\right) } \right)$; ((wtd_range_IP - range_IP) ./ (wtd_range_PE + lambda3)); ((newdata$wtd_range_IP - newdata$range_IP) / (newdata$wtd_range_PE + newdata$lambda3)); wtd_range_IP,range_IP,wtd_range_PE,lambda3
# 3;  2; K^2;                                              35|7|mult|4|sq|mult; ((wtd_range_PE * lambda3) * (w_log^2)); $\left(\left(wtd_{range, PE} lambda3\right) \left(w_{log}^2\right)\right)$; ((wtd_range_PE .* lambda3) .* (w_log)^2); ((newdata$wtd_range_PE * newdata$lambda3) * (newdata$w_log)^2); wtd_range_PE,lambda3,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01, -4.888681259798945e-01,  6.282380000000000e-02,  1.304739933510493e-03,  3.284976836532098e+00,  6.138246320623778e+03
B1Mo1       ,  2.500000000000000e-01,  3.807807454089316e+00,  0.000000000000000e+00,  1.327861652546521e-04, -3.015000000000000e+00,  1.043535173913876e+03
Sb1V3       ,  6.500000000000000e-01,  2.266181269274475e+00,  1.332045000000000e-02,  8.507914114675986e-04,  7.954905063291141e-01,  7.724416589795499e+03
Nb3Os1      ,  6.633333330000000e-01,  1.755371294785723e+00, -8.138000000000008e-03,  1.359246221401480e-04,  1.125501770956316e+00,  4.652481084220450e+03
Ti1O1       ,  7.200000000000000e-01,  5.140509238765298e+00,  0.000000000000000e+00,  3.694123469714493e-03, -3.566176470588236e+00,  5.688147544408960e+02
Ga1Mo3      ,  7.600000000000000e-01,  1.172320048516243e+00, -7.242699999999989e-03,  4.535634837572564e-05,  2.206636989073250e+00,  5.829465540849055e+03
B2Ru1       ,  8.000000000000000e-01, -3.643418821271777e-01,  3.262349999999999e-02,  3.490375619531049e-04,  3.155002210107559e+00,  4.477852487228913e+03
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.752335440456361e+00, -3.124575000000000e-02,  8.201402452691235e-04,  7.168094218415419e-01,  5.129133257738626e+03
Nb1O1       ,  1.380000000000000e+00,  7.741605560391549e+00,  0.000000000000000e+00,  8.232261788652724e-03, -3.368860510805501e+00,  9.351000552622630e+03
Cr1         ,  1.550000000000000e+00,  1.932667353474360e+00,  0.000000000000000e+00,  1.246902464057339e-03,  0.000000000000000e+00,  0.000000000000000e+00
Hg2Na1      ,  1.620000000000000e+00,  2.583618747798055e+00,  1.261390500000000e-01,  1.129431750350515e-02, -4.242617209265312e-02,  7.918630996405532e+02
Ga2Y1       ,  1.680000000000000e+00,  2.325165451480110e+00, -1.841915000000000e-02,  2.687980966258368e-03,  7.141663184287507e-01,  6.146246679623999e+02
Be2Nb1      ,  2.150000000000000e+00, -1.435082394604984e-01,  7.235429999999997e-02,  1.146658758973766e-03,  2.276249389549080e+00,  5.487317471776289e+03
Ge1Mo3      ,  2.179200000000000e+00,  1.919529895530819e+00,  1.081920000000001e-02,  2.444931159874427e-03,  2.096734187680859e+00,  7.834231272755857e+03
B1Hf1       ,  3.100000000000000e+00,  3.255064163480773e+00,  0.000000000000000e+00,  2.348340201549588e-04, -1.697004608294931e+00,  2.945517362172237e+03
B1Zr1       ,  3.100000000000000e+00,  3.782311014172570e+00,  0.000000000000000e+00,  4.092873737362722e-04, -1.895216400911162e+00,  5.077949617519090e+03
C1In1Ti2    ,  3.100000000000000e+00,  3.317208262566178e+00,  3.292278000000000e-01,  3.931055371182063e-03, -1.022303206997085e+01,  3.780854690563665e+02
Pt0.25V0.75 ,  3.102500000000000e+00,  1.855154063700147e+00,  9.881235000000002e-02,  1.350240545164274e-03,  4.717622080679404e-01,  1.315884702966053e+04
Sn1         ,  3.740729412000000e+00,  5.444825994518111e+00,  0.000000000000000e+00,  1.330209803646253e-02,  0.000000000000000e+00,  0.000000000000000e+00
B1Ta1       ,  4.000000000000000e+00,  2.158901887206039e+00,  0.000000000000000e+00,  7.261675207772936e-05, -7.234042553191489e-01,  5.026570360856101e+02
Sn1V3       ,  4.462500000000000e+00,  3.991490786990100e+00,  9.748550000000002e-02,  8.916204668535453e-03,  4.106514428716666e-01,  1.232102316635126e+04
B2Nb1       ,  4.597500000000000e+00,  5.794479478421641e+00,  2.806245000000000e-02,  3.057875028650092e-04,  1.487560913054629e+00,  3.532702503026530e+04
Al1Si1Sr1   ,  4.750000000000000e+00,  3.274080781254889e+00,  5.653840000000000e-02,  1.992974618961986e-03, -2.855150775666725e+00,  1.803662617084467e+03
Fe1Li1P1    ,  4.965000000000000e+00,  6.188655404888659e+00,  8.782448999999996e-02,  2.334224477179070e-03, -8.278576651230807e+00,  3.313479181173822e+02
Ga1Si1Sr1   ,  5.000000000000000e+00,  4.683299136065515e+00,  7.086239999999998e-02,  1.106015596951673e-02, -4.923398768248586e-02,  7.618204583547169e+03
Os0.5V0.5   ,  5.150000000000000e+00,  3.916007952290691e+00,  0.000000000000000e+00,  7.350624045123517e-04, -7.095134350036311e-01,  1.028957934501741e+04
Ir1Ti3      ,  5.185000000000000e+00,  4.238756093907983e+00,  8.019559999999999e-02,  4.443136161290655e-03,  5.962397423911917e-02,  1.841967162444741e+04
