# c0 + a0 * ((wtd_std_ThermalCond^2) * (wtd_range_at_rad * bulk_mod)) + a1 * (|(std_PE * range_at_mass) - (|wtd_std_at_mass - wtd_mean_at_mass|)|) + a2 * ((range_ThermalCond / lambda3) / (|wtd_range_PE - lambda3|)) + a3 * ((wtd_range_EA * wtd_range_IP) * cbrt(lambda4w_low)) + a4 * ((wtd_std_at_rad * lambda4w_low) * (w_log^2))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.54803985203697; Max AE: 3.61800611994622
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -8.425911714357710e-06,  4.582285158290432e-02,  2.186013425005260e-04,  8.331126530389975e-01,  1.061066451151524e-06, -6.424923643642033e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * GPa * W^2 * mK^-2;                           43|sq|17|1|mult|mult; ((wtd_std_ThermalCond^2) * (wtd_range_at_rad * bulk_mod)); $\left(\left(wtd_{std, ThermalCond}^2\right) \left(wtd_{range, at, rad} bulk_{mod}\right)\right)$; ((wtd_std_ThermalCond)^2 .* (wtd_range_at_rad .* bulk_mod)); ((newdata$wtd_std_ThermalCond)^2 * (newdata$wtd_range_at_rad * newdata$bulk_mod)); wtd_std_ThermalCond,wtd_range_at_rad,bulk_mod
# 1;  2; g * mol^-1;                                       36|10|mult|13|9|abd|abd; (|(std_PE * range_at_mass) - (|wtd_std_at_mass - wtd_mean_at_mass|)|); $\left(\left|\left(std_{PE} range_{at, mass}\right) - \left(\left|wtd_{std, at, mass} - wtd_{mean, at, mass}\right|\right)\right|\right)$; abs((std_PE .* range_at_mass) - abs(wtd_std_at_mass - wtd_mean_at_mass)); abs((newdata$std_PE * newdata$range_at_mass) - abs(newdata$wtd_std_at_mass - newdata$wtd_mean_at_mass)); std_PE,range_at_mass,wtd_std_at_mass,wtd_mean_at_mass
# 2;  2; W * mK^-1;                                        40|7|div|35|7|abd|div; ((range_ThermalCond / lambda3) / (|wtd_range_PE - lambda3|)); $\left(\frac{ \left(\frac{ range_{ThermalCond} }{ lambda3 } \right) }{ \left(\left|wtd_{range, PE} - lambda3\right|\right) } \right)$; ((range_ThermalCond ./ lambda3) ./ abs(wtd_range_PE - lambda3)); ((newdata$range_ThermalCond / newdata$lambda3) / abs(newdata$wtd_range_PE - newdata$lambda3)); range_ThermalCond,lambda3,wtd_range_PE,lambda3
# 3;  2; K^0.333333 * eV^2;                                29|23|mult|6|cbrt|mult; ((wtd_range_EA * wtd_range_IP) * cbrt(lambda4w_low)); $\left(\left(wtd_{range, EA} wtd_{range, IP}\right) \left(\sqrt[3]{ lambda4w_{low} }\right)\right)$; ((wtd_range_EA .* wtd_range_IP) .* nthroot(lambda4w_low, 3)); ((newdata$wtd_range_EA * newdata$wtd_range_IP) * nthroot(newdata$lambda4w_low, 3)); wtd_range_EA,wtd_range_IP,lambda4w_low
# 4;  2; AA * K^3;                                         19|6|mult|4|sq|mult; ((wtd_std_at_rad * lambda4w_low) * (w_log^2)); $\left(\left(wtd_{std, at, rad} lambda4w_{low}\right) \left(w_{log}^2\right)\right)$; ((wtd_std_at_rad .* lambda4w_low) .* (w_log)^2); ((newdata$wtd_std_at_rad * newdata$lambda4w_low) * (newdata$w_log)^2); wtd_std_at_rad,lambda4w_low,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01, -1.426154021970250e+00,  3.834973510170289e+05,  2.650359999999999e+01,  2.102529218972235e+03,  8.547253920203652e-01,  5.794583986168143e+04
B1Mo1       ,  2.500000000000000e-01,  5.130413141687382e-01,  3.354485120000000e+05,  5.697359999999997e+00,  9.999999999999996e+03,  4.174576084644042e-01,  1.118800148332414e+06
Cr3Ir1      ,  2.560000000000000e-01,  1.063532157268079e+00,  9.444110078688111e+04,  6.235543000000007e+00,  5.334824035592422e+00,  2.581367987103195e+00,  6.060883903173637e+04
Al1Os1      ,  3.900000000000000e-01,  1.589690617111469e+00,  1.471702380000000e+05,  2.117670750000000e+01,  6.888847514429343e+03,  1.123192397604221e+00,  5.672799834103920e+04
Al1Mo3      ,  5.800000000000000e-01,  1.289253093250647e+00,  2.743313104539393e+05,  3.247936249999999e+01,  2.088704676740315e+03,  2.701982685712572e+00,  4.456859643958475e+04
Sb1V3       ,  6.500000000000000e-01,  1.839519041319802e+00,  1.055159124824000e+03,  2.578071500000001e+01,  8.099601962417850e+01,  1.462527368321868e+00,  6.917597997442952e+04
Nb3Os1      ,  6.633333330000000e-01,  4.152963686599701e+00,  3.398463441061022e+04,  4.956972000000000e+01,  3.697851884223619e+02,  3.196216620953789e+00,  6.289673009432109e+04
B2Ru1       ,  8.000000000000000e-01,  1.090956885144839e+00,  3.336330118767767e+04,  5.170520000000004e+00,  3.111991540736974e+03,  9.817910860701738e-01,  2.633288460349749e+05
La1Se1      ,  1.020000000000000e+00,  2.774254948569008e+00,  6.283944576000001e+02,  3.551848750000001e+01,  3.697777777777778e+02,  2.041011009369770e+00,  1.249470514469244e+04
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.257678008840796e+00,  2.690748140716639e+05,  2.652451376000000e+01,  2.713480450947469e+03,  3.803053530190975e+00,  1.794417851751529e+05
Co1Si2      ,  1.306666667000000e+00,  3.429376597133516e+00,  2.538820916118950e+04,  2.478542800000000e+01,  2.361275088547816e+03,  3.123279500609895e+00,  2.999548847597794e+04
Nb1O1       ,  1.380000000000000e+00,  4.042384840172053e+00,  8.851153157673308e+04,  5.475504000000000e+01,  6.700109240776602e+02,  2.383043890017827e+00,  7.443701363818677e+05
Cr1         ,  1.550000000000000e+00,  1.740117208825648e+00,  0.000000000000000e+00,  5.199610000000000e+01,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00
Hg2Na1      ,  1.620000000000000e+00,  2.277195989044893e+00,  2.771379470531467e+04,  3.005367700000002e+01,  7.152170713680194e+02,  1.939041359112322e+00,  4.024118514894520e+03
Ga2Y1       ,  1.680000000000000e+00,  2.753017698874592e+00,  3.848193094176000e+02,  6.220337400000000e+01,  9.499314861915586e+00,  6.484382818931109e-01,  5.765747903659467e+03
Be2Nb1      ,  2.150000000000000e+00,  2.607057100838876e+00,  4.972508855967358e+04,  2.618675000000057e-01,  3.265909904111925e+03,  2.928479950108748e+00,  4.739035572481523e+05
Ge1Mo3      ,  2.179200000000000e+00,  3.023732971074787e+00,  1.971006338867625e+05,  7.915300000000001e+01,  8.373433955864584e+02,  1.671811418186405e+00,  1.169672903531742e+05
B1Hf1       ,  3.100000000000000e+00,  2.472416455951516e+00,  3.167346000000000e+02,  5.123560000000001e+01,  2.042483660130719e+02,  2.131105401356265e-01,  5.161055167090425e+05
B1Zr1       ,  3.100000000000000e+00,  1.586444913249428e+00,  2.911454000000000e+02,  1.774167999999999e+01,  1.757160428747145e+02,  1.536396802299230e-01,  1.179949802145043e+06
