# c0 + a0 * (|(wtd_range_PE * std_EA) - (|range_EA - mean_EA|)|) + a1 * (|(wtd_std_PE * wtd_range_IP) - (|std_EA - wtd_std_IP|)|) + a2 * ((|mean_EA - wtd_std_IP|) * (wtd_range_at_rad * lambda)) + a3 * ((wtd_range_EA * w_log) * (lambda4w_low * w_log))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.34179492648352; Max AE: 7.40080678271539
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  6.130218096785016e+00,  5.414167526814174e+00,  3.537524465871674e+00,  1.325173908412741e-06, -1.113675001593967e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               35|30|mult|28|26|abd|abd; (|(wtd_range_PE * std_EA) - (|range_EA - mean_EA|)|); $\left(\left|\left(wtd_{range, PE} std_{EA}\right) - \left(\left|range_{EA} - mean_{EA}\right|\right)\right|\right)$; abs((wtd_range_PE .* std_EA) - abs(range_EA - mean_EA)); abs((newdata$wtd_range_PE * newdata$std_EA) - abs(newdata$range_EA - newdata$mean_EA)); wtd_range_PE,std_EA,range_EA,mean_EA
# 1;  2; eV;                                               37|23|mult|30|25|abd|abd; (|(wtd_std_PE * wtd_range_IP) - (|std_EA - wtd_std_IP|)|); $\left(\left|\left(wtd_{std, PE} wtd_{range, IP}\right) - \left(\left|std_{EA} - wtd_{std, IP}\right|\right)\right|\right)$; abs((wtd_std_PE .* wtd_range_IP) - abs(std_EA - wtd_std_IP)); abs((newdata$wtd_std_PE * newdata$wtd_range_IP) - abs(newdata$std_EA - newdata$wtd_std_IP)); wtd_std_PE,wtd_range_IP,std_EA,wtd_std_IP
# 2;  2; AA * eV;                                          26|25|abd|17|5|mult|mult; ((|mean_EA - wtd_std_IP|) * (wtd_range_at_rad * lambda)); $\left(\left(\left|mean_{EA} - wtd_{std, IP}\right|\right) \left(wtd_{range, at, rad} lambda\right)\right)$; (abs(mean_EA - wtd_std_IP) .* (wtd_range_at_rad .* lambda)); (abs(newdata$mean_EA - newdata$wtd_std_IP) * (newdata$wtd_range_at_rad * newdata$lambda)); mean_EA,wtd_std_IP,wtd_range_at_rad,lambda
# 3;  2; K^3 * eV;                                         29|4|mult|6|4|mult|mult; ((wtd_range_EA * w_log) * (lambda4w_low * w_log)); $\left(\left(wtd_{range, EA} w_{log}\right) \left(lambda4w_{low} w_{log}\right)\right)$; ((wtd_range_EA .* w_log) .* (lambda4w_low .* w_log)); ((newdata$wtd_range_EA * newdata$w_log) * (newdata$lambda4w_low * newdata$w_log)); wtd_range_EA,w_log,lambda4w_low,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 57                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01,  4.232416791719395e+00,  1.933499999999999e-02,  7.965441200000000e-01,  2.039974567000000e-01,  1.458636658587153e+05
B1Mo1       ,  2.500000000000000e-01,  1.912076181244416e+00,  2.842999999999998e-02,  3.323200000000000e-01,  1.664659500000001e-02,  7.495960993827175e+05
Cr3Ir1      ,  2.560000000000000e-01,  1.976440936156718e+00,  9.590250000000006e-02,  1.251640500000000e-01,  2.045202917999999e-01,  8.308781350806390e+05
Al1Os1      ,  3.900000000000000e-01,  2.715679588338939e+00,  1.429749999999994e-02,  6.271849999999999e-01,  3.692750625000001e-02,  1.625380474206297e+05
Al1Mo3      ,  5.800000000000000e-01,  2.837625742619455e+00,  1.028312500000000e-01,  5.463115000000001e-01,  4.511701095000002e-02,  1.535634231618515e+05
Sb1V3       ,  6.500000000000000e-01, -4.013704791405215e-01,  5.902499999999994e-02,  5.117000000000038e-03,  3.205574399999998e-02,  1.579914334678200e+05
Nb3Os1      ,  6.633333330000000e-01,  4.264114557698606e+00,  7.222250000000001e-01,  2.282795999999998e-02,  1.161237111000000e-01,  3.139270422406823e+05
Ti1O1       ,  7.200000000000000e-01,  2.558210491324660e+00,  4.444999999999999e-02,  5.212499999999998e-01,  1.531083750000000e-01,  2.689296283759246e+04
Ga1Mo3      ,  7.600000000000000e-01,  2.205334011352426e+00,  1.833525000000000e-01,  3.192091900000000e-01,  3.158200500000001e-02,  2.679226107412903e+05
B2Ru1       ,  8.000000000000000e-01,  9.992093974475054e-01,  1.327195500000000e-01,  1.953948700000000e-01,  7.118744269000000e-03,  1.631493937390605e+05
La1Se1      ,  1.020000000000000e+00,  2.175664268288126e+00,  2.908625000000000e-01,  1.864375000000000e-01,  1.322782365000000e-01,  2.184419140813472e+04
Al1Nb1Ni2   ,  1.075000000000000e+00,  6.866332808251825e-02,  4.889150000000003e-02,  1.086564999999995e-02,  4.983814327500000e-02,  4.886080739519005e+05
Co1Si2      ,  1.306666667000000e+00,  1.266026578181115e+00,  6.731999999999994e-02,  2.212537800000000e-01,  9.513574399999999e-02,  3.264214922385834e+05
Nb1O1       ,  1.380000000000000e+00,  3.444914867167768e+00,  3.477200000000001e-01,  9.640000000000093e-03,  5.097002049999999e-01,  4.314308545560212e+05
Cr1         ,  1.550000000000000e+00,  2.969050250864854e+00,  6.660000000000000e-01,  0.000000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00
Hg2Na1      ,  1.620000000000000e+00,  2.576005827187679e+00,  6.384200000000007e-03,  4.093448500000001e-01,  4.035656198970000e-01,  5.025334604724735e+03
Ga2Y1       ,  1.680000000000000e+00,  3.005332898748301e+00,  2.937000000000000e-01,  3.989653000000000e-01,  4.408355340000000e-02,  1.925200171522658e+03
