# c0 + a0 * (mean_IP + 7.141148e-01*lambda)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.47424038960902; Max AE: 10.7499982540014
# Coefficients
# Task   a0                      c0
# all ,  1.628325309594266e+00, -8.925054824491379e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               20|5|add:7.1411484093063e-01,0.0000000000000e+00; (mean_IP + 7.141148e-01*lambda); $\left(mean_{IP} + 0.714lambda\right)$; (mean_IP + (7.141148e-01.*lambda)); (newdata$mean_IP + (7.141148e-01*newdata$lambda)); mean_IP,lambda
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
Rh1V3       ,  1.900000000000000e-01,  3.185135328890405e+00,  7.437205625944188e+00
B1Mo1       ,  2.500000000000000e-01,  4.209337730693608e+00,  8.066196894315743e+00
Cr3Ir1      ,  2.560000000000000e-01,  5.776318819740515e+00,  9.028523697083033e+00
Al1Os1      ,  3.900000000000000e-01,  3.668377093880033e+00,  7.733977875409522e+00
Al1Mo3      ,  5.800000000000000e-01,  2.116292270779342e+00,  6.780799285139112e+00
Nb3Os1      ,  6.633333330000000e-01,  4.337958095960986e+00,  8.145186248905722e+00
Ti1O1       ,  7.200000000000000e-01,  7.865619694028831e+00,  1.031162165175949e+01
Ga1Mo3      ,  7.600000000000000e-01,  2.207924330771968e+00,  6.837073089551978e+00
La1Se1      ,  1.020000000000000e+00,  3.982810214668516e+00,  7.927080027010194e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.980942169898449e+00,  7.311804910381499e+00
Co1Si2      ,  1.306666667000000e+00,  4.509817116248763e+00,  8.250729667825249e+00
Cr1         ,  1.550000000000000e+00,  2.616389930021257e+00,  7.087923209514227e+00
Hg2Na1      ,  1.620000000000000e+00,  4.473099747880374e+00,  8.228180507560991e+00
Ga2Y1       ,  1.680000000000000e+00,  2.378803448094316e+00,  6.942014722722886e+00
Be2Nb1      ,  2.150000000000000e+00,  4.709830198136293e+00,  8.373563281421397e+00
Ge1Mo3      ,  2.179200000000000e+00,  3.805299578746587e+00,  7.818065793259716e+00
B1Hf1       ,  3.100000000000000e+00,  3.853814323052799e+00,  7.847860051213184e+00
B1Zr1       ,  3.100000000000000e+00,  3.741682116336817e+00,  7.778996534779897e+00
C1In1Ti2    ,  3.100000000000000e+00,  4.335605200442235e+00,  8.143741270126059e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  4.832673907877993e+00,  8.449005030694648e+00
Sn1         ,  3.740729412000000e+00,  3.328720311607745e+00,  7.525385169596381e+00
Sn1V3       ,  4.462500000000000e+00,  4.618859226003735e+00,  8.317695469506575e+00
B2Nb1       ,  4.597500000000000e+00,  4.147992719653904e+00,  8.028523211619630e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  2.579468045729787e+00,  7.065248450315975e+00
Fe1Li1P1    ,  4.965000000000000e+00,  4.207335041918991e+00,  8.064966987267798e+00
Ga1Si1Sr1   ,  5.000000000000000e+00,  5.574778525905780e+00,  8.904752180023610e+00
Os0.5V0.5   ,  5.150000000000000e+00,  4.848080867905750e+00,  8.458466874674459e+00
Ir1Ti3      ,  5.185000000000000e+00,  6.463668441846357e+00,  9.450644275849392e+00
Ir1Mo1      ,  5.325000000000000e+00,  4.787062290707866e+00,  8.420993664107531e+00
La1         ,  5.343000000000000e+00,  3.988159965569312e+00,  7.930365458286902e+00
N1Ti1       ,  5.387500000000000e+00,  9.276055607437325e+00,  1.117780969483544e+01
B6Y1        ,  5.692857143000000e+00,  3.642994503188314e+00,  7.718389718336631e+00
Nb1S2       ,  5.821818182000000e+00,  5.378648650601783e+00,  8.784303351924963e+00
Ge1V3       ,  6.680000000000000e+00,  5.454214850845040e+00,  8.830710663656847e+00
Sn1Ta3      ,  6.692500000000000e+00,  6.657490193856454e+00,  9.569675621040723e+00
Al1Ge1Sr1   ,  6.700000000000000e+00,  9.082341068250441e+00,  1.105884419202989e+01
Ir1Mo3      ,  8.031000000000001e+00,  8.872483404773234e+00,  1.092996474623322e+01
N1V1        ,  8.528333333499999e+00,  8.518235532313255e+00,  1.071241124487037e+01
C1Ta1       ,  8.637499999999999e+00,  7.843390144059057e+00,  1.029796986495817e+01
Re3W1       ,  8.733333332999999e+00,  1.027116441841390e+01,  1.178893377742096e+01
Hf1N1       ,  8.830000000000000e+00,  9.181169623552119e+00,  1.111953756498146e+01
Nb0.75Si0.25,  9.000000000000000e+00,  4.930536268126689e+00,  8.509105036309055e+00
Ta1B2       ,  9.500000000000000e+00,  5.282651674680254e+00,  8.725348930866772e+00
Nb3Pt1      ,  9.516428571000001e+00,  8.742396771090759e+00,  1.085007491530325e+01
C1I1Y1      ,  9.917500000000000e+00,  7.277369656694607e+00,  9.950360892703429e+00
C1Nb1       ,  1.002500000000000e+01,  6.667102545586602e+00,  9.575578834405713e+00
C1Mo1       ,  1.015200000000000e+01,  6.244369225156674e+00,  9.315966508822404e+00
Nb1Ru3      ,  1.350000000000000e+01,  3.431518481759813e+00,  7.588516393772761e+00
Mo1Ni1P1    ,  1.550000000000000e+01,  5.183608780581931e+00,  8.664523926480516e+00
Nb3Sn1      ,  1.670900000000000e+01,  5.959001745998636e+00,  9.140714378626662e+00
Ga0.25Nb0.75,  1.816296296333330e+01,  1.700056303786679e+01,  1.592164520787196e+01
