# c0 + a0 * (std_EA - wtd_mean_EA) + a1 * (wtd_mean_IP + 7.115646e-01*lambda)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.18006011738057; Max AE: 9.11202384217116
# Coefficients
# Task   a0                      a1                      c0
# all , -4.231474402170593e+00,  1.828880393610333e+00, -1.229342207585682e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               30|27|sub; (std_EA - wtd_mean_EA); $\left(std_{EA} - wtd_{mean, EA}\right)$; (std_EA - wtd_mean_EA); (newdata$std_EA - newdata$wtd_mean_EA); std_EA,wtd_mean_EA
# 1;  1; eV;                                               21|5|add:7.1156458710735e-01,0.0000000000000e+00; (wtd_mean_IP + 7.115646e-01*lambda); $\left(wtd_{mean, IP} + 0.712lambda\right)$; (wtd_mean_IP + (7.115646e-01.*lambda)); (newdata$wtd_mean_IP + (7.115646e-01*newdata$lambda)); wtd_mean_IP,lambda
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01,  2.554353400157464e+00, -3.720000000000001e-01,  7.257810321977214e+00
B1Mo1       ,  2.500000000000000e-01,  3.628381280588510e+00, -2.770000000000000e-01,  8.064871272378401e+00
Cr3Ir1      ,  2.560000000000000e-01,  5.012262560036932e+00, -4.413000000000000e-01,  8.441413137870409e+00
Al1Os1      ,  3.900000000000000e-01,  3.714625036657149e+00, -4.409999999999999e-01,  7.732581611441273e+00
Al1Mo3      ,  5.800000000000000e-01,  2.800896659436586e+00, -5.173000000000000e-01,  7.056435769194549e+00
Nb3Os1      ,  6.633333330000000e-01,  5.273001026663022e+00, -8.412999999999999e-01,  7.658501746155188e+00
Ti1O1       ,  7.200000000000000e-01,  6.899008251191669e+00, -7.900000000000007e-02,  1.031130516526002e+01
Ga1Mo3      ,  7.600000000000000e-01,  2.449947219579572e+00, -4.115000000000000e-01,  7.109331820915931e+00
La1Se1      ,  1.020000000000000e+00,  4.318281372248717e+00, -5.000000000000000e-01,  7.926142298679372e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  4.069496104591328e+00, -6.162000000000000e-01,  7.521259291689589e+00
Co1Si2      ,  1.306666667000000e+00,  6.185054752752919e+00, -7.817000000000000e-01,  8.295093184571211e+00
Cr1         ,  1.550000000000000e+00,  3.485607614603259e+00, -6.660000000000000e-01,  7.086777125446043e+00
Hg2Na1      ,  1.620000000000000e+00,  3.980997788182290e+00,  9.130000000000002e-02,  9.109810316281994e+00
Ga2Y1       ,  1.680000000000000e+00,  1.595221522612333e+00, -2.988000000000000e-01,  6.902736281282673e+00
Be2Nb1      ,  2.150000000000000e+00,  3.170488759674931e+00,  1.488000000000000e-01,  8.799675628215892e+00
Ge1Mo3      ,  2.179200000000000e+00,  4.151075085917228e+00, -5.950000000000000e-01,  7.614915628785414e+00
B1Hf1       ,  3.100000000000000e+00,  2.057504995809086e+00,  0.000000000000000e+00,  7.846837399430047e+00
B1Zr1       ,  3.100000000000000e+00,  3.103506298896676e+00, -2.770000000000000e-01,  7.777878758529152e+00
C1In1Ti2    ,  3.100000000000000e+00,  1.728460410248323e+00,  8.370000000000000e-02,  7.860577949106622e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  2.650433666192340e+00, -1.243000000000000e-01,  7.883447995960788e+00
Sn1         ,  3.740729412000000e+00,  6.546191914047785e+00, -1.200000000000000e+00,  7.524737405125267e+00
Sn1V3       ,  4.462500000000000e+00,  4.144592423548891e+00, -3.563000000000000e-01,  8.163650407142718e+00
B2Nb1       ,  4.597500000000000e+00,  3.593174615506031e+00, -1.743000000000000e-01,  8.283237523892566e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  7.562811575067626e-01, -3.100000000000003e-02,  7.063626233858985e+00
Fe1Li1P1    ,  4.965000000000000e+00,  3.550642391653045e+00, -2.588000000000000e-01,  8.064474278229140e+00
Ga1Si1Sr1   ,  5.000000000000000e+00,  3.836866511848241e+00,  3.320000000000001e-02,  8.896576066266162e+00
Os0.5V0.5   ,  5.150000000000000e+00,  5.392822646295632e+00, -5.250000000000000e-01,  8.455840368261859e+00
Ir1Ti3      ,  5.185000000000000e+00,  2.704455878458141e+00,  2.925000000000000e-01,  8.877335157440079e+00
Ir1Mo1      ,  5.325000000000000e+00,  6.262125399061280e+00, -7.460000000000000e-01,  8.419833043592554e+00
La1         ,  5.343000000000000e+00,  4.310634454132246e+00, -5.000000000000000e-01,  7.921961096812270e+00
N1Ti1       ,  5.387500000000000e+00,  8.146210097753551e+00,  0.000000000000000e+00,  1.117603548325058e+01
B6Y1        ,  5.692857143000000e+00,  4.305644875993761e+00, -2.663000000000000e-01,  8.459943784519083e+00
Nb1S2       ,  5.821818182000000e+00,  9.481820387354558e+00, -1.090300000000000e+00,  9.383700532021395e+00
Ge1V3       ,  6.680000000000000e+00,  4.668406230618257e+00, -3.188000000000000e-01,  8.536826312759747e+00
Sn1Ta3      ,  6.692500000000000e+00,  5.878984800385044e+00, -1.025000000000000e-01,  9.699202206986335e+00
Al1Ge1Sr1   ,  6.700000000000000e+00,  8.049960796077402e+00, -3.489999999999993e-02,  1.104266002624195e+01
Ir1Mo3      ,  8.031000000000001e+00,  9.050065770259577e+00, -5.413000000000000e-01,  1.041784406393552e+01
N1V1        ,  8.528333333499999e+00,  7.297823877502936e+00,  0.000000000000000e+00,  1.071215264913269e+01
C1Ta1       ,  8.637499999999999e+00,  7.898145917483748e+00, -3.220000000000000e-01,  1.029538798798748e+01
Re3W1       ,  8.733333332999999e+00,  9.127651962701401e+00,  1.619999999999999e-02,  1.175015271581069e+01
Hf1N1       ,  8.830000000000000e+00,  8.040008138652368e+00,  0.000000000000000e+00,  1.111796609857555e+01
Nb0.75Si0.25,  9.000000000000000e+00,  5.883251002098508e+00, -7.700000000000000e-01,  8.157142391818184e+00
Ta1B2       ,  9.500000000000000e+00,  4.924820190406797e+00, -2.695000000000000e-01,  8.791094251461608e+00
Nb3Pt1      ,  9.516428571000001e+00,  8.978577141115082e+00, -5.842999999999999e-01,  1.027926636944915e+01
C1I1Y1      ,  9.917500000000000e+00,  7.602309903865179e+00, -4.021999999999999e-01,  9.948071529846267e+00
C1Nb1       ,  1.002500000000000e+01,  8.994175713620583e+00, -8.930000000000000e-01,  9.573557248199995e+00
C1Mo1       ,  1.015200000000000e+01,  7.900132158271878e+00, -7.460000000000000e-01,  9.315466659073040e+00
Nb1Ru3      ,  1.350000000000000e+01,  5.801864950455910e+00, -9.322999999999999e-01,  7.737128950918149e+00
Mo1Ni1P1    ,  1.550000000000000e+01,  6.468447764214869e+00, -6.894000000000000e-01,  8.663601754698018e+00
Nb3Sn1      ,  1.670900000000000e+01,  7.596976157828842e+00, -8.163000000000000e-01,  8.987053356041262e+00
Ga0.25Nb0.75,  1.816296296333330e+01,  1.900749390307488e+01, -4.483000000000000e-01,  1.607756642105680e+01
