# FEAT_ID     Score                   Feature Expression
0             0.135270789685757009    (wtd_mean_at_rad / wtd_mean_at_mass)
1             0.136343024793789014    (wtd_mean_IP + 6.552052e-01*lambda)
2             0.139270530093160927    (mean_ThermalCond / wtd_mean_at_mass)
3             0.141318344407882379    (wtd_mean_at_rad / mean_at_mass)
4             0.14937518614426637     (1.0 / wtd_mean_at_mass)
5             0.160809011946303398    (mean_at_rad / mean_at_mass)
6             0.164452721294370413    (lambda / mean_at_mass)
7             0.165816094346899034    (wtd_std_ThermalCond * w_log)
8             0.166743386371235064    (1.0 / mean_at_mass)
9             0.168470074404935638    (range_ThermalCond * w_log)
10            0.171683375510064934    (wtd_std_ThermalCond / mean_EA)
11            0.171738732989076714    (std_ThermalCond * w_log)
12            0.172431366171225564    (lambda4w_low * w_log)
13            0.177598213757959589    (mean_ThermalCond / mean_EA)
14            0.17838674829310483     (lambda / wtd_mean_at_mass)
15            0.180885200738555213    (range_ThermalCond / mean_at_mass)
16            0.181338284227582552    (wtd_range_PE / mean_at_mass)
17            0.182238514665396478    (wtd_std_ThermalCond / mean_at_mass)
18            0.182906938273706215    (range_ThermalCond / mean_EA)
19            0.189545277636513687    (std_ThermalCond / mean_EA)
20            0.195533422704274651    (range_ThermalCond / wtd_mean_at_mass)
21            0.197191669755578336    (wtd_std_ThermalCond / wtd_mean_at_mass)
22            0.201237266889963906    (std_ThermalCond / mean_at_mass)
23            0.212662939048892524    (std_ThermalCond / wtd_mean_at_mass)
24            0.22588398586713021     (w_log^2)
25            0.266424703106602101    (w_log / density)
26            0.291217577713167419    (w_log / mean_at_mass)
27            0.309921539411682934    (w_log / wtd_mean_at_mass)
28            0.314482002376083702    (lambda4w_low / lambda3)
29            0.314985137421995021    (lambda * w_log)
#-----------------------------------------------------------------------
30            0.318396943249558251    cbrt(lambda3)
31            0.318398899486071307    lambda
32            0.318419581934113627    (wtd_range_PE * lambda)
33            0.318545771531423327    (wtd_mean_at_rad + 6.298091e+00*lambda)
34            0.318816633971918062    (lambda / wtd_mean_at_rad)
35            0.318911222493483082    (mean_at_rad + 4.394381e+00*lambda)
36            0.319551379699300198    (std_PE - lambda)
37            0.319738655582167908    (wtd_mean_PE + lambda)
38            0.320339949507132793    (lambda + 1.063494e-01*L_avg)
39            0.321122697308366123    (wtd_std_PE - lambda)
40            0.323122489113865485    (lambda * L_avg)
41            0.324415334929501031    (lambda + 2.452438e-01*density)
42            0.326568302561233315    (mean_at_mass + 5.389004e+01*lambda)
43            0.327211879286773921    (wtd_range_at_mass + 5.585211e+01*lambda)
44            0.327697675819527301    (exp(-1.0 * lambda))
45            0.327821977927265362    (mean_PE * lambda)
46            0.328888294987194907    (wtd_mean_PE * lambda)
47            0.329515282001876186    (wtd_mean_at_mass + 1.116897e+02*lambda)
48            0.330079206312204887    (lambda + 7.328438e-02*V_molar)
49            0.331485701430710156    (mean_EA + 6.369511e-01*lambda)
50            0.333984609508370278    (wtd_mean_EA + 5.558980e-01*lambda)
51            0.334887799703006805    (wtd_mean_IP * lambda)
52            0.336748665170898132    (mean_EA * lambda)
53            0.337664996442947396    (mean_IP * lambda)
54            0.338578969213554237    (wtd_mean_EA * lambda)
