# c0 + a0 * ((sin(-5.159094e+00*lambda3-9.791575e-01)) + 1.156531e+00*|wtd_std_IP - (4.952621e-01*wtd_range_IP-7.598101e-01)|) + a1 * (((density+1.250325e+02) / (wtd_mean_at_mass-1.006947e+02)) + 2.553519e-02*((wtd_std_ThermalCond-9.635257e+00) / (wtd_mean_at_rad-1.129215e+00))) + a2 * (((wtd_mean_IP-1.068238e+02) / (wtd_mean_at_rad-1.284803e+00)) + 2.201455e-01*((lambda4w_low-5.710638e+02) / (wtd_mean_at_rad-1.030399e+00)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.77017207700183; Max AE: 4.96058124531371
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.074846285674176e+00, -1.021915145559069e-01,  1.684669733029948e-04,  2.427293962647914e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         7|sin|25|23|abd|add:1.1565309086485e+00,0.0000000000000e+00,4.9526214136401e-01,-7.5981009357533e-01,-5.1590941716952e+00,-9.7915749167322e-01; ((sin(-5.159094e+00*lambda3-9.791575e-01)) + 1.156531e+00*|wtd_std_IP - (4.952621e-01*wtd_range_IP-7.598101e-01)|); $\left(\left(\sin{ \left(-5.159e+00lambda3-9.792e-01 \right)}\right) + 1.16\left(\left|wtd_{std, IP} - \left(4.953e-01wtd_{range, IP}-7.598e-01\right)\right|\right)\right)$; (sin(-5.159094e+00.*lambda3-9.791575e-01) + (1.156531e+00.*abs(wtd_std_IP - (4.952621e-01.*wtd_range_IP-7.598101e-01)))); (sin(-5.159094e+00*newdata$lambda3-9.791575e-01) + (1.156531e+00*abs(newdata$wtd_std_IP - (4.952621e-01*newdata$wtd_range_IP-7.598101e-01)))); lambda3,wtd_std_IP,wtd_range_IP
# 1;  2; cm^-3 * mol;                                      2|9|div|43|15|div|add:2.5535193686815e-02,0.0000000000000e+00,-9.6352568729899e+00,-1.1292152448991e+00,1.2503249274778e+02,-1.0069473416929e+02; (((density+1.250325e+02) / (wtd_mean_at_mass-1.006947e+02)) + 2.553519e-02*((wtd_std_ThermalCond-9.635257e+00) / (wtd_mean_at_rad-1.129215e+00))); $\left(\left(\frac{ density +1.250e+02 }{ wtd_{mean, at, mass}-1.007e+02 } \right) + 0.0255\left(\frac{ wtd_{std, ThermalCond} -9.635e+00 }{ wtd_{mean, at, rad}-1.129e+00 } \right)\right)$; (((density+1.250325e+02) ./ (wtd_mean_at_mass-1.006947e+02)) + (2.553519e-02.*((wtd_std_ThermalCond-9.635257e+00) ./ (wtd_mean_at_rad-1.129215e+00)))); (((newdata$density+1.250325e+02) / (newdata$wtd_mean_at_mass-1.006947e+02)) + (2.553519e-02*((newdata$wtd_std_ThermalCond-9.635257e+00) / (newdata$wtd_mean_at_rad-1.129215e+00)))); density,wtd_mean_at_mass,wtd_std_ThermalCond,wtd_mean_at_rad
# 2;  2; AA^-1 * eV;                                       21|15|div|6|15|div|add:2.2014552829860e-01,0.0000000000000e+00,-5.7106381129886e+02,-1.0303991170757e+00,-1.0682381119889e+02,-1.2848029608314e+00; (((wtd_mean_IP-1.068238e+02) / (wtd_mean_at_rad-1.284803e+00)) + 2.201455e-01*((lambda4w_low-5.710638e+02) / (wtd_mean_at_rad-1.030399e+00))); $\left(\left(\frac{ wtd_{mean, IP} -1.068e+02 }{ wtd_{mean, at, rad}-1.285e+00 } \right) + 0.220\left(\frac{ lambda4w_{low} -5.711e+02 }{ wtd_{mean, at, rad}-1.030e+00 } \right)\right)$; (((wtd_mean_IP-1.068238e+02) ./ (wtd_mean_at_rad-1.284803e+00)) + (2.201455e-01.*((lambda4w_low-5.710638e+02) ./ (wtd_mean_at_rad-1.030399e+00)))); (((newdata$wtd_mean_IP-1.068238e+02) / (newdata$wtd_mean_at_rad-1.284803e+00)) + (2.201455e-01*((newdata$lambda4w_low-5.710638e+02) / (newdata$wtd_mean_at_rad-1.030399e+00)))); wtd_mean_IP,wtd_mean_at_rad,lambda4w_low,wtd_mean_at_rad
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
Rh1V3       ,  1.900000000000000e-01,  1.640633034291153e+00, -3.729030262153802e-01, -1.057617586915729e+00, -7.183842040500997e+02
B1Mo1       ,  2.500000000000000e-01,  1.271317148104509e+00,  2.392625923513585e-01,  1.665346023615101e+01,  2.934249222578472e+02
Cr3Ir1      ,  2.560000000000000e-01,  2.501256612177430e+00, -3.279973761354529e-01, -8.825988069887533e+00, -8.751525495384217e+02
Al1Os1      ,  3.900000000000000e-01,  7.533120983750146e-01,  7.030845061724266e-01,  2.589208612980625e+01, -2.889721553478380e+03
Al1Mo3      ,  5.800000000000000e-01,  2.428335155688333e+00, -1.196486933180189e-01, -3.876081624587091e+00, -8.714397185598773e+02
Sb1V3       ,  6.500000000000000e-01,  4.283016560873422e+00,  7.247708466004920e-01, -4.621376457599294e+00, -7.142703283872413e+02
Nb3Os1      ,  6.633333330000000e-01, -1.913014750602429e-01, -8.029413433599787e-01,  8.427820436904746e+00, -5.423249268367269e+02
Ti1O1       ,  7.200000000000000e-01,  2.221157838831529e+00,  2.024819735156751e+00,  4.207649911112796e+01, -6.378974880519837e+02
Ga1Mo3      ,  7.600000000000000e-01,  2.899013373525778e+00, -1.618663678010611e-01, -9.319562127374978e+00, -8.595923762956274e+02
B2Ru1       ,  8.000000000000000e-01,  1.302091327915307e+00, -5.300212866698322e-01, -1.162035829429503e+01, -7.200176549454272e+03
La1Se1      ,  1.020000000000000e+00,  3.124452894557112e+00,  1.152469297727431e+00,  1.576878593512324e+01, -4.903132691022987e+02
Al1Nb1Ni2   ,  1.075000000000000e+00,  1.693540421136499e+00,  5.128436034755218e-02,  4.136891941673875e+00, -2.477669330873595e+03
Co1Si2      ,  1.306666667000000e+00,  9.363045760595854e-01, -3.220777521172089e-01,  7.767359050419975e+00, -1.719587696016795e+02
Nb1O1       ,  1.380000000000000e+00,  4.398858180679259e+00,  1.884396921614609e+00,  1.846041008146744e+01, -3.073152497087507e+02
Hg2Na1      ,  1.620000000000000e+00,  8.835025286770406e-01, -3.080836446444963e-01,  7.255095595072797e+00, -9.684748167313326e+02
Ga2Y1       ,  1.680000000000000e+00,  2.631503356908112e+00, -1.087021308441661e-01, -5.693477629426343e+00, -9.027021283314342e+02
Ge1Mo3      ,  2.179200000000000e+00,  2.734979863572691e+00, -3.259065826822584e-01, -1.107031923692274e+01, -8.749532508879140e+02
B1Hf1       ,  3.100000000000000e+00,  3.839659872015556e+00,  3.426575662699645e-01, -2.368197685264558e+01, -1.020195779516017e+04
C1In1Ti2    ,  3.100000000000000e+00,  4.542498191017204e+00,  1.267405995485560e+00,  1.259176680265102e+00, -2.290010998544361e+03
Pt0.25V0.75 ,  3.102500000000000e+00,  5.035521880595201e+00,  8.193199568316045e-01, -9.590722326257055e+00, -4.263476102207385e+02
Sn1         ,  3.740729412000000e+00,  1.576290613910545e+00,  5.557092601197633e-03,  6.305537639508410e+00, -1.294977976585939e+03
B1Ta1       ,  4.000000000000000e+00,  6.595101041063716e+00,  1.348841424170941e-01, -2.791389732610925e+01,  6.145891692076584e+03
Sn1V3       ,  4.462500000000000e+00,  6.122205281806728e+00,  1.637096024022270e+00, -3.718178889879321e+00, -4.854222529138846e+02
B2Nb1       ,  4.597500000000000e+00,  2.420044283038086e+00, -1.493865798068845e-01, -4.358080738522427e+00, -8.467793882537911e+02
Al1Si1Sr1   ,  4.750000000000000e+00,  3.798578281704946e+00,  9.349710946444734e-01,  3.866608880376908e+00, -1.029889495822340e+03
Fe1Li1P1    ,  4.965000000000000e+00,  5.007921755191412e+00,  1.462057795583774e+00,  6.009413120110933e+00,  9.568263209780052e+02
Ga1Si1Sr1   ,  5.000000000000000e+00,  3.912189554893231e+00,  7.008663152124041e-01,  6.262851199303947e-01,  5.621680289340384e+02
Os0.5V0.5   ,  5.150000000000000e+00,  3.796812949389537e+00,  1.125300600272506e+00,  8.337421577687742e+00, -6.724940993742227e+02
Ir1Mo1      ,  5.325000000000000e+00,  2.967897657520409e+00,  4.705091126844761e-01,  2.948979418071720e+00, -7.970091359586963e+02
La1         ,  5.343000000000000e+00,  4.549669779219801e+00,  1.144676559766586e+00,  3.171343029703564e+00,  4.240134088189790e+02
