# c0 + a0 * (((L_avg-1.024224e+02) / (wtd_mean_at_mass-5.240647e+01)) + 4.581812e-01*((range_ThermalCond+1.444914e+02) / (wtd_mean_PE-2.385306e+00))) + a1 * (((wtd_range_ThermalCond+8.777120e+01) * (wtd_range_IP+2.530567e+01)) + 1.575715e+04*((wtd_range_EA+1.010456e-01) / (wtd_mean_at_mass-9.998359e+01))) + a2 * ((wtd_mean_IP + 9.009389e-01*lambda) + 9.610576e-01*((V_molar-3.543052e+01) / (wtd_mean_at_mass-1.601305e+01)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.70069394449469; Max AE: 4.95502913881963
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.804372202873003e-03, -1.050025765681746e-03,  1.397105740569628e+00, -5.384611216641635e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * g^-1 * mol;                                  0|9|div|40|33|div|add:4.5818116678842e-01,0.0000000000000e+00,1.4449142444524e+02,-2.3853058932165e+00,-1.0242235073913e+02,-5.2406470276344e+01; (((L_avg-1.024224e+02) / (wtd_mean_at_mass-5.240647e+01)) + 4.581812e-01*((range_ThermalCond+1.444914e+02) / (wtd_mean_PE-2.385306e+00))); $\left(\left(\frac{ L_{avg} -1.024e+02 }{ wtd_{mean, at, mass}-5.241e+01 } \right) + 0.458\left(\frac{ range_{ThermalCond} +1.445e+02 }{ wtd_{mean, PE}-2.385e+00 } \right)\right)$; (((L_avg-1.024224e+02) ./ (wtd_mean_at_mass-5.240647e+01)) + (4.581812e-01.*((range_ThermalCond+1.444914e+02) ./ (wtd_mean_PE-2.385306e+00)))); (((newdata$L_avg-1.024224e+02) / (newdata$wtd_mean_at_mass-5.240647e+01)) + (4.581812e-01*((newdata$range_ThermalCond+1.444914e+02) / (newdata$wtd_mean_PE-2.385306e+00)))); L_avg,wtd_mean_at_mass,range_ThermalCond,wtd_mean_PE
# 1;  2; W * eV * mK^-1;                                   41|23|mult|29|9|div|add:1.5757154122507e+04,0.0000000000000e+00,1.0104559054254e-01,-9.9983592213999e+01,8.7771202235073e+01,2.5305668413102e+01; (((wtd_range_ThermalCond+8.777120e+01) * (wtd_range_IP+2.530567e+01)) + 1.575715e+04*((wtd_range_EA+1.010456e-01) / (wtd_mean_at_mass-9.998359e+01))); $\left(\left(\left(wtd_{range, ThermalCond}+8.777e+01\right) * \left(wtd_{range, IP}+2.531e+01\right)\right) + 1.58e+04\left(\frac{ wtd_{range, EA} +1.010e-01 }{ wtd_{mean, at, mass}-9.998e+01 } \right)\right)$; (((wtd_range_ThermalCond+8.777120e+01) .* (wtd_range_IP+2.530567e+01)) + (1.575715e+04.*((wtd_range_EA+1.010456e-01) ./ (wtd_mean_at_mass-9.998359e+01)))); (((newdata$wtd_range_ThermalCond+8.777120e+01) * (newdata$wtd_range_IP+2.530567e+01)) + (1.575715e+04*((newdata$wtd_range_EA+1.010456e-01) / (newdata$wtd_mean_at_mass-9.998359e+01)))); wtd_range_ThermalCond,wtd_range_IP,wtd_range_EA,wtd_mean_at_mass
# 2;  2; eV;                                               21|5|add|3|9|div|add:9.6105757792485e-01,0.0000000000000e+00,-3.5430524610914e+01,-1.6013054336504e+01,9.0093889811672e-01,0.0000000000000e+00; ((wtd_mean_IP + 9.009389e-01*lambda) + 9.610576e-01*((V_molar-3.543052e+01) / (wtd_mean_at_mass-1.601305e+01))); $\left(\left(wtd_{mean, IP} + 0.901lambda\right) + 0.961\left(\frac{ V_{molar} -3.543e+01 }{ wtd_{mean, at, mass}-1.601e+01 } \right)\right)$; ((wtd_mean_IP + (9.009389e-01.*lambda)) + (9.610576e-01.*((V_molar-3.543052e+01) ./ (wtd_mean_at_mass-1.601305e+01)))); ((newdata$wtd_mean_IP + (9.009389e-01*newdata$lambda)) + (9.610576e-01*((newdata$V_molar-3.543052e+01) / (newdata$wtd_mean_at_mass-1.601305e+01)))); wtd_mean_IP,lambda,V_molar,wtd_mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
B1Mo1       ,  2.500000000000000e-01,  2.838284948541504e+00, -5.122739816050089e+02,  3.611473857393578e+03,  7.571674459623390e+00
Cr3Ir1      ,  2.560000000000000e-01,  3.852097673290158e+00, -1.584398863737488e+02,  3.139317654706309e+03,  8.652708631725529e+00
Al1Os1      ,  3.900000000000000e-01,  7.171186231458756e-01, -2.807872528407700e+02,  5.100077455832992e+03,  7.636866916205538e+00
Al1Mo3      ,  5.800000000000000e-01,  1.801832753879806e+00, -3.074183519757109e+02,  3.474350340716601e+03,  7.137960697433916e+00
Sb1V3       ,  6.500000000000000e-01,  3.065873328040493e+00, -1.127397736053014e+02,  2.847826522893722e+03,  7.962612391900818e+00
Nb3Os1      ,  6.633333330000000e-01,  2.285090851681276e+00, -1.295065062397238e+02,  3.456731429303088e+03,  7.827735847312646e+00
Ti1O1       ,  7.200000000000000e-01,  2.206840225332392e+00,  7.333786200547192e+02,  2.651018650034823e+03,  8.898221219109420e+00
Ga1Mo3      ,  7.600000000000000e-01,  9.907810132536971e-01, -3.754006104489265e+02,  4.510229977221468e+03,  7.199517249240199e+00
B2Ru1       ,  8.000000000000000e-01,  3.029864007729008e+00, -3.640815360706428e+02,  3.044717163730366e+03,  7.580304230835959e+00
La1Se1      ,  1.020000000000000e+00,  1.837379837904316e+00, -1.300647307944884e+02,  4.091300570947019e+03,  7.983083763600560e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.282766790461266e+00, -2.515033261496283e+02,  3.454844409680637e+03,  7.579773247934217e+00
Co1Si2      ,  1.306666667000000e+00,  1.664290487636005e+00, -1.742026224077455e+02,  4.136147135491480e+03,  7.804301033650487e+00
Nb1O1       ,  1.380000000000000e+00,  3.650196093566799e+00,  6.271338350002178e+02,  3.164331981460180e+03,  1.010385521035273e+01
Cr1         ,  1.550000000000000e+00,  8.861135275555667e-01,  1.510715262629159e+02,  2.187929649500025e+03,  6.435996773517267e+00
Hg2Na1      ,  1.620000000000000e+00,  3.838659442114400e+00, -1.716459406150863e+02,  4.046184559842321e+03,  9.298157768216381e+00
Ga2Y1       ,  1.680000000000000e+00,  2.127779044234454e+00, -9.702085304683962e+01,  2.631207687543927e+03,  7.159904403653105e+00
Be2Nb1      ,  2.150000000000000e+00,  6.178252238251254e-01, -1.533433003296736e+02,  5.649501402286064e+03,  8.234542635613472e+00
Ge1Mo3      ,  2.179200000000000e+00,  1.705864398632789e+00, -3.922243293378126e+02,  4.555531268034732e+03,  7.711626617611278e+00
B1Hf1       ,  3.100000000000000e+00,  3.931524823120952e+00, -9.742473034699901e+01,  1.630672068599319e+03,  7.698177889618292e+00
B1Zr1       ,  3.100000000000000e+00,  2.594553309497957e+00, -2.712347675175475e+01,  2.289923865198894e+03,  7.377808967843380e+00
C1In1Ti2    ,  3.100000000000000e+00,  3.353013741165690e+00, -2.564223816839967e+02,  2.914265250126884e+03,  7.929660896365267e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  3.756318655950905e+00, -1.454180277843674e+02,  2.332372262397115e+03,  8.003814059053715e+00
Sn1         ,  3.740729412000000e+00,  3.030444958006474e+00, -1.571059751631642e+02,  2.306132771660654e+03,  7.441076986830913e+00
B1Ta1       ,  4.000000000000000e+00,  3.959110717724535e+00, -1.321733622940326e+02,  2.147621596399365e+03,  8.036697807686689e+00
Sn1V3       ,  4.462500000000000e+00,  4.152457293050978e+00, -1.292132322142956e+02,  2.593833748217568e+03,  8.516391018262938e+00
B2Nb1       ,  4.597500000000000e+00,  3.101094262695301e+00, -1.527299627080619e+02,  2.454345008635230e+03,  7.611821357183808e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  1.437066377729001e+00, -1.554189069665806e+02,  3.865484384076033e+03,  7.475943322467784e+00
Os0.5V0.5   ,  5.150000000000000e+00,  3.503686993401844e+00, -1.967806073531685e+02,  3.339946831997693e+03,  8.477155329340826e+00
Ir1Ti3      ,  5.185000000000000e+00,  5.367625582135405e+00, -1.866090953176482e+02,  2.636391968827184e+03,  9.302942903570562e+00
