# c0 + a0 * (((mean_at_mass-7.493451e+03) / (lambda3-6.342279e-01)) + 3.405072e-01*((std_EA-1.494465e+05) / (mean_at_mass-6.005196e+01))) + a1 * ((range_IP / lambda) / (|wtd_range_PE - lambda3|)) + a2 * ((wtd_range_ThermalCond + 1.067117e+02*std_PE) + 5.294590e+02*((wtd_range_EA-1.215708e-01) / (wtd_mean_at_mass-9.971038e+01))) + a3 * (((wtd_mean_IP-7.855022e-01) * (lambda+9.252675e+00)) + 2.047115e+03*((mean_at_rad-1.243076e+00) / (mean_at_mass-1.916875e+01)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.47071741268421; Max AE: 3.04706354698459
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -3.031091600373976e-05,  4.557253325099870e-02, -3.371801989550140e-02,  2.395248915315119e-01, -1.242576559567669e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; g * mol^-1;                                       8|7|div|30|8|div|add:3.4050718666688e-01,0.0000000000000e+00,-1.4944645781113e+05,-6.0051963249688e+01,-7.4934510298607e+03,-6.3422788923889e-01; (((mean_at_mass-7.493451e+03) / (lambda3-6.342279e-01)) + 3.405072e-01*((std_EA-1.494465e+05) / (mean_at_mass-6.005196e+01))); $\left(\left(\frac{ mean_{at, mass} -7.493e+03 }{ lambda3-6.342e-01 } \right) + 0.341\left(\frac{ std_{EA} -1.494e+05 }{ mean_{at, mass}-6.005e+01 } \right)\right)$; (((mean_at_mass-7.493451e+03) ./ (lambda3-6.342279e-01)) + (3.405072e-01.*((std_EA-1.494465e+05) ./ (mean_at_mass-6.005196e+01)))); (((newdata$mean_at_mass-7.493451e+03) / (newdata$lambda3-6.342279e-01)) + (3.405072e-01*((newdata$std_EA-1.494465e+05) / (newdata$mean_at_mass-6.005196e+01)))); mean_at_mass,lambda3,std_EA,mean_at_mass
# 1;  2; eV;                                               22|5|div|35|7|abd|div; ((range_IP / lambda) / (|wtd_range_PE - lambda3|)); $\left(\frac{ \left(\frac{ range_{IP} }{ lambda } \right) }{ \left(\left|wtd_{range, PE} - lambda3\right|\right) } \right)$; ((range_IP ./ lambda) ./ abs(wtd_range_PE - lambda3)); ((newdata$range_IP / newdata$lambda) / abs(newdata$wtd_range_PE - newdata$lambda3)); range_IP,lambda,wtd_range_PE,lambda3
# 2;  2; W * mK^-1;                                        41|36|add|29|9|div|add:5.2945898397911e+02,0.0000000000000e+00,-1.2157083053353e-01,-9.9710384001639e+01,1.0671173524120e+02,0.0000000000000e+00; ((wtd_range_ThermalCond + 1.067117e+02*std_PE) + 5.294590e+02*((wtd_range_EA-1.215708e-01) / (wtd_mean_at_mass-9.971038e+01))); $\left(\left(wtd_{range, ThermalCond} + 107.0std_{PE}\right) + 529.0\left(\frac{ wtd_{range, EA} -1.216e-01 }{ wtd_{mean, at, mass}-9.971e+01 } \right)\right)$; ((wtd_range_ThermalCond + (1.067117e+02.*std_PE)) + (5.294590e+02.*((wtd_range_EA-1.215708e-01) ./ (wtd_mean_at_mass-9.971038e+01)))); ((newdata$wtd_range_ThermalCond + (1.067117e+02*newdata$std_PE)) + (5.294590e+02*((newdata$wtd_range_EA-1.215708e-01) / (newdata$wtd_mean_at_mass-9.971038e+01)))); wtd_range_ThermalCond,std_PE,wtd_range_EA,wtd_mean_at_mass
# 3;  2; eV;                                               21|5|mult|14|8|div|add:2.0471149603302e+03,0.0000000000000e+00,-1.2430759387588e+00,-1.9168748271618e+01,-7.8550222652490e-01,9.2526751614406e+00; (((wtd_mean_IP-7.855022e-01) * (lambda+9.252675e+00)) + 2.047115e+03*((mean_at_rad-1.243076e+00) / (mean_at_mass-1.916875e+01))); $\left(\left(\left(wtd_{mean, IP}-7.855e-01\right) * \left(lambda+9.253e+00\right)\right) + 2.05e+03\left(\frac{ mean_{at, rad} -1.243e+00 }{ mean_{at, mass}-1.917e+01 } \right)\right)$; (((wtd_mean_IP-7.855022e-01) .* (lambda+9.252675e+00)) + (2.047115e+03.*((mean_at_rad-1.243076e+00) ./ (mean_at_mass-1.916875e+01)))); (((newdata$wtd_mean_IP-7.855022e-01) * (newdata$lambda+9.252675e+00)) + (2.047115e+03*((newdata$mean_at_rad-1.243076e+00) / (newdata$mean_at_mass-1.916875e+01)))); wtd_mean_IP,lambda,mean_at_rad,mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01,  1.976039917972734e+00,  1.094492957905599e+04,  2.768387499701515e+00,  4.910994412810189e+01,  6.789809565342792e+01
B1Mo1       ,  2.500000000000000e-01,  1.560567858973021e+00,  2.267871371605202e+04,  2.900153905348210e+01,  6.111221659444246e+01,  6.434677947150553e+01
Cr3Ir1      ,  2.560000000000000e-01,  3.303063546984590e+00, -3.300496644484203e+03,  5.226573647844176e-01,  6.236721344964862e+01,  7.392913561786025e+01
Al1Os1      ,  3.900000000000000e-01,  7.227046554443329e-01,  1.465675883237641e+04,  3.784028721809754e+01,  1.178559954426026e+02,  6.613977773811358e+01
Al1Mo3      ,  5.800000000000000e-01,  1.550334185578737e+00, -2.350656610795402e+04,  2.771651270135508e+00,  6.658388763594633e+01,  6.422029798417597e+01
Sb1V3       ,  6.500000000000000e-01,  1.281698537496083e+00,  9.039078078557087e+04,  1.478629355867208e+01,  3.957886053865187e+01,  7.142457445617032e+01
Nb3Os1      ,  6.633333330000000e-01,  1.833295349661299e+00,  1.619049900321885e+04,  7.360879938018433e+00,  5.901731938515108e+01,  6.848684034160503e+01
Ti1O1       ,  7.200000000000000e-01,  3.005845688995435e+00,  1.361167308342817e+04,  5.771512697327935e+01,  1.079146054021383e+02,  7.035859916398812e+01
Ga1Mo3      ,  7.600000000000000e-01, -9.002976654870517e-01,  1.085426564655773e+04,  2.434700519027809e+00,  9.704951297823403e+01,  6.269007161453381e+01
B2Ru1       ,  8.000000000000000e-01,  1.354539521264652e+00,  2.514367975883291e+04,  4.369916561643317e+00,  3.014329337459582e+01,  6.412551523074802e+01
La1Se1      ,  1.020000000000000e+00,  1.926296392314842e+00,  1.159884768358962e+04,  1.682128143917646e+01,  1.202654721051135e+02,  7.511602967148301e+01
Al1Nb1Ni2   ,  1.075000000000000e+00, -1.219888029201490e+00,  1.260804239782129e+05,  1.298566708957754e+01,  5.605673451469335e+01,  6.815919192124539e+01
Co1Si2      ,  1.306666667000000e+00,  5.793288970792233e-01,  1.550875895760900e+04,  1.365652086272929e+00,  6.271534750126868e+01,  6.482658312983530e+01
Nb1O1       ,  1.380000000000000e+00,  4.131572662666013e+00,  2.296140279307869e+04,  1.806903906115813e+01,  1.232612674336711e+02,  8.594511101685842e+01
Cr1         ,  1.550000000000000e+00,  3.016969259876948e+00,  2.001542700594538e+04,  0.000000000000000e+00,  1.349004176895277e+00,  6.719513128291327e+01
Hg2Na1      ,  1.620000000000000e+00,  4.152556355274767e+00,  1.741413096786558e+04,  1.089012297495142e+01,  9.900058211318250e+01,  8.328142094303909e+01
Ga2Y1       ,  1.680000000000000e+00,  2.137103462409751e+00, -1.037475430952627e+04,  2.353843843192106e-01,  4.568235386758607e+01,  6.587203569811302e+01
Be2Nb1      ,  2.150000000000000e+00,  2.681692773654215e+00,  1.958780125701610e+04,  1.335360261605617e+01,  1.087791443077213e+02,  7.832356086550890e+01
Ge1Mo3      ,  2.179200000000000e+00,  2.942674194549539e-01,  1.156480457413572e+04,  1.747025138351202e+00,  9.170895918783938e+01,  6.714626142454796e+01
B1Hf1       ,  3.100000000000000e+00,  2.438970761789307e+00,  1.150418031470653e+04,  1.200430296807002e+01,  3.971347212763514e+01,  6.682158019356780e+01
B1Zr1       ,  3.100000000000000e+00,  2.576462687354338e+00,  1.915652349128302e+04,  1.400917499934753e+01,  4.039445091252857e+01,  6.807838324984009e+01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.617018070856475e+00,  6.666938440279986e+04,  2.191722213308831e+01,  3.948570321641090e+01,  7.680266569279037e+01
B1Ta1       ,  4.000000000000000e+00,  2.403236016473782e+00,  1.046839864003253e+04,  6.920767390972469e+00,  5.749526755866262e+01,  7.001167156445034e+01
Sn1V3       ,  4.462500000000000e+00,  4.625356644398170e+00, -3.527914947786754e+03,  6.808163607503356e-02,  2.456942190899962e+01,  7.418651730486727e+01
B2Nb1       ,  4.597500000000000e+00,  2.664918032289546e+00,  3.176147931978504e+04,  4.544022006884592e+00,  2.355032373204682e+01,  6.947249091117607e+01
Fe1Li1P1    ,  4.965000000000000e+00,  2.788939966682880e+00,  1.366405727259011e+04,  6.654462682504679e+01,  8.182707146920959e+01,  6.410738842868392e+01
Ga1Si1Sr1   ,  5.000000000000000e+00,  5.227920392152287e+00, -2.918046665123426e+04,  2.348230485231255e-02,  8.127578232670757e+01,  8.144701574384226e+01
