# c0 + a0 * (range_EA - wtd_mean_IP) + a1 * ln(lambda3) + a2 * (w_log / density)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.79394742257958; Max AE: 12.2942950544442
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.492619388212665e+00,  1.574985479644466e+00,  1.011449608723133e-01, -7.164419668153174e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               28|21|sub; (range_EA - wtd_mean_IP); $\left(range_{EA} - wtd_{mean, IP}\right)$; (range_EA - wtd_mean_IP); (newdata$range_EA - newdata$wtd_mean_IP); range_EA,wtd_mean_IP
# 1;  1; Unitless;                                         7|log; ln(lambda3); $\left(\ln{ lambda3 }\right)$; log(lambda3); log(newdata$lambda3); lambda3
# 2;  1; K * cm^3 * g^-1;                                  4|2|div; (w_log / density); $\left(\frac{ w_{log} }{ density } \right)$; (w_log ./ density); (newdata$w_log / newdata$density); w_log,density
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
Rh1V3       ,  1.900000000000000e-01,  2.541849212947685e+00, -6.312300000000000e+00, -2.273026290752501e+00,  3.820646017699115e+01
B1Mo1       ,  2.500000000000000e-01,  4.674810261375833e+00, -7.226000000000000e+00, -1.966112856372833e+00,  4.103181606519208e+01
Cr3Ir1      ,  2.560000000000000e-01,  5.443501279642910e+00, -6.451300000000000e+00,  1.282599124781125e+00,  9.476601529311809e+00
Al1Os1      ,  3.900000000000000e-01,  1.297404655382366e+00, -6.684000000000000e+00, -1.807888851157939e+00,  1.317470500373413e+01
Al1Mo3      ,  5.800000000000000e-01,  9.240380405866934e-01, -6.510500000000000e+00, -3.244193632852491e+00,  3.440919860627178e+01
Sb1V3       ,  6.500000000000000e-01,  3.706291110576224e+00, -6.674500000000000e+00, -5.905905922348531e-01,  1.817583657587549e+01
Nb3Os1      ,  6.633333330000000e-01,  2.493160963158227e+00, -7.037300000000000e+00, -1.624551550244149e+00,  1.692833037300178e+01
Ti1O1       ,  7.200000000000000e-01,  6.324375042582610e+00, -8.841000000000001e+00, -6.214608098422191e+00,  9.966353369763205e+01
Ga1Mo3      ,  7.600000000000000e-01,  9.048225205738322e-01, -6.372800000000001e+00, -2.688247573806030e+00,  2.759433808553971e+01
B2Ru1       ,  8.000000000000000e-01,  3.904295613325429e+00, -7.212700000000000e+00, -2.956511560400710e+00,  4.903222222222222e+01
La1Se1      ,  1.020000000000000e+00, -8.666961448666795e-01, -6.143500000000000e+00, -2.995732273553991e+00,  1.825153846153846e+01
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.820904359773137e+00, -6.291300000000001e+00, -9.702190738997107e-01,  2.098857526881720e+01
Co1Si2      ,  1.306666667000000e+00,  5.297336425882579e+00, -7.337700000000000e+00, -3.352407217492723e+00,  6.712500000000000e+01
Nb1O1       ,  1.380000000000000e+00,  8.144272712004831e+00, -9.620500000000000e+00, -2.322787800311565e+00,  4.555149929278642e+01
Cr1         ,  1.550000000000000e+00,  4.612563132626803e+00, -6.767000000000000e+00, -2.396895772465287e+00,  5.389792424242425e+01
Hg2Na1      ,  1.620000000000000e+00,  3.282381359425723e+00, -8.123699999999999e+00, -1.456716825416436e+00,  6.085491024287223e+00
Ga2Y1       ,  1.680000000000000e+00,  2.987754342640479e+00, -6.064700000000000e+00,  4.656190309279115e-01,  3.623927392739274e+00
Be2Nb1      ,  2.150000000000000e+00,  6.799604639885239e+00, -7.575299999999999e+00, -2.292634762140878e+00,  6.196899047619048e+01
Ge1Mo3      ,  2.179200000000000e+00,  1.875083442928729e+00, -6.690000000000000e+00, -2.385966701933097e+00,  2.779913393756294e+01
B1Zr1       ,  3.100000000000000e+00,  7.152837642994879e+00, -7.317000000000000e+00, -2.476938480138823e+00,  7.214302447552447e+01
C1In1Ti2    ,  3.100000000000000e+00,  3.854659479845149e-01, -6.491500000000000e+00, -4.017383521085972e+00,  4.140460912052117e+01
Pt0.25V0.75 ,  3.102500000000000e+00,  2.220946204866356e+00, -5.706500000000000e+00, -6.443570163905132e-01,  1.861275403608737e+01
