# c0 + a0 * ((wtd_std_at_rad * w_log) * (lambda * V_molar)) + a1 * ((exp(6.080960e-01*mean_at_rad)) * (|std_IP - wtd_mean_IP|)) + a2 * ((range_EA - wtd_std_IP) / (wtd_range_PE + lambda3)) + a3 * ((w_log / wtd_mean_at_mass) * (mean_ThermalCond * lambda4w_low))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.6730111611358; Max AE: 4.10905811627188
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  2.382173696937165e-03,  1.154297861660510e+00, -1.572192653486819e+00,  3.143638310839254e-05, -1.737813808031403e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * K * cm^3 * mol^-1;                           19|4|mult|5|3|mult|mult; ((wtd_std_at_rad * w_log) * (lambda * V_molar)); $\left(\left(wtd_{std, at, rad} w_{log}\right) \left(lambda V_{molar}\right)\right)$; ((wtd_std_at_rad .* w_log) .* (lambda .* V_molar)); ((newdata$wtd_std_at_rad * newdata$w_log) * (newdata$lambda * newdata$V_molar)); wtd_std_at_rad,w_log,lambda,V_molar
# 1;  2; eV;                                               14|exp:6.0809599027287e-01,0.0000000000000e+00|24|21|abd|mult; ((exp(6.080960e-01*mean_at_rad)) * (|std_IP - wtd_mean_IP|)); $\left(\left(\exp{ \left(6.081e-01mean_{at, rad} \right)}\right) \left(\left|std_{IP} - wtd_{mean, IP}\right|\right)\right)$; (exp(6.080960e-01.*mean_at_rad) .* abs(std_IP - wtd_mean_IP)); (exp(6.080960e-01*newdata$mean_at_rad) * abs(newdata$std_IP - newdata$wtd_mean_IP)); mean_at_rad,std_IP,wtd_mean_IP
# 2;  2; eV;                                               28|25|sub|35|7|add|div; ((range_EA - wtd_std_IP) / (wtd_range_PE + lambda3)); $\left(\frac{ \left(range_{EA} - wtd_{std, IP}\right) }{ \left(wtd_{range, PE} + lambda3\right) } \right)$; ((range_EA - wtd_std_IP) ./ (wtd_range_PE + lambda3)); ((newdata$range_EA - newdata$wtd_std_IP) / (newdata$wtd_range_PE + newdata$lambda3)); range_EA,wtd_std_IP,wtd_range_PE,lambda3
# 3;  2; K^2 * W * g^-1 * mK^-1 * mol;                     4|9|div|38|6|mult|mult; ((w_log / wtd_mean_at_mass) * (mean_ThermalCond * lambda4w_low)); $\left(\left(\frac{ w_{log} }{ wtd_{mean, at, mass} } \right) \left(mean_{ThermalCond} lambda4w_{low}\right)\right)$; ((w_log ./ wtd_mean_at_mass) .* (mean_ThermalCond .* lambda4w_low)); ((newdata$w_log / newdata$wtd_mean_at_mass) * (newdata$mean_ThermalCond * newdata$lambda4w_low)); w_log,wtd_mean_at_mass,mean_ThermalCond,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01,  1.195201026004718e+00,  1.992061139559422e+02,  1.610485060887532e+01,  4.370615486432826e-01,  6.239454342419740e+03
B1Mo1       ,  2.500000000000000e-01,  2.896436511360589e+00,  7.969549901400812e+02,  1.462308751901829e+01, -6.700000000000000e-01,  1.410218354567238e+04
Cr3Ir1      ,  2.560000000000000e-01,  2.478520583033628e+00,  3.997366405934248e+01,  1.448722686903814e+01, -5.394094396651941e-03,  9.639718697607504e+04
Al1Os1      ,  3.900000000000000e-01,  1.038143588042729e+00,  1.801547520466986e+02,  1.339860499306022e+01, -1.520697167755991e+00,  4.145252593344922e+03
Al1Mo3      ,  5.800000000000000e-01,  6.927680392289686e-01,  4.783186714215838e+02,  1.445024620810080e+01, -1.052128929566255e-01,  2.740923648701083e+03
Sb1V3       ,  6.500000000000000e-01,  1.120244263283959e+00,  2.266165265521327e+02,  1.524109114378617e+01, -1.611550632911392e-01,  3.576005901912126e+03
Nb3Os1      ,  6.633333330000000e-01,  3.084833960791618e+00,  3.654989458336617e+02,  1.600418189762544e+01, -6.613931523022433e-01,  2.508547775345389e+03
Ti1O1       ,  7.200000000000000e-01,  2.500244852642498e+00,  3.712578056932297e+02,  1.357432680692888e+01, -2.114495798319328e+00,  2.453166394821690e+01
Ga1Mo3      ,  7.600000000000000e-01,  6.352170023227266e-01,  5.096295654368694e+02,  1.451693037132367e+01,  1.133144475920681e-02,  1.917601817424796e+03
B2Ru1       ,  8.000000000000000e-01,  8.039943121531137e-01,  5.989738802234888e+02,  1.512734626755890e+01,  5.448651834389273e-01,  4.785606493906197e+03
La1Se1      ,  1.020000000000000e+00,  2.685179806865587e+00,  6.360493637886982e+02,  1.507274191740726e+01, -7.309677419354839e-01,  1.533078332026782e+01
Co1Si2      ,  1.306666667000000e+00,  5.435961385586023e-01,  1.637110386167850e+02,  1.629351989530090e+01,  8.998518518518517e-01,  4.418809407611471e+03
Nb1O1       ,  1.380000000000000e+00,  5.489058116271877e+00,  1.122540304520387e+03,  1.360157151897390e+01, -2.810903732809430e+00,  2.340062188332126e+03
Cr1         ,  1.550000000000000e+00,  1.103937614278167e+00,  0.000000000000000e+00,  1.575741871237651e+01,  0.000000000000000e+00,  9.330620784054958e+03
Hg2Na1      ,  1.620000000000000e+00,  2.553195055384005e+00,  2.325138230183878e+02,  1.490230153668618e+01, -1.378890392422192e+00,  2.503048698532371e+02
Ga2Y1       ,  1.680000000000000e+00,  1.133444123320302e+00,  2.827899446187000e+02,  1.539669911794906e+01, -3.627246134559130e-02,  2.711275672416126e+02
Be2Nb1      ,  2.150000000000000e+00,  4.194144498917078e+00,  9.367135297435132e+02,  1.584257954225747e+01, -3.425036627055184e-01,  1.639281510922538e+04
