# c0 + a0 * (|(|wtd_range_EA - range_IP|) - (range_PE * wtd_range_IP)|) + a1 * ((lambda4w_low * w_log) * sqrt(w_log))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.30161177464404; Max AE: 10.3296269966496
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.517619843514111e+00,  6.383439969336524e-06,  6.746002905390530e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               29|22|abd|34|23|mult|abd; (|(|wtd_range_EA - range_IP|) - (range_PE * wtd_range_IP)|); $\left(\left|\left(\left|wtd_{range, EA} - range_{IP}\right|\right) - \left(range_{PE} wtd_{range, IP}\right)\right|\right)$; abs(abs(wtd_range_EA - range_IP) - (range_PE .* wtd_range_IP)); abs(abs(newdata$wtd_range_EA - newdata$range_IP) - (newdata$range_PE * newdata$wtd_range_IP)); wtd_range_EA,range_IP,range_PE,wtd_range_IP
# 1;  2; K^2.5;                                            6|4|mult|4|sqrt|mult; ((lambda4w_low * w_log) * sqrt(w_log)); $\left(\left(lambda4w_{low} w_{log}\right) \left(\sqrt{ w_{log} }\right)\right)$; ((lambda4w_low .* w_log) .* sqrt(w_log)); ((newdata$lambda4w_low * newdata$w_log) * sqrt(newdata$w_log)); lambda4w_low,w_log,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01,  4.872494138389015e+00,  1.473120000000000e+00,  7.662603648222181e+04
B1Mo1       ,  2.500000000000000e-01,  4.025174750302117e+00,  8.991400000000001e-01,  1.702658376810509e+05
Cr3Ir1      ,  2.560000000000000e-01,  7.105628387453438e+00,  7.125380000000003e-01,  7.264309386680886e+05
Al1Os1      ,  3.900000000000000e-01,  4.899262144796379e+00,  1.583870000000000e+00,  3.713974187107020e+04
Al1Mo3      ,  5.800000000000000e-01,  4.441015997085174e+00,  1.445675000000000e+00,  1.985694858614497e+04
Sb1V3       ,  6.500000000000000e-01,  2.733609069525301e+00,  5.499099999999999e-01,  1.056709946485975e+05
Nb3Os1      ,  6.633333330000000e-01,  1.521550975842848e+00,  1.903799999999998e-01,  5.759374588961495e+04
Ti1O1       ,  7.200000000000000e-01,  1.570164559423218e+00,  3.514999999999997e-01,  1.663819811884160e+03
Ga1Mo3      ,  7.600000000000000e-01,  2.722508952341593e+00,  7.282549999999999e-01,  3.359308205203647e+04
B2Ru1       ,  8.000000000000000e-01,  1.704688744541472e+00,  2.791720000000000e-01,  5.126381521888263e+04
La1Se1      ,  1.020000000000000e+00,  1.667497503916647e+00,  3.876249999999999e-01,  2.663896209116214e+03
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.381149755113580e+00,  4.659149999999999e-01,  8.358386978598098e+04
