# c0 + a0 * ((wtd_range_EA - std_IP) / (exp(1.181490e+00*range_IP))) + a1 * ((lambda3 * w_log) * (wtd_range_PE * w_log))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.09671164669215; Max AE: 11.2712136537343
# Coefficients
# Task   a0                      a1                      c0
# all ,  3.946685168265942e+01,  1.549223980957736e-04,  5.144558966167627e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               29|24|sub|22|exp:1.1814903758315e+00,0.0000000000000e+00|div; ((wtd_range_EA - std_IP) / (exp(1.181490e+00*range_IP))); $\left(\frac{ \left(wtd_{range, EA} - std_{IP}\right) }{ \left(\exp{ \left(1.181e+00range_{IP} \right)}\right) } \right)$; ((wtd_range_EA - std_IP) ./ exp(1.181490e+00.*range_IP)); ((newdata$wtd_range_EA - newdata$std_IP) / exp(1.181490e+00*newdata$range_IP)); wtd_range_EA,std_IP,range_IP
# 1;  2; K^2;                                              7|4|mult|35|4|mult|mult; ((lambda3 * w_log) * (wtd_range_PE * w_log)); $\left(\left(lambda3 w_{log}\right) \left(wtd_{range, PE} w_{log}\right)\right)$; ((lambda3 .* w_log) .* (wtd_range_PE .* w_log)); ((newdata$lambda3 * newdata$w_log) * (newdata$wtd_range_PE * newdata$w_log)); lambda3,w_log,wtd_range_PE,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01,  1.897161014515663e+00, -1.063766075263153e-01,  6.138246320623778e+03
B1Mo1       ,  2.500000000000000e-01,  1.807953837134888e+00, -8.863823567183102e-02,  1.043535173913876e+03
Sb1V3       ,  6.500000000000000e-01,  2.885213506644772e+00, -8.756793243336480e-02,  7.724416589795497e+03
Nb3Os1      ,  6.633333330000000e-01,  3.571968539601302e+00, -5.810861154239517e-02,  4.652481084220450e+03
Ti1O1       ,  7.200000000000000e-01,  5.197671281026569e+00, -8.870692613842916e-04,  5.688147544408959e+02
Ga1Mo3      ,  7.600000000000000e-01,  5.375022811711985e+00, -1.704344043120613e-02,  5.829465540849055e+03
B2Ru1       ,  8.000000000000000e-01,  1.883035715585340e+00, -1.002168333067401e-01,  4.477852487228912e+03
Al1Nb1Ni2   ,  1.075000000000000e+00,  4.776670664804874e+00, -2.945524855014416e-02,  5.129133257738626e+03
Nb1O1       ,  1.380000000000000e+00,  6.555700658403278e+00, -9.511206587588733e-04,  9.351000552622632e+03
Cr1         ,  1.550000000000000e+00,  5.144558966167627e+00,  0.000000000000000e+00,  0.000000000000000e+00
Hg2Na1      ,  1.620000000000000e+00,  5.081296924588155e+00, -4.711279567836314e-03,  7.918630996405532e+02
Ga2Y1       ,  1.680000000000000e+00,  4.895069658076164e+00, -8.734125497334032e-03,  6.146246679623999e+02
Be2Nb1      ,  2.150000000000000e+00,  4.116502326699353e+00, -4.758841765262732e-02,  5.487317471776289e+03
