# c0 + a0 * ((wtd_range_EA - std_IP) / (exp(3.515390e+00*std_IP))) + a1 * ((lambda3 * w_log) * (wtd_range_PE * w_log))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.17913663296049; Max AE: 11.2487619966282
# Coefficients
# Task   a0                      a1                      c0
# all ,  5.996824758196421e+01,  1.558809160535251e-04,  4.633787352248712e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               29|24|sub|24|exp:3.5153902955185e+00,0.0000000000000e+00|div; ((wtd_range_EA - std_IP) / (exp(3.515390e+00*std_IP))); $\left(\frac{ \left(wtd_{range, EA} - std_{IP}\right) }{ \left(\exp{ \left(3.515e+00std_{IP} \right)}\right) } \right)$; ((wtd_range_EA - std_IP) ./ exp(3.515390e+00.*std_IP)); ((newdata$wtd_range_EA - newdata$std_IP) / exp(3.515390e+00*newdata$std_IP)); wtd_range_EA,std_IP,std_IP
# 1;  2; K^2;                                              7|4|mult|35|4|mult|mult; ((lambda3 * w_log) * (wtd_range_PE * w_log)); $\left(\left(lambda3 w_{log}\right) \left(wtd_{range, PE} w_{log}\right)\right)$; ((lambda3 .* w_log) .* (wtd_range_PE .* w_log)); ((newdata$lambda3 * newdata$w_log) * (newdata$wtd_range_PE * newdata$w_log)); lambda3,w_log,wtd_range_PE,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01,  1.360582036765882e+00, -7.053800878743792e-02,  6.138246320623778e+03
B1Mo1       ,  2.500000000000000e-01,  2.143377037442227e+00, -4.424137173633506e-02,  1.043535173913876e+03
Sb1V3       ,  6.500000000000000e-01,  4.074654232763701e+00, -2.940259761753783e-02,  7.724416589795497e+03
Nb3Os1      ,  6.633333330000000e-01,  4.220237140374785e+00, -1.898976993862338e-02,  4.652481084220450e+03
Ti1O1       ,  7.200000000000000e-01,  4.721391230802283e+00, -1.773415893107965e-05,  5.688147544408959e+02
Ga1Mo3      ,  7.600000000000000e-01,  4.998032870150449e+00, -9.079086561002337e-03,  5.829465540849055e+03
B2Ru1       ,  8.000000000000000e-01,  1.829245730923557e+00, -5.840679876795943e-02,  4.477852487228912e+03
Al1Nb1Ni2   ,  1.075000000000000e+00,  4.274077528667468e+00, -1.933096031818663e-02,  5.129133257738626e+03
Nb1O1       ,  1.380000000000000e+00,  6.090334054114098e+00, -1.827350870892790e-05,  9.351000552622632e+03
Cr1         ,  1.550000000000000e+00,  4.633787352248712e+00,  0.000000000000000e+00,  0.000000000000000e+00
Hg2Na1      ,  1.620000000000000e+00,  4.743887717282011e+00, -2.223840259701818e-04,  7.918630996405532e+02
Ga2Y1       ,  1.680000000000000e+00,  4.267653120428406e+00, -7.703118011911197e-03,  6.146246679623999e+02
Be2Nb1      ,  2.150000000000000e+00,  4.837825974362319e+00, -1.086123871092215e-02,  5.487317471776289e+03
Ge1Mo3      ,  2.179200000000000e+00,  3.217448487825436e+00, -4.398237597639738e-02,  7.834231272755856e+03
B1Hf1       ,  3.100000000000000e+00,  2.400179861560840e+00, -4.490305359806287e-02,  2.945517362172237e+03
B1Zr1       ,  3.100000000000000e+00,  2.987097230751748e+00, -4.065894298840246e-02,  5.077949617519089e+03
C1In1Ti2    ,  3.100000000000000e+00,  4.662789437017389e+00, -4.991679047056099e-04,  3.780854690563665e+02
Pt0.25V0.75 ,  3.102500000000000e+00,  5.556820134825432e+00, -1.881296172733716e-02,  1.315884702966053e+04
Sn1         ,  3.740729412000000e+00,  4.633787352248712e+00,  0.000000000000000e+00,  0.000000000000000e+00
B1Ta1       ,  4.000000000000000e+00, -6.009606680462306e-01, -8.859859798769013e-02,  5.026570360856101e+02
Sn1V3       ,  4.462500000000000e+00,  2.252987686091390e+00, -7.172815977598342e-02,  1.232102316635126e+04
B2Nb1       ,  4.597500000000000e+00,  7.508212643765625e+00, -4.389629241789542e-02,  3.532702503026530e+04
