# FEAT_ID     Score                   Feature Expression
0             0.268167814280314332    (mean_PE * lambda)
1             0.268321458503484711    (wtd_mean_PE * lambda)
2             0.269554892901269105    (mean_IP * lambda)
3             0.269559093213420808    (wtd_range_PE * lambda)
4             0.270617070781123958    (wtd_mean_IP * lambda)
5             0.270863210135496302    ((mean_IP-5.867980e+00) * (lambda3+1.156443e+02))
6             0.270894411311538574    ((lambda3+1.153475e+02) * (mean_IP-5.869356e+00))
7             0.271274053932889725    ((range_IP+6.090792e+00) * (lambda+1.468457e+00))
8             0.271289605488158003    (wtd_range_IP * lambda)
9             0.271656568623180772    (mean_EA * lambda)
10            0.271744613209559283    ((lambda-1.710176e-01) * (w_log+5.939671e+01))
11            0.272854359736615926    ((lambda+1.657058e+00) * (range_IP+6.616875e+00))
12            0.27318982389884322     ((wtd_std_IP+2.725273e+00) * (lambda+1.236812e+00))
13            0.273264477923718885    ((lambda+1.243629e+00) * (wtd_std_IP+2.735938e+00))
14            0.275141306426333165    cbrt(lambda4w_low)
15            0.275385682898703354    ((wtd_range_at_rad-6.334624e-02) * (lambda-2.067316e+00))
16            0.275410386766827886    (wtd_range_at_rad * lambda)
17            0.277782504367326044    ((lambda4w_low+6.099723e+01) * (w_log-4.276088e+00))
18            0.279189753394163243    ((mean_PE+2.263562e+00) * (lambda+2.906884e+00))
19            0.279544691089932462    (mean_PE + lambda)
20            0.280451653720106553    ((lambda+3.340355e+00) * (mean_PE+2.470533e+00))
21            0.283520257271186404    (wtd_mean_PE + lambda)
22            0.287200119150799738    ((mean_at_rad-1.058577e+00) * (lambda-3.306939e+00))
23            0.289352820635202179    ((lambda3+7.104022e-01) * (w_log-4.607553e+00))
24            0.294168909273059942    (wtd_mean_EA * lambda)
25            0.29675598711259038     ((lambda-3.185215e+00) * (wtd_mean_at_rad-1.048249e+00))
26            0.35907507632510105     ((mean_IP+5.047132e+00) * (lambda+1.607498e+01))
27            0.359089946112145397    ((lambda+1.550676e+01) * (mean_IP+4.663862e+00))
28            0.359935393751339316    ((wtd_mean_IP+1.883806e+00) * (lambda+1.181755e+01))
