# c0 + a0 * (wtd_mean_PE - mean_PE) + a1 * (|range_EA - mean_EA|) + a2 * (wtd_mean_IP * density) + a3 * (exp(-1.0 * lambda)) + a4 * (w_log / density)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.99891801173871; Max AE: 12.1942605992952
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.135987673872267e+01,  7.295865873882155e+00,  7.763324784727103e-02, -1.356632429368453e+01,  1.276934000576213e-01, -3.243744601760575e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         33|32|sub; (wtd_mean_PE - mean_PE); $\left(wtd_{mean, PE} - mean_{PE}\right)$; (wtd_mean_PE - mean_PE); (newdata$wtd_mean_PE - newdata$mean_PE); wtd_mean_PE,mean_PE
# 1;  1; eV;                                               28|26|abd; (|range_EA - mean_EA|); $\left(\left|range_{EA} - mean_{EA}\right|\right)$; abs(range_EA - mean_EA); abs(newdata$range_EA - newdata$mean_EA); range_EA,mean_EA
# 2;  1; cm^-3 * eV * g;                                   21|2|mult; (wtd_mean_IP * density); $\left(wtd_{mean, IP} density\right)$; (wtd_mean_IP .* density); (newdata$wtd_mean_IP * newdata$density); wtd_mean_IP,density
# 3;  1; Unitless;                                         5|nexp; (exp(-1.0 * lambda)); $\left(\exp{ \left(-lambda \right) } \right)$; exp(-1.0 * (lambda)); exp(-1.0 * (newdata$lambda)); lambda
# 4;  1; K * cm^3 * g^-1;                                  4|2|div; (w_log / density); $\left(\frac{ w_{log} }{ density } \right)$; (w_log ./ density); (newdata$w_log / newdata$density); w_log,density
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01,  6.820685190163450e-02, -1.625000000000001e-01,  2.190000000000000e-01,  5.477121300000000e+01,  6.258152995873144e-01,  3.820646017699115e+01
B1Mo1       ,  2.500000000000000e-01,  2.289681701681030e+00,  0.000000000000000e+00,  4.249999999999998e-02,  6.610005000000000e+01,  5.946394639709921e-01,  4.103181606519208e+01
Cr3Ir1      ,  2.560000000000000e-01,  4.720361962168532e+00, -1.350000000000000e-01,  2.164999999999999e-01,  8.651303100000000e+01,  2.158006962060416e-01,  9.476601529311809e+00
Al1Os1      ,  3.900000000000000e-01,  1.957873004465009e+00,  0.000000000000000e+00,  1.114999999999999e-01,  9.832277000000001e+01,  5.783939893780083e-01,  1.317470500373413e+01
Al1Mo3      ,  5.800000000000000e-01,  2.622290360909338e+00,  1.375000000000000e-01,  2.885000000000000e-01,  5.868145500000000e+01,  7.127674990750239e-01,  3.440919860627178e+01
Sb1V3       ,  6.500000000000000e-01,  9.987578865377872e-01, -1.050000000000000e-01,  2.524999999999999e-01,  5.566234500000000e+01,  4.399474460495181e-01,  1.817583657587549e+01
Nb3Os1      ,  6.633333330000000e-01,  4.646145282607741e+00, -1.499999999999999e-01,  7.895000000000001e-01,  8.157081800000000e+01,  5.587238137077634e-01,  1.692833037300178e+01
B2Ru1       ,  8.000000000000000e-01,  1.777449707000496e+00, -2.669999999999995e-02,  1.095000000000000e-01,  6.037189200000000e+01,  6.885963697638828e-01,  4.903222222222222e+01
La1Se1      ,  1.020000000000000e+00, -1.695226222864841e+00,  0.000000000000000e+00,  2.605000000000000e-01,  4.882286500000000e+01,  6.923248479916250e-01,  1.825153846153846e+01
Al1Nb1Ni2   ,  1.075000000000000e+00,  1.239561389821320e+00,  5.079999999999996e-02,  1.150000000000000e-01,  5.212687200000001e+01,  4.849546003266664e-01,  2.098857526881720e+01
Co1Si2      ,  1.306666667000000e+00,  3.885183539989104e+00,  3.300000000000081e-03,  2.989999999999999e-01,  4.111467000000000e+01,  7.203630197053014e-01,  6.712500000000000e+01
Nb1O1       ,  1.380000000000000e+00,  6.978768779132021e+00,  0.000000000000000e+00,  6.090000000000001e-01,  7.203269500000000e+01,  6.301483570111875e-01,  4.555149929278642e+01
Cr1         ,  1.550000000000000e+00,  6.228891053183149e+00,  0.000000000000000e+00,  6.660000000000000e-01,  4.466220000000000e+01,  6.380108433087717e-01,  5.389792424242425e+01
Hg2Na1      ,  1.620000000000000e+00,  3.523178368594510e+00,  1.782999999999999e-01,  2.740000000000000e-01,  8.212099900000000e+01,  5.402625791087181e-01,  6.085491024287223e+00
Ga2Y1       ,  1.680000000000000e+00,  2.055363961375714e+00,  9.830000000000005e-02,  2.965000000000000e-01,  3.679450199999999e+01,  3.110193966805510e-01,  3.623927392739274e+00
Be2Nb1      ,  2.150000000000000e+00,  5.725403347422427e+00, -4.999999999999893e-03,  4.465000000000000e-01,  4.445857500000000e+01,  6.276955644732067e-01,  6.196899047619048e+01
Ge1Mo3      ,  2.179200000000000e+00,  3.872058073874699e+00,  3.750000000000009e-02,  4.440000000000001e-01,  7.242941999999999e+01,  6.369908421779825e-01,  2.779913393756294e+01
B1Hf1       ,  3.100000000000000e+00,  2.174661369749813e+00,  0.000000000000000e+00,  1.385000000000000e-01,  8.393265000000000e+01,  6.696500610379346e-01,  3.177363963963964e+01
B1Zr1       ,  3.100000000000000e+00,  4.928521854025218e+00,  0.000000000000000e+00,  2.025000000000000e-01,  4.270552000000000e+01,  6.451322141591939e-01,  7.214302447552447e+01
C1In1Ti2    ,  3.100000000000000e+00,  1.623675945570747e+00, -1.042000000000001e-01,  6.366999999999999e-01,  4.712757000000000e+01,  7.709744845001153e-01,  4.140460912052117e+01
Sn1         ,  3.740729412000000e+00,  3.563548197043313e+00,  0.000000000000000e+00,  1.200000000000000e+00,  4.083264000000000e+01,  7.756918020464760e-01,  1.947007194244605e+01
B1Ta1       ,  4.000000000000000e+00,  3.179390571011410e+00,  0.000000000000000e+00,  2.545000000000000e-01,  1.144491600000000e+02,  7.957262972044846e-01,  2.785569306930693e+01
Sn1V3       ,  4.462500000000000e+00,  2.762493545108015e+00, -8.250000000000002e-02,  1.875000000000000e-01,  5.164729500000000e+01,  1.682675511498090e-01,  7.277650200267022e+00
B2Nb1       ,  4.597500000000000e+00,  4.744345376507409e+00,  7.329999999999992e-02,  3.100000000000003e-02,  5.278230000000001e+01,  4.964859966616952e-01,  5.205983775811210e+01
Al1Si1Sr1   ,  4.750000000000000e+00,  5.781461306246582e+00,  0.000000000000000e+00,  7.763000000000000e-01,  2.095687000000000e+01,  5.293528797738646e-01,  4.695996845425868e+01
Fe1Li1P1    ,  4.965000000000000e+00,  2.495073981659101e+00,  0.000000000000000e+00,  7.399999999999995e-02,  3.147019000000000e+01,  8.243170942328206e-01,  8.629556675062972e+01
Ga1Si1Sr1   ,  5.000000000000000e+00,  8.143298994573705e+00,  0.000000000000000e+00,  8.233000000000000e-01,  2.844579000000000e+01,  4.051836300892681e-02,  6.283279069767442e+00
Os0.5V0.5   ,  5.150000000000000e+00,  6.903636329180996e+00,  0.000000000000000e+00,  2.375000000000000e-01,  1.126785700000000e+02,  3.570426630502986e-01,  1.246263193968472e+01
Ir1Ti3      ,  5.185000000000000e+00,  6.907152326172747e+00, -1.650000000000000e-01,  6.640000000000000e-01,  6.597232000000000e+01,  1.247055400821912e-01,  6.512488789237668e+00
Ir1Mo1      ,  5.325000000000000e+00,  5.485760717804888e+00,  0.000000000000000e+00,  3.365000000000000e-01,  1.309123200000000e+02,  6.343845263235675e-01,  1.408212121212121e+01
La1         ,  5.343000000000000e+00,  6.040434025431501e+00,  0.000000000000000e+00,  5.000000000000000e-01,  3.424278000000000e+01,  3.704951565740938e-02,  4.394299674267102e+00
N1Ti1       ,  5.387500000000000e+00,  6.639716390290596e+00,  0.000000000000000e+00,  3.950000000000000e-02,  5.757058999999999e+01,  4.987252181162607e-01,  7.026502782931355e+01
B6Y1        ,  5.692857143000000e+00,  5.566924518043399e+00,  2.929000000000002e-01,  2.620000000000000e-01,  2.984261100000000e+01,  5.244527190571577e-01,  4.268498659517427e+01
Nb1S2       ,  5.821818182000000e+00,  6.663244178610706e+00,  1.633000000000000e-01,  3.010000000000002e-01,  3.837914300000001e+01,  7.299348466406612e-01,  7.721252983293556e+01
Ge1V3       ,  6.680000000000000e+00,  3.434735930525075e+00, -9.499999999999997e-02,  1.125000000000000e-01,  4.945253500000000e+01,  1.210804594787210e-01,  1.426048364153627e+01
Sn1Ta3      ,  6.692500000000000e+00,  7.492503432064900e+00, -1.150000000000000e-01,  1.170000000000000e-01,  1.145191950000000e+02,  6.493295519138939e-02,  2.036533513879486e+00
Al1Ge1Sr1   ,  6.700000000000000e+00,  7.510079339844986e+00,  0.000000000000000e+00,  7.530000000000001e-01,  2.656489000000000e+01,  1.753572751390575e-03,  2.366117936117936e+00
Ir1Mo3      ,  8.031000000000001e+00,  9.513208875480306e+00, -1.000000000000023e-02,  3.365000000000000e-01,  9.667162000000000e+01,  1.890176452808678e-02,  1.939167321288295e+00
N1V1        ,  8.528333333499999e+00,  7.464390964683296e+00,  0.000000000000000e+00,  2.625000000000000e-01,  6.713840000000000e+01,  9.035715319777113e-01,  1.011765134706815e+02
C1Ta1       ,  8.637499999999999e+00,  8.291819277497627e+00,  0.000000000000000e+00,  1.485000000000000e-01,  1.375927500000000e+02,  3.633459021325556e-01,  1.394162839248434e+01
Re3W1       ,  8.733333332999999e+00,  1.197427872898773e+01, -1.149999999999998e-01,  1.825000000000001e-01,  1.581000000000000e+02,  4.499450503478717e-03,  4.758900000000000e-01
Hf1N1       ,  8.830000000000000e+00,  6.472972317298757e+00,  0.000000000000000e+00,  0.000000000000000e+00,  1.486586400000000e+02,  5.399925153407321e-01,  2.022193247126437e+01
Nb0.75Si0.25,  9.000000000000000e+00,  6.955720935051920e+00, -7.499999999999996e-02,  6.470000000000000e-01,  5.266509300000001e+01,  2.286872338542624e-01,  1.899506072874494e+01
Ta1B2       ,  9.500000000000000e+00,  7.627467227845557e+00,  9.000000000000008e-02,  2.545000000000000e-01,  1.001477400000000e+02,  4.130857832343970e-01,  2.272565607171964e+01
Nb3Pt1      ,  9.516428571000001e+00,  6.197222506489625e+00, -1.699999999999999e-01,  2.754999999999999e-01,  8.212254600000000e+01,  1.561067974373880e-02,  2.185739750445633e+00
N1Zr1       ,  9.850000000000000e+00,  6.099321387408440e+00,  0.000000000000000e+00,  2.130000000000000e-01,  7.652232000000001e+01,  5.468941529206810e-01,  4.971551867219917e+01
C1I1Y1      ,  9.917500000000000e+00,  9.191847938341235e+00,  0.000000000000000e+00,  1.209000000000000e+00,  4.617412800000000e+01,  4.075058461596823e-01,  2.066848790322581e+01
C1Nb1       ,  1.002500000000000e+01,  9.702430219884091e+00,  0.000000000000000e+00,  7.080000000000001e-01,  6.856229499999999e+01,  4.526210671115389e-01,  4.447388961892247e+01
Nb1Ru3      ,  1.350000000000000e+01,  9.512076235822210e+00,  1.499999999999999e-01,  8.145000000000000e-01,  8.090181000000000e+01,  4.770662065149723e-01,  1.864897504456328e+01
Mo1Ni1P1    ,  1.550000000000000e+01,  3.305739400704844e+00,  0.000000000000000e+00,  4.727000000000001e-01,  7.120136100000001e+01,  6.965609364989249e-01,  3.213585596221959e+01
