# c0 + a0 * ((((bulk_mod-5.314135e-01) * (wtd_mean_at_mass+1.945000e+02))-2.766949e+04) * (((wtd_mean_at_rad-1.358080e+00) / (density-8.727885e+00))-1.914178e+00)) + a1 * ((((density-6.328121e-01) / (lambda3-4.771726e-02))+2.567726e+01) * (((mean_IP-7.226312e+00) / (wtd_mean_IP-7.208854e+00))-3.670260e-01)) + a2 * ((((wtd_mean_IP-7.304455e+00) / (wtd_mean_at_rad-1.014773e+00))+5.031340e+00) * ((cbrt(lambda4w_low-3.439963e+01))+3.224828e+00))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.82029892619386; Max AE: 5.83670185874645
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.452363532550512e-05, -1.940528405867701e-03,  7.186359452119927e-02,  2.725176021610191e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * GPa * cm^3 * mol^-1;                         1|9|mult|15|2|div|mult:-2.7669486026152e+04,-1.9141781735626e+00,-1.3580803726487e+00,-8.7278847616337e+00,-5.3141352645374e-01,1.9449999041378e+02; ((((bulk_mod-5.314135e-01) * (wtd_mean_at_mass+1.945000e+02))-2.766949e+04) * (((wtd_mean_at_rad-1.358080e+00) / (density-8.727885e+00))-1.914178e+00)); $\left(\left(\left(\left(bulk_{mod}-5.314e-01\right) * \left(wtd_{mean, at, mass}+1.945e+02\right)\right)-2.767e+04\right) * \left(\left(\frac{ wtd_{mean, at, rad} -1.358e+00 }{ density-8.728e+00 } \right)-1.914e+00\right)\right)$; ((((bulk_mod-5.314135e-01) .* (wtd_mean_at_mass+1.945000e+02))-2.766949e+04) .* (((wtd_mean_at_rad-1.358080e+00) ./ (density-8.727885e+00))-1.914178e+00)); ((((newdata$bulk_mod-5.314135e-01) * (newdata$wtd_mean_at_mass+1.945000e+02))-2.766949e+04) * (((newdata$wtd_mean_at_rad-1.358080e+00) / (newdata$density-8.727885e+00))-1.914178e+00)); bulk_mod,wtd_mean_at_mass,wtd_mean_at_rad,density
# 1;  2; cm^-3 * g;                                        2|7|div|20|21|div|mult:2.5677256733396e+01,-3.6702600718524e-01,-7.2263123649141e+00,-7.2088544260235e+00,-6.3281214009228e-01,-4.7717260953566e-02; ((((density-6.328121e-01) / (lambda3-4.771726e-02))+2.567726e+01) * (((mean_IP-7.226312e+00) / (wtd_mean_IP-7.208854e+00))-3.670260e-01)); $\left(\left(\left(\frac{ density -6.328e-01 }{ lambda3-4.772e-02 } \right)+2.568e+01\right) * \left(\left(\frac{ mean_{IP} -7.226e+00 }{ wtd_{mean, IP}-7.209e+00 } \right)-3.670e-01\right)\right)$; ((((density-6.328121e-01) ./ (lambda3-4.771726e-02))+2.567726e+01) .* (((mean_IP-7.226312e+00) ./ (wtd_mean_IP-7.208854e+00))-3.670260e-01)); ((((newdata$density-6.328121e-01) / (newdata$lambda3-4.771726e-02))+2.567726e+01) * (((newdata$mean_IP-7.226312e+00) / (newdata$wtd_mean_IP-7.208854e+00))-3.670260e-01)); density,lambda3,mean_IP,wtd_mean_IP
# 2;  2; AA^-1 * K^0.333333 * eV;                          21|15|div|6|cbrt|mult:5.0313401885275e+00,3.2248279380399e+00,1.0000000000000e+00,-3.4399629136646e+01,-7.3044551379223e+00,-1.0147734239546e+00; ((((wtd_mean_IP-7.304455e+00) / (wtd_mean_at_rad-1.014773e+00))+5.031340e+00) * ((cbrt(lambda4w_low-3.439963e+01))+3.224828e+00)); $\left(\left(\left(\frac{ wtd_{mean, IP} -7.304e+00 }{ wtd_{mean, at, rad}-1.015e+00 } \right)+5.031e+00\right) * \left(\left(\sqrt[3]{lambda4w_{low}-3.440e+01 }\right)+3.225e+00\right)\right)$; ((((wtd_mean_IP-7.304455e+00) ./ (wtd_mean_at_rad-1.014773e+00))+5.031340e+00) .* (nthroot(lambda4w_low-3.439963e+01, 3)+3.224828e+00)); ((((newdata$wtd_mean_IP-7.304455e+00) / (newdata$wtd_mean_at_rad-1.014773e+00))+5.031340e+00) * (nthroot(newdata$lambda4w_low-3.439963e+01, 3)+3.224828e+00)); wtd_mean_IP,wtd_mean_at_rad,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
Rh1V3       ,  1.900000000000000e-01,  1.390755063765457e+00, -6.003052553292588e+04,  1.071043978580677e+01,  2.205980266128942e+00
B1Mo1       ,  2.500000000000000e-01,  2.388702207399660e+00, -3.333785042319724e+04,  6.681340751077671e+01,  8.498667389807588e+00
Cr3Ir1      ,  2.560000000000000e-01,  4.380952099411169e+00, -9.667435808208333e+04,  1.334547681946325e+02,  5.963458379540496e+01
Al1Os1      ,  3.900000000000000e-01,  7.808567210653031e-01, -8.262488208587190e+04,  6.807625098864204e+01,  2.978518911786302e+00
Al1Mo3      ,  5.800000000000000e-01,  2.887980612217242e+00, -9.165816737095760e+04, -1.227660065000797e+03,  3.936183977653376e-01
Sb1V3       ,  6.500000000000000e-01,  6.999861474963801e-01, -3.589892675980818e+04,  1.723910147217875e+03,  3.062021791174768e+01
Nb3Os1      ,  6.633333330000000e-01, -1.509109922426890e+00, -7.970242250585022e+04,  1.339557779283357e+03,  4.449500810341550e+00
Ti1O1       ,  7.200000000000000e-01,  1.518657549716093e+00, -5.112143237894653e+04, -5.053005411372362e+01, -7.081487171928735e-01
Ga1Mo3      ,  7.600000000000000e-01, -1.685232266422447e-01, -6.844350672689494e+04,  6.597495517650678e+02,  9.051467228806851e-01
B2Ru1       ,  8.000000000000000e-01,  2.507688034885915e-01, -6.441904384444821e+04,  6.727550224639390e+02,  5.717528536616738e+00
La1Se1      ,  1.020000000000000e+00,  6.375694514120857e-01,  3.367044209772008e+04,  1.509821075680218e+03,  2.299143508496374e-01
Al1Nb1Ni2   ,  1.075000000000000e+00,  3.248563571094879e+00, -3.530405602425645e+04,  8.146453351946316e+01,  2.153045080209014e+01
Co1Si2      ,  1.306666667000000e+00,  2.601779741947794e+00, -2.252585973407626e+04, -1.821704852886539e+02,  1.050778060008625e+00
Nb1O1       ,  1.380000000000000e+00,  2.037233881563632e+00, -6.071814943090894e+04,  9.638573929575735e+01,  1.375003415629403e+01
Cr1         ,  1.550000000000000e+00,  9.010511333990060e-01, -7.111501372132878e+04,  1.099798525505941e+02,  1.854802884473355e+00
Hg2Na1      ,  1.620000000000000e+00,  3.720155668003644e+00,  3.440205128696212e+04,  1.268250319837382e+00,  2.139850684879140e+00
Ga2Y1       ,  1.680000000000000e+00,  3.778389019678770e+00,  1.191398476497545e+04,  1.799245126491196e+01,  1.107589522194925e+01
Be2Nb1      ,  2.150000000000000e+00,  2.755486257525053e+00, -1.536052494675047e+04,  3.143447567711168e+01,  6.512416254856674e+00
Ge1Mo3      ,  2.179200000000000e+00, -1.923391363192210e-01, -7.235832510309767e+04,  6.598393399460339e+02,  1.912108669947423e+00
B1Zr1       ,  3.100000000000000e+00,  2.231539541849525e+00, -2.172438853871329e+04,  9.373978983501104e+01,  3.075677313942697e+00
C1In1Ti2    ,  3.100000000000000e+00,  2.883631985330390e+00, -8.884670573767791e+03, -1.917218599721955e+02,  5.981706850780434e-02
Pt0.25V0.75 ,  3.102500000000000e+00,  3.189009291175738e+00, -6.032737811110159e+04,  2.811918777084456e+02,  3.463423633734821e+01
Sn1         ,  3.740729412000000e+00,  3.621179233485571e+00,  3.156501414223777e+04, -6.532710092677502e+01, -6.755547154313984e-02
B1Ta1       ,  4.000000000000000e+00,  5.277503383829953e-01, -1.068707795779957e+05, -2.161662904191865e+02,  5.506981904953429e-02
Sn1V3       ,  4.462500000000000e+00,  5.341001723782357e+00, -3.059282165831545e+04,  5.691570199429766e+00,  4.699344056257394e+01
B2Nb1       ,  4.597500000000000e+00,  6.503070438381122e+00, -5.339259504170976e+04,  7.321731370417019e+00,  7.098841921768495e+01
Al1Si1Sr1   ,  4.750000000000000e+00,  3.595774122609008e+00,  2.704310879249494e+04,  2.503055258376630e+01,  3.561960167906199e+00
Fe1Li1P1    ,  4.965000000000000e+00,  3.202980779965568e+00,  1.706222886420818e+04, -3.425731057427492e+01, -9.880391422236860e-02
Ga1Si1Sr1   ,  5.000000000000000e+00,  7.554320617031101e+00,  2.749685640581056e+04,  1.708208971562889e+01,  5.827665627574986e+01
Ir1Ti3      ,  5.185000000000000e+00,  7.100264552634518e+00, -1.848216408053205e+04,  9.509107305325642e+01,  6.975528213923350e+01
La1         ,  5.343000000000000e+00,  8.056536171860703e+00,  4.086211173044596e+04,  1.662691399965138e+01,  6.069189346178099e+01
