# c0 + a0 * ((((wtd_std_IP+9.778210e-01)^6)-1.374869e+02) * (|wtd_mean_EA - (-2.766407e+01*wtd_std_IP+9.846939e+01)|-8.317959e+00)) + a1 * ((((bulk_mod-2.470548e+02) * (L_avg-6.007603e+00))-1.436849e+02) * (((wtd_std_at_rad+4.036600e+00) * (wtd_range_at_mass+2.966896e+02))-1.227079e+03)) + a2 * ((((L_avg+6.766316e+01) / (wtd_mean_at_mass-9.946284e+01))-1.025769e+00) * (((range_IP+1.219872e+01) / (lambda3-1.451651e-01))+2.344164e+01)) + a3 * ((((range_at_mass-1.534279e+02) / (lambda4w_low-5.063785e+00))+9.166404e+00) * (((lambda-8.072203e-02) / (wtd_mean_at_mass-1.395772e+01))+3.007032e-04))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.35164373766544; Max AE: 3.2864424483938
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  7.032737948184618e-05, -3.938947437954630e-05, -6.803617513817256e-04,  9.334762132812175e+00,  2.845537074697514e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^7;                                             25|sp|27|25|abd|mult:-1.3748693806724e+02,-8.3179589001620e+00,-2.7664072104297e+01,9.8469387954306e+01,1.0000000000000e+00,9.7782098184924e-01; ((((wtd_std_IP+9.778210e-01)^6)-1.374869e+02) * (|wtd_mean_EA - (-2.766407e+01*wtd_std_IP+9.846939e+01)|-8.317959e+00)); $\left(\left(\left(\left(wtd_{std, IP}+9.778e-01\right)^6\right)-1.375e+02\right) * \left(\left(\left|wtd_{mean, EA} - \left(-2.766e+01wtd_{std, IP}+9.847e+01\right)\right|\right)-8.318e+00\right)\right)$; (((wtd_std_IP+9.778210e-01).^6-1.374869e+02) .* (abs(wtd_mean_EA - (-2.766407e+01.*wtd_std_IP+9.846939e+01))-8.317959e+00)); (((newdata$wtd_std_IP+9.778210e-01)^6-1.374869e+02) * (abs(newdata$wtd_mean_EA - (-2.766407e+01*newdata$wtd_std_IP+9.846939e+01))-8.317959e+00)); wtd_std_IP,wtd_mean_EA,wtd_std_IP
# 1;  2; AA^2 * GPa * g * mol^-1;                          1|0|mult|19|11|mult|mult:-1.4368486541461e+02,-1.2270787564833e+03,4.0366002841501e+00,2.9668958861440e+02,-2.4705479998516e+02,-6.0076026449226e+00; ((((bulk_mod-2.470548e+02) * (L_avg-6.007603e+00))-1.436849e+02) * (((wtd_std_at_rad+4.036600e+00) * (wtd_range_at_mass+2.966896e+02))-1.227079e+03)); $\left(\left(\left(\left(bulk_{mod}-2.471e+02\right) * \left(L_{avg}-6.008e+00\right)\right)-1.437e+02\right) * \left(\left(\left(wtd_{std, at, rad}+4.037e+00\right) * \left(wtd_{range, at, mass}+2.967e+02\right)\right)-1.227e+03\right)\right)$; ((((bulk_mod-2.470548e+02) .* (L_avg-6.007603e+00))-1.436849e+02) .* (((wtd_std_at_rad+4.036600e+00) .* (wtd_range_at_mass+2.966896e+02))-1.227079e+03)); ((((newdata$bulk_mod-2.470548e+02) * (newdata$L_avg-6.007603e+00))-1.436849e+02) * (((newdata$wtd_std_at_rad+4.036600e+00) * (newdata$wtd_range_at_mass+2.966896e+02))-1.227079e+03)); bulk_mod,L_avg,wtd_std_at_rad,wtd_range_at_mass
# 2;  2; AA * eV * g^-1 * mol;                             0|9|div|22|7|div|mult:-1.0257691412789e+00,2.3441644298859e+01,1.2198718994774e+01,-1.4516507642080e-01,6.7663156988478e+01,-9.9462837956851e+01; ((((L_avg+6.766316e+01) / (wtd_mean_at_mass-9.946284e+01))-1.025769e+00) * (((range_IP+1.219872e+01) / (lambda3-1.451651e-01))+2.344164e+01)); $\left(\left(\left(\frac{ L_{avg} +6.766e+01 }{ wtd_{mean, at, mass}-9.946e+01 } \right)-1.026e+00\right) * \left(\left(\frac{ range_{IP} +1.220e+01 }{ lambda3-1.452e-01 } \right)+2.344e+01\right)\right)$; ((((L_avg+6.766316e+01) ./ (wtd_mean_at_mass-9.946284e+01))-1.025769e+00) .* (((range_IP+1.219872e+01) ./ (lambda3-1.451651e-01))+2.344164e+01)); ((((newdata$L_avg+6.766316e+01) / (newdata$wtd_mean_at_mass-9.946284e+01))-1.025769e+00) * (((newdata$range_IP+1.219872e+01) / (newdata$lambda3-1.451651e-01))+2.344164e+01)); L_avg,wtd_mean_at_mass,range_IP,lambda3
# 3;  2; K^-1;                                             10|6|div|5|9|div|mult:9.1664038174303e+00,3.0070317665802e-04,-8.0722026781751e-02,-1.3957718351739e+01,-1.5342790101704e+02,-5.0637846979280e+00; ((((range_at_mass-1.534279e+02) / (lambda4w_low-5.063785e+00))+9.166404e+00) * (((lambda-8.072203e-02) / (wtd_mean_at_mass-1.395772e+01))+3.007032e-04)); $\left(\left(\left(\frac{ range_{at, mass} -1.534e+02 }{ lambda4w_{low}-5.064e+00 } \right)+9.166e+00\right) * \left(\left(\frac{ lambda -8.072e-02 }{ wtd_{mean, at, mass}-1.396e+01 } \right)+3.007e-04\right)\right)$; ((((range_at_mass-1.534279e+02) ./ (lambda4w_low-5.063785e+00))+9.166404e+00) .* (((lambda-8.072203e-02) ./ (wtd_mean_at_mass-1.395772e+01))+3.007032e-04)); ((((newdata$range_at_mass-1.534279e+02) / (newdata$lambda4w_low-5.063785e+00))+9.166404e+00) * (((newdata$lambda-8.072203e-02) / (newdata$wtd_mean_at_mass-1.395772e+01))+3.007032e-04)); range_at_mass,lambda4w_low,lambda,wtd_mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01,  1.523319104167548e+00, -1.090337180530740e+04, -3.712128582980237e+03,  8.663809921643369e+02, -1.201730765824796e-02
B1Mo1       ,  2.500000000000000e-01,  4.329639759061369e-01, -8.892237716469357e+03, -5.425954569110459e+04,  6.688290737676125e+03,  6.706082959811610e-02
Sb1V3       ,  6.500000000000000e-01,  3.489404263336830e+00, -7.634364734156362e+03, -1.153387746824601e+03, -1.957868913531982e+02,  1.073551517158345e-01
Nb3Os1      ,  6.633333330000000e-01,  2.417029399959793e+00, -7.427176233093712e+03, -1.097551370764418e+04,  9.099626494603802e+02,  3.006078018725938e-02
Ti1O1       ,  7.200000000000000e-01,  2.346699073986263e+00, -3.110415485595276e+04, -2.503167317174225e+04,  2.259652372633898e+02,  9.174195813684231e-02
Ga1Mo3      ,  7.600000000000000e-01,  6.345512727486776e-01, -1.005526512873248e+04, -2.963810148144885e+04,  1.225729163841220e+03, -1.968250853787571e-01
B2Ru1       ,  8.000000000000000e-01,  1.238367402224682e+00, -1.024324677246508e+04, -3.661002900527602e+04,  2.641202957858340e+02, -2.302299074709787e-01
Al1Nb1Ni2   ,  1.075000000000000e+00,  3.961560726701129e+00, -8.765493156984725e+03, -1.640148596075269e+04, -2.364520949417410e+02,  9.915185089473459e-02
Nb1O1       ,  1.380000000000000e+00,  9.502723708658987e-01, -4.242671103918720e+04, -4.216277343852894e+04,  9.985581247062855e+02,  1.147388358890492e-02
Cr1         ,  1.550000000000000e+00,  7.599034047670907e-01, -1.222485933074474e+04,  5.600180873918368e+03,  5.072197156788683e+02, -7.072598788517898e-02
Hg2Na1      ,  1.620000000000000e+00,  1.380947008332645e+00,  2.846488377196910e+04,  1.031124277261146e+05,  1.547807974085804e+02,  7.503142611112090e-02
Ga2Y1       ,  1.680000000000000e+00,  2.157581063362049e+00, -1.186417832330019e+04,  2.138606075832653e+04, -1.313501900817575e+02,  9.635388604463270e-02
Be2Nb1      ,  2.150000000000000e+00,  3.774079395401102e+00, -3.335539606840666e+03, -3.191083556008730e+04,  6.884173228601660e+02,  4.012355653206694e-02
Ge1Mo3      ,  2.179200000000000e+00,  1.450329532055382e+00, -1.067328399243572e+04, -3.107086919594065e+04,  1.945898615564594e+03, -5.833396258930507e-02
B1Hf1       ,  3.100000000000000e+00,  2.325249894046340e+00, -7.806691879968148e+03, -2.816519390786066e+04,  2.331307643558317e+03,  5.414785744403633e-02
B1Zr1       ,  3.100000000000000e+00,  2.742329703902227e+00, -6.835014053858534e+03, -1.376298198328881e+04,  5.128232874772830e+02,  1.974019021726570e-02
C1In1Ti2    ,  3.100000000000000e+00,  3.725754725827902e+00,  2.154695962309223e+04,  3.501757283681714e+04,  3.051769438374283e+02,  1.019662782591630e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.926997330157336e+00, -6.127529660134749e+03, -9.184376424754462e+03, -4.199044625080736e+02,  9.265781510533749e-02
Sn1         ,  3.740729412000000e+00,  2.597758828459723e+00, -1.215190806983423e+04,  7.721863251821806e+03, -2.010092186882505e+02,  8.294102663268295e-02
B1Ta1       ,  4.000000000000000e+00,  4.534798635338875e+00, -1.134812480934235e+04, -8.687178183098471e+04,  1.517240880732312e+03,  1.047528338376148e-02
Sn1V3       ,  4.462500000000000e+00,  4.846482632446722e+00, -1.113439405449357e+04, -1.191707362997286e+03, -8.565353953708531e+01,  2.869684472719167e-01
B2Nb1       ,  4.597500000000000e+00,  5.409093414210647e+00, -8.420533608743624e+03, -2.587433259626094e+04, -2.026498265899356e+02,  2.141135276714917e-01
Al1Si1Sr1   ,  4.750000000000000e+00,  2.486717973845367e+00, -3.429807122843027e+03,  2.681949054802847e+04, -3.730580549477365e+02,  7.337963631666386e-02
Fe1Li1P1    ,  4.965000000000000e+00,  5.927850726719849e+00,  2.183154349586342e+04,  8.594949438466407e+03,  2.118029160032757e+02,  2.174250958532559e-01
Ga1Si1Sr1   ,  5.000000000000000e+00,  7.081720985782276e+00, -3.469060886327989e+03,  2.949013178300149e+04, -7.020218244577273e+01,  5.992645236600473e-01
Os0.5V0.5   ,  5.150000000000000e+00,  2.922367811287363e+00, -5.089943403417456e+03,  7.259072745441961e+03,  8.908184839518212e+01,  8.370133583082970e-02
Ir1Ti3      ,  5.185000000000000e+00,  5.101508650832040e+00, -6.090411897604627e+03, -2.975887806509403e+03, -1.431899832256186e+02,  2.645653531865096e-01
Ir1Mo1      ,  5.325000000000000e+00,  4.447771776358470e+00, -4.707846039638591e+03, -4.878085065497587e+04, -1.475783721216440e+02, -9.484287753350133e-03
La1         ,  5.343000000000000e+00,  3.881731399427639e+00, -1.224753706353715e+04,  7.721575704896833e+03,  2.035186424793328e+01,  2.373415539030345e-01
N1Ti1       ,  5.387500000000000e+00,  7.015793890103740e+00, -1.988590800135752e+03, -3.790065122277500e+04, -2.639493607754091e+02,  2.825611813170015e-01
B6Y1        ,  5.692857143000000e+00,  6.318493284766389e+00, -8.264391789594174e+03, -4.167143015997953e+02, -2.707953568542529e+02,  4.128135470678094e-01
Nb1S2       ,  5.821818182000000e+00,  5.893030490408884e+00,  5.616557567960327e+03,  1.590104557087214e+04,  2.935480249781508e+02,  3.726445587221937e-01
Ge1V3       ,  6.680000000000000e+00,  6.520825807804654e+00, -9.891094861497206e+03, -5.887597164218627e+03, -6.732482424313719e+01,  4.384888295700877e-01
Sn1Ta3      ,  6.692500000000000e+00,  5.279311977808788e+00, -1.125752341032537e+04, -4.342956123649932e+04,  1.949181234720841e+00,  1.624193055122690e-01
