# c0 + a0 * ((((wtd_range_at_rad+8.311801e-03) * (lambda-1.756137e+00))-6.422613e+01) * (((range_IP-1.032384e+00) / (lambda3-3.276658e+00))+1.469567e+02)) + a1 * ((((wtd_range_at_rad-4.726498e-01) / (mean_ThermalCond-1.256813e+01))+1.093019e-02) * ((cos(1.623304e+00*lambda3+1.459715e-02))+1.308805e-03)) + a2 * ((((range_ThermalCond-9.696239e+01) / (density-8.535725e+00))+7.618003e+00) * (((wtd_range_ThermalCond-3.175903e+01) / (wtd_mean_ThermalCond-8.056691e+00))+4.342812e+00)) + a3 * ((((range_ThermalCond+2.107989e+00) / (lambda3-4.242031e-01))+7.412481e+01) * (((range_at_mass-4.368068e+01) / (wtd_mean_at_rad-9.953077e-01))-2.915578e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.18577255281175; Max AE: 2.93626371214583
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.334924672566455e-02, -9.640968264298820e+01, -3.523623468897192e-03,  2.570783627570713e-05,  1.312203667997734e+02, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * eV;                                          17|5|mult|22|7|div|mult:-6.4226126071165e+01,1.4695671400528e+02,-1.0323840262003e+00,-3.2766575539244e+00,8.3118006835885e-03,-1.7561374475685e+00; ((((wtd_range_at_rad+8.311801e-03) * (lambda-1.756137e+00))-6.422613e+01) * (((range_IP-1.032384e+00) / (lambda3-3.276658e+00))+1.469567e+02)); $\left(\left(\left(\left(wtd_{range, at, rad}+8.312e-03\right) * \left(lambda-1.756e+00\right)\right)-6.423e+01\right) * \left(\left(\frac{ range_{IP} -1.032e+00 }{ lambda3-3.277e+00 } \right)+1.470e+02\right)\right)$; ((((wtd_range_at_rad+8.311801e-03) .* (lambda-1.756137e+00))-6.422613e+01) .* (((range_IP-1.032384e+00) ./ (lambda3-3.276658e+00))+1.469567e+02)); ((((newdata$wtd_range_at_rad+8.311801e-03) * (newdata$lambda-1.756137e+00))-6.422613e+01) * (((newdata$range_IP-1.032384e+00) / (newdata$lambda3-3.276658e+00))+1.469567e+02)); wtd_range_at_rad,lambda,range_IP,lambda3
# 1;  2; AA * W^-1 * mK;                                   17|38|div|7|cos|mult:1.0930188895580e-02,1.3088048591656e-03,1.6233036270264e+00,1.4597152234766e-02,-4.7264983589806e-01,-1.2568132880279e+01; ((((wtd_range_at_rad-4.726498e-01) / (mean_ThermalCond-1.256813e+01))+1.093019e-02) * ((cos(1.623304e+00*lambda3+1.459715e-02))+1.308805e-03)); $\left(\left(\left(\frac{ wtd_{range, at, rad} -4.726e-01 }{ mean_{ThermalCond}-1.257e+01 } \right)+1.093e-02\right) * \left(\left(\cos{ \left(1.623e+00lambda3+1.460e-02 \right)}\right)+1.309e-03\right)\right)$; ((((wtd_range_at_rad-4.726498e-01) ./ (mean_ThermalCond-1.256813e+01))+1.093019e-02) .* (cos(1.623304e+00.*lambda3+1.459715e-02)+1.308805e-03)); ((((newdata$wtd_range_at_rad-4.726498e-01) / (newdata$mean_ThermalCond-1.256813e+01))+1.093019e-02) * (cos(1.623304e+00*newdata$lambda3+1.459715e-02)+1.308805e-03)); wtd_range_at_rad,mean_ThermalCond,lambda3
# 2;  2; W * cm^3 * g^-1 * mK^-1;                          40|2|div|41|39|div|mult:7.6180032286281e+00,4.3428117701882e+00,-3.1759025099278e+01,-8.0566912709674e+00,-9.6962391691235e+01,-8.5357248843799e+00; ((((range_ThermalCond-9.696239e+01) / (density-8.535725e+00))+7.618003e+00) * (((wtd_range_ThermalCond-3.175903e+01) / (wtd_mean_ThermalCond-8.056691e+00))+4.342812e+00)); $\left(\left(\left(\frac{ range_{ThermalCond} -9.696e+01 }{ density-8.536e+00 } \right)+7.618e+00\right) * \left(\left(\frac{ wtd_{range, ThermalCond} -3.176e+01 }{ wtd_{mean, ThermalCond}-8.057e+00 } \right)+4.343e+00\right)\right)$; ((((range_ThermalCond-9.696239e+01) ./ (density-8.535725e+00))+7.618003e+00) .* (((wtd_range_ThermalCond-3.175903e+01) ./ (wtd_mean_ThermalCond-8.056691e+00))+4.342812e+00)); ((((newdata$range_ThermalCond-9.696239e+01) / (newdata$density-8.535725e+00))+7.618003e+00) * (((newdata$wtd_range_ThermalCond-3.175903e+01) / (newdata$wtd_mean_ThermalCond-8.056691e+00))+4.342812e+00)); range_ThermalCond,density,wtd_range_ThermalCond,wtd_mean_ThermalCond
# 3;  2; AA^-1 * W * g * mK^-1 * mol^-1;                   40|7|div|10|15|div|mult:7.4124809428874e+01,-2.9155783463918e+01,-4.3680678257392e+01,-9.9530768808150e-01,2.1079887088430e+00,-4.2420314447224e-01; ((((range_ThermalCond+2.107989e+00) / (lambda3-4.242031e-01))+7.412481e+01) * (((range_at_mass-4.368068e+01) / (wtd_mean_at_rad-9.953077e-01))-2.915578e+01)); $\left(\left(\left(\frac{ range_{ThermalCond} +2.108e+00 }{ lambda3-4.242e-01 } \right)+7.412e+01\right) * \left(\left(\frac{ range_{at, mass} -4.368e+01 }{ wtd_{mean, at, rad}-9.953e-01 } \right)-2.916e+01\right)\right)$; ((((range_ThermalCond+2.107989e+00) ./ (lambda3-4.242031e-01))+7.412481e+01) .* (((range_at_mass-4.368068e+01) ./ (wtd_mean_at_rad-9.953077e-01))-2.915578e+01)); ((((newdata$range_ThermalCond+2.107989e+00) / (newdata$lambda3-4.242031e-01))+7.412481e+01) * (((newdata$range_at_mass-4.368068e+01) / (newdata$wtd_mean_at_rad-9.953077e-01))-2.915578e+01)); range_ThermalCond,lambda3,range_at_mass,wtd_mean_at_rad
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01,  2.176239316231319e+00, -9.596539304894597e+03,  1.480633166742575e-02, -1.106959309955773e+02,  3.884666362354183e+03
B1Mo1       ,  2.500000000000000e-01, -2.686263712145828e+00, -9.499981950333509e+03,  8.933371631814164e-03,  1.328396663857731e+03, -6.017598549475236e+04
Cr3Ir1      ,  2.560000000000000e-01,  9.654932744873832e-01, -9.715569653988539e+03,  1.183710765293951e-02, -2.198122488280500e+01,  1.962129730153957e+04
Al1Os1      ,  3.900000000000000e-01, -1.471753103603053e-04, -9.425584021082008e+03,  8.198054086651613e-03,  8.375147452628596e+01, -1.676759896853834e+05
Al1Mo3      ,  5.800000000000000e-01,  1.553280604919956e+00, -9.616293786002681e+03,  1.308522866029110e-02, -2.366027905867037e+01, -4.614741975119665e+03
Sb1V3       ,  6.500000000000000e-01,  6.682656699676728e-01, -9.528966319370413e+03,  2.010495426599175e-02,  4.264284869638990e+02,  3.629515600814922e+03
Nb3Os1      ,  6.633333330000000e-01,  1.938959456807712e+00, -9.570744552582222e+03,  1.682707864172003e-02, -6.507261340610833e+01, -4.908038039681094e+03
B2Ru1       ,  8.000000000000000e-01,  2.950171951071979e-01, -9.456950885617001e+03,  4.360445701534047e-03,  4.843749642908195e+01, -1.591388022989679e+05
La1Se1      ,  1.020000000000000e+00, -7.638883835402022e-01, -9.465761101001923e+03,  1.735546106480493e-02,  1.120112680285542e+03, -1.316710733836601e+02
Al1Nb1Ni2   ,  1.075000000000000e+00,  1.325742881330555e+00, -9.474043602554490e+03,  7.746635930440273e-03, -3.084880732563608e+02, -1.463920744272024e+05
Co1Si2      ,  1.306666667000000e+00,  2.997492757263930e+00, -9.522559910844571e+03,  9.560609287385426e-03,  9.837624554326996e+01,  6.398975797159696e+03
Nb1O1       ,  1.380000000000000e+00,  3.393273399468453e+00, -9.414333581274321e+03,  1.196466039538509e-02,  1.511545584248750e+02, -1.815441797640006e+04
Cr1         ,  1.550000000000000e+00,  3.384828040156169e+00, -9.460874029198380e+03,  5.065282255423870e-03,  2.292938586228535e+02, -9.479974298197003e+03
Hg2Na1      ,  1.620000000000000e+00, -2.483262575541165e-01, -9.404038611115750e+03,  7.919355982451155e-03,  2.040687424484934e+02, -1.730716410741739e+05
Ga2Y1       ,  1.680000000000000e+00,  2.509617645751218e+00, -9.485858851958652e+03,  1.465490325038529e-02,  1.373408758196568e+02, -7.191069197892929e+03
Be2Nb1      ,  2.150000000000000e+00,  3.107971928699033e+00, -9.426690517489596e+03,  7.354762035274416e-03, -2.091320945793104e+01, -6.370809783363283e+04
Ge1Mo3      ,  2.179200000000000e+00,  1.903434360303061e+00, -9.608647151403527e+03,  1.514299663680923e-02, -2.558689390930322e+01,  1.248809900489988e+04
B1Hf1       ,  3.100000000000000e+00,  4.025598163383591e+00, -9.521832662900089e+03,  9.456227749386857e-03, -7.406195823130832e+01,  2.198669375496782e+04
B1Zr1       ,  3.100000000000000e+00,  3.054379931328836e+00, -9.515360850825646e+03,  9.414757644101325e-03,  1.050952971747904e+02,  5.247538677848701e+03
C1In1Ti2    ,  3.100000000000000e+00,  2.514876534226138e+00, -9.487229267978784e+03,  1.304118558666433e-02, -4.897589444374259e+00, -3.182246506425282e+04
Sn1         ,  3.740729412000000e+00,  3.924542875373259e+00, -9.460634387338883e+03,  2.247951297290809e-03,  1.529303948326300e+02, -9.642503722987865e+03
B1Ta1       ,  4.000000000000000e+00,  2.847002812465671e+00, -9.549271607941995e+03,  9.487989483639088e-03, -1.666821241385419e+01, -1.625173408875086e+03
Sn1V3       ,  4.462500000000000e+00,  6.507344554033978e+00, -9.423667552883244e+03, -1.940651190381570e-02,  2.341336772110554e+02,  1.550665094360897e+03
B2Nb1       ,  4.597500000000000e+00,  2.931064807704300e+00, -9.430718888534664e+03, -4.646310784670852e-03,  1.521888204281286e+02, -8.977815062803973e+04
Al1Si1Sr1   ,  4.750000000000000e+00,  4.053982324171589e+00, -9.455462714472014e+03,  8.566304948385870e-03, -5.337610403627934e+01, -1.187506964345877e+04
Fe1Li1P1    ,  4.965000000000000e+00,  5.713613357725097e+00, -9.379522043805024e+03,  1.700545830945221e-03,  4.391406111410193e+01,  8.357836700621807e+02
Ga1Si1Sr1   ,  5.000000000000000e+00,  6.720774973145697e+00, -9.380093815033430e+03, -7.603458180405098e-03,  8.701521147856425e+00,  5.915983725767036e+02
Os0.5V0.5   ,  5.150000000000000e+00,  6.220572329845997e+00, -9.417039508643040e+03, -3.671235068419100e-04,  3.637809588893798e+00,  2.676278778805315e+04
Ir1Ti3      ,  5.185000000000000e+00,  5.424636554460304e+00, -9.411300049287176e+03, -7.986429468991261e-03,  3.631505872770076e+02,  1.352400566382435e+04
Ir1Mo1      ,  5.325000000000000e+00,  4.678273237307047e+00, -9.432760179229279e+03,  7.741278699932406e-03, -1.511583730102830e+01,  2.770403427603696e+03
La1         ,  5.343000000000000e+00,  6.346196971340150e+00, -9.434541206026679e+03, -8.818502914217374e-03, -1.001178464925483e+02, -5.178117100531996e+03
N1Ti1       ,  5.387500000000000e+00,  4.664038400917829e+00, -9.362206252356866e+03,  2.433602501730949e-02, -8.441977288112669e+01,  1.831494922846182e+04
B6Y1        ,  5.692857143000000e+00,  4.348756050436672e+00, -9.490473003219640e+03,  7.552400916791132e-03,  9.545434977504692e+01,  3.436791284499700e+04
Nb1S2       ,  5.821818182000000e+00,  6.259962742823308e+00, -9.421679163438243e+03, -1.103305232389948e-02,  5.202678252786039e+01, -2.662791789645383e+03
Ge1V3       ,  6.680000000000000e+00,  6.950193685600011e+00, -9.395059893516362e+03, -2.037647386503907e-02,  1.880255237182815e+02, -6.035468024220711e+03
