# c0 + a0 * (|std_EA - wtd_mean_EA|) + a1 * (range_at_rad * density) + a2 * (std_at_rad * density) + a3 * cbrt(lambda) + a4 * (w_log / wtd_mean_at_mass)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.01881649146213; Max AE: 8.16432695491213
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  7.416403788304153e+00,  7.599469993346108e+00, -1.403125983852408e+01,  1.197025130677132e+01,  6.987844486717056e-01, -1.506187575437555e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               30|27|abd; (|std_EA - wtd_mean_EA|); $\left(\left|std_{EA} - wtd_{mean, EA}\right|\right)$; abs(std_EA - wtd_mean_EA); abs(newdata$std_EA - newdata$wtd_mean_EA); std_EA,wtd_mean_EA
# 1;  1; AA * cm^-3 * g;                                   16|2|mult; (range_at_rad * density); $\left(range_{at, rad} density\right)$; (range_at_rad .* density); (newdata$range_at_rad * newdata$density); range_at_rad,density
# 2;  1; AA * cm^-3 * g;                                   18|2|mult; (std_at_rad * density); $\left(std_{at, rad} density\right)$; (std_at_rad .* density); (newdata$std_at_rad * newdata$density); std_at_rad,density
# 3;  1; Unitless;                                         5|cbrt; cbrt(lambda); $\left(\sqrt[3]{ lambda }\right)$; nthroot(lambda, 3); nthroot(newdata$lambda, 3); lambda
# 4;  1; K * g^-1 * mol;                                   4|9|div; (w_log / wtd_mean_at_mass); $\left(\frac{ w_{log} }{ wtd_{mean, at, mass} } \right)$; (w_log ./ wtd_mean_at_mass); (newdata$w_log / newdata$wtd_mean_at_mass); w_log,wtd_mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 57                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01,  8.064832607489101e-01,  3.720000000000001e-01,  8.701000000000000e-01,  4.350500000000000e-01,  7.767805056618703e-01,  4.727065264145779e+00
B1Mo1       ,  2.500000000000000e-01,  4.741867011887863e+00,  2.770000000000000e-01,  6.013000000000000e+00,  3.006500000000000e+00,  8.040420429653392e-01,  6.603156731237589e+00
Cr3Ir1      ,  2.560000000000000e-01,  3.047252503872889e+00,  4.413000000000000e-01,  2.354000000000000e-01,  1.177000000000000e-01,  1.153148273142648e+00,  1.281308837432640e+00
Al1Os1      ,  3.900000000000000e-01,  9.344510747697193e-01,  4.409999999999999e-01,  3.079700000000000e+00,  1.539850000000000e+00,  8.180779890690784e-01,  1.624308278195087e+00
Al1Mo3      ,  5.800000000000000e-01,  1.406970844261530e+00,  5.173000000000000e-01,  2.841300000000000e+00,  1.420650000000000e+00,  6.969939118202801e-01,  3.764084672567811e+00
Sb1V3       ,  6.500000000000000e-01,  1.087378541592084e+00,  3.888000000000000e-01,  1.079400000000000e+00,  5.397000000000001e-01,  9.364085074913270e-01,  2.041422600846953e+00
Nb3Os1      ,  6.633333330000000e-01,  3.623173143001150e+00,  8.412999999999999e-01,  2.252000000000000e+00,  1.126000000000000e+00,  8.349603767636989e-01,  1.625873335533998e+00
Ti1O1       ,  7.200000000000000e-01,  6.480889343140274e+00,  7.900000000000007e-02,  5.160600000000000e+00,  2.580300000000000e+00,  4.987971084244104e-01,  1.713429283629577e+01
Ga1Mo3      ,  7.600000000000000e-01,  8.231896932769877e-01,  4.115000000000000e-01,  3.142400000000000e+00,  1.571200000000000e+00,  7.418676950890964e-01,  3.031283105109667e+00
B2Ru1       ,  8.000000000000000e-01,  3.725382686749578e+00,  1.481999999999999e-01,  4.687200000000000e+00,  2.343600000000000e+00,  7.199048228099766e-01,  9.064498459431702e+00
La1Se1      ,  1.020000000000000e+00,  1.203339439972763e+00,  5.000000000000000e-01,  5.541900000000000e+00,  2.770950000000000e+00,  7.164147904006603e-01,  1.067231696503155e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  5.945979662206707e+00,  6.162000000000000e-01,  3.199200000000000e+00,  1.458240000000000e+00,  8.978136229592979e-01,  2.632475087957086e+00
Co1Si2      ,  1.306666667000000e+00,  5.672191523775773e+00,  7.817000000000000e-01,  7.649999999999999e-01,  3.825000000000000e-01,  6.896434480765461e-01,  8.922381438892421e+00
Nb1O1       ,  1.380000000000000e+00,  8.991370176265274e+00,  8.930000000000000e-01,  6.928600000000000e+00,  3.464300000000000e+00,  7.729498362782933e-01,  5.914269028830421e+00
Cr1         ,  1.550000000000000e+00,  3.826953353901224e+00,  6.660000000000000e-01,  0.000000000000000e+00,  0.000000000000000e+00,  7.659686989416105e-01,  6.841403489877125e+00
Hg2Na1      ,  1.620000000000000e+00, -2.036688367720858e+00,  9.130000000000002e-02,  3.219800000000001e+00,  1.609900000000000e+00,  8.507260232928537e-01,  4.075894344277194e-01
Ga2Y1       ,  1.680000000000000e+00,  2.367484712721150e+00,  2.988000000000000e-01,  4.120800000000000e+00,  2.060400000000000e+00,  1.053097429768361e+00,  2.885152258422198e-01
Be2Nb1      ,  2.150000000000000e+00,  3.540419113103610e+00,  1.488000000000000e-01,  3.570000000000000e+00,  1.785000000000000e+00,  7.751196485406114e-01,  8.781031039136304e+00
Ge1Mo3      ,  2.179200000000000e+00,  2.642189125410632e+00,  5.950000000000000e-01,  3.376200000000000e+00,  1.688100000000000e+00,  7.668766490569060e-01,  3.063086995117621e+00
B1Hf1       ,  3.100000000000000e+00,  2.266532718404868e+00,  0.000000000000000e+00,  1.010100000000000e+01,  5.050500000000000e+00,  7.374197940162812e-01,  3.726384633265009e+00
B1Zr1       ,  3.100000000000000e+00,  4.776738800504854e+00,  2.770000000000000e-01,  5.205200000000000e+00,  2.602600000000000e+00,  7.596096795367725e-01,  8.089114752812952e+00
C1In1Ti2    ,  3.100000000000000e+00,  4.680506736493570e+00,  8.370000000000000e-02,  5.341800000000000e+00,  2.302500000000000e+00,  6.383322463757840e-01,  4.569018473820517e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  2.020068869076270e+00,  1.243000000000000e-01,  5.896800000000000e+00,  2.948400000000000e+00,  9.308636521788708e-01,  2.253378188051798e+00
Sn1         ,  3.740729412000000e+00,  2.055832529123650e+00,  1.200000000000000e+00,  0.000000000000000e+00,  0.000000000000000e+00,  6.333025531362916e-01,  9.119164350096876e-01
B1Ta1       ,  4.000000000000000e+00,  4.281034328641883e+00,  2.770000000000000e-01,  1.216040000000000e+01,  6.080200000000000e+00,  6.113577210992747e-01,  4.108179342469354e+00
Sn1V3       ,  4.462500000000000e+00,  3.266858444338184e+00,  3.563000000000000e-01,  1.048600000000000e+00,  5.243000000000001e-01,  1.212417360719122e+00,  8.029862882934906e-01
B2Nb1       ,  4.597500000000000e+00,  6.488325128079921e+00,  1.743000000000000e-01,  5.424000000000000e+00,  2.712000000000000e+00,  8.879885559762081e-01,  9.246523702741220e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  1.223771228303179e+00,  3.100000000000003e-02,  2.662800000000000e+00,  1.187482000000000e+00,  8.600198300817800e-01,  3.129841787122208e+00
Fe1Li1P1    ,  4.965000000000000e+00,  2.874989071316046e+00,  2.588000000000000e-01,  9.925000000000000e-01,  4.351120000000001e-01,  5.780992075174383e-01,  1.096218198340602e+01
Ga1Si1Sr1   ,  5.000000000000000e+00,  8.096945546413057e+00,  3.320000000000001e-02,  3.612000000000000e+00,  1.603040000000000e+00,  1.474533032299759e+00,  4.371174750888615e-01
Os0.5V0.5   ,  5.150000000000000e+00,  2.740449971828789e+00,  5.250000000000000e-01,  1.313100000000000e+00,  6.565500000000000e-01,  1.009868950091427e+00,  1.507887330017299e+00
Ir1Ti3      ,  5.185000000000000e+00,  3.864873300677994e+00,  2.925000000000000e-01,  1.694800000000000e+00,  8.474000000000000e-01,  1.276868975007164e+00,  6.919390860525643e-01
Ir1Mo1      ,  5.325000000000000e+00,  2.009842197257480e+00,  7.460000000000000e-01,  2.102100000000000e+00,  1.051050000000000e+00,  7.691935110159150e-01,  1.580388455305431e+00
La1         ,  5.343000000000000e+00,  6.595330314499019e+00,  5.000000000000000e-01,  0.000000000000000e+00,  0.000000000000000e+00,  1.488128515319332e+00,  1.942399688997196e-01
N1Ti1       ,  5.387500000000000e+00,  6.899985763299388e+00,  0.000000000000000e+00,  4.797099999999999e+00,  2.398550000000000e+00,  8.860821770853083e-01,  1.224196671288978e+01
B6Y1        ,  5.692857143000000e+00,  4.631712135175807e+00,  2.663000000000000e-01,  3.953800000000000e+00,  1.976900000000000e+00,  8.641908300479846e-01,  7.249204347291593e+00
Nb1S2       ,  5.821818182000000e+00,  6.929641310520033e+00,  1.090300000000000e+00,  2.472100000000000e+00,  1.236050000000000e+00,  6.802651791584350e-01,  6.180955838101697e+00
Ge1V3       ,  6.680000000000000e+00,  5.256118214298357e+00,  3.188000000000000e-01,  2.319900000000000e+00,  1.159950000000000e+00,  1.282871969237339e+00,  1.778651470097723e+00
Sn1Ta3      ,  6.692500000000000e+00,  5.237409574915787e+00,  1.025000000000000e-01,  4.578700000000000e+00,  2.289350000000000e+00,  1.398365439260918e+00,  1.818724892435020e-01
Al1Ge1Sr1   ,  6.700000000000000e+00,  1.060793240222911e+01,  3.489999999999993e-02,  3.052500000000000e+00,  1.429384000000000e+00,  1.851408715203178e+00,  1.543025612677354e-01
Ir1Mo3      ,  8.031000000000001e+00,  9.014128546498576e+00,  5.413000000000000e-01,  1.654900000000000e+00,  8.274500000000000e-01,  1.583223137914152e+00,  2.056845374980836e-01
N1V1        ,  8.528333333499999e+00,  7.278672751798610e+00,  0.000000000000000e+00,  5.174199999999999e+00,  2.587100000000000e+00,  4.663149276954353e-01,  1.965947632112976e+01
C1Ta1       ,  8.637499999999999e+00,  8.934853807920593e+00,  3.220000000000000e-01,  1.393890000000000e+01,  6.969449999999999e+00,  1.004116365617564e+00,  2.076511431938532e+00
Re3W1       ,  8.733333332999999e+00,  7.384210970901357e+00,  1.619999999999999e-02,  2.200000000000000e+00,  1.100000000000000e+00,  1.754822074856497e+00,  5.127702296093048e-02
Hf1N1       ,  8.830000000000000e+00,  5.620136760415480e+00,  0.000000000000000e+00,  1.447680000000000e+01,  7.238400000000000e+00,  8.509562479261139e-01,  2.924673546231340e+00
Nb0.75Si0.25,  9.000000000000000e+00,  7.851195898679174e+00,  7.700000000000000e-01,  3.927300000000000e+00,  1.963650000000000e+00,  1.138421947078910e+00,  1.835084933371403e+00
Ta1B2       ,  9.500000000000000e+00,  7.472166270047858e+00,  2.695000000000000e-01,  1.055220000000000e+01,  5.276100000000000e+00,  9.597699101349482e-01,  4.129795616113745e+00
Nb3Pt1      ,  9.516428571000001e+00,  1.161534411060538e+01,  5.842999999999999e-01,  5.049000000000000e+00,  2.524500000000000e+00,  1.608264529139501e+00,  2.070395472212936e-01
N1Zr1       ,  9.850000000000000e+00,  4.217679986866788e+00,  0.000000000000000e+00,  7.519200000000001e+00,  3.759600000000000e+00,  8.450694946520850e-01,  6.831650650772412e+00
C1I1Y1      ,  9.917500000000000e+00,  1.117683611577278e+01,  4.021999999999999e-01,  5.803199999999999e+00,  2.375840000000000e+00,  9.646662290801257e-01,  1.349945878752604e+00
C1Nb1       ,  1.002500000000000e+01,  1.119071968916171e+01,  8.930000000000000e-01,  6.925100000000000e+00,  3.462550000000000e+00,  9.254855011586057e-01,  6.451634609885815e+00
C1Mo1       ,  1.015200000000000e+01,  8.767215953787110e+00,  7.460000000000000e-01,  7.006500000000001e+00,  3.503250000000000e+00,  5.808785733563704e-01,  1.037876059636019e+01
Nb1Ru3      ,  1.350000000000000e+01,  5.335673045087866e+00,  9.322999999999999e-01,  2.019600000000000e+00,  1.009800000000000e+00,  9.045449112469409e-01,  2.112929431853869e+00
Mo1Ni1P1    ,  1.550000000000000e+01,  8.814273267831066e+00,  6.894000000000000e-01,  3.980900000000000e+00,  1.645721000000000e+00,  7.124309977292844e-01,  4.399226472546725e+00
Nb3Sn1      ,  1.670900000000000e+01,  9.632023602513483e+00,  8.163000000000000e-01,  2.185000000000000e+00,  1.092500000000000e+00,  1.430227032921702e+00,  3.492083621434963e-01
Ga0.25Nb0.75,  1.816296296333330e+01,  1.875117072025148e+01,  4.483000000000000e-01,  3.486000000000000e+00,  1.743000000000000e+00,  2.373013666985209e+00,  6.788389459364830e-02
B2Mg0.98    ,  3.840000000000000e+01,  3.541768601135918e+01,  4.619999999999999e-02,  1.521900000000000e+00,  7.609499999999999e-01,  8.861670793209724e-01,  5.529707356275277e+01
