# c0 + a0 * (((lambda-4.225569e+01) / (wtd_mean_IP+1.233582e+01)) - (5.727613e+00*((mean_PE-1.752653e+00) / (mean_at_mass-1.721312e+01))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.37673894125392; Max AE: 11.274581390356
# Coefficients
# Task   a0                      c0
# all ,  2.451465878439635e+01,  5.558729065926551e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1;                                            5|21|div|32|8|div|sub:5.7276131720161e+00,0.0000000000000e+00,-1.7526527371415e+00,-1.7213116540945e+01,-4.2255689394994e+01,1.2335824604264e+01; (((lambda-4.225569e+01) / (wtd_mean_IP+1.233582e+01)) - (5.727613e+00*((mean_PE-1.752653e+00) / (mean_at_mass-1.721312e+01)))); $\left(\left(\frac{ lambda -4.226e+01 }{ wtd_{mean, IP}+1.234e+01 } \right) - \left(5.728e+00\left(\frac{ mean_{PE} -1.753e+00 }{ mean_{at, mass}-1.721e+01 } \right)\right)\right)$; (((lambda-4.225569e+01) ./ (wtd_mean_IP+1.233582e+01)) - (5.727613e+00.*((mean_PE-1.752653e+00) ./ (mean_at_mass-1.721312e+01)))); (((newdata$lambda-4.225569e+01) / (newdata$wtd_mean_IP+1.233582e+01)) - (5.727613e+00*((newdata$mean_PE-1.752653e+00) / (newdata$mean_at_mass-1.721312e+01)))); lambda,wtd_mean_IP,mean_PE,mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 57                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
Rh1V3       ,  1.900000000000000e-01,  1.924178328161114e+00, -2.189021385248124e+00
B1Mo1       ,  2.500000000000000e-01,  3.160380901213143e+00, -2.138594308782395e+00
Cr3Ir1      ,  2.560000000000000e-01,  4.639403270932387e+00, -2.078262146596207e+00
Al1Os1      ,  3.900000000000000e-01,  3.395758351681750e+00, -2.128992810652695e+00
Al1Mo3      ,  5.800000000000000e-01,  1.511379800005502e+00, -2.205860229785433e+00
Sb1V3       ,  6.500000000000000e-01,  3.467277338921741e+00, -2.126075413846605e+00
Nb3Os1      ,  6.633333330000000e-01,  3.244856010780793e+00, -2.135148406870783e+00
Ti1O1       ,  7.200000000000000e-01,  2.769586721680671e+00, -2.154535553690980e+00
Ga1Mo3      ,  7.600000000000000e-01,  1.532616220080443e+00, -2.204993955436615e+00
B2Ru1       ,  8.000000000000000e-01,  3.730721961801707e+00, -2.115329001865229e+00
La1Se1      ,  1.020000000000000e+00,  4.133888206924061e+00, -2.098883076646846e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  3.101165873842492e+00, -2.141009803441792e+00
Co1Si2      ,  1.306666667000000e+00,  4.463347530384826e+00, -2.085443798280449e+00
Nb1O1       ,  1.380000000000000e+00,  7.207096592339117e+00, -1.973521006040701e+00
Cr1         ,  1.550000000000000e+00,  2.311287457673382e+00, -2.173230460605165e+00
Hg2Na1      ,  1.620000000000000e+00,  7.422698035400864e+00, -1.964726209223093e+00
Ga2Y1       ,  1.680000000000000e+00,  1.404980555079633e+00, -2.210200459272681e+00
