# c0 + a0 * (((lambda-6.417872e+01) / (mean_IP+3.685965e+01)) - (9.872997e-01*((wtd_range_at_rad+5.554094e-01) / (mean_at_mass-1.868731e+01))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.58655799176432; Max AE: 10.4809677452907
# Coefficients
# Task   a0                      c0
# all ,  5.629271790570156e+01,  8.566990533372039e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1;                                            5|20|div|17|8|div|sub:9.8729968289849e-01,0.0000000000000e+00,5.5540937299071e-01,-1.8687307009642e+01,-6.4178717386083e+01,3.6859650759308e+01; (((lambda-6.417872e+01) / (mean_IP+3.685965e+01)) - (9.872997e-01*((wtd_range_at_rad+5.554094e-01) / (mean_at_mass-1.868731e+01)))); $\left(\left(\frac{ lambda -6.418e+01 }{ mean_{IP}+3.686e+01 } \right) - \left(9.873e-01\left(\frac{ wtd_{range, at, rad} +5.554e-01 }{ mean_{at, mass}-1.869e+01 } \right)\right)\right)$; (((lambda-6.417872e+01) ./ (mean_IP+3.685965e+01)) - (9.872997e-01.*((wtd_range_at_rad+5.554094e-01) ./ (mean_at_mass-1.868731e+01)))); (((newdata$lambda-6.417872e+01) / (newdata$mean_IP+3.685965e+01)) - (9.872997e-01*((newdata$wtd_range_at_rad+5.554094e-01) / (newdata$mean_at_mass-1.868731e+01)))); lambda,mean_IP,wtd_range_at_rad,mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
Rh1V3       ,  1.900000000000000e-01,  2.804031853527901e+00, -1.472053163590445e+00
B1Mo1       ,  2.500000000000000e-01,  3.789288095899851e+00, -1.454550788877922e+00
Cr3Ir1      ,  2.560000000000000e-01,  6.272619121411886e+00, -1.410436183687390e+00
Al1Os1      ,  3.900000000000000e-01,  4.220251790365476e+00, -1.446895026099021e+00
Al1Mo3      ,  5.800000000000000e-01,  1.033251883180717e+00, -1.503509807295471e+00
Sb1V3       ,  6.500000000000000e-01,  4.503611813539147e+00, -1.441861337307367e+00
Nb3Os1      ,  6.633333330000000e-01,  4.736025081575847e+00, -1.437732681298503e+00
Ti1O1       ,  7.200000000000000e-01,  4.782787455557158e+00, -1.436901981063711e+00
Ga1Mo3      ,  7.600000000000000e-01,  1.747578943834264e+00, -1.490820296338652e+00
B2Ru1       ,  8.000000000000000e-01,  4.359087630138307e+00, -1.444428706387733e+00
La1Se1      ,  1.020000000000000e+00,  4.382532470547765e+00, -1.444012225512734e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.656674880524915e+00, -1.474670855158471e+00
Co1Si2      ,  1.306666667000000e+00,  3.615394433094189e+00, -1.457639885821100e+00
Nb1O1       ,  1.380000000000000e+00,  7.808638720985937e+00, -1.383149890597987e+00
Hg2Na1      ,  1.620000000000000e+00,  5.002612693765677e+00, -1.432996942430175e+00
Ga2Y1       ,  1.680000000000000e+00,  2.444101275630704e+00, -1.478447073696192e+00
Ge1Mo3      ,  2.179200000000000e+00,  3.596796517067207e+00, -1.457970264540033e+00
B1Hf1       ,  3.100000000000000e+00,  4.108271338486017e+00, -1.448884278990791e+00
C1In1Ti2    ,  3.100000000000000e+00,  3.737180065880168e+00, -1.455476450881078e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  5.291958636716072e+00, -1.427856918041317e+00
Sn1         ,  3.740729412000000e+00,  3.954076564170132e+00, -1.451623439224165e+00
B1Ta1       ,  4.000000000000000e+00,  4.879433433087375e+00, -1.435185134176124e+00
Sn1V3       ,  4.462500000000000e+00,  4.528701395846838e+00, -1.441415638765156e+00
B2Nb1       ,  4.597500000000000e+00,  4.213999323785132e+00, -1.447006096710158e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  1.776848584907486e+00, -1.490300342032621e+00
Fe1Li1P1    ,  4.965000000000000e+00,  2.420815710578587e+00, -1.478860725158022e+00
Ga1Si1Sr1   ,  5.000000000000000e+00,  5.643827764407013e+00, -1.421606213851117e+00
Os0.5V0.5   ,  5.150000000000000e+00,  5.606959345455386e+00, -1.422261155028649e+00
Ir1Mo1      ,  5.325000000000000e+00,  5.601275612274675e+00, -1.422362122496417e+00
La1         ,  5.343000000000000e+00,  4.650829196248468e+00, -1.439246125461389e+00
N1Ti1       ,  5.387500000000000e+00,  5.960917034786754e+00, -1.415973349029935e+00
B6Y1        ,  5.692857143000000e+00,  2.812212737411738e+00, -1.471907836020767e+00
Nb1S2       ,  5.821818182000000e+00,  5.617278015628303e+00, -1.422077851209668e+00
Ge1V3       ,  6.680000000000000e+00,  4.781241426401225e+00, -1.436929445169433e+00
Sn1Ta3      ,  6.692500000000000e+00,  7.273281132012789e+00, -1.392660136485740e+00
Al1Ge1Sr1   ,  6.700000000000000e+00,  9.610253786985107e+00, -1.351145483402421e+00
N1V1        ,  8.528333333499999e+00,  5.838896298208314e+00, -1.418140960421214e+00
C1Ta1       ,  8.637499999999999e+00,  8.350084094056569e+00, -1.373531499565995e+00
Re3W1       ,  8.733333332999999e+00,  1.137150809116822e+01, -1.319858056365527e+00
Hf1N1       ,  8.830000000000000e+00,  9.632752905542228e+00, -1.350745802601881e+00
Nb0.75Si0.25,  9.000000000000000e+00,  4.014530856672148e+00, -1.450549511818434e+00
Ta1B2       ,  9.500000000000000e+00,  6.005184363809097e+00, -1.415186971490011e+00
N1Zr1       ,  9.850000000000000e+00,  8.475117163061947e+00, -1.371310376236778e+00
C1I1Y1      ,  9.917500000000000e+00,  7.595104187114226e+00, -1.386943179353904e+00
C1Nb1       ,  1.002500000000000e+01,  6.216866280680986e+00, -1.411426593154282e+00
C1Mo1       ,  1.015200000000000e+01,  5.919000890233722e+00, -1.416717959454027e+00
Nb1Ru3      ,  1.350000000000000e+01,  3.478887699270477e+00, -1.460064830625726e+00
Mo1Ni1P1    ,  1.550000000000000e+01,  5.390503028303549e+00, -1.426106347181467e+00
Nb3Sn1      ,  1.670900000000000e+01,  6.228032254709290e+00, -1.411228237586391e+00
Ga0.25Nb0.75,  1.816296296333330e+01,  1.819865029995622e+01, -1.198578742401251e+00
B2Mg0.98    ,  3.840000000000000e+01,  3.763697018833095e+01, -8.532708480313840e-01
