# c0 + a0 * (((wtd_mean_IP+5.925972e+01) / (lambda3-4.803434e-02)) - (6.216695e+01*((mean_ThermalCond-2.266980e+01) / (wtd_mean_IP-8.845491e+00)))) + a1 * (((wtd_mean_IP+3.901520e+00) * (lambda+1.686163e+01)) - (1.110130e+03*((wtd_mean_PE-1.812385e+00) / (mean_at_mass-1.749069e+01))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.9052176543667; Max AE: 5.06701471887579
# Coefficients
# Task   a0                      a1                      c0
# all , -1.712147482091025e-04,  1.241196132927134e-01, -2.107372589923532e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               21|7|div|38|21|div|sub:6.2166948990214e+01,0.0000000000000e+00,-2.2669797223511e+01,-8.8454906248350e+00,5.9259722983442e+01,-4.8034340919211e-02; (((wtd_mean_IP+5.925972e+01) / (lambda3-4.803434e-02)) - (6.216695e+01*((mean_ThermalCond-2.266980e+01) / (wtd_mean_IP-8.845491e+00)))); $\left(\left(\frac{ wtd_{mean, IP} +5.926e+01 }{ lambda3-4.803e-02 } \right) - \left(6.217e+01\left(\frac{ mean_{ThermalCond} -2.267e+01 }{ wtd_{mean, IP}-8.845e+00 } \right)\right)\right)$; (((wtd_mean_IP+5.925972e+01) ./ (lambda3-4.803434e-02)) - (6.216695e+01.*((mean_ThermalCond-2.266980e+01) ./ (wtd_mean_IP-8.845491e+00)))); (((newdata$wtd_mean_IP+5.925972e+01) / (newdata$lambda3-4.803434e-02)) - (6.216695e+01*((newdata$mean_ThermalCond-2.266980e+01) / (newdata$wtd_mean_IP-8.845491e+00)))); wtd_mean_IP,lambda3,mean_ThermalCond,wtd_mean_IP
# 1;  2; eV;                                               21|5|mult|33|8|div|sub:1.1101299451508e+03,0.0000000000000e+00,-1.8123854019596e+00,-1.7490690279454e+01,3.9015199957140e+00,1.6861626114011e+01; (((wtd_mean_IP+3.901520e+00) * (lambda+1.686163e+01)) - (1.110130e+03*((wtd_mean_PE-1.812385e+00) / (mean_at_mass-1.749069e+01)))); $\left(\left(\left(wtd_{mean, IP}+3.902e+00\right) * \left(lambda+1.686e+01\right)\right) - \left(1.110e+03\left(\frac{ wtd_{mean, PE} -1.812e+00 }{ mean_{at, mass}-1.749e+01 } \right)\right)\right)$; (((wtd_mean_IP+3.901520e+00) .* (lambda+1.686163e+01)) - (1.110130e+03.*((wtd_mean_PE-1.812385e+00) ./ (mean_at_mass-1.749069e+01)))); (((newdata$wtd_mean_IP+3.901520e+00) * (newdata$lambda+1.686163e+01)) - (1.110130e+03*((newdata$wtd_mean_PE-1.812385e+00) / (newdata$mean_at_mass-1.749069e+01)))); wtd_mean_IP,lambda,wtd_mean_PE,mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01,  1.677120156694582e+00,  3.398984910675208e+03,  1.879864252118765e+02
B1Mo1       ,  2.500000000000000e-01,  2.157230695303697e+00,  3.987992853928590e+03,  1.926670503757361e+02
Cr3Ir1      ,  2.560000000000000e-01,  3.928829427964734e+00,  4.148666782869292e+03,  2.071620075482623e+02
Al1Os1      ,  3.900000000000000e-01,  2.005245201696053e+00,  6.297872409161389e+03,  1.946288672584607e+02
Al1Mo3      ,  5.800000000000000e-01,  1.538114919544375e+00, -2.281294635999392e+03,  1.790309278492637e+02
Sb1V3       ,  6.500000000000000e-01,  3.435122888074603e+00,  3.160652586007481e+02,  1.978975213454109e+02
Nb3Os1      ,  6.633333330000000e-01,  2.733075892791079e+00,  2.303467837524608e+03,  1.949827977691315e+02
Ti1O1       ,  7.200000000000000e-01,  2.408028161544694e+00, -9.833098682134860e+02,  1.878300801203911e+02
Ga1Mo3      ,  7.600000000000000e-01,  4.684397339084320e-01,  5.190858825552047e+03,  1.807201668204559e+02
B2Ru1       ,  8.000000000000000e-01, -1.842598914621698e-01,  2.063220019925522e+04,  1.967618357970033e+02
La1Se1      ,  1.020000000000000e+00, -2.044739239241368e+00,  3.320922276475137e+04,  1.991215950342618e+02
Co1Si2      ,  1.306666667000000e+00,  3.516801890720040e+00,  2.951470511724853e+03,  2.021909543923805e+02
Nb1O1       ,  1.380000000000000e+00,  6.380891537365333e+00,  1.188861426697958e+03,  2.228347906724582e+02
Cr1         ,  1.550000000000000e+00,  1.829182468559455e+00,  3.670194610323784e+03,  1.895856681279332e+02
Hg2Na1      ,  1.620000000000000e+00,  3.232345290347391e+00,  1.878233861305771e+04,  2.217367895039292e+02
Ga2Y1       ,  1.680000000000000e+00,  1.679725588601842e+00,  4.968724490684959e+01,  1.833872832272139e+02
Be2Nb1      ,  2.150000000000000e+00,  3.462798552655044e+00,  1.764989585425006e+04,  2.220313630973141e+02
Ge1Mo3      ,  2.179200000000000e+00,  1.557665555179059e+00,  4.592288892649534e+03,  1.886700934657810e+02
B1Hf1       ,  3.100000000000000e+00,  3.005667711683746e+00,  4.298130779498935e+03,  1.999305051940376e+02
B1Zr1       ,  3.100000000000000e+00,  3.523253790054157e+00,  1.960272999022289e+03,  2.008756446770358e+02
C1In1Ti2    ,  3.100000000000000e+00,  3.241303623057050e+00,  8.884370058333952e+02,  1.971255178087326e+02
Pt0.25V0.75 ,  3.102500000000000e+00,  3.317493755960762e+00,  1.286191227799965e+03,  1.982880377202839e+02
Sn1         ,  3.740729412000000e+00,  2.656867301931849e+00, -2.437100952290218e+02,  1.908551421499409e+02
B1Ta1       ,  4.000000000000000e+00,  4.492154311771617e+00, -2.700656174827918e+02,  2.056052248094447e+02
Sn1V3       ,  4.462500000000000e+00,  3.969932039900454e+00,  8.512098584361138e+02,  2.029445383568545e+02
B2Nb1       ,  4.597500000000000e+00,  3.857863348706640e+00,  1.272519814606655e+03,  2.026227986086334e+02
Al1Si1Sr1   ,  4.750000000000000e+00,  2.636901651753253e+00,  3.579528528690529e+03,  1.959681873111633e+02
Fe1Li1P1    ,  4.965000000000000e+00,  5.332652057885248e+00,  5.336632162317201e+02,  2.134855907730396e+02
Ga1Si1Sr1   ,  5.000000000000000e+00,  5.694328790275941e+00,  1.358505525941033e+03,  2.175373428484653e+02
Os0.5V0.5   ,  5.150000000000000e+00,  4.248091867453807e+00,  2.076239068653428e+03,  2.068754472791928e+02
Ir1Ti3      ,  5.185000000000000e+00,  5.167542170275111e+00,  2.723585628519267e+03,  2.151761948704942e+02
Ir1Mo1      ,  5.325000000000000e+00,  2.331898669894998e+00,  1.157062796443488e+04,  2.045340462253325e+02
N1Ti1       ,  5.387500000000000e+00,  5.701273285553412e+00,  6.368461552786572e+02,  2.165978117858909e+02
B6Y1        ,  5.692857143000000e+00,  4.275212287570448e+00,  2.551036728978373e+02,  2.045818144634752e+02
Nb1S2       ,  5.821818182000000e+00,  6.259441830933015e+00, -4.893577324308276e+03,  2.134659818691246e+02
Ge1V3       ,  6.680000000000000e+00,  4.816077259573807e+00,  7.907863804092324e+02,  2.096783639539902e+02
Sn1Ta3      ,  6.692500000000000e+00,  7.095801924112659e+00,  2.242351111210251e+03,  2.300478598568636e+02
Al1Ge1Sr1   ,  6.700000000000000e+00,  9.451767006156004e+00,  2.341889636331631e+03,  2.491665751235863e+02
Ir1Mo3      ,  8.031000000000001e+00,  7.221515184829843e+00,  6.052903273659913e+03,  2.363171026389336e+02
N1V1        ,  8.528333333499999e+00,  4.948618016253195e+00, -1.238206850888757e+03,  2.079473497908331e+02
Re3W1       ,  8.733333332999999e+00,  1.041074268940670e+01,  5.706899785027418e+03,  2.615346047029278e+02
Hf1N1       ,  8.830000000000000e+00,  9.802663836080978e+00,  7.542692697250623e+02,  2.498036445319344e+02
Nb0.75Si0.25,  9.000000000000000e+00,  3.932985281124213e+00,  2.858246218094896e+03,  2.054154408842897e+02
Ta1B2       ,  9.500000000000000e+00,  5.094616745199712e+00,  1.863040803019291e+03,  2.134015890297834e+02
Nb3Pt1      ,  9.516428571000001e+00,  7.971540913706353e+00,  1.623345564315357e+03,  2.362495880956289e+02
N1Zr1       ,  9.850000000000000e+00,  8.727874888017267e+00,  8.051061182568143e+02,  2.412144707377135e+02
