# c0 + a0 * (((wtd_std_at_mass+1.713792e+02) / (lambda3-4.784197e-02)) - (6.762601e+01*((wtd_mean_ThermalCond-4.166984e+01) / (mean_IP-7.038197e+00)))) + a1 * (((wtd_mean_IP+3.113365e+00) * (lambda+1.495862e+01)) - (1.763704e+00*((wtd_mean_PE-2.334312e+00) / (mean_at_rad-1.121174e+00))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.43461912025397; Max AE: 7.67156921035132
# Coefficients
# Task   a0                      a1                      c0
# all , -5.149559190986636e-05,  1.334981761306707e-01, -1.934570644095303e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; g * mol^-1;                                       13|7|div|39|20|div|sub:6.7626009420506e+01,0.0000000000000e+00,-4.1669844101930e+01,-7.0381972718899e+00,1.7137923021796e+02,-4.7841969309361e-02; (((wtd_std_at_mass+1.713792e+02) / (lambda3-4.784197e-02)) - (6.762601e+01*((wtd_mean_ThermalCond-4.166984e+01) / (mean_IP-7.038197e+00)))); $\left(\left(\frac{ wtd_{std, at, mass} +1.714e+02 }{ lambda3-4.784e-02 } \right) - \left(6.763e+01\left(\frac{ wtd_{mean, ThermalCond} -4.167e+01 }{ mean_{IP}-7.038e+00 } \right)\right)\right)$; (((wtd_std_at_mass+1.713792e+02) ./ (lambda3-4.784197e-02)) - (6.762601e+01.*((wtd_mean_ThermalCond-4.166984e+01) ./ (mean_IP-7.038197e+00)))); (((newdata$wtd_std_at_mass+1.713792e+02) / (newdata$lambda3-4.784197e-02)) - (6.762601e+01*((newdata$wtd_mean_ThermalCond-4.166984e+01) / (newdata$mean_IP-7.038197e+00)))); wtd_std_at_mass,lambda3,wtd_mean_ThermalCond,mean_IP
# 1;  2; eV;                                               21|5|mult|33|14|div|sub:1.7637043894834e+00,0.0000000000000e+00,-2.3343120951250e+00,-1.1211736688842e+00,3.1133646984467e+00,1.4958620349021e+01; (((wtd_mean_IP+3.113365e+00) * (lambda+1.495862e+01)) - (1.763704e+00*((wtd_mean_PE-2.334312e+00) / (mean_at_rad-1.121174e+00)))); $\left(\left(\left(wtd_{mean, IP}+3.113e+00\right) * \left(lambda+1.496e+01\right)\right) - \left(1.764e+00\left(\frac{ wtd_{mean, PE} -2.334e+00 }{ mean_{at, rad}-1.121e+00 } \right)\right)\right)$; (((wtd_mean_IP+3.113365e+00) .* (lambda+1.495862e+01)) - (1.763704e+00.*((wtd_mean_PE-2.334312e+00) ./ (mean_at_rad-1.121174e+00)))); (((newdata$wtd_mean_IP+3.113365e+00) * (newdata$lambda+1.495862e+01)) - (1.763704e+00*((newdata$wtd_mean_PE-2.334312e+00) / (newdata$mean_at_rad-1.121174e+00)))); wtd_mean_IP,lambda,wtd_mean_PE,mean_at_rad
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01,  2.541748207746687e+00, -1.658679887576707e+04,  1.575550185952681e+02
Cr3Ir1      ,  2.560000000000000e-01,  4.401805282419477e+00, -4.946455135308278e+03,  1.759783674147653e+02
Al1Os1      ,  3.900000000000000e-01,  4.046508852119319e+00, -2.429746104472638e+04,  1.658524767633918e+02
Al1Mo3      ,  5.800000000000000e-01,  1.530251735126113e+00, -6.029208601699898e+03,  1.540506477800614e+02
Sb1V3       ,  6.500000000000000e-01,  2.751260396026958e+00,  1.676577489194597e+03,  1.661693352683363e+02
Nb3Os1      ,  6.633333330000000e-01,  2.502609733449494e+00, -6.063382225399487e+02,  1.634261460424766e+02
Ti1O1       ,  7.200000000000000e-01,  3.531032689443197e+00, -3.435099674833068e+03,  1.700386274727248e+02
Ga1Mo3      ,  7.600000000000000e-01,  3.100024775884816e-01,  1.860073353957334e+04,  1.544108339123868e+02
B2Ru1       ,  8.000000000000000e-01,  2.808289286221633e+00,  4.916261844752476e+04,  1.849137911802335e+02
La1Se1      ,  1.020000000000000e+00, -2.059126732407980e+00,  9.707044867035298e+04,  1.669332163607082e+02
Al1Nb1Ni2   ,  1.075000000000000e+00,  1.281642871931608e+00,  2.174357098945103e+04,  1.629014567954410e+02
Co1Si2      ,  1.306666667000000e+00,  6.153259127241275e+00, -2.071524076771642e+04,  1.830153990972177e+02
Nb1O1       ,  1.380000000000000e+00,  6.289170456707218e+00,  4.498057261183072e+03,  1.937592540099626e+02
Cr1         ,  1.550000000000000e+00,  6.917740149828493e-01,  1.702006705530142e+04,  1.566608585185708e+02
Be2Nb1      ,  2.150000000000000e+00,  5.652209531462867e+00, -3.043579166403500e+03,  1.860788347954834e+02
Ge1Mo3      ,  2.179200000000000e+00,  2.643830245190721e+00, -7.370243753989544e+03,  1.618748828475362e+02
B1Hf1       ,  3.100000000000000e+00,  2.518412070970344e+00,  1.794942519290827e+04,  1.707022181663986e+02
B1Zr1       ,  3.100000000000000e+00,  2.842233262820520e+00,  8.486863659439721e+03,  1.694777893387020e+02
C1In1Ti2    ,  3.100000000000000e+00,  3.907843417406895e+00, -8.807181400656496e+03,  1.707889912799890e+02
Pt0.25V0.75 ,  3.102500000000000e+00,  2.748308883541287e+00,  5.328392910340691e+02,  1.657060406392821e+02
Sn1         ,  3.740729412000000e+00,  2.785162608697126e+00, -1.098375707720883e+04,  1.615396899239777e+02
B1Ta1       ,  4.000000000000000e+00,  4.639010707545452e+00, -7.176170493012207e+03,  1.768951208606753e+02
Sn1V3       ,  4.462500000000000e+00,  2.598251865705556e+00,  1.663524616763648e+04,  1.707933457630888e+02
Al1Si1Sr1   ,  4.750000000000000e+00,  7.089408911267218e-01,  1.652063790753341e+04,  1.565968012880876e+02
Fe1Li1P1    ,  4.965000000000000e+00,  4.817749032668086e+00, -5.679911620419733e+03,  1.788111699695919e+02
