# c0 + a0 * (((range_at_mass-1.358685e+01)^2) - (3.890974e+03*((wtd_std_EA-4.277337e-01) / (wtd_mean_at_rad-1.141937e+00)))) + a1 * (((range_at_rad+7.849685e+00) / (lambda3-4.787876e-02)) - (6.255647e+02*((wtd_mean_EA-6.997190e-01) / (mean_IP-7.035498e+00)))) + a2 * (((mean_IP+1.557438e+00) * (lambda+1.030182e+01)) - (8.225751e+02*((wtd_std_EA-1.850934e-01) / (wtd_mean_at_mass-1.503192e+01))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.82172709094725; Max AE: 4.77274807632514
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -4.916310822594257e-05, -1.079658780719301e-03,  1.685059324910596e-01, -1.286955725417023e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; g^2 * mol^-2;                                     10|sq|31|15|div|sub:3.8909740198506e+03,0.0000000000000e+00,-4.2773368356621e-01,-1.1419370833210e+00,1.0000000000000e+00,-1.3586851754982e+01; (((range_at_mass-1.358685e+01)^2) - (3.890974e+03*((wtd_std_EA-4.277337e-01) / (wtd_mean_at_rad-1.141937e+00)))); $\left(\left(\left(range_{at, mass}-1.359e+01\right)^2\right) - \left(3.891e+03\left(\frac{ wtd_{std, EA} -4.277e-01 }{ wtd_{mean, at, rad}-1.142e+00 } \right)\right)\right)$; ((range_at_mass-1.358685e+01).^2 - (3.890974e+03.*((wtd_std_EA-4.277337e-01) ./ (wtd_mean_at_rad-1.141937e+00)))); ((newdata$range_at_mass-1.358685e+01)^2 - (3.890974e+03*((newdata$wtd_std_EA-4.277337e-01) / (newdata$wtd_mean_at_rad-1.141937e+00)))); range_at_mass,wtd_std_EA,wtd_mean_at_rad
# 1;  2; AA;                                               16|7|div|27|20|div|sub:6.2556465242553e+02,0.0000000000000e+00,-6.9971897708407e-01,-7.0354983072716e+00,7.8496846472706e+00,-4.7878764480182e-02; (((range_at_rad+7.849685e+00) / (lambda3-4.787876e-02)) - (6.255647e+02*((wtd_mean_EA-6.997190e-01) / (mean_IP-7.035498e+00)))); $\left(\left(\frac{ range_{at, rad} +7.850e+00 }{ lambda3-4.788e-02 } \right) - \left(6.256e+02\left(\frac{ wtd_{mean, EA} -6.997e-01 }{ mean_{IP}-7.035e+00 } \right)\right)\right)$; (((range_at_rad+7.849685e+00) ./ (lambda3-4.787876e-02)) - (6.255647e+02.*((wtd_mean_EA-6.997190e-01) ./ (mean_IP-7.035498e+00)))); (((newdata$range_at_rad+7.849685e+00) / (newdata$lambda3-4.787876e-02)) - (6.255647e+02*((newdata$wtd_mean_EA-6.997190e-01) / (newdata$mean_IP-7.035498e+00)))); range_at_rad,lambda3,wtd_mean_EA,mean_IP
# 2;  2; eV;                                               20|5|mult|31|9|div|sub:8.2257505330633e+02,0.0000000000000e+00,-1.8509344587543e-01,-1.5031917695852e+01,1.5574379700048e+00,1.0301816940895e+01; (((mean_IP+1.557438e+00) * (lambda+1.030182e+01)) - (8.225751e+02*((wtd_std_EA-1.850934e-01) / (wtd_mean_at_mass-1.503192e+01)))); $\left(\left(\left(mean_{IP}+1.557e+00\right) * \left(lambda+1.030e+01\right)\right) - \left(8.226e+02\left(\frac{ wtd_{std, EA} -1.851e-01 }{ wtd_{mean, at, mass}-1.503e+01 } \right)\right)\right)$; (((mean_IP+1.557438e+00) .* (lambda+1.030182e+01)) - (8.225751e+02.*((wtd_std_EA-1.850934e-01) ./ (wtd_mean_at_mass-1.503192e+01)))); (((newdata$mean_IP+1.557438e+00) * (newdata$lambda+1.030182e+01)) - (8.225751e+02*((newdata$wtd_std_EA-1.850934e-01) / (newdata$wtd_mean_at_mass-1.503192e+01)))); mean_IP,lambda,wtd_std_EA,wtd_mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
Rh1V3       ,  1.900000000000000e-01,  2.140471947876062e+00,  3.478208729218921e+03,  3.471835484721643e+02,  9.231644423965842e+01
B1Mo1       ,  2.500000000000000e-01,  2.509964750445830e+00,  2.076382154800728e+04,  2.713425433653812e+02,  9.906650242701531e+01
Cr3Ir1      ,  2.560000000000000e-01,  5.028748076325136e+00,  1.714835019704704e+04, -1.308988355684681e+02,  1.103821401119428e+02
Al1Os1      ,  3.900000000000000e-01,  2.064594451676872e+00,  2.448655072737227e+04, -7.441331426737621e+01,  9.529424527553475e+01
Al1Mo3      ,  5.800000000000000e-01,  2.485906548302893e+00,  6.854166313960520e+03, -9.589603508326477e+02,  8.698261089653029e+01
Sb1V3       ,  6.500000000000000e-01,  4.057394661324512e+00,  5.615511470547632e+03,  5.233894812609140e+01,  1.024268752051147e+02
Nb3Os1      ,  6.633333330000000e-01,  3.990629552396466e+00,  1.001592775734455e+04, -1.669322346568931e+02,  1.019095935679472e+02
Ti1O1       ,  7.200000000000000e-01, -3.358719506348331e-01,  8.614764370083318e+04, -2.053780692751500e+02,  9.819970581289321e+01
Ga1Mo3      ,  7.600000000000000e-01,  1.262808271381971e+00,  3.235648840110292e+03,  3.227600982010944e+02,  8.688068507335826e+01
B2Ru1       ,  8.000000000000000e-01,  7.678015079832695e-01,  1.992635508498458e+03,  2.185144767055112e+03,  9.551315739616744e+01
La1Se1      ,  1.020000000000000e+00, -9.514418184626822e-01, -4.778993003047017e+02,  3.552946373445688e+03,  9.335333146822951e+01
Al1Nb1Ni2   ,  1.075000000000000e+00,  1.477642612007128e+00,  6.055883250835761e+03,  5.758725805341700e+02,  9.060020363853400e+01
Co1Si2      ,  1.306666667000000e+00,  3.259525223687181e+00,  2.531454089129060e+04, -9.042707021460370e+02,  9.731004686459207e+01
Nb1O1       ,  1.380000000000000e+00,  4.391519584710886e+00,  7.337193750093845e+04,  8.147260514739008e+01,  1.243649505196748e+02
Cr1         ,  1.550000000000000e+00,  2.454785402017800e+00,  6.893790163059967e+03,  1.034769185346526e+02,  9.361677858194200e+01
Hg2Na1      ,  1.620000000000000e+00,  2.308179228182718e+00,  2.946419172374340e+04,  4.737589230555743e+02,  1.017043462905237e+02
Ga2Y1       ,  1.680000000000000e+00,  2.374042701790672e+00,  5.453981364459441e+03, -2.625245806660304e+02,  9.037247198511139e+01
Be2Nb1      ,  2.150000000000000e+00,  2.420436262111803e+00,  8.703141513058516e+03,  4.106829657577859e+02,  9.590917207216974e+01
Ge1Mo3      ,  2.179200000000000e+00,  3.404185704964568e+00,  2.442939647413953e+03, -8.237699262691419e+01,  9.676161652561544e+01
B1Hf1       ,  3.100000000000000e+00,  8.213593400840068e-01,  3.109723527211044e+04,  1.210811064019351e+03,  9.807972864932835e+01
B1Zr1       ,  3.100000000000000e+00,  2.417685042406700e+00,  1.344559994131408e+04,  7.485070242426152e+02,  9.944102094860743e+01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.318463673673604e+00,  1.552787378436737e+04, -1.512433801751392e+02,  9.962930073504936e+01
B1Ta1       ,  4.000000000000000e+00,  2.731370799434582e+00,  3.682181972002759e+04, -6.227501304208232e+00,  1.032870435350107e+02
Sn1V3       ,  4.462500000000000e+00,  3.778900355724554e+00,  4.709240789254880e+03,  3.911121527093638e+02,  1.026803385412892e+02
B2Nb1       ,  4.597500000000000e+00,  3.818303928451890e+00, -1.326434480069007e+04,  3.051895686430938e+02,  9.711969851315062e+01
Fe1Li1P1    ,  4.965000000000000e+00,  2.937757588014381e+00,  9.737608588871539e+03, -6.431211436708298e+01,  9.623762539623654e+01
Ga1Si1Sr1   ,  5.000000000000000e+00,  4.748548968151080e+00, -1.730045748937150e+02, -2.052098370854226e+02,  1.031895074560982e+02
Os0.5V0.5   ,  5.150000000000000e+00,  3.964175402402638e+00,  1.739141617834586e+04, -9.501639958088118e+01,  1.043652480494390e+02
Ir1Ti3      ,  5.185000000000000e+00,  5.241382571617952e+00,  1.558581632375132e+04,  1.688035733439212e+02,  1.131084050212370e+02
Ir1Mo1      ,  5.325000000000000e+00,  4.144202260314842e+00,  7.049020087874555e+03, -9.583893991220879e+01,  1.024108625959305e+02
La1         ,  5.343000000000000e+00,  3.679189750276034e+00,  1.977908382554891e+03, -8.544186610542275e+01,  9.823831613890110e+01
N1Ti1       ,  5.387500000000000e+00,  5.218457699528216e+00,  1.160518924174767e+05,  1.435213963330661e+02,  1.421222415269386e+02
B6Y1        ,  5.692857143000000e+00,  5.904478031657047e+00, -6.637943379539412e+03,  1.219329815627164e+03,  1.172905499938089e+02
Nb1S2       ,  5.821818182000000e+00,  5.038862473240028e+00, -8.033034603418305e+02, -9.033428989488013e+02,  1.002553707745394e+02
Ge1V3       ,  6.680000000000000e+00,  5.239029483540014e+00,  1.359818690097022e+03, -6.784241184109851e+01,  1.074276301604406e+02
Al1Ge1Sr1   ,  6.700000000000000e+00,  8.816649472407509e+00,  5.347371345246286e+02, -1.263332581354201e+02,  1.280435586794356e+02
Ir1Mo3      ,  8.031000000000001e+00,  9.929668762781427e+00,  7.943319339331230e+03, -1.479789335539877e+02,  1.366716126243999e+02
N1V1        ,  8.528333333499999e+00,  9.429257813543691e+00, -2.876232319351481e+04, -1.090586563687086e+02,  1.232420925290658e+02
C1Ta1       ,  8.637499999999999e+00,  6.809421864417049e+00,  2.185592597615003e+04, -1.394740397950107e+01,  1.230723786929967e+02
Hf1N1       ,  8.830000000000000e+00,  7.729494155262603e+00,  4.166752625725181e+04,  1.678834135421274e+02,  1.354778017391436e+02
Nb0.75Si0.25,  9.000000000000000e+00,  5.250406493813446e+00,  5.107366242239103e+03, -4.684312520481639e+02,  1.060218567308373e+02
Ta1B2       ,  9.500000000000000e+00,  9.406578031165994e+00, -7.976347519801006e+04,  2.545009569609538e+02,  1.105568738096028e+02
Nb3Pt1      ,  9.516428571000001e+00,  9.755526752207391e+00,  7.462983046182821e+03, -3.720214804037761e+02,  1.340625273999176e+02
N1Zr1       ,  9.850000000000000e+00,  8.524864078260359e+00,  1.353637764411463e+04,  1.374513996613173e+02,  1.317954330378263e+02
C1I1Y1      ,  9.917500000000000e+00,  5.883297144145110e+00, -3.745373259043086e+03, -2.186420180144821e+02,  1.087953472132122e+02
C1Nb1       ,  1.002500000000000e+01,  5.693021822999105e+00,  2.646269819022367e+04, -1.004172070132486e+02,  1.172371260816395e+02
C1Mo1       ,  1.015200000000000e+01,  1.061002995621094e+01, -8.997295417004761e+04, -3.062229601113618e+02,  1.111273682922871e+02
Nb1Ru3      ,  1.350000000000000e+01,  1.172392389242007e+01,  3.947936791692996e+03, -7.919876653058702e+03,  9.635749542837218e+01
Mo1Ni1P1    ,  1.550000000000000e+01,  1.487422439298053e+01,  9.093585483873901e+03, -9.550982734709263e+03,  1.061033753299909e+02
Nb3Sn1      ,  1.670900000000000e+01,  1.768088812730287e+01,  2.885791371664629e+03, -1.055813021295531e+04,  1.144953271222331e+02
Ga0.25Nb0.75,  1.816296296333330e+01,  1.853832383125004e+01,  2.005925616010873e+03,  4.296030830424871e+01,  1.872508619204287e+02
B2Mg0.98    ,  3.840000000000000e+01,  3.832353351505942e+01, -1.072473596493470e+04,  3.731441551224071e+02,  3.030676547874801e+02
