# c0 + a0 * (((wtd_range_ThermalCond+1.220220e+02) * (mean_PE-5.714553e-01)) + 1.837758e+03*((mean_EA-2.844391e+00) / (lambda4w_low-1.225183e+02))) + a1 * (((mean_at_mass-1.337967e+01) / (lambda3-4.742619e-02)) + 5.880868e+00*((wtd_mean_at_mass+4.793934e+02) / (wtd_mean_PE-2.402360e+00))) + a2 * ((mean_IP + 8.975256e-01*lambda) + 5.943261e-02*((L_avg+2.040414e+01) / (density-2.610884e+00)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.53690466654598; Max AE: 4.38280708085034
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.904109766328090e-02, -1.046761210449971e-04,  1.389738784369553e+00, -5.208122076832474e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W * mK^-1;                                        41|32|mult|26|6|div|add:1.8377577995084e+03,0.0000000000000e+00,-2.8443908451594e+00,-1.2251825654146e+02,1.2202197808077e+02,-5.7145527352264e-01; (((wtd_range_ThermalCond+1.220220e+02) * (mean_PE-5.714553e-01)) + 1.837758e+03*((mean_EA-2.844391e+00) / (lambda4w_low-1.225183e+02))); $\left(\left(\left(wtd_{range, ThermalCond}+1.220e+02\right) * \left(mean_{PE}-5.715e-01\right)\right) + 1.84e+03\left(\frac{ mean_{EA} -2.844e+00 }{ lambda4w_{low}-1.225e+02 } \right)\right)$; (((wtd_range_ThermalCond+1.220220e+02) .* (mean_PE-5.714553e-01)) + (1.837758e+03.*((mean_EA-2.844391e+00) ./ (lambda4w_low-1.225183e+02)))); (((newdata$wtd_range_ThermalCond+1.220220e+02) * (newdata$mean_PE-5.714553e-01)) + (1.837758e+03*((newdata$mean_EA-2.844391e+00) / (newdata$lambda4w_low-1.225183e+02)))); wtd_range_ThermalCond,mean_PE,mean_EA,lambda4w_low
# 1;  2; g * mol^-1;                                       8|7|div|9|33|div|add:5.8808683504127e+00,0.0000000000000e+00,4.7939340139341e+02,-2.4023604866225e+00,-1.3379671437197e+01,-4.7426193652951e-02; (((mean_at_mass-1.337967e+01) / (lambda3-4.742619e-02)) + 5.880868e+00*((wtd_mean_at_mass+4.793934e+02) / (wtd_mean_PE-2.402360e+00))); $\left(\left(\frac{ mean_{at, mass} -1.338e+01 }{ lambda3-4.743e-02 } \right) + 5.88\left(\frac{ wtd_{mean, at, mass} +4.794e+02 }{ wtd_{mean, PE}-2.402e+00 } \right)\right)$; (((mean_at_mass-1.337967e+01) ./ (lambda3-4.742619e-02)) + (5.880868e+00.*((wtd_mean_at_mass+4.793934e+02) ./ (wtd_mean_PE-2.402360e+00)))); (((newdata$mean_at_mass-1.337967e+01) / (newdata$lambda3-4.742619e-02)) + (5.880868e+00*((newdata$wtd_mean_at_mass+4.793934e+02) / (newdata$wtd_mean_PE-2.402360e+00)))); mean_at_mass,lambda3,wtd_mean_at_mass,wtd_mean_PE
# 2;  2; eV;                                               20|5|add|0|2|div|add:5.9432607505991e-02,0.0000000000000e+00,2.0404136604877e+01,-2.6108840773567e+00,8.9752562800052e-01,0.0000000000000e+00; ((mean_IP + 8.975256e-01*lambda) + 5.943261e-02*((L_avg+2.040414e+01) / (density-2.610884e+00))); $\left(\left(mean_{IP} + 0.898lambda\right) + 0.0594\left(\frac{ L_{avg} +2.040e+01 }{ density-2.611e+00 } \right)\right)$; ((mean_IP + (8.975256e-01.*lambda)) + (5.943261e-02.*((L_avg+2.040414e+01) ./ (density-2.610884e+00)))); ((newdata$mean_IP + (8.975256e-01*newdata$lambda)) + (5.943261e-02*((newdata$L_avg+2.040414e+01) / (newdata$density-2.610884e+00)))); mean_IP,lambda,L_avg,density
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
Rh1V3       ,  1.900000000000000e-01,  1.825191930834599e+00,  2.228199766560330e+02, -4.095863839180222e+03,  7.805288250922302e+00
B1Mo1       ,  2.500000000000000e-01,  1.498666784056750e+00,  3.164105561058336e+02, -9.930258176084057e+03,  8.413186985962723e+00
Cr3Ir1      ,  2.560000000000000e-01,  4.638807080850343e+00,  2.041744806012584e+02, -5.454140981422690e+03,  9.472080084146745e+00
Al1Os1      ,  3.900000000000000e-01,  8.434656602922930e-01,  2.971349001367874e+02, -6.135720574141321e+03,  7.963438226487997e+00
Al1Mo3      ,  5.800000000000000e-01,  1.298658724068989e+00,  2.549189966048823e+02, -1.434707466677493e+04,  7.094082929758702e+00
Sb1V3       ,  6.500000000000000e-01,  2.826016803779465e+00,  2.406261022984841e+02, -4.685347775641583e+03,  8.725006526612614e+00
Nb3Os1      ,  6.633333330000000e-01,  2.773780265191958e+00,  2.207679281221701e+02, -4.521452879190902e+03,  8.427682961118929e+00
Ti1O1       ,  7.200000000000000e-01,  8.191079308488768e-01,  2.863317396371961e+02,  3.390308203439896e+04,  1.081364635862772e+01
Ga1Mo3      ,  7.600000000000000e-01, -1.205250862787724e+00,  3.466984658185109e+02, -6.764545242421625e+03,  7.120981522642032e+00
B2Ru1       ,  8.000000000000000e-01,  1.697043789563028e+00,  2.577748994653999e+02, -5.953441977073307e+02,  8.455664268078117e+00
La1Se1      ,  1.020000000000000e+00, -2.963688843038279e-01,  1.849596245215647e+02,  3.113470097760140e+04,  8.413557516381054e+00
Co1Si2      ,  1.306666667000000e+00,  2.800107309360342e+00,  2.770281061925766e+02, -8.406100394733225e+03,  8.924864707485717e+00
Nb1O1       ,  1.380000000000000e+00,  1.035901147764595e+00,  3.187567192467243e+02,  2.749943437571230e+04,  1.093157601906732e+01
Cr1         ,  1.550000000000000e+00,  2.353716195240293e+00,  1.698913036529951e+02, -3.323357546066979e+03,  7.518592067676748e+00
Hg2Na1      ,  1.620000000000000e+00,  3.568279247281377e+00,  1.871372965396581e+02, -4.279260345912100e+03,  8.556834294158898e+00
Ga2Y1       ,  1.680000000000000e+00,  2.227760779447548e+00,  1.852108898994785e+02, -4.097561284353680e+03,  7.579542858442538e+00
Be2Nb1      ,  2.150000000000000e+00,  2.469602749339119e+00,  2.749147337591508e+02, -2.990714434635710e+03,  9.065981950197299e+00
Ge1Mo3      ,  2.179200000000000e+00,  4.895161867867266e-01,  3.494852751389913e+02, -1.037665859928787e+04,  8.106583247547800e+00
B1Hf1       ,  3.100000000000000e+00,  2.586214790307499e+00,  1.800955824691779e+02,  2.937519419411055e+02,  8.098142889923253e+00
B1Zr1       ,  3.100000000000000e+00,  3.291582858644907e+00,  1.808047498319145e+02, -3.319243979988786e+03,  8.343280320585389e+00
C1In1Ti2    ,  3.100000000000000e+00,  2.971482981239463e+00,  2.370627308872073e+02, -7.246537525327175e+03,  8.587944989586884e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  2.847601937757335e+00,  2.469507931423360e+02, -5.231932894905123e+03,  8.786025029423383e+00
Sn1         ,  3.740729412000000e+00,  3.555975804504089e+00,  1.941897532422836e+02, -1.130303286019409e+04,  8.115572817735304e+00
B1Ta1       ,  4.000000000000000e+00,  3.451168201808624e+00,  2.027375841740038e+02, -7.678644323740879e+03,  8.430264628138296e+00
Sn1V3       ,  4.462500000000000e+00,  4.889637847481220e+00,  1.487305611356990e+02, -4.652656496458238e+03,  8.953287603219355e+00
B2Nb1       ,  4.597500000000000e+00,  2.208085547499972e+00,  2.625634363851472e+02, -5.848954031255586e+03,  8.493292388426012e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  4.692817335333822e+00,  2.145589258010793e+02, -3.221290251526449e+03,  9.821403027746189e+00
