# c0 + a0 * ((exp(6.351790e-01*wtd_range_IP)) + 3.625626e+02*(wtd_std_at_rad - (4.680947e-01*range_at_rad))) + a1 * (((wtd_range_ThermalCond-7.231174e+01) * (wtd_mean_PE+8.118533e-01)) + 2.879818e-02*((range_EA-1.601720e+05) / (lambda4w_low-1.225451e+02))) + a2 * (((range_at_mass-4.788205e+01) / (lambda3-4.712781e-02)) + 2.336915e+02*((wtd_std_EA+1.614492e+01) / (mean_PE-2.405392e+00))) + a3 * (((mean_at_mass-7.544343e+01) / (mean_IP-7.086814e+00)) + 2.144045e+00*|wtd_range_at_mass - (-1.473817e-01*wtd_mean_at_mass+9.928615e+01)|) + a4 * ((wtd_mean_IP + 6.601761e-01*lambda) + 6.201783e-04*((wtd_std_EA-4.031018e+01) / (wtd_mean_at_rad-1.031476e+00)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.06391048062956; Max AE: 2.89110407469724
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -1.576194149490683e-01, -1.247924594516852e-02, -7.386963396137406e-05, -1.382940731855651e-02,  1.932043334219870e+00, -1.147954093385164e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         23|exp|19|16|sub|add:3.6256256907362e+02,0.0000000000000e+00,4.6809473472552e-01,0.0000000000000e+00,6.3517895374800e-01,0.0000000000000e+00; ((exp(6.351790e-01*wtd_range_IP)) + 3.625626e+02*(wtd_std_at_rad - (4.680947e-01*range_at_rad))); $\left(\left(\exp{ \left(6.352e-01wtd_{range, IP} \right)}\right) + 363.0\left(wtd_{std, at, rad} - \left(4.681e-01range_{at, rad}\right)\right)\right)$; (exp(6.351790e-01.*wtd_range_IP) + (3.625626e+02.*(wtd_std_at_rad - (4.680947e-01.*range_at_rad)))); (exp(6.351790e-01*newdata$wtd_range_IP) + (3.625626e+02*(newdata$wtd_std_at_rad - (4.680947e-01*newdata$range_at_rad)))); wtd_range_IP,wtd_std_at_rad,range_at_rad
# 1;  2; W * mK^-1;                                        41|33|mult|28|6|div|add:2.8798182695810e-02,0.0000000000000e+00,-1.6017201594727e+05,-1.2254512141215e+02,-7.2311735158758e+01,8.1185327379992e-01; (((wtd_range_ThermalCond-7.231174e+01) * (wtd_mean_PE+8.118533e-01)) + 2.879818e-02*((range_EA-1.601720e+05) / (lambda4w_low-1.225451e+02))); $\left(\left(\left(wtd_{range, ThermalCond}-7.231e+01\right) * \left(wtd_{mean, PE}+8.119e-01\right)\right) + 0.0288\left(\frac{ range_{EA} -1.602e+05 }{ lambda4w_{low}-1.225e+02 } \right)\right)$; (((wtd_range_ThermalCond-7.231174e+01) .* (wtd_mean_PE+8.118533e-01)) + (2.879818e-02.*((range_EA-1.601720e+05) ./ (lambda4w_low-1.225451e+02)))); (((newdata$wtd_range_ThermalCond-7.231174e+01) * (newdata$wtd_mean_PE+8.118533e-01)) + (2.879818e-02*((newdata$range_EA-1.601720e+05) / (newdata$lambda4w_low-1.225451e+02)))); wtd_range_ThermalCond,wtd_mean_PE,range_EA,lambda4w_low
# 2;  2; g * mol^-1;                                       10|7|div|31|32|div|add:2.3369146322380e+02,0.0000000000000e+00,1.6144923983856e+01,-2.4053915846208e+00,-4.7882054384287e+01,-4.7127808421449e-02; (((range_at_mass-4.788205e+01) / (lambda3-4.712781e-02)) + 2.336915e+02*((wtd_std_EA+1.614492e+01) / (mean_PE-2.405392e+00))); $\left(\left(\frac{ range_{at, mass} -4.788e+01 }{ lambda3-4.713e-02 } \right) + 234.0\left(\frac{ wtd_{std, EA} +1.614e+01 }{ mean_{PE}-2.405e+00 } \right)\right)$; (((range_at_mass-4.788205e+01) ./ (lambda3-4.712781e-02)) + (2.336915e+02.*((wtd_std_EA+1.614492e+01) ./ (mean_PE-2.405392e+00)))); (((newdata$range_at_mass-4.788205e+01) / (newdata$lambda3-4.712781e-02)) + (2.336915e+02*((newdata$wtd_std_EA+1.614492e+01) / (newdata$mean_PE-2.405392e+00)))); range_at_mass,lambda3,wtd_std_EA,mean_PE
# 3;  2; eV^-1 * g * mol^-1;                               8|20|div|11|9|abd|add:2.1440450809109e+00,0.0000000000000e+00,-1.4738170844554e-01,9.9286152144642e+01,-7.5443426948906e+01,-7.0868136299372e+00; (((mean_at_mass-7.544343e+01) / (mean_IP-7.086814e+00)) + 2.144045e+00*|wtd_range_at_mass - (-1.473817e-01*wtd_mean_at_mass+9.928615e+01)|); $\left(\left(\frac{ mean_{at, mass} -7.544e+01 }{ mean_{IP}-7.087e+00 } \right) + 2.14\left(\left|wtd_{range, at, mass} - \left(-1.474e-01wtd_{mean, at, mass}+9.929e+01\right)\right|\right)\right)$; (((mean_at_mass-7.544343e+01) ./ (mean_IP-7.086814e+00)) + (2.144045e+00.*abs(wtd_range_at_mass - (-1.473817e-01.*wtd_mean_at_mass+9.928615e+01)))); (((newdata$mean_at_mass-7.544343e+01) / (newdata$mean_IP-7.086814e+00)) + (2.144045e+00*abs(newdata$wtd_range_at_mass - (-1.473817e-01*newdata$wtd_mean_at_mass+9.928615e+01)))); mean_at_mass,mean_IP,wtd_range_at_mass,wtd_mean_at_mass
# 4;  2; eV;                                               21|5|add|31|15|div|add:6.2017826232176e-04,0.0000000000000e+00,-4.0310182538429e+01,-1.0314756096223e+00,6.6017608096843e-01,0.0000000000000e+00; ((wtd_mean_IP + 6.601761e-01*lambda) + 6.201783e-04*((wtd_std_EA-4.031018e+01) / (wtd_mean_at_rad-1.031476e+00))); $\left(\left(wtd_{mean, IP} + 0.660lambda\right) + 0.000620\left(\frac{ wtd_{std, EA} -4.031e+01 }{ wtd_{mean, at, rad}-1.031e+00 } \right)\right)$; ((wtd_mean_IP + (6.601761e-01.*lambda)) + (6.201783e-04.*((wtd_std_EA-4.031018e+01) ./ (wtd_mean_at_rad-1.031476e+00)))); ((newdata$wtd_mean_IP + (6.601761e-01*newdata$lambda)) + (6.201783e-04*((newdata$wtd_std_EA-4.031018e+01) / (newdata$wtd_mean_at_rad-1.031476e+00)))); wtd_mean_IP,lambda,wtd_std_EA,wtd_mean_at_rad
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01,  2.894359942665407e-02,  4.711500484132380e+00, -1.084878146326170e+02, -8.429455640689121e+03,  2.602685903571997e+02,  7.180968284788602e+00
B1Mo1       ,  2.500000000000000e-01,  2.187914073724376e+00,  9.564055425122143e+00,  1.470076182625917e-01, -1.213263005794362e+04,  6.844992360067468e+01,  7.881375658494526e+00
Cr3Ir1      ,  2.560000000000000e-01,  2.631291103703779e+00,  5.392074714974707e+00, -1.118149444235073e+02, -8.085229994164716e+03,  2.210600385602358e+02,  8.294450522300883e+00
Al1Os1      ,  3.900000000000000e-01,  5.094427781550140e-01,  5.028305198874431e+00,  4.781917784712791e+01, -6.706722612628235e+03,  1.329956279169056e+02,  7.619972503571194e+00
Al1Mo3      ,  5.800000000000000e-01,  1.771325795440498e+00,  2.608525758356290e+00, -3.711815520806469e+01, -9.898692398189743e+03,  7.368973214302299e+01,  6.980530272437111e+00
Sb1V3       ,  6.500000000000000e-01,  1.608660290922942e+00,  2.597062087887122e+00, -6.184926145762110e+01, -6.716908511653117e+03,  1.925248603805000e+02,  7.707925263722181e+00
Nb3Os1      ,  6.633333330000000e-01,  1.483641291001634e+00,  1.022435380200157e+00, -9.139323093422365e+01, -7.173294231730642e+03,  2.312846982570622e+02,  7.583919420844412e+00
Ti1O1       ,  7.200000000000000e-01,  1.327772857921395e+00,  1.951385455104549e+01, -1.648060932562848e+02,  4.685629184175956e+04,  1.547469219521354e+02,  1.005553827727894e+01
Ga1Mo3      ,  7.600000000000000e-01,  2.613244177488039e-01,  2.868650467049379e+00,  1.113147539862485e+02, -1.011031208362002e+04,  5.405003734288790e+01,  7.030266475291406e+00
B2Ru1       ,  8.000000000000000e-01,  1.565764206294792e+00, -1.424920675142562e+00, -1.061792877655122e+02, -4.793793951213156e+03,  1.169012461538262e+02,  6.603491469030790e+00
La1Se1      ,  1.020000000000000e+00,  1.047112736146399e+00,  1.382956845942362e+01, -1.359170821426419e+02, -2.610621441259567e+03,  1.721801422790148e+02,  7.866605714082341e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  1.593953656182073e+00, -6.313909813392232e+00, -1.166417131673249e+01, -5.434363155700225e+03,  2.002142655815475e+02,  7.401567923402643e+00
Co1Si2      ,  1.306666667000000e+00,  1.403129435359117e+00,  3.914501860209765e+00,  2.362727984374990e+01, -6.057189367267240e+03,  1.644274280791039e+02,  8.085229631032522e+00
Nb1O1       ,  1.380000000000000e+00,  2.572760014760515e+00,  2.016799036754773e+01, -1.082663488890745e+02,  3.406982541837810e+04,  1.064537555944848e+02,  1.028393252016979e+01
Cr1         ,  1.550000000000000e+00,  2.971601314706804e-01,  1.000000000000000e+00, -1.360484367493470e+02, -6.153075023226353e+03,  2.697591772677974e+02,  6.993954265383615e+00
Hg2Na1      ,  1.620000000000000e+00,  8.349687268643667e-01,  2.333337501326871e+01, -3.617919379973866e+01, -3.372782582518834e+03,  1.538932483910106e+02,  9.016319361892981e+00
Ga2Y1       ,  1.680000000000000e+00,  1.885015986212618e+00, -5.918731331753893e+00, -8.575575717960969e+01, -4.256736303489285e+03,  1.487466057476998e+02,  6.782516923241822e+00
Be2Nb1      ,  2.150000000000000e+00,  1.670320024668121e+00,  3.069051301755270e+00,  1.299667730626219e+02, -4.041970847602535e+03,  1.222040487159599e+02,  8.616225484557276e+00
Ge1Mo3      ,  2.179200000000000e+00,  1.701923188886062e+00, -6.093746195433489e-01,  9.121180274911495e+01, -1.249755597748123e+04,  9.065626029734132e+01,  7.533061799240820e+00
B1Hf1       ,  3.100000000000000e+00,  2.471682356009691e+00,  1.212305892140460e+01, -1.338368075169280e+02,  1.925800936283064e+03,  4.366295023636594e+01,  7.731690576574088e+00
B1Zr1       ,  3.100000000000000e+00,  2.734749726132010e+00,  1.222289904579064e+01, -1.325761126138181e+02, -4.379157143119695e+03,  4.612024322043462e+01,  7.660664526803438e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  3.244049660630910e+00, -8.811468779818323e+00, -5.747441427276105e+01, -8.504317302435329e+03,  2.232446911615099e+02,  7.803461434753287e+00
B1Ta1       ,  4.000000000000000e+00,  4.285978877044545e+00,  1.108652945169433e+01, -1.099971717223054e+02, -9.426666097940863e+03,  2.046938787060463e+01,  8.140099752128870e+00
Sn1V3       ,  4.462500000000000e+00,  6.756517643039452e+00,  4.038302555781714e+00, -1.769250627090773e+02, -6.279768024240380e+03, -5.124797993012970e+01,  8.018489266414567e+00
B2Nb1       ,  4.597500000000000e+00,  4.331727221377538e+00, -2.914085280847173e+00, -7.326663383269464e+01, -6.435317214693011e+03,  9.645618517036576e+01,  7.917108519304679e+00
Fe1Li1P1    ,  4.965000000000000e+00,  3.472240701440863e+00,  2.493759354638785e-01, -7.141023288691082e+01, -5.212281112977315e+03,  1.154487962539336e+02,  7.925030005210002e+00
Ga1Si1Sr1   ,  5.000000000000000e+00,  4.989672514117413e+00, -5.713739564205310e+00, -7.732238302924215e+01, -4.590647656285880e+03,  1.797094303345100e+02,  8.669504083162186e+00
Os0.5V0.5   ,  5.150000000000000e+00,  5.640625430746954e+00,  2.901076576242513e+00, -1.770649530845861e+02, -7.743234971173905e+03,  9.640697621190139e+01,  8.348185769526761e+00
Ir1Ti3      ,  5.185000000000000e+00,  4.493651823613713e+00,  1.079386544119345e+00, -1.339064428830549e+02, -7.292693122656106e+03,  2.111289821463515e+02,  8.723072313887345e+00
Ir1Mo1      ,  5.325000000000000e+00,  5.447733987370572e+00,  3.395956346084666e+00, -1.589904197534077e+02, -1.613175439826412e+04,  1.321594706047479e+02,  8.340653180331687e+00
La1         ,  5.343000000000000e+00,  3.496761158033820e+00,  1.000000000000000e+00, -1.397569466768051e+02, -2.891607154077958e+03,  1.269477658650244e+02,  7.728538140183319e+00
N1Ti1       ,  5.387500000000000e+00,  7.170286004448301e+00,  2.185282768958157e+01, -5.385615387644060e+01, -3.282512740409175e+04,  1.544163225092225e+02,  1.093809769380803e+01
B6Y1        ,  5.692857143000000e+00,  7.084253535368374e+00, -1.565335258980134e+00, -9.251105651094377e+01, -4.732628714851053e+03,  4.865189193222102e+01,  9.050432764346573e+00
Nb1S2       ,  5.821818182000000e+00,  4.903426889696692e+00,  1.114322760542433e+01, -1.282507495738399e+02, -1.314411711167053e+04,  1.669592280503483e+02,  9.252836065661731e+00
