# c0 + a0 * (|std_EA - wtd_mean_EA|) + a1 * (range_at_rad + 8.279476e-03*wtd_mean_at_mass) + a2 * cbrt(lambda) + a3 * (w_log / wtd_mean_at_mass)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.32819495686335; Max AE: 11.8059734331253
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  6.604527705182623e+00,  5.402608203268224e+00,  1.033745616926818e+01,  7.098960595226621e-01, -1.665367825975844e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               30|27|abd; (|std_EA - wtd_mean_EA|); $\left(\left|std_{EA} - wtd_{mean, EA}\right|\right)$; abs(std_EA - wtd_mean_EA); abs(newdata$std_EA - newdata$wtd_mean_EA); std_EA,wtd_mean_EA
# 1;  1; AA;                                               16|9|add:8.2794761166563e-03,0.0000000000000e+00; (range_at_rad + 8.279476e-03*wtd_mean_at_mass); $\left(range_{at, rad} + 0.00828wtd_{mean, at, mass}\right)$; (range_at_rad + (8.279476e-03.*wtd_mean_at_mass)); (newdata$range_at_rad + (8.279476e-03*newdata$wtd_mean_at_mass)); range_at_rad,wtd_mean_at_mass
# 2;  1; Unitless;                                         5|cbrt; cbrt(lambda); $\left(\sqrt[3]{ lambda }\right)$; nthroot(lambda, 3); nthroot(newdata$lambda, 3); lambda
# 3;  1; K * g^-1 * mol;                                   4|9|div; (w_log / wtd_mean_at_mass); $\left(\frac{ w_{log} }{ wtd_{mean, at, mass} } \right)$; (w_log ./ wtd_mean_at_mass); (newdata$w_log / newdata$wtd_mean_at_mass); w_log,wtd_mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 57                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01,  6.429020543400775e-01,  3.720000000000001e-01,  6.393276068281264e-01,  7.767805056618703e-01,  4.727065264145779e+00
B1Mo1       ,  2.500000000000000e-01,  4.344544783666146e+00,  2.770000000000000e-01,  1.141941876154878e+00,  8.040420429653392e-01,  6.603156731237589e+00
Cr3Ir1      ,  2.560000000000000e-01,  3.093039099918139e+00,  4.413000000000000e-01,  7.407391592738792e-01,  1.153148273142648e+00,  1.281308837432640e+00
Al1Os1      ,  3.900000000000000e-01,  1.969474327310477e+00,  4.409999999999999e-01,  1.129199127230347e+00,  8.180779890690784e-01,  1.624308278195087e+00
Al1Mo3      ,  5.800000000000000e-01,  1.943622144379884e+00,  5.173000000000000e-01,  9.816601782421694e-01,  6.969939118202801e-01,  3.764084672567811e+00
Sb1V3       ,  6.500000000000000e-01,  8.703996308923254e-01,  3.888000000000000e-01,  7.083537454515975e-01,  9.364085074913270e-01,  2.041422600846953e+00
Nb3Os1      ,  6.633333330000000e-01,  5.012914095621416e+00,  8.412999999999999e-01,  1.170663425331265e+00,  8.349603767636989e-01,  1.625873335533998e+00
Ti1O1       ,  7.200000000000000e-01,  7.694787836542266e+00,  7.900000000000007e-02,  1.204390166728408e+00,  4.987971084244104e-01,  1.713429283629577e+01
Ga1Mo3      ,  7.600000000000000e-01,  1.612470976278109e+00,  4.115000000000000e-01,  1.060129692339088e+00,  7.418676950890964e-01,  3.031283105109667e+00
B2Ru1       ,  8.000000000000000e-01,  3.380786049817492e+00,  1.481999999999999e-01,  9.585808963145411e-01,  7.199048228099766e-01,  9.064498459431702e+00
La1Se1      ,  1.020000000000000e+00,  4.385273888031072e+00,  5.000000000000000e-01,  1.771951225091523e+00,  7.164147904006603e-01,  1.067231696503155e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  3.542416771428824e+00,  6.162000000000000e-01,  9.211277599210979e-01,  8.978136229592979e-01,  2.632475087957086e+00
Co1Si2      ,  1.306666667000000e+00,  4.498842526148501e+00,  7.817000000000000e-01,  4.676702514343142e-01,  6.896434480765461e-01,  8.922381438892421e+00
Nb1O1       ,  1.380000000000000e+00,  9.163292257677160e+00,  8.930000000000000e-01,  1.430841485032672e+00,  7.729498362782933e-01,  5.914269028830421e+00
Cr1         ,  1.550000000000000e+00,  2.845615783819783e+00,  6.660000000000000e-01,  4.305004681092707e-01,  7.659686989416105e-01,  6.841403489877125e+00
Hg2Na1      ,  1.620000000000000e+00,  1.194432116371057e+00,  9.130000000000002e-02,  1.510645891452981e+00,  8.507260232928537e-01,  4.075894344277194e-01
Ga2Y1       ,  1.680000000000000e+00,  3.489477644295317e+00,  2.988000000000000e-01,  1.310211367414360e+00,  1.053097429768361e+00,  2.885152258422198e-01
