# c0 + a0 * (|std_EA - wtd_mean_EA|) + a1 * (range_at_rad + 8.279476e-03*wtd_mean_at_mass) + a2 * ln(lambda) + a3 * (w_log / wtd_mean_at_mass)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.33033919544596; Max AE: 12.0395313659741
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  6.573890168407805e+00,  5.428804749992887e+00,  3.833545829404307e+00,  7.256091768106693e-01, -5.696701485321755e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               30|27|abd; (|std_EA - wtd_mean_EA|); $\left(\left|std_{EA} - wtd_{mean, EA}\right|\right)$; abs(std_EA - wtd_mean_EA); abs(newdata$std_EA - newdata$wtd_mean_EA); std_EA,wtd_mean_EA
# 1;  1; AA;                                               16|9|add:8.2794761166563e-03,0.0000000000000e+00; (range_at_rad + 8.279476e-03*wtd_mean_at_mass); $\left(range_{at, rad} + 0.00828wtd_{mean, at, mass}\right)$; (range_at_rad + (8.279476e-03.*wtd_mean_at_mass)); (newdata$range_at_rad + (8.279476e-03*newdata$wtd_mean_at_mass)); range_at_rad,wtd_mean_at_mass
# 2;  1; Unitless;                                         5|log; ln(lambda); $\left(\ln{ lambda }\right)$; log(lambda); log(newdata$lambda); lambda
# 3;  1; K * g^-1 * mol;                                   4|9|div; (w_log / wtd_mean_at_mass); $\left(\frac{ w_{log} }{ wtd_{mean, at, mass} } \right)$; (w_log ./ wtd_mean_at_mass); (newdata$w_log / newdata$wtd_mean_at_mass); w_log,wtd_mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 57                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01,  7.445405460160999e-01,  3.720000000000001e-01,  6.393276068281264e-01, -7.577923740534765e-01,  4.727065264145779e+00
B1Mo1       ,  2.500000000000000e-01,  4.606624886731193e+00,  2.770000000000000e-01,  1.141941876154878e+00, -6.543111567747470e-01,  6.603156731237589e+00
Cr3Ir1      ,  2.560000000000000e-01,  3.794206855764105e+00,  4.413000000000000e-01,  7.407391592738792e-01,  4.274874921426571e-01,  1.281308837432640e+00
Al1Os1      ,  3.900000000000000e-01,  2.201898184779040e+00,  4.409999999999999e-01,  1.129199127230347e+00, -6.023928172914812e-01,  1.624308278195087e+00
Al1Mo3      ,  5.800000000000000e-01,  1.612983662833329e+00,  5.173000000000000e-01,  9.816601782421694e-01, -1.082935809283102e+00,  3.764084672567811e+00
Sb1V3       ,  6.500000000000000e-01,  1.430384509856247e+00,  3.888000000000000e-01,  7.083537454515975e-01, -1.971103742673939e-01,  2.041422600846953e+00
Nb3Os1      ,  6.633333330000000e-01,  5.294582510944204e+00,  8.412999999999999e-01,  1.170663425331265e+00, -5.411130247044473e-01,  1.625873335533998e+00
Ti1O1       ,  7.200000000000000e-01,  5.794499191518563e+00,  7.900000000000007e-02,  1.204390166728408e+00, -2.086667586771576e+00,  1.713429283629577e+01
Ga1Mo3      ,  7.600000000000000e-01,  1.529307780408516e+00,  4.115000000000000e-01,  1.060129692339088e+00, -8.957530806566070e-01,  3.031283105109667e+00
B2Ru1       ,  8.000000000000000e-01,  3.279254262510583e+00,  1.481999999999999e-01,  9.585808963145411e-01, -9.859087987550249e-01,  9.064498459431702e+00
La1Se1      ,  1.020000000000000e+00,  4.148797758514316e+00,  5.000000000000000e-01,  1.771951225091523e+00, -1.000487890674911e+00,  1.067231696503155e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  4.025214800860281e+00,  6.162000000000000e-01,  9.211277599210979e-01, -3.233783371100550e-01,  2.632475087957086e+00
Co1Si2      ,  1.306666667000000e+00,  4.181747510620995e+00,  7.817000000000000e-01,  4.676702514343142e-01, -1.114741670597993e+00,  8.922381438892421e+00
Nb1O1       ,  1.380000000000000e+00,  9.271102222942096e+00,  8.930000000000000e-01,  1.430841485032672e+00, -7.726233820617421e-01,  5.914269028830421e+00
Cr1         ,  1.550000000000000e+00,  2.916566853852609e+00,  6.660000000000000e-01,  4.305004681092707e-01, -7.998419192309082e-01,  6.841403489877125e+00
Hg2Na1      ,  1.620000000000000e+00,  1.540994638746878e+00,  9.130000000000002e-02,  1.510645891452981e+00, -4.849954470649726e-01,  4.075894344277194e-01
Ga2Y1       ,  1.680000000000000e+00,  4.184802048192616e+00,  2.988000000000000e-01,  1.310211367414360e+00,  1.552072643023826e-01,  2.885152258422198e-01
Be2Nb1      ,  2.150000000000000e+00,  4.080340111323041e+00,  1.488000000000000e-01,  9.867545901221145e-01, -7.642136289938055e-01,  8.781031039136304e+00
Ge1Mo3      ,  2.179200000000000e+00,  3.281237556881209e+00,  5.950000000000000e-01,  1.086146387633062e+00, -7.962879394794586e-01,  3.063086995117621e+00
B1Hf1       ,  3.100000000000000e+00,  2.698455273595366e+00,  0.000000000000000e+00,  1.693619296537049e+00, -9.137938516755678e-01,  3.726384633265009e+00
B1Zr1       ,  3.100000000000000e+00,  6.064867515337579e+00,  2.770000000000000e-01,  1.332369194615103e+00, -8.248516715573735e-01,  8.089114752812952e+00
C1In1Ti2    ,  3.100000000000000e+00,  2.302487947080546e-01,  8.370000000000000e-02,  1.330677502659259e+00, -1.346689106527531e+00,  4.569018473820517e+00
