# FEAT_ID     Score                   Feature Expression
0             0.780146719290154111    ((((wtd_range_EA-6.869321e-01) / (density-2.576591e+00))+5.180347e-01) * ((mean_IP + 9.540557e-01*lambda)-1.091435e+01))
1             0.780226773825926645    ((((wtd_mean_at_rad-1.539199e+00) / (density-2.581236e+00))+1.360220e+00) * (((lambda-1.475903e+01) / (mean_IP+4.158382e-01))+8.206671e-01))
2             0.780611840133213608    ((((wtd_mean_at_mass-4.504374e+01) / (mean_at_mass-1.697956e+01))+1.166378e+00) * (((wtd_mean_IP-1.379367e+00) * (lambda+6.884316e+00))-5.543081e+01))
3             0.780625544822102557    ((((wtd_mean_at_mass-4.486766e+01) / (mean_at_mass-1.698201e+01))+1.158156e+00) * (((lambda+6.911521e+00) * (wtd_mean_IP-1.395828e+00))-5.547107e+01))
4             0.780705893796989847    (((lambda-1.052165e+01) / (mean_IP-1.910243e+00)) + 3.610734e-01*((V_molar-2.069528e+01) / (mean_at_mass-1.776825e+01)))
5             0.780835875775330535    ((((std_EA-3.837358e-01) / (mean_at_rad-1.118394e+00))+4.511135e+00) * ((std_IP + 1.072771e+00*lambda)-4.098466e+00))
6             0.780858792620688802    ((((lambda+1.280572e+01) * (mean_IP+3.243674e+00))-1.598366e+02) * (((wtd_mean_at_mass-3.282419e+01) / (mean_at_mass-1.696813e+01))+2.102844e-01))
7             0.78089526114707819     ((((range_PE-4.806713e+00) / (mean_at_mass-1.674588e+01))+2.814054e-01) * (((lambda-9.915634e+00) / (mean_IP-1.283473e+00))+1.169700e+00))
8             0.781064952835761495    ((((mean_IP+2.984336e+00) * (lambda+1.245164e+01))-1.521547e+02) * (((wtd_mean_at_mass-3.326361e+01) / (mean_at_mass-1.697527e+01))+2.442393e-01))
9             0.782500269175586127    ((((wtd_mean_IP-1.118490e+00) / (mean_at_mass-1.588998e+01))-1.974686e-02) * (((lambda4w_low-1.644956e+01) / (lambda-3.637529e-01))-2.054392e+01))
10            0.782653166970265879    (((mean_IP + 1.077877e+00*lambda)-1.028627e+01) * (((wtd_range_ThermalCond-9.756368e+01) / (density-2.598362e+00))+5.834837e+01))
11            0.783409882108047961    ((((std_EA-3.707761e-01) / (mean_at_rad-1.118167e+00))+4.474916e+00) * ((wtd_std_IP + 1.017312e+00*lambda)-4.086627e+00))
12            0.783877568971964922    ((((wtd_range_ThermalCond+3.007155e+01) / (mean_at_mass-1.885372e+01))-8.192306e+00) * ((wtd_mean_IP + 7.817877e-01*lambda)-5.748452e+00))
13            0.784083794097240494    ((((wtd_range_IP-5.540239e+00) / (mean_at_mass-1.762424e+01))+1.629738e-01) * ((wtd_mean_IP + 7.372042e-01*lambda)-8.526259e+00))
14            0.784687794465484645    ((((std_at_mass-8.009070e+01) / (density-2.640469e+00))+1.064245e+02) * ((mean_IP + 7.869453e-01*lambda)-9.290107e+00))
15            0.784927261521104258    ((((mean_PE-1.891899e+00) / (mean_at_mass-1.687442e+01))+7.087559e-02) * ((mean_IP + 7.015350e-01*lambda)-1.233598e+01))
16            0.785129124462742967    ((((std_ThermalCond+3.907961e+01) / (wtd_mean_at_mass-1.531302e+01))-4.034308e+00) * ((wtd_mean_IP + 8.682616e-01*lambda)-8.679919e+00))
17            0.785394655714815926    ((((lambda-2.493780e+01) / (mean_IP+5.280246e+00))+8.091731e-01) * (((wtd_std_IP-2.333927e+00) / (density-2.563813e+00))+9.558490e+00))
18            0.785947660998742692    (((mean_IP + 7.622207e-01*lambda)-9.387889e+00) * (((mean_PE-7.854250e+00) / (mean_at_mass-1.670616e+01))+4.261987e-01))
19            0.785957691808722991    (((lambda+5.432592e+00) * (wtd_mean_IP-1.429104e+00)) + 1.568409e-02*((wtd_std_at_mass-4.665253e+01) / (wtd_mean_at_rad-1.034764e+00)))
20            0.786178044001591192    (((mean_IP + 7.359383e-01*lambda)-9.266325e+00) * (((wtd_mean_at_mass-5.240302e+01) / (mean_at_mass-1.682749e+01))+1.617375e+00))
21            0.786274463533196744    ((((wtd_mean_PE-2.925621e-01) / (wtd_mean_at_mass-1.333123e+01))-2.970720e-03) * (((lambda4w_low-1.403895e+01) / (lambda-3.633562e-01))+1.458229e+02))
22            0.786584256774719104    ((((wtd_range_at_mass-3.166228e+01) / (density-2.632548e+00))+2.570279e+01) * (((lambda-4.362336e+01) / (mean_IP+1.888987e+01))+1.563017e+00))
23            0.786780931742334988    ((((wtd_mean_at_mass-4.991919e+01) / (mean_at_mass-1.707201e+01))+1.640213e+00) * ((mean_IP + 7.387421e-01*lambda)-9.064835e+00))
24            0.786893443149139005    ((((std_EA-3.546761e-01) / (mean_at_mass-1.637958e+01))+8.507718e-02) * (((lambda-1.458336e+01) / (mean_IP-2.551854e-01))-1.268246e-02))
25            0.787410418338845841    (((wtd_mean_IP + 7.226776e-01*lambda)-8.834675e+00) * (((std_ThermalCond+5.232204e+01) / (wtd_mean_at_mass-1.487083e+01))-4.537954e+00))
26            0.788378656220788399    (((lambda+3.448435e+00) * (wtd_mean_IP-2.515606e+00)) + 1.660313e-03*((wtd_range_at_mass-5.206414e+01) / (mean_at_rad-1.125774e+00)))
27            0.789064545883163215    ((((wtd_std_ThermalCond+4.390423e+01) / (wtd_mean_at_mass-1.553650e+01))-4.632897e+00) * ((wtd_mean_IP + 7.375682e-01*lambda)-8.423174e+00))
28            0.790460169780370481    ((((mean_PE-1.764867e+00) / (wtd_mean_at_mass-1.493987e+01))+6.084472e-02) * (((lambda-1.403642e+01) / (mean_IP+4.098343e-01))+6.907916e-01))
29            0.797249130484644519    (((lambda+8.172698e+01) * (wtd_mean_IP+6.800878e+01)) + 1.615448e-01*((wtd_mean_at_mass-3.788496e+01) / (mean_at_rad-1.126802e+00)))
#-----------------------------------------------------------------------
30            0.527809363670139198    (((std_IP-2.456344e+01) / (lambda3-4.781899e-02)) + 6.150235e-03*((std_EA-1.324314e+05) / (mean_PE-2.407280e+00)))
31            0.528313873634977726    (((mean_at_rad+1.932465e+02) / (wtd_mean_PE-2.378466e+00)) + 1.787730e-03*((wtd_range_at_rad+6.240351e+03) / (lambda3-4.772997e-02)))
32            0.528565908867295375    (((wtd_mean_IP+6.890327e+01) / (lambda3-4.779981e-02)) + 5.735350e+02*((std_EA+4.369587e+00) / (mean_PE-2.404568e+00)))
33            0.52861585629786545     (((mean_IP+5.958738e+01) / (lambda3-4.780073e-02)) + 5.008130e+02*((std_EA+4.393643e+00) / (mean_PE-2.404554e+00)))
34            0.529016148421892818    (((wtd_mean_PE-6.953018e+01) / (lambda3-4.780240e-02)) + 4.205726e-02*((wtd_mean_IP-5.775437e+04) / (mean_PE-2.407251e+00)))
35            0.529065192636848036    (((std_IP-3.212900e+01) / (lambda3-4.780639e-02)) + 5.810240e+01*((wtd_std_EA-1.929597e+01) / (mean_PE-2.407598e+00)))
36            0.529891392482673473    (((L_avg+4.139763e+01) / (lambda3-4.778412e-02)) + 2.822522e-01*((wtd_std_at_rad+6.050818e+03) / (mean_PE-2.406973e+00)))
37            0.530028819435655718    (((L_avg+4.957691e+01) / (lambda3-4.777999e-02)) + 1.666598e+02*((wtd_range_PE+1.132822e+01) / (mean_PE-2.405042e+00)))
38            0.530049468651698108    (((wtd_mean_at_mass+6.402398e+01) / (lambda3-4.764318e-02)) + 6.863039e+00*((std_at_mass+8.063382e+02) / (mean_PE-2.408067e+00)))
39            0.530078635343558258    (((wtd_std_PE+2.300058e+01) / (lambda3-4.777956e-02)) + 3.212338e-01*((wtd_std_at_rad+2.657409e+03) / (mean_PE-2.407016e+00)))
40            0.530405828443192395    (((L_avg+3.067173e+01) / (lambda3-4.777886e-02)) + 5.047402e+01*((wtd_std_PE+2.546970e+01) / (mean_PE-2.406133e+00)))
41            0.531124828399373361    (((wtd_range_at_mass+6.859205e+01) / (lambda3-4.772612e-02)) + 1.699453e+01*((std_at_mass+1.801438e+02) / (mean_PE-2.409426e+00)))
42            0.53114344695981619     ((((wtd_mean_EA-3.362946e-01) / (wtd_mean_at_rad-1.126466e+00))+8.852354e+00) * (((range_at_mass-4.811686e+01) / (lambda3-4.814334e-02))+2.247990e+02))
43            0.531155873576580784    (((V_molar-1.004197e+02) / (lambda4w_low-4.709919e+00)) + 3.033525e-01*((range_ThermalCond-1.127434e+02) / (wtd_mean_PE-2.398421e+00)))
44            0.531289840901350119    (((L_avg+3.286878e+01) / (lambda3-4.778346e-02)) + 7.635001e+01*((mean_EA+1.747415e+01) / (mean_PE-2.406977e+00)))
