# c0 + a0 * (wtd_range_PE * wtd_std_EA) + a1 * (mean_EA + 5.868188e-01*wtd_mean_IP) + a2 * (mean_EA + 7.814827e-01*lambda)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.92765942064727; Max AE: 8.26628820734468
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -1.329357711412812e+01,  3.505867238157006e+00,  1.811241773786804e+00, -1.432320397407072e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               35|31|mult; (wtd_range_PE * wtd_std_EA); $\left(wtd_{range, PE} wtd_{std, EA}\right)$; (wtd_range_PE .* wtd_std_EA); (newdata$wtd_range_PE * newdata$wtd_std_EA); wtd_range_PE,wtd_std_EA
# 1;  1; eV;                                               26|21|add:5.8681882515896e-01,0.0000000000000e+00; (mean_EA + 5.868188e-01*wtd_mean_IP); $\left(mean_{EA} + 0.587wtd_{mean, IP}\right)$; (mean_EA + (5.868188e-01.*wtd_mean_IP)); (newdata$mean_EA + (5.868188e-01*newdata$wtd_mean_IP)); mean_EA,wtd_mean_IP
# 2;  1; eV;                                               26|5|add:7.8148272216623e-01,0.0000000000000e+00; (mean_EA + 7.814827e-01*lambda); $\left(mean_{EA} + 0.781lambda\right)$; (mean_EA + (7.814827e-01.*lambda)); (newdata$mean_EA + (7.814827e-01*newdata$lambda)); mean_EA,lambda
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
Rh1V3       ,  1.900000000000000e-01,  2.905906061285981e+00,  1.578397500000000e-01,  4.894309591048165e+00,  1.197280951879311e+00
B1Mo1       ,  2.500000000000000e-01,  4.776201661931733e+00,  1.407000000000000e-02,  5.027070859598174e+00,  9.177147189820053e-01
Cr3Ir1      ,  2.560000000000000e-01,  5.616772659853209e+00,  2.470030000000000e-01,  5.428794410565882e+00,  2.313825606169694e+00
Al1Os1      ,  3.900000000000000e-01,  4.363239945953787e+00,  9.720250000000000e-02,  5.079510633142221e+00,  1.198361790386010e+00
Al1Mo3      ,  5.800000000000000e-01,  1.381459191981635e+00,  1.468305000000000e-01,  4.592963702870872e+00,  8.581100497254848e-01
Nb3Os1      ,  6.633333330000000e-01,  5.996174342762144e+00,  5.317000000000000e-02,  5.247591615099032e+00,  1.451401092572961e+00
Ti1O1       ,  7.200000000000000e-01,  2.251927950721107e+00,  6.564499999999999e-01,  6.769048849600019e+00,  8.669820058208288e-01
Ga1Mo3      ,  7.600000000000000e-01,  3.277315540360882e-01,  2.058302500000000e-01,  4.524400204993896e+00,  8.420793954604708e-01
La1Se1      ,  1.020000000000000e+00,  1.338138532521316e+00,  5.513625000000000e-01,  5.758172885430826e+00,  1.547851196940522e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  3.571117743949679e+00,  1.472415000000000e-01,  4.941428734711200e+00,  1.395559046031699e+00
Co1Si2      ,  1.306666667000000e+00,  5.514816294176222e+00,  1.994240000000000e-01,  5.753757322783963e+00,  1.279326332870523e+00
Cr1         ,  1.550000000000000e+00,  3.775905008479723e+00,  0.000000000000000e+00,  4.637002989850663e+00,  1.017198335341503e+00
Hg2Na1      ,  1.620000000000000e+00,  2.637882294110602e+00,  2.412941400000000e-01,  5.362716806130927e+00,  7.551589120377467e-01
Ga2Y1       ,  1.680000000000000e+00,  1.403105340802168e+00,  2.400000000000000e-03,  3.866487860717639e+00,  1.216193671217938e+00
Be2Nb1      ,  2.150000000000000e+00,  3.509664263265610e+00,  1.972611900000000e-01,  5.415857857093595e+00,  8.104365037128123e-01
Ge1Mo3      ,  2.179200000000000e+00,  3.345996469649618e+00,  2.668590000000000e-01,  5.328256510709433e+00,  1.400448707696969e+00
B1Hf1       ,  3.100000000000000e+00,  1.855924580685504e+00,  5.124500000000001e-02,  4.575730546439453e+00,  4.518745715886575e-01
B1Zr1       ,  3.100000000000000e+00,  3.174439719218760e+00,  2.644750000000000e-02,  4.732689348636772e+00,  6.940238771254577e-01
C1In1Ti2    ,  3.100000000000000e+00,  2.773183452030559e+00,  1.483950000000000e-01,  5.051427892507575e+00,  7.505636560354358e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.413661984007153e+00,  4.134240000000000e-01,  5.615852202499396e+00,  1.956843963699280e+00
Sn1         ,  3.740729412000000e+00,  7.525728711336740e+00,  0.000000000000000e+00,  5.509597451967380e+00,  1.398496611430222e+00
Sn1V3       ,  4.462500000000000e+00,  4.373621346822130e+00,  1.954310000000000e-01,  4.908909208883588e+00,  2.255258507444651e+00
B2Nb1       ,  4.597500000000000e+00,  2.881159500665628e+00,  2.191581700000000e-01,  5.153384553862480e+00,  1.132194202060793e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  9.823989335293839e-01,  1.829575900000000e-01,  4.488159253125865e+00,  1.105801159569938e+00
Fe1Li1P1    ,  4.965000000000000e+00,  3.623560684306813e+00,  1.009056600000000e-01,  5.160712827035052e+00,  6.599824619225152e-01
Ga1Si1Sr1   ,  5.000000000000000e+00,  4.306503558129121e+00,  1.884048300000000e-01,  4.443682574074049e+00,  3.067133607264927e+00
Os0.5V0.5   ,  5.150000000000000e+00,  6.254077441635809e+00,  8.193749999999998e-02,  5.344501786702625e+00,  1.617349055558998e+00
Ir1Ti3      ,  5.185000000000000e+00,  3.485777112021561e+00,  3.553770000000000e-01,  5.162112030875646e+00,  2.448890731005653e+00
