# c0 + a0 * ((range_ThermalCond + 1.541764e+02*wtd_mean_EA) + 3.450711e+01*((L_avg-4.031956e+00) / (density-7.630320e+00))) + a1 * (((wtd_range_IP-1.741451e+01) / (lambda3-4.779395e-02)) - (9.293232e+01*((L_avg-3.076744e+00) / (wtd_mean_at_rad-1.132970e+00)))) + a2 * (((lambda-1.559896e+01) / (mean_IP-5.061460e-01)) - (6.635824e-01*((wtd_std_PE-8.466788e-01) / (density-2.585819e+00))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.33291447218459; Max AE: 4.29931128499075
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -8.343327014000580e-03,  5.929675287582969e-04,  8.182954630089144e+00,  2.165561873345990e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; W * mK^-1;                                        40|27|add|0|2|div|add:3.4507110037229e+01,0.0000000000000e+00,-4.0319558862647e+00,-7.6303197790530e+00,1.5417637067120e+02,0.0000000000000e+00; ((range_ThermalCond + 1.541764e+02*wtd_mean_EA) + 3.450711e+01*((L_avg-4.031956e+00) / (density-7.630320e+00))); $\left(\left(range_{ThermalCond} + 154.0wtd_{mean, EA}\right) + 34.5\left(\frac{ L_{avg} -4.032e+00 }{ density-7.630e+00 } \right)\right)$; ((range_ThermalCond + (1.541764e+02.*wtd_mean_EA)) + (3.450711e+01.*((L_avg-4.031956e+00) ./ (density-7.630320e+00)))); ((newdata$range_ThermalCond + (1.541764e+02*newdata$wtd_mean_EA)) + (3.450711e+01*((newdata$L_avg-4.031956e+00) / (newdata$density-7.630320e+00)))); range_ThermalCond,wtd_mean_EA,L_avg,density
# 1;  2; eV;                                               23|7|div|0|15|div|sub:9.2932322856915e+01,0.0000000000000e+00,-3.0767442235260e+00,-1.1329702267193e+00,-1.7414505460339e+01,-4.7793946028750e-02; (((wtd_range_IP-1.741451e+01) / (lambda3-4.779395e-02)) - (9.293232e+01*((L_avg-3.076744e+00) / (wtd_mean_at_rad-1.132970e+00)))); $\left(\left(\frac{ wtd_{range, IP} -1.741e+01 }{ lambda3-4.779e-02 } \right) - \left(9.293e+01\left(\frac{ L_{avg} -3.077e+00 }{ wtd_{mean, at, rad}-1.133e+00 } \right)\right)\right)$; (((wtd_range_IP-1.741451e+01) ./ (lambda3-4.779395e-02)) - (9.293232e+01.*((L_avg-3.076744e+00) ./ (wtd_mean_at_rad-1.132970e+00)))); (((newdata$wtd_range_IP-1.741451e+01) / (newdata$lambda3-4.779395e-02)) - (9.293232e+01*((newdata$L_avg-3.076744e+00) / (newdata$wtd_mean_at_rad-1.132970e+00)))); wtd_range_IP,lambda3,L_avg,wtd_mean_at_rad
# 2;  2; eV^-1;                                            5|20|div|37|2|div|sub:6.6358238267919e-01,0.0000000000000e+00,-8.4667877460028e-01,-2.5858185734182e+00,-1.5598961190453e+01,-5.0614600912911e-01; (((lambda-1.559896e+01) / (mean_IP-5.061460e-01)) - (6.635824e-01*((wtd_std_PE-8.466788e-01) / (density-2.585819e+00)))); $\left(\left(\frac{ lambda -1.560e+01 }{ mean_{IP}-5.061e-01 } \right) - \left(6.636e-01\left(\frac{ wtd_{std, PE} -8.467e-01 }{ density-2.586e+00 } \right)\right)\right)$; (((lambda-1.559896e+01) ./ (mean_IP-5.061460e-01)) - (6.635824e-01.*((wtd_std_PE-8.466788e-01) ./ (density-2.585819e+00)))); (((newdata$lambda-1.559896e+01) / (newdata$mean_IP-5.061460e-01)) - (6.635824e-01*((newdata$wtd_std_PE-8.466788e-01) / (newdata$density-2.585819e+00)))); lambda,mean_IP,wtd_std_PE,density
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
Rh1V3       ,  1.900000000000000e-01,  4.812187486132084e-01,  3.121242840846654e+02, -6.783789464597863e+02, -2.220223519200384e+00
B1Mo1       ,  2.500000000000000e-01,  1.463560979732752e+00,  2.225408142785506e+02, -3.174578476228199e+03, -2.010631337468588e+00
Cr3Ir1      ,  2.560000000000000e-01,  4.555311284990749e+00,  1.981587101876629e+02, -5.478966127586513e+02, -1.848002379557814e+00
Al1Os1      ,  3.900000000000000e-01,  1.683688734534333e+00,  2.606102907570558e+02, -1.010411431828479e+02, -2.167635017518899e+00
Al1Mo3      ,  5.800000000000000e-01,  1.897744660351402e-01,  2.316034449765249e+02,  1.009183987710535e+03, -2.460225582779795e+00
Sb1V3       ,  6.500000000000000e-01,  1.173152097840341e+00,  4.892113624655253e+02, -4.992672169847980e+02, -1.968087046766867e+00
Nb3Os1      ,  6.633333330000000e-01,  3.134314812286096e+00,  1.894851389348437e+02, -5.229585832843209e+02, -2.032306267814766e+00
Ti1O1       ,  7.200000000000000e-01,  2.381001317768578e+00,  1.603417102946085e+02, -7.945874450650785e+03, -1.616187447412146e+00
Ga1Mo3      ,  7.600000000000000e-01, -9.643529968982189e-01,  2.222923389869179e+02, -1.205152978687406e+03, -2.450300457026583e+00
B2Ru1       ,  8.000000000000000e-01,  1.769946142679039e+00,  2.632547985431844e+02, -2.572268180913150e+03, -1.975323210586403e+00
La1Se1      ,  1.020000000000000e+00, -1.285900845123894e+00,  1.501969984344852e+02, -7.507346403106981e+03, -2.106423051224096e+00
Co1Si2      ,  1.306666667000000e+00,  1.208195458886657e+00,  2.089022521517128e+02, -6.536564073546429e+03, -1.812122136315409e+00
Nb1O1       ,  1.380000000000000e+00,  2.959830381753086e+00,  2.220108129649112e+02, -6.681067510438330e+03, -1.574226429167449e+00
Cr1         ,  1.550000000000000e+00,  1.630853502441636e+00,  1.382481183530439e+02, -3.644623621899993e+02, -2.279763541117436e+00
Hg2Na1      ,  1.620000000000000e+00,  3.419197598761754e+00,  1.685158845355840e+02, -5.039422113988721e+02, -2.020250310865274e+00
Ga2Y1       ,  1.680000000000000e+00,  8.401286338177687e-01,  5.572787812508087e+01, -3.317911644219318e+02, -2.462899247627571e+00
Be2Nb1      ,  2.150000000000000e+00,  1.994870014586004e+00,  1.453946281539107e+02, -6.260259912315183e+03, -1.800760679563502e+00
Ge1Mo3      ,  2.179200000000000e+00,  2.069977711996819e+00,  2.309215676473030e+02, -8.559976011522534e+02, -2.095992078796464e+00
B1Hf1       ,  3.100000000000000e+00,  2.844204220127704e+00,  3.338969159633972e+01, -2.040438868723879e+03, -2.116951661955997e+00
B1Zr1       ,  3.100000000000000e+00,  3.434264412146767e+00,  4.233242205457165e+01, -1.509469173198394e+03, -2.074201268700419e+00
C1In1Ti2    ,  3.100000000000000e+00,  4.098946017375855e+00,  2.049945860453171e+02,  4.897196477968038e+02, -1.971992321527872e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  3.833844431433728e+00,  1.917574482298591e+02, -3.270819839023114e+02, -1.958697186153609e+00
Sn1         ,  3.740729412000000e+00,  3.223086110913528e+00,  1.427087269672719e+02, -7.152999971004290e+02, -2.055213322614014e+00
B1Ta1       ,  4.000000000000000e+00,  4.164817398044690e+00,  8.153525839549022e+01, -8.526747675945726e+02, -1.992546494358098e+00
Sn1V3       ,  4.462500000000000e+00,  5.543080254778996e+00, -8.033650678831557e+01, -4.808221986726296e+02, -2.016105553658622e+00
B2Nb1       ,  4.597500000000000e+00,  4.224023302998463e+00,  1.355269556942450e+02,  3.527648053933126e+02, -2.017612041263328e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  3.045085458717737e+00,  2.907909116753055e+02, -5.115325920236074e+02, -1.940747334779144e+00
