# c0 + a0 * (((L_avg+2.086584e+00)^6) - (7.882770e+03*((range_IP-5.623683e+00) / (L_avg-3.136496e+00)))) + a1 * (|std_at_rad - (-4.280919e-01*wtd_range_at_rad+2.711978e-01)| - (1.619065e-01*(sin(2.345242e+02*wtd_std_PE+1.375239e-01)))) + a2 * (((range_at_mass-1.196664e+02) / (wtd_mean_at_mass-9.982086e+01)) - (9.282286e-03*((wtd_std_at_mass+4.916791e+02) / (wtd_mean_PE-2.403765e+00)))) + a3 * ((wtd_mean_IP + 9.009389e-01*lambda) + 9.610576e-01*((V_molar-3.543052e+01) / (wtd_mean_at_mass-1.601305e+01)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.23485423352083; Max AE: 3.01033624144207
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  3.319296506166292e-06,  9.025489013549162e+00,  6.866324923864918e-02,  1.344108830677605e+00, -1.096625256614493e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^6;                                             0|sp|22|0|div|sub:7.8827703372174e+03,0.0000000000000e+00,-5.6236825541712e+00,-3.1364964057304e+00,1.0000000000000e+00,2.0865840017971e+00; (((L_avg+2.086584e+00)^6) - (7.882770e+03*((range_IP-5.623683e+00) / (L_avg-3.136496e+00)))); $\left(\left(\left(L_{avg}+2.087e+00\right)^6\right) - \left(7.883e+03\left(\frac{ range_{IP} -5.624e+00 }{ L_{avg}-3.136e+00 } \right)\right)\right)$; ((L_avg+2.086584e+00).^6 - (7.882770e+03.*((range_IP-5.623683e+00) ./ (L_avg-3.136496e+00)))); ((newdata$L_avg+2.086584e+00)^6 - (7.882770e+03*((newdata$range_IP-5.623683e+00) / (newdata$L_avg-3.136496e+00)))); L_avg,range_IP,L_avg
# 1;  2; AA;                                               18|17|abd|37|sin|sub:1.6190654092559e-01,0.0000000000000e+00,2.3452424695833e+02,1.3752392946251e-01,-4.2809191910675e-01,2.7119782514458e-01; (|std_at_rad - (-4.280919e-01*wtd_range_at_rad+2.711978e-01)| - (1.619065e-01*(sin(2.345242e+02*wtd_std_PE+1.375239e-01)))); $\left(\left(\left|std_{at, rad} - \left(-4.281e-01wtd_{range, at, rad}+2.712e-01\right)\right|\right) - \left(1.619e-01\left(\sin{ \left(2.345e+02wtd_{std, PE}+1.375e-01 \right)}\right)\right)\right)$; (abs(std_at_rad - (-4.280919e-01.*wtd_range_at_rad+2.711978e-01)) - (1.619065e-01.*sin(2.345242e+02.*wtd_std_PE+1.375239e-01))); (abs(newdata$std_at_rad - (-4.280919e-01*newdata$wtd_range_at_rad+2.711978e-01)) - (1.619065e-01*sin(2.345242e+02*newdata$wtd_std_PE+1.375239e-01))); std_at_rad,wtd_range_at_rad,wtd_std_PE
# 2;  2; Unitless;                                         10|9|div|13|33|div|sub:9.2822861461404e-03,0.0000000000000e+00,4.9167908852364e+02,-2.4037645927211e+00,-1.1966644319141e+02,-9.9820859038633e+01; (((range_at_mass-1.196664e+02) / (wtd_mean_at_mass-9.982086e+01)) - (9.282286e-03*((wtd_std_at_mass+4.916791e+02) / (wtd_mean_PE-2.403765e+00)))); $\left(\left(\frac{ range_{at, mass} -1.197e+02 }{ wtd_{mean, at, mass}-9.982e+01 } \right) - \left(9.282e-03\left(\frac{ wtd_{std, at, mass} +4.917e+02 }{ wtd_{mean, PE}-2.404e+00 } \right)\right)\right)$; (((range_at_mass-1.196664e+02) ./ (wtd_mean_at_mass-9.982086e+01)) - (9.282286e-03.*((wtd_std_at_mass+4.916791e+02) ./ (wtd_mean_PE-2.403765e+00)))); (((newdata$range_at_mass-1.196664e+02) / (newdata$wtd_mean_at_mass-9.982086e+01)) - (9.282286e-03*((newdata$wtd_std_at_mass+4.916791e+02) / (newdata$wtd_mean_PE-2.403765e+00)))); range_at_mass,wtd_mean_at_mass,wtd_std_at_mass,wtd_mean_PE
# 3;  2; eV;                                               21|5|add|3|9|div|add:9.6105757792485e-01,0.0000000000000e+00,-3.5430524610914e+01,-1.6013054336504e+01,9.0093889811672e-01,0.0000000000000e+00; ((wtd_mean_IP + 9.009389e-01*lambda) + 9.610576e-01*((V_molar-3.543052e+01) / (wtd_mean_at_mass-1.601305e+01))); $\left(\left(wtd_{mean, IP} + 0.901lambda\right) + 0.961\left(\frac{ V_{molar} -3.543e+01 }{ wtd_{mean, at, mass}-1.601e+01 } \right)\right)$; ((wtd_mean_IP + (9.009389e-01.*lambda)) + (9.610576e-01.*((V_molar-3.543052e+01) ./ (wtd_mean_at_mass-1.601305e+01)))); ((newdata$wtd_mean_IP + (9.009389e-01*newdata$lambda)) + (9.610576e-01*((newdata$V_molar-3.543052e+01) / (newdata$wtd_mean_at_mass-1.601305e+01)))); wtd_mean_IP,lambda,V_molar,wtd_mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
B1Mo1       ,  2.500000000000000e-01,  1.444350835050265e+00,  1.372093677322106e+05,  6.714509703271812e-02,  1.706870850834019e+01,  7.571674459623390e+00
Cr3Ir1      ,  2.560000000000000e-01,  1.875814615265357e+00,  1.077861065008829e+05,  4.341441600211739e-02,  6.732491164852282e+00,  8.652708631725529e+00
Al1Os1      ,  3.900000000000000e-01,  5.364000858088631e-01, -1.507159847369599e+05,  7.366950342827938e-02,  1.563048866471966e+01,  7.636866916205538e+00
Al1Mo3      ,  5.800000000000000e-01,  1.358630196613249e+00,  1.410237894974633e+05,  1.363033907321892e-01,  1.503544094441629e+01,  7.137960697433916e+00
Sb1V3       ,  6.500000000000000e-01,  6.269334301761390e-01,  1.338824298966572e+05, -1.735961148350806e-02,  8.779833065280837e+00,  7.962612391900818e+00
Nb3Os1      ,  6.633333330000000e-01,  3.361947887689263e+00,  1.602893442277976e+05,  3.153367912280589e-01,  6.244315218636347e+00,  7.827735847312646e+00
Ti1O1       ,  7.200000000000000e-01,  9.102062823882329e-01,  4.225437636930330e+04,  3.810219090348780e-01, -5.334560726120675e+01,  8.898221219109420e+00
Ga1Mo3      ,  7.600000000000000e-01,  1.703203288814432e+00,  1.410802966997140e+05,  1.044840788018014e-01,  2.302853302067610e+01,  7.199517249240199e+00
B2Ru1       ,  8.000000000000000e-01,  2.107094233209242e+00,  9.546880231076572e+04,  1.600284403747985e-01,  1.636055333099899e+01,  7.580304230835959e+00
La1Se1      ,  1.020000000000000e+00,  3.331510757377036e+00,  3.048879669760009e+05,  2.693493542650111e-01,  1.814751572756969e+00,  7.983083763600560e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  1.735290640189815e+00,  2.825198748066348e+05,  1.082198090213236e-01,  8.723722299130353e+00,  7.579773247934217e+00
Co1Si2      ,  1.306666667000000e+00,  1.762627870880012e-01,  1.831650886583342e+05, -7.589684003006687e-02,  1.062740668039103e+01,  7.804301033650487e+00
Nb1O1       ,  1.380000000000000e+00,  2.709185838957578e+00,  5.598869049969720e+04,  3.048108917209488e-01, -4.139263809582077e+01,  1.010385521035273e+01
Cr1         ,  1.550000000000000e+00, -3.033535791568553e-01, -2.495367600271241e+05,  2.490019206815161e-01,  8.638409809064257e+00,  6.435996773517267e+00
Hg2Na1      ,  1.620000000000000e+00,  1.311583397006425e+00,  8.301846834441408e+04, -1.182531565941318e-01,  8.328030757845815e+00,  9.298157768216381e+00
Ga2Y1       ,  1.680000000000000e+00,  9.933399566469153e-01,  1.010923939702501e+05,  1.447204965693827e-01,  1.010981730115568e+01,  7.159904403653105e+00
Be2Nb1      ,  2.150000000000000e+00,  2.962978516704438e+00,  4.220694330673334e+05,  1.121905382270412e-01,  6.518210978367518e+00,  8.234542635613472e+00
Ge1Mo3      ,  2.179200000000000e+00,  2.620442676588385e+00,  1.414037955268091e+05,  1.036042231621101e-01,  2.646233501768324e+01,  7.711626617611278e+00
B1Hf1       ,  3.100000000000000e+00,  4.360793924546486e+00,  1.296438225695910e+05,  5.192744724178241e-01, -1.997789582018489e+00,  7.698177889618292e+00
B1Zr1       ,  3.100000000000000e+00,  1.895184438175353e+00,  1.349047211304716e+05,  2.182939382442507e-01,  7.673107733320563e+00,  7.377808967843380e+00
C1In1Ti2    ,  3.100000000000000e+00,  3.662132733543941e+00,  3.571570678435212e+05,  2.378978685134522e-01,  9.283033727831803e+00,  7.929660896365267e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  4.069065816231573e+00,  1.218036543064511e+05,  3.802339134367072e-01,  6.425879621394220e+00,  8.003814059053715e+00
Sn1         ,  3.740729412000000e+00,  2.993529210556475e+00,  4.337145124622126e+05,  2.490019206815161e-01,  3.949322623146887e+00,  7.441076986830913e+00
B1Ta1       ,  4.000000000000000e+00,  2.281775166134854e+00,  1.529015559299588e+05,  2.478596946123979e-01, -4.350934668012066e+00,  8.036697807686689e+00
Sn1V3       ,  4.462500000000000e+00,  3.755204782843092e+00,  1.423216654861901e+05,  2.451373619004721e-01,  8.586960400677869e+00,  8.516391018262938e+00
B2Nb1       ,  4.597500000000000e+00,  2.483181827609015e+00,  6.233860952939254e+05,  4.977730691923975e-02,  1.019250141753315e+01,  7.611821357183808e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  2.986625128951232e+00,  9.571254435874140e+04,  3.487610750981176e-01,  6.392920475673481e+00,  7.475943322467784e+00
Os0.5V0.5   ,  5.150000000000000e+00,  3.559519472110002e+00, -2.305773356442263e+05,  3.434776918680051e-01,  1.160523453447034e+01,  8.477155329340826e+00
Ir1Ti3      ,  5.185000000000000e+00,  5.541627013734042e+00,  1.408326823643022e+05,  3.481867672987606e-01,  5.733643584035397e+00,  9.302942903570562e+00
Ir1Mo1      ,  5.325000000000000e+00,  5.130569767023752e+00,  8.397656129509211e+04,  3.391974163712658e-01,  2.186405682150813e+01,  8.373875114860697e+00
