# c0 + a0 * ((wtd_mean_ThermalCond - (3.640596e+01*lambda)) / (mean_ThermalCond - (1.941246e+00*V_molar))) + a1 * ((std_EA - (0.000000e+00*wtd_std_IP)) + 6.195108e-01*(sin(-1.521810e+02*wtd_std_PE-2.546421e-01))) + a2 * (((range_at_rad+5.135395e+01) / (density-1.203755e+01)) - (1.063776e+00*((wtd_mean_IP-4.708271e+01) * (L_avg-7.522769e+01)))) + a3 * (((wtd_range_ThermalCond+1.295778e+01) / (lambda3-4.858539e-02)) + 1.920745e+02*((lambda+2.408395e-01) / (mean_IP-7.066179e+00))) + a4 * ((lambda - (2.424021e-01*L_avg)) - (3.834190e-03*((wtd_range_ThermalCond-9.235392e+00) / (mean_at_rad-1.128225e+00))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.00647615615873; Max AE: 2.14284787399955
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  2.870784984971778e-01,  2.379019680231472e+00,  1.833718645057418e-02, -2.986713440700788e-04,  1.059212159319302e+00,  5.819336684209881e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         39|5|sub:3.6405959319819e+01,0.0000000000000e+00|38|3|sub:1.9412462745727e+00,0.0000000000000e+00|div; ((wtd_mean_ThermalCond - (3.640596e+01*lambda)) / (mean_ThermalCond - (1.941246e+00*V_molar))); $\left(\frac{ \left(wtd_{mean, ThermalCond} - \left(3.641e+01lambda\right)\right) }{ \left(mean_{ThermalCond} - \left(1.941e+00V_{molar}\right)\right) } \right)$; ((wtd_mean_ThermalCond - (3.640596e+01.*lambda)) ./ (mean_ThermalCond - (1.941246e+00.*V_molar))); ((newdata$wtd_mean_ThermalCond - (3.640596e+01*newdata$lambda)) / (newdata$mean_ThermalCond - (1.941246e+00*newdata$V_molar))); wtd_mean_ThermalCond,lambda,mean_ThermalCond,V_molar
# 1;  2; eV;                                               30|25|sub|37|sin|add:6.1951081864904e-01,0.0000000000000e+00,-1.5218096073029e+02,-2.5464212641275e-01,0.0000000000000e+00,0.0000000000000e+00; ((std_EA - (0.000000e+00*wtd_std_IP)) + 6.195108e-01*(sin(-1.521810e+02*wtd_std_PE-2.546421e-01))); $\left(\left(std_{EA} - \left(0.000e+00wtd_{std, IP}\right)\right) + 0.620\left(\sin{ \left(-1.522e+02wtd_{std, PE}-2.546e-01 \right)}\right)\right)$; ((std_EA - (0.000000e+00.*wtd_std_IP)) + (6.195108e-01.*sin(-1.521810e+02.*wtd_std_PE-2.546421e-01))); ((newdata$std_EA - (0.000000e+00*newdata$wtd_std_IP)) + (6.195108e-01*sin(-1.521810e+02*newdata$wtd_std_PE-2.546421e-01))); std_EA,wtd_std_IP,wtd_std_PE
# 2;  2; AA * cm^3 * g^-1;                                 16|2|div|21|0|mult|sub:1.0637757320522e+00,0.0000000000000e+00,-4.7082708881752e+01,-7.5227688083617e+01,5.1353947636918e+01,-1.2037550712399e+01; (((range_at_rad+5.135395e+01) / (density-1.203755e+01)) - (1.063776e+00*((wtd_mean_IP-4.708271e+01) * (L_avg-7.522769e+01)))); $\left(\left(\frac{ range_{at, rad} +5.135e+01 }{ density-1.204e+01 } \right) - \left(1.064e+00\left(\left(wtd_{mean, IP}-4.708e+01\right) * \left(L_{avg}-7.523e+01\right)\right)\right)\right)$; (((range_at_rad+5.135395e+01) ./ (density-1.203755e+01)) - (1.063776e+00.*((wtd_mean_IP-4.708271e+01) .* (L_avg-7.522769e+01)))); (((newdata$range_at_rad+5.135395e+01) / (newdata$density-1.203755e+01)) - (1.063776e+00*((newdata$wtd_mean_IP-4.708271e+01) * (newdata$L_avg-7.522769e+01)))); range_at_rad,density,wtd_mean_IP,L_avg
# 3;  2; W * mK^-1;                                        41|7|div|5|20|div|add:1.9207448511402e+02,0.0000000000000e+00,2.4083949462321e-01,-7.0661791914688e+00,1.2957781253003e+01,-4.8585385615623e-02; (((wtd_range_ThermalCond+1.295778e+01) / (lambda3-4.858539e-02)) + 1.920745e+02*((lambda+2.408395e-01) / (mean_IP-7.066179e+00))); $\left(\left(\frac{ wtd_{range, ThermalCond} +1.296e+01 }{ lambda3-4.859e-02 } \right) + 192.0\left(\frac{ lambda +2.408e-01 }{ mean_{IP}-7.066e+00 } \right)\right)$; (((wtd_range_ThermalCond+1.295778e+01) ./ (lambda3-4.858539e-02)) + (1.920745e+02.*((lambda+2.408395e-01) ./ (mean_IP-7.066179e+00)))); (((newdata$wtd_range_ThermalCond+1.295778e+01) / (newdata$lambda3-4.858539e-02)) + (1.920745e+02*((newdata$lambda+2.408395e-01) / (newdata$mean_IP-7.066179e+00)))); wtd_range_ThermalCond,lambda3,lambda,mean_IP
# 4;  2; Unitless;                                         5|0|sub|41|14|div|sub:3.8341901295219e-03,0.0000000000000e+00,-9.2353917356728e+00,-1.1282247080340e+00,2.4240213575389e-01,0.0000000000000e+00; ((lambda - (2.424021e-01*L_avg)) - (3.834190e-03*((wtd_range_ThermalCond-9.235392e+00) / (mean_at_rad-1.128225e+00)))); $\left(\left(lambda - \left(2.424e-01L_{avg}\right)\right) - \left(3.834e-03\left(\frac{ wtd_{range, ThermalCond} -9.235e+00 }{ mean_{at, rad}-1.128e+00 } \right)\right)\right)$; ((lambda - (2.424021e-01.*L_avg)) - (3.834190e-03.*((wtd_range_ThermalCond-9.235392e+00) ./ (mean_at_rad-1.128225e+00)))); ((newdata$lambda - (2.424021e-01*newdata$L_avg)) - (3.834190e-03*((newdata$wtd_range_ThermalCond-9.235392e+00) / (newdata$mean_at_rad-1.128225e+00)))); lambda,L_avg,wtd_range_ThermalCond,mean_at_rad
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01,  4.146928109976989e-01,  1.574880299508088e+00, -3.115283137361438e-01, -3.023242870644872e+03,  4.252249881993514e+03, -7.381551605398516e-01
B1Mo1       ,  2.500000000000000e-01,  6.246564456563732e-01,  1.088372463021291e+00,  2.101729923384216e-01, -2.961262372253451e+03,  9.866796343590991e+02, -3.573647827786793e+00
Cr3Ir1      ,  2.560000000000000e-01, -2.251581364799565e-01,  8.080462262222812e-01, -1.520408741680370e-01, -3.176769237176736e+03,  4.058370786931958e+02,  8.065643270765332e-02
Al1Os1      ,  3.900000000000000e-01,  7.292748227904546e-01,  1.089211712562322e+00, -2.398772942692610e-01, -3.015222114149585e+03,  1.300434316279700e+03, -1.441652555420867e+00
Al1Mo3      ,  5.800000000000000e-01,  2.442891312991685e+00,  1.298716841695032e+00, -4.290126933201076e-01, -3.025443392988939e+03, -6.309751565413050e+03, -1.424740024114116e+00
Sb1V3       ,  6.500000000000000e-01,  2.792847873999547e+00,  1.544188029453817e-02,  4.044557603723709e-02, -2.993756818701596e+03,  3.851746840627712e+02, -4.617160067286296e-01
Ti1O1       ,  7.200000000000000e-01,  2.558288539912876e+00, -5.614171174251752e-01,  5.000712396751210e-01, -2.847400300970786e+03, -4.917867840308205e+02, -4.340168492971384e+00
Ga1Mo3      ,  7.600000000000000e-01,  3.709833818849543e-01,  7.258224558366909e+00, -1.712841317602933e-01, -3.033419974082215e+03,  5.424197839859320e+03, -2.128124399827901e+00
B2Ru1       ,  8.000000000000000e-01,  1.169693082802227e-01,  1.057844887860449e+00,  9.858739910821610e-01, -2.980113015763332e+03,  1.039218083973211e+04, -2.808465729600176e+00
La1Se1      ,  1.020000000000000e+00,  2.316116960005183e+00,  1.111130807515485e-01,  1.125529495460738e+00, -2.907886033695250e+03,  1.376638986531601e+04, -1.088290318197452e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.238662737521730e+00,  1.411473523100595e+00, -3.229971559845594e-01, -2.964305011372177e+03, -5.070112688199253e+02, -1.308432166805954e+00
Co1Si2      ,  1.306666667000000e+00,  1.246782897071492e+00,  1.495206826156688e+00, -2.574938659713512e-01, -2.909679363473512e+03, -5.746068235094863e+03, -4.837648038069864e+00
Nb1O1       ,  1.380000000000000e+00,  1.093295890373958e+00, -3.530494028417704e+00, -2.710446395657538e-01, -2.796208130158748e+03,  8.515775722401049e+02, -3.694056762383257e+00
Cr1         ,  1.550000000000000e+00,  1.004725295765900e+00,  9.864388535327852e-01, -1.560542123016120e-01, -3.108350588607475e+03, -1.376343393808617e+02, -1.352647095684069e-01
Hg2Na1      ,  1.620000000000000e+00,  2.409933156429683e+00, -2.326914504321319e+00, -3.075553993496770e-01, -2.910402369562014e+03,  5.210773126350798e+02, -8.114752555282342e-01
Ga2Y1       ,  1.680000000000000e+00,  1.265961210450502e-01,  3.493245710690261e-01, -5.726139439532211e-01, -3.109009645772872e+03, -2.651536029524601e+02,  1.194296293845823e-01
Be2Nb1      ,  2.150000000000000e+00,  2.387227385383254e+00,  1.577044845218022e+00, -4.781245990336852e-02, -2.828744360764270e+03,  2.459644210134705e+03, -3.341436653850137e+00
B1Hf1       ,  3.100000000000000e+00,  1.843582719533273e+00, -1.283131982241542e+00,  1.304900523787142e-01, -3.014963466292648e+03,  1.219254835515977e+03, -6.058835458049714e-01
B1Zr1       ,  3.100000000000000e+00,  3.892851473899038e+00, -9.393840804572789e-01,  5.487315553896999e-01, -2.971691784661247e+03,  7.486214067486845e+02, -5.855516953077440e-01
C1In1Ti2    ,  3.100000000000000e+00,  3.387542378426916e+00,  5.200263383321187e+00, -1.172151659074283e-02, -3.030802253319083e+03, -1.100458683944633e+03, -9.659179232293844e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  2.657510296369978e+00, -8.856268426925256e-01,  1.839716862638562e-01, -3.014638646103126e+03,  2.881000863682310e+02, -3.334990123528599e-01
Sn1         ,  3.740729412000000e+00,  3.846264321550140e+00,  2.260122064877018e+00, -1.560542123016120e-01, -2.910299526568430e+03, -5.554346825524686e+01, -1.203312398282419e+00
B1Ta1       ,  4.000000000000000e+00,  5.635307597255594e+00,  2.148857463741608e+00,  3.210288090327570e-01, -2.886092127237639e+03, -6.764709080991913e+02, -1.149832814482573e+00
B2Nb1       ,  4.597500000000000e+00,  5.087127323338724e+00,  1.363175103729130e+00,  7.472702752131437e-01, -3.021379659425053e+03,  4.349736035059285e+02,  2.437357138140179e-01
Al1Si1Sr1   ,  4.750000000000000e+00,  4.228496058796000e+00,  2.220424947900826e+00,  1.117013520177232e+00, -3.054055351944945e+03,  1.200143738926863e+01, -1.183273129473273e+00
Fe1Li1P1    ,  4.965000000000000e+00,  3.339144391461900e+00,  5.377568424841773e+00, -2.972801531134586e-01, -2.956991116178436e+03, -8.941858030383397e+02, -1.637954790387359e+00
Ga1Si1Sr1   ,  5.000000000000000e+00,  6.114200868624957e+00,  3.666327559684288e+00,  2.684970409330925e-01, -3.057173977853626e+03, -1.466733666636203e+03,  1.747948589032104e+00
Os0.5V0.5   ,  5.150000000000000e+00,  4.529900417218070e+00,  7.990050220850650e-01,  5.034639246327597e-01, -3.003174166846951e+03,  4.108566792885278e+02,  9.618619352756475e-02
Ir1Ti3      ,  5.185000000000000e+00,  4.313454007153097e+00, -1.687077107305941e+00,  2.647108618195426e-01, -2.981389001186502e+03,  5.006760512406574e+02,  7.500687720156447e-01
Ir1Mo1      ,  5.325000000000000e+00,  5.135134616164833e+00,  1.164025291446977e+00,  5.061613846614398e-01, -2.941160893905335e+03,  5.362296643967932e+02, -4.756314611670086e-01
La1         ,  5.343000000000000e+00,  5.034901990377502e+00,  3.460107547541965e+00, -1.560542123016120e-01, -3.041150013143651e+03, -4.557548888558058e+02,  1.746092682970024e+00
