# c0 + a0 * ((((wtd_mean_at_rad+3.152817e+00) / (lambda4w_low-4.551683e+00))-1.376386e+01) * (((w_log-1.357921e+02) / (L_avg-4.629103e+00))+8.773411e+02)) + a1 * ((((wtd_std_IP+4.008754e+09) / (lambda-7.471911e+08))+5.365099e+00) * (((range_IP-4.185359e+09) / (wtd_mean_at_mass-1.001735e+02))-3.380780e+09))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.02734543550855; Max AE: 5.73062875503183
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.364570875984402e-04,  4.498391797026701e-02,  1.529806592231946e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         15|6|div|4|0|div|mult:-1.3763863642904e+01,8.7734113807121e+02,-1.3579212991990e+02,-4.6291028689480e+00,3.1528167105495e+00,-4.5516832788807e+00; ((((wtd_mean_at_rad+3.152817e+00) / (lambda4w_low-4.551683e+00))-1.376386e+01) * (((w_log-1.357921e+02) / (L_avg-4.629103e+00))+8.773411e+02)); $\left(\left(\left(\frac{ wtd_{mean, at, rad} +3.153e+00 }{ lambda4w_{low}-4.552e+00 } \right)-1.376e+01\right) * \left(\left(\frac{ w_{log} -1.358e+02 }{ L_{avg}-4.629e+00 } \right)+8.773e+02\right)\right)$; ((((wtd_mean_at_rad+3.152817e+00) ./ (lambda4w_low-4.551683e+00))-1.376386e+01) .* (((w_log-1.357921e+02) ./ (L_avg-4.629103e+00))+8.773411e+02)); ((((newdata$wtd_mean_at_rad+3.152817e+00) / (newdata$lambda4w_low-4.551683e+00))-1.376386e+01) * (((newdata$w_log-1.357921e+02) / (newdata$L_avg-4.629103e+00))+8.773411e+02)); wtd_mean_at_rad,lambda4w_low,w_log,L_avg
# 1;  2; eV^2 * g^-1 * mol;                                25|5|div|22|9|div|mult:5.3650990078952e+00,-3.3807798608631e+09,-4.1853586229005e+09,-1.0017350637408e+02,4.0087540548168e+09,-7.4719107618763e+08; ((((wtd_std_IP+4.008754e+09) / (lambda-7.471911e+08))+5.365099e+00) * (((range_IP-4.185359e+09) / (wtd_mean_at_mass-1.001735e+02))-3.380780e+09)); $\left(\left(\left(\frac{ wtd_{std, IP} +4.009e+09 }{ lambda-7.472e+08 } \right)+5.365e+00\right) * \left(\left(\frac{ range_{IP} -4.185e+09 }{ wtd_{mean, at, mass}-1.002e+02 } \right)-3.381e+09\right)\right)$; ((((wtd_std_IP+4.008754e+09) ./ (lambda-7.471911e+08))+5.365099e+00) .* (((range_IP-4.185359e+09) ./ (wtd_mean_at_mass-1.001735e+02))-3.380780e+09)); ((((newdata$wtd_std_IP+4.008754e+09) / (newdata$lambda-7.471911e+08))+5.365099e+00) * (((newdata$range_IP-4.185359e+09) / (newdata$wtd_mean_at_mass-1.001735e+02))-3.380780e+09)); wtd_std_IP,lambda,range_IP,wtd_mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01, -4.297999375438672e-01, -2.997647943359285e+04, -1.920623019598250e+02
B1Mo1       ,  2.500000000000000e-01,  1.447690212502073e+00, -2.224383374599834e+04, -1.909718840162584e+02
Cr3Ir1      ,  2.560000000000000e-01,  1.384208477410488e+00, -2.953391374682956e+04, -1.540629302127678e+02
Al1Os1      ,  3.900000000000000e-01,  2.694792284694192e+00, -1.139463803956159e+04, -2.202771825944914e+02
Al1Mo3      ,  5.800000000000000e-01, -1.384326510754081e-03, -2.861406365321768e+04, -1.897000634465483e+02
Nb3Os1      ,  6.633333330000000e-01,  2.820681875130864e+00, -1.320280128210664e+04, -2.079740611759161e+02
Ti1O1       ,  7.200000000000000e-01,  4.500502764579755e+00, -9.588381157830123e+03, -1.896304915017343e+02
Ga1Mo3      ,  7.600000000000000e-01,  3.597738527903238e+00, -1.586329043348209e+04, -1.767151528250855e+02
La1Se1      ,  1.020000000000000e+00,  2.167597363101563e+00, -1.359764125528059e+04, -2.204167701963954e+02
Al1Nb1Ni2   ,  1.075000000000000e+00,  4.078824323157363e+00, -1.218160680496182e+04, -1.853732335476688e+02
Co1Si2      ,  1.306666667000000e+00,  4.639616288802311e-01, -2.488604514362347e+04, -1.989516018335740e+02
Cr1         ,  1.550000000000000e+00,  4.162641957021196e+00, -9.911247246389883e+03, -1.954440543120318e+02
Hg2Na1      ,  1.620000000000000e+00,  2.366008059730575e+00, -1.819539352481601e+04, -1.918380721685312e+02
Ga2Y1       ,  1.680000000000000e+00,  3.884469399905989e+00, -1.529491302253949e+04, -1.733287424893916e+02
Be2Nb1      ,  2.150000000000000e+00,  3.605605055014682e+00, -1.303977417636182e+04, -1.913820367605879e+02
Ge1Mo3      ,  2.179200000000000e+00,  3.331198775204228e+00, -1.739370673758464e+04, -1.745957725291037e+02
B1Hf1       ,  3.100000000000000e+00,  2.607048298590119e+00, -2.437500736663596e+04, -1.539966877985785e+02
B1Zr1       ,  3.100000000000000e+00,  7.751422989746517e-01, -2.486588190808081e+04, -1.921399912854671e+02
C1In1Ti2    ,  3.100000000000000e+00,  3.887238184961074e+00, -1.203841014728366e+04, -1.903849357958748e+02
Pt0.25V0.75 ,  3.102500000000000e+00,  3.583826247100718e+00, -1.714841969984309e+04, -1.702691682200900e+02
Sn1         ,  3.740729412000000e+00,  2.408772782770295e+00, -1.283653164722107e+04, -2.190561582006986e+02
Sn1V3       ,  4.462500000000000e+00,  6.062965940734818e+00, -8.471860269027695e+03, -1.607656447490736e+02
B2Nb1       ,  4.597500000000000e+00,  4.499936161843249e+00, -9.959975630538680e+03, -1.876898080755921e+02
Al1Si1Sr1   ,  4.750000000000000e+00,  4.303103195643176e+00, -1.099779967987156e+04, -1.866101358696962e+02
Fe1Li1P1    ,  4.965000000000000e+00,  6.533832538526079e+00, -1.845252373421893e+02, -1.938604167237519e+02
Ga1Si1Sr1   ,  5.000000000000000e+00,  5.488487548294590e+00, -1.778560079292173e+04, -1.245788997980609e+02
Os0.5V0.5   ,  5.150000000000000e+00,  3.852740335118965e+00, -1.166212979255874e+04, -1.931297390991905e+02
Ir1Ti3      ,  5.185000000000000e+00,  6.605609195548864e+00, -9.189264604689781e+03, -1.449315727785976e+02
Ir1Mo1      ,  5.325000000000000e+00,  4.017183251596797e+00, -9.385492985999857e+03, -2.014412426140159e+02
La1         ,  5.343000000000000e+00,  6.522791100314871e+00, -1.129336776202430e+04, -1.357124556347747e+02
N1Ti1       ,  5.387500000000000e+00,  6.649737666887784e+00, -3.469187256383383e+03, -1.740180645364797e+02
B6Y1        ,  5.692857143000000e+00,  4.086200882225590e+00, -1.132781703583490e+04, -1.896971806811629e+02
Nb1S2       ,  5.821818182000000e+00,  5.695830129164029e+00, -4.128148373238881e+03, -1.917597719555401e+02
Ge1V3       ,  6.680000000000000e+00,  6.571058077387714e+00, -7.663195204297253e+03, -1.537214039425351e+02
Sn1Ta3      ,  6.692500000000000e+00,  6.348321465202814e+00, -9.904797265826905e+03, -1.468899384609784e+02
Al1Ge1Sr1   ,  6.700000000000000e+00,  7.707422478900093e+00, -2.234388609212887e+04, -5.129106837622093e+01
Ir1Mo3      ,  8.031000000000001e+00,  8.085269753353849e+00, -7.952038978027576e+03, -1.185419241444584e+02
N1V1        ,  8.528333333499999e+00,  4.698042057858431e+00, -9.077051765871771e+03, -1.879269530393137e+02
C1Ta1       ,  8.637499999999999e+00,  8.402825530417383e+00, -6.481510352134651e+03, -1.192124112964486e+02
Re3W1       ,  8.733333332999999e+00,  9.454493769271052e+00, -9.244085294768154e+03, -8.131222960955992e+01
