# c0 + a0 * ((((wtd_mean_PE+5.366255e-01) / (lambda3-4.795190e-02))+6.605002e+01) * (((wtd_std_at_mass-3.271945e+01) / (mean_IP-7.020988e+00))+2.018957e+01)) + a1 * ((((lambda-7.201936e+00) / (wtd_mean_IP-3.983981e+00))+1.639838e+00) * (((wtd_std_at_mass-3.385007e+01) / (density-2.692148e+00))+1.102547e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.32143624965261; Max AE: 6.23428450428298
# Coefficients
# Task   a0                      a1                      c0
# all , -1.848659709493358e-04,  5.013873649951992e-01,  4.779650097866060e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g * mol^-1;                               33|7|div|13|20|div|mult:6.6050015808053e+01,2.0189569320886e+01,-3.2719454231287e+01,-7.0209880022609e+00,5.3662553140599e-01,-4.7951904188682e-02; ((((wtd_mean_PE+5.366255e-01) / (lambda3-4.795190e-02))+6.605002e+01) * (((wtd_std_at_mass-3.271945e+01) / (mean_IP-7.020988e+00))+2.018957e+01)); $\left(\left(\left(\frac{ wtd_{mean, PE} +5.366e-01 }{ lambda3-4.795e-02 } \right)+6.605e+01\right) * \left(\left(\frac{ wtd_{std, at, mass} -3.272e+01 }{ mean_{IP}-7.021e+00 } \right)+2.019e+01\right)\right)$; ((((wtd_mean_PE+5.366255e-01) ./ (lambda3-4.795190e-02))+6.605002e+01) .* (((wtd_std_at_mass-3.271945e+01) ./ (mean_IP-7.020988e+00))+2.018957e+01)); ((((newdata$wtd_mean_PE+5.366255e-01) / (newdata$lambda3-4.795190e-02))+6.605002e+01) * (((newdata$wtd_std_at_mass-3.271945e+01) / (newdata$mean_IP-7.020988e+00))+2.018957e+01)); wtd_mean_PE,lambda3,wtd_std_at_mass,mean_IP
# 1;  2; cm^3 * eV^-1 * mol^-1;                            5|21|div|13|2|div|mult:1.6398378744987e+00,1.1025471867919e+01,-3.3850074919868e+01,-2.6921483173263e+00,-7.2019362225722e+00,-3.9839807996943e+00; ((((lambda-7.201936e+00) / (wtd_mean_IP-3.983981e+00))+1.639838e+00) * (((wtd_std_at_mass-3.385007e+01) / (density-2.692148e+00))+1.102547e+01)); $\left(\left(\left(\frac{ lambda -7.202e+00 }{ wtd_{mean, IP}-3.984e+00 } \right)+1.640e+00\right) * \left(\left(\frac{ wtd_{std, at, mass} -3.385e+01 }{ density-2.692e+00 } \right)+1.103e+01\right)\right)$; ((((lambda-7.201936e+00) ./ (wtd_mean_IP-3.983981e+00))+1.639838e+00) .* (((wtd_std_at_mass-3.385007e+01) ./ (density-2.692148e+00))+1.102547e+01)); ((((newdata$lambda-7.201936e+00) / (newdata$wtd_mean_IP-3.983981e+00))+1.639838e+00) * (((newdata$wtd_std_at_mass-3.385007e+01) / (newdata$density-2.692148e+00))+1.102547e+01)); lambda,wtd_mean_IP,wtd_std_at_mass,density
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01,  4.605781209129371e+00, -1.400261816334488e+04, -5.509665149544994e+00
B1Mo1       ,  2.500000000000000e-01,  3.162298555763503e+00,  3.296045766558342e+03, -2.010471167704742e+00
Cr3Ir1      ,  2.560000000000000e-01,  3.927742170173044e+00,  3.006705417148506e+03, -5.905023382391470e-01
Al1Os1      ,  3.900000000000000e-01, -6.408887974486841e-01,  1.498484341142121e+04, -5.286035216631320e+00
Al1Mo3      ,  5.800000000000000e-01,  2.163515642205461e+00, -6.927114814002154e+03, -7.771879655694847e+00
Sb1V3       ,  6.500000000000000e-01,  2.965655803146382e+00,  9.280829531701623e+02, -3.275757334802555e+00
Ti1O1       ,  7.200000000000000e-01,  5.950310169045006e+00,  2.764402139856281e+00,  2.335860846983727e+00
Ga1Mo3      ,  7.600000000000000e-01, -5.905742975579765e-01,  1.318396799198407e+04, -5.849683411246354e+00
B2Ru1       ,  8.000000000000000e-01,  7.034969253118483e-01,  1.987118050997188e+04, -8.030678907766233e-01
La1Se1      ,  1.020000000000000e+00,  1.084531809833909e-01,  1.939963518257193e+04, -2.163725292128177e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  1.722045562198380e+00,  4.510737962152602e+03, -4.435138852407266e+00
Co1Si2      ,  1.306666667000000e+00,  4.737342326906419e+00, -7.986010809318314e+01, -1.138265368592861e-01
Nb1O1       ,  1.380000000000000e+00,  7.614284504282978e+00,  2.796702455061586e+03,  6.684750664309941e+00
Cr1         ,  1.550000000000000e+00,  6.225012038585452e-01,  1.744596330362170e+04, -1.858810201062667e+00
Hg2Na1      ,  1.620000000000000e+00,  5.707647597338369e+00,  6.003650172460412e+03,  4.064458460902505e+00
Ga2Y1       ,  1.680000000000000e+00,  2.046166260926368e+00,  3.168779793485505e+03, -4.283483058478991e+00
Be2Nb1      ,  2.150000000000000e+00,  5.140654539919153e+00,  2.485566071888101e+03,  1.636461316290387e+00
B1Hf1       ,  3.100000000000000e+00, -1.761433949041107e+00,  2.336102969351210e+04, -4.432550090808665e+00
B1Zr1       ,  3.100000000000000e+00,  1.914485437427543e+00,  4.726351403103553e+03, -3.971825495193903e+00
C1In1Ti2    ,  3.100000000000000e+00,  3.403008169524008e+00, -3.390629300550931e+02, -2.870680887886745e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  2.156543882511218e+00,  3.451627963804760e+03, -3.959050026099487e+00
Sn1         ,  3.740729412000000e+00,  4.765332473279315e+00,  9.803173031731628e+02,  3.328956753914101e-01
B1Ta1       ,  4.000000000000000e+00,  4.313697743175224e+00,  1.304643757010358e+02, -8.812227073308808e-01
B2Nb1       ,  4.597500000000000e+00,  4.028146611293937e+00,  1.881966657977721e+03, -8.049502664564753e-01
Al1Si1Sr1   ,  4.750000000000000e+00,  4.575264613207467e+00,  2.339983246515007e+03,  4.551327100469865e-01
Fe1Li1P1    ,  4.965000000000000e+00,  4.754676808184580e+00,  7.488485604330157e+01, -2.219766359637153e-02
