# c0 + a0 * (wtd_range_EA - (3.496848e-01*lambda)) + a1 * (w_log / density)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 3.5096176631941; Max AE: 11.7059686779276
# Coefficients
# Task   a0                      a1                      c0
# all , -4.769238056635283e+00,  1.006328685988568e-01,  6.090116447114822e-01, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               29|5|sub:3.4968477744361e-01,0.0000000000000e+00; (wtd_range_EA - (3.496848e-01*lambda)); $\left(wtd_{range, EA} - \left(3.497e-01lambda\right)\right)$; (wtd_range_EA - (3.496848e-01.*lambda)); (newdata$wtd_range_EA - (3.496848e-01*newdata$lambda)); wtd_range_EA,lambda
# 1;  1; K * cm^3 * g^-1;                                  4|2|div; (w_log / density); $\left(\frac{ w_{log} }{ density } \right)$; (w_log ./ density); (newdata$w_log / newdata$density); w_log,density
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01,  4.713270790948338e+00, -5.439725518781953e-02,  3.820646017699115e+01
B1Mo1       ,  2.500000000000000e-01,  4.486660702075015e+00,  5.273385268481201e-02,  4.103181606519208e+01
Cr3Ir1      ,  2.560000000000000e-01,  3.603457862532888e+00, -4.279066377320300e-01,  9.476601529311809e+00
Al1Os1      ,  3.900000000000000e-01,  1.276438209274164e+00,  1.380475843496241e-01,  1.317470500373413e+01
Al1Mo3      ,  5.800000000000000e-01,  2.493582708333824e+00,  3.308967343575940e-01,  3.440919860627178e+01
Sb1V3       ,  6.500000000000000e-01,  3.205116512612352e+00, -1.608261707589474e-01,  1.817583657587549e+01
Nb3Os1      ,  6.633333330000000e-01,  1.400448508945716e+00,  1.912484910500752e-01,  1.692833037300178e+01
Ti1O1       ,  7.200000000000000e-01,  7.549860724865739e+00,  6.476041191192481e-01,  9.966353369763205e+01
Ga1Mo3      ,  7.600000000000000e-01,  1.756147342842079e+00,  3.417237053697745e-01,  2.759433808553971e+01
B2Ru1       ,  8.000000000000000e-01,  5.377139813700314e+00,  3.483260953578948e-02,  4.903222222222222e+01
La1Se1      ,  1.020000000000000e+00, -5.680649236022756e-01,  6.319209073339849e-01,  1.825153846153846e+01
Co1Si2      ,  1.306666667000000e+00,  4.558234018673654e+00,  5.883033929984962e-01,  6.712500000000000e+01
Nb1O1       ,  1.380000000000000e+00,  4.608683769614741e+00,  1.225155697765413e-01,  4.555149929278642e+01
Cr1         ,  1.550000000000000e+00,  6.782392211565999e+00, -1.571483389831579e-01,  5.389792424242425e+01
Hg2Na1      ,  1.620000000000000e+00,  1.376893599606933e+00, -3.260091747203006e-02,  6.085491024287223e+00
Ga2Y1       ,  1.680000000000000e+00,  2.455485102451699e+00, -3.106968515763909e-01,  3.623927392739274e+00
Be2Nb1      ,  2.150000000000000e+00,  6.201988588020027e+00,  1.348517991445113e-01,  6.196899047619048e+01
Ge1Mo3      ,  2.179200000000000e+00,  3.099893595572196e+00,  6.429216537293234e-02,  2.779913393756294e+01
B1Hf1       ,  3.100000000000000e+00,  3.814704385943230e+00, -1.723595754887203e-03,  3.177363963963964e+01
B1Zr1       ,  3.100000000000000e+00,  8.244628948249865e+00, -7.876683795353383e-02,  7.214302447552447e+01
C1In1Ti2    ,  3.100000000000000e+00,  3.891712318257056e+00,  1.853469893869173e-01,  4.140460912052117e+01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.167671829042830e+00, -1.437557414860150e-01,  1.861275403608737e+01
Sn1         ,  3.740729412000000e+00,  2.991944243002109e+00, -8.881993347067668e-02,  1.947007194244605e+01
B1Ta1       ,  4.000000000000000e+00,  3.685978382022547e+00, -5.740297164586466e-02,  2.785569306930693e+01
Sn1V3       ,  4.462500000000000e+00,  3.866256245367487e+00, -5.294082103600000e-01,  7.277650200267022e+00
B2Nb1       ,  4.597500000000000e+00,  6.476763066578346e+00, -1.318492811660150e-01,  5.205983775811210e+01
Al1Si1Sr1   ,  4.750000000000000e+00,  4.193613789010510e+00,  2.392655130681203e-01,  4.695996845425868e+01
Fe1Li1P1    ,  4.965000000000000e+00,  8.688724545820076e+00,  1.267409009978948e-01,  8.629556675062972e+01
Ga1Si1Sr1   ,  5.000000000000000e+00,  4.386101045563604e+00, -6.593893964842104e-01,  6.283279069767442e+00
Os0.5V0.5   ,  5.150000000000000e+00,  2.209601179678608e+00, -7.264035228917293e-02,  1.246263193968472e+01
Ir1Ti3      ,  5.185000000000000e+00,  3.152875245087595e+00, -3.959737696821051e-01,  6.512488789237668e+00
Ir1Mo1      ,  5.325000000000000e+00,  8.321168135733380e-01,  2.503584577854135e-01,  1.408212121212121e+01
N1Ti1       ,  5.387500000000000e+00,  8.651837779225621e+00, -2.037756996675188e-01,  7.026502782931355e+01
B6Y1        ,  5.692857143000000e+00,  5.057552712826905e+00, -3.208655536210522e-02,  4.268498659517427e+01
Nb1S2       ,  5.821818182000000e+00,  3.719969633771545e+00,  9.769192320607518e-01,  7.721252983293556e+01
Ge1V3       ,  6.680000000000000e+00,  5.296655158656025e+00, -6.819894706166916e-01,  1.426048364153627e+01
Sn1Ta3      ,  6.692500000000000e+00,  5.095194198830296e+00, -8.976780554418043e-01,  2.036533513879486e+00
Al1Ge1Sr1   ,  6.700000000000000e+00,  9.284544780185689e+00, -1.769134566134887e+00,  2.366117936117936e+00
Ir1Mo3      ,  8.031000000000001e+00,  6.619879150279645e+00, -1.219424039284962e+00,  1.939167321288295e+00
N1V1        ,  8.528333333499999e+00,  9.707877256999058e+00,  2.270419635672181e-01,  1.011765134706815e+02
Re3W1       ,  8.733333332999999e+00,  9.233549481196686e+00, -1.798326600349774e+00,  4.758900000000000e-01
Hf1N1       ,  8.830000000000000e+00,  3.671657912117488e+00, -2.154757598607518e-01,  2.022193247126437e+01
Nb0.75Si0.25,  9.000000000000000e+00,  3.438259349617323e+00, -1.924249206403007e-01,  1.899506072874494e+01
Ta1B2       ,  9.500000000000000e+00,  4.001737551611119e+00, -2.318563117378947e-01,  2.272565607171964e+01
Nb3Pt1      ,  9.516428571000001e+00,  7.109190941001364e+00, -1.316818737209925e+00,  2.185739750445633e+00
N1Zr1       ,  9.850000000000000e+00,  5.602654220377093e+00,  1.965236812781962e-03,  4.971551867219917e+01
C1Nb1       ,  1.002500000000000e+01,  5.524247224439727e+00, -9.219512307954886e-02,  4.447388961892247e+01
C1Mo1       ,  1.015200000000000e+01,  6.220951629261398e+00,  1.899617836210526e-01,  6.476922543352600e+01
Mo1Ni1P1    ,  1.550000000000000e+01,  3.794031322072365e+00,  1.025398447639098e-02,  3.213585596221959e+01
Ga0.25Nb0.75,  1.816296296333330e+01,  2.012967405155612e+01, -4.078002712501203e+00,  7.124578313253012e-01
B2Mg0.98    ,  3.840000000000000e+01,  3.278737740857720e+01, -5.864563662300748e-02,  3.169806367041199e+02
