# FEAT_ID     Score                   Feature Expression
0             0.774713913521783537    (((wtd_mean_IP+2.747074e+00) * (lambda+1.231117e+01)) - (2.776584e+02*((wtd_range_EA-6.477575e-01) / (mean_at_mass-1.702386e+01))))
1             0.774742072124527392    (((wtd_mean_IP-2.462959e-01) * (lambda+9.981052e+00)) - (1.935866e+01*((mean_PE-1.978081e+00) / (density-2.633872e+00))))
2             0.775378132910278572    (((lambda-2.897007e+01) / (wtd_mean_IP+9.155350e+00)) - (3.918817e-01*((range_PE-1.645266e+00) / (mean_at_mass-1.733307e+01))))
3             0.775451704099613504    (((mean_IP+3.365541e+00) * (lambda+1.240464e+01)) - (6.545732e+02*((wtd_std_EA-5.401583e-01) / (mean_at_mass-1.645373e+01))))
4             0.775545441069369401    (((lambda-4.549583e+01) / (wtd_mean_IP+2.273062e+01)) - (7.642826e-01*((wtd_std_EA-6.312245e-01) / (mean_at_mass-1.711312e+01))))
5             0.775660606471711978    ((lambda - (6.505162e-02*V_molar)) - (2.259684e-03*((wtd_range_ThermalCond-7.356874e+00) / (mean_at_rad-1.127263e+00))))
6             0.775679246174148962    (((lambda-2.115946e+01) / (mean_IP+3.369530e+00)) - (4.460069e-01*((mean_IP-1.107620e+01) / (wtd_mean_at_mass-1.476012e+01))))
7             0.776416023629858065    (((lambda-3.245809e+01) / (mean_IP+1.282525e+01)) - (2.235893e+00*((wtd_range_at_rad-3.454290e-01) / (mean_at_mass-1.711008e+01))))
8             0.776700296730103767    (((lambda-6.172339e+01) / (wtd_mean_IP+3.398853e+01)) - (5.497765e-01*((std_EA-4.527263e-01) / (mean_at_mass-1.728443e+01))))
9             0.776735395613743496    (((lambda-2.760759e+01) / (wtd_mean_IP+8.646090e+00)) - (1.600552e+00*((wtd_range_EA-5.023644e-01) / (wtd_mean_at_mass-1.499560e+01))))
10            0.776979729014738552    (((lambda-1.745391e+02) / (mean_IP+1.206107e+02)) - (2.740433e-01*((std_EA-4.632701e-01) / (mean_at_mass-1.710562e+01))))
11            0.777731472240983379    (((lambda-3.276871e+01) / (wtd_mean_IP+9.520953e+00)) - (2.525785e+00*((wtd_mean_PE-2.129857e+00) / (wtd_mean_at_mass-1.476241e+01))))
12            0.778049123366897688    (((lambda-1.344589e+02) / (mean_IP+8.808663e+01)) - (3.715590e-01*((wtd_std_EA-5.524817e-01) / (wtd_mean_at_mass-1.470841e+01))))
13            0.778485584482840998    (((wtd_mean_IP-1.034304e+00) * (lambda+8.889783e+00)) - (1.808156e+01*((range_PE-1.529265e+00) / (density-2.570168e+00))))
14            0.778600482036874264    (((lambda-5.847404e+01) / (wtd_mean_IP+2.381034e+01)) - (1.323178e+00*((wtd_mean_PE-2.051515e+00) / (mean_at_mass-1.714594e+01))))
15            0.779066199500114687    (((lambda-6.907094e+01) / (wtd_mean_IP+3.048350e+01)) - (1.052569e+00*((mean_PE-2.037729e+00) / (mean_at_mass-1.699296e+01))))
16            0.779407295588978255    (((lambda-2.877418e+01) / (mean_IP+9.969069e+00)) - (2.561337e-01*((wtd_range_EA-8.884426e-01) / (density-2.552206e+00))))
17            0.780514073928702978    (((lambda-2.151858e+01) / (mean_IP+4.365943e+00)) - (2.361780e-01*((std_EA-1.235049e+00) / (density-2.559188e+00))))
18            0.781581230984008446    (((lambda-6.768713e+01) / (mean_IP+3.877151e+01)) - (1.734610e+00*((wtd_std_EA-3.911912e-01) / (mean_at_mass-1.671513e+01))))
19            0.781861153578298218    (((lambda-2.970618e+01) / (mean_IP+7.999968e+00)) - (1.430373e+00*((wtd_std_IP-1.573857e+00) / (wtd_mean_at_mass-1.423261e+01))))
20            0.783701684631808448    (((lambda-1.465455e+01) / (mean_IP-2.765724e-01)) - (4.604796e-01*((wtd_std_EA-1.008991e+00) / (density-2.568733e+00))))
21            0.784493891612070504    (((lambda-4.435601e+01) / (wtd_mean_IP+2.233995e+01)) - (4.219746e+00*((wtd_range_EA-2.866180e-01) / (mean_at_mass-1.704341e+01))))
22            0.785465867777327853    (((lambda-3.514529e+01) / (mean_IP+1.218875e+01)) - (3.223009e+00*((std_PE-8.247039e-01) / (mean_at_mass-1.647597e+01))))
23            0.785961143669309803    (((lambda-2.208962e+01) / (mean_IP+3.569261e+00)) - (4.073666e-01*((std_PE-8.321793e-01) / (density-2.594500e+00))))
24            0.78680401865482108     (((lambda-1.578991e+01) / (wtd_mean_IP-9.797905e-01)) - (2.470284e+00*((mean_IP-7.604066e+00) / (wtd_mean_at_mass-1.551402e+01))))
25            0.787332180840538021    (((lambda-1.559896e+01) / (mean_IP-5.061460e-01)) - (6.635824e-01*((wtd_std_PE-8.466788e-01) / (density-2.585819e+00))))
26            0.787474675802108282    (((wtd_std_IP-1.916737e+00) / (density-2.490763e+00)) - (9.783108e+00*((lambda-5.386273e+01) / (mean_IP+2.076359e+01))))
27            0.787791829682142786    (((wtd_mean_IP+1.473330e+01) * (lambda+2.941954e+01)) - (8.869401e-02*((wtd_range_ThermalCond-1.448117e+01) / (wtd_mean_at_rad-1.033384e+00))))
28            0.789429749524027669    (((wtd_mean_IP+3.901520e+00) * (lambda+1.686163e+01)) - (1.110130e+03*((wtd_mean_PE-1.812385e+00) / (mean_at_mass-1.749069e+01))))
29            0.792073708117134623    (((wtd_mean_IP-9.372062e-01) * (lambda+7.374787e+00)) - (1.139639e+00*((wtd_mean_PE-2.330574e+00) / (mean_at_rad-1.120901e+00))))
#-----------------------------------------------------------------------
30            0.501802610644858427    (((L_avg+4.567580e+01) / (lambda3-4.778848e-02)) - (7.617324e-03*((density-2.427376e+05) / (mean_PE-2.406648e+00))))
31            0.501997210254612414    (((wtd_range_at_rad+1.323141e+01) / (lambda3-4.777450e-02)) - (1.196916e-02*((wtd_std_PE-4.152259e+04) / (mean_PE-2.407029e+00))))
32            0.502012494026059075    (((wtd_mean_at_rad-1.501985e+03) / (mean_PE-2.407094e+00)) - (8.409539e-03*((wtd_mean_at_rad+4.908167e+03) / (lambda3-4.779187e-02))))
33            0.503081758389003597    (((wtd_std_at_mass+7.673221e+01) / (lambda3-4.777716e-02)) - (2.325432e-02*((wtd_range_EA-1.643555e+05) / (mean_PE-2.407169e+00))))
34            0.503415841009937859    (((lambda+2.400417e+03) / (wtd_mean_PE-2.395962e+00)) - (2.287080e+01*((range_IP-6.802698e+00) / (lambda3-4.778139e-02))))
35            0.504710876074683568    (((mean_IP+7.655689e+01) / (lambda3-4.784262e-02)) - (3.616821e-04*((wtd_range_at_mass-7.930125e+06) / (wtd_mean_PE-2.409142e+00))))
36            0.504970375539734562    (((wtd_mean_at_mass+1.004992e+02) / (lambda4w_low-4.686827e+00)) - (2.476056e+00*((wtd_range_ThermalCond-5.120635e+01) / (mean_PE-2.398709e+00))))
37            0.506721175847973049    (((range_IP-5.765602e+01) / (lambda3-4.772237e-02)) - (2.311509e-01*((wtd_range_ThermalCond+9.035173e+03) / (mean_PE-2.404731e+00))))
38            0.506728070588900348    (((density-3.436892e+01) / (lambda3-4.775689e-02)) - (6.764191e+02*((range_EA-2.377213e-01) / (mean_IP-1.016656e+01))))
39            0.513357340881161472    (((range_IP-4.931273e+01) / (lambda3-4.775229e-02)) - (2.037990e+00*((wtd_mean_at_mass+7.668595e+02) / (wtd_mean_PE-2.403059e+00))))
40            0.513848152692999105    (((wtd_range_IP-7.951395e+00) / (lambda3-4.784007e-02)) - (1.399963e-01*((wtd_std_at_mass+1.573516e+03) / (wtd_mean_PE-2.404316e+00))))
41            0.513906683439590339    (((wtd_mean_at_rad+7.146347e+01) / (lambda3-4.782523e-02)) - (3.369478e+01*((range_ThermalCond-3.507417e+01) / (wtd_mean_IP-1.021098e+01))))
42            0.515461654767541799    (((wtd_range_IP-4.457133e+01) / (lambda3-4.774850e-02)) - (2.198795e-01*((wtd_range_IP+7.129770e+03) / (wtd_mean_PE-2.402581e+00))))
43            0.515752588244133392    (((density-5.862261e+01) / (lambda3-4.762500e-02)) - (5.694508e+02*((range_EA+2.418940e+00) / (wtd_mean_PE-2.390653e+00))))
44            0.515861223550933334    (((std_at_mass-3.980352e+01) / (mean_IP-1.018579e+01)) - (1.945563e+00*((wtd_range_EA+5.376412e-02) / (lambda3-4.723146e-02))))
45            0.516140150856339797    (((wtd_std_at_mass+6.456358e+01) / (lambda3-4.772041e-02)) - (2.956820e+01*((std_PE-1.167230e+02) / (wtd_mean_PE-2.403240e+00))))
46            0.51617897798577006     (((wtd_std_at_mass+5.298012e+01) / (lambda3-4.771949e-02)) - (1.332872e+01*((wtd_range_EA-2.256066e+02) / (wtd_mean_PE-2.403205e+00))))
47            0.516367539576299106    (((density-3.376727e+02) / (wtd_mean_PE-2.401939e+00)) - (4.808482e-01*((range_EA+1.721734e+01) / (lambda3-4.768831e-02))))
48            0.516449070310853076    (((wtd_std_at_mass+3.338972e+01) / (lambda3-4.771134e-02)) - (4.869058e-01*((wtd_range_at_rad-4.690889e+03) / (wtd_mean_PE-2.403166e+00))))
49            0.516529916914919229    (((mean_ThermalCond-1.001754e+02) / (lambda4w_low-4.653275e+00)) - (3.840140e+02*((range_EA-1.303599e+00) / (mean_PE-2.492451e+00))))
50            0.517808220422349974    (((wtd_std_at_mass+5.773688e+01) / (lambda3-4.769665e-02)) - (2.065021e-02*((range_PE-1.567698e+05) / (wtd_mean_PE-2.402270e+00))))
51            0.519200268833842626    (((wtd_range_PE-1.240664e+02) / (wtd_mean_at_rad-1.139179e+00)) - (4.671252e-01*((wtd_range_PE+7.012698e+01) / (lambda3-4.757592e-02))))
52            0.51957672969452029     (((wtd_range_IP-2.084324e+01) / (lambda3-4.746996e-02)) - (2.058073e-01*((range_at_mass+5.326428e+03) / (wtd_mean_PE-2.400954e+00))))
53            0.519682315836741071    (((mean_at_mass+1.621819e+02) / (lambda3-4.764885e-02)) - (2.966873e+01*((range_ThermalCond-3.385855e+02) / (wtd_mean_PE-2.407839e+00))))
54            0.519727368833915127    (((density-8.350279e+01) / (lambda3-4.750910e-02)) - (2.244696e-04*((wtd_std_at_mass+7.965895e+06) / (wtd_mean_PE-2.377655e+00))))
55            0.519797373242640859    (((std_PE+4.856732e+01) / (lambda3-4.788636e-02)) - (3.000609e+01*((wtd_range_ThermalCond-5.026293e+01) / (wtd_mean_PE-2.404122e+00))))
56            0.522938589814104127    (((L_avg+3.536728e+01) / (lambda3-4.761087e-02)) - (6.496194e+00*((wtd_range_at_mass-2.649376e+02) / (wtd_mean_PE-2.391938e+00))))
57            0.525798072133412675    (((range_IP-3.592350e+01) / (lambda3-4.748295e-02)) - (7.854078e-04*((std_at_mass+1.827178e+06) / (wtd_mean_PE-2.390475e+00))))
58            0.534292370528369753    (((wtd_mean_IP+5.925972e+01) / (lambda3-4.803434e-02)) - (6.216695e+01*((mean_ThermalCond-2.266980e+01) / (wtd_mean_IP-8.845491e+00))))
59            0.535963349761569119    (((wtd_mean_at_rad-4.299198e+01) / (lambda3-4.782046e-02)) - (7.438928e+00*((wtd_range_ThermalCond-1.336274e+00) / (wtd_mean_at_rad-1.126580e+00))))
#-----------------------------------------------------------------------
60            0.428506245360403437    ((std_PE - (1.939304e+00*std_at_rad)) * (wtd_mean_EA * wtd_range_at_rad))
61            0.428530542910494361    ((range_PE - (3.825167e+00*wtd_std_at_rad)) * (mean_ThermalCond * wtd_range_at_rad))
62            0.428559250098118905    ((std_PE - (9.677969e-01*range_at_rad)) * (wtd_std_EA - mean_EA))
63            0.428759090199354764    ((std_PE - (9.677969e-01*range_at_rad)) * (|wtd_std_EA - mean_EA|))
64            0.428932714897195144    ((std_PE - (9.677969e-01*range_at_rad)) * (std_EA - (9.240315e-01*mean_EA)))
65            0.430892859129028527    ((std_PE - (9.677969e-01*range_at_rad)) * (std_EA - mean_EA))
66            0.431061649349837539    ((std_PE - (9.677969e-01*range_at_rad)) * (|std_EA - mean_EA|))
67            0.431970078701931159    ((std_PE - (1.939304e+00*std_at_rad)) * (wtd_std_EA - mean_EA))
68            0.43211173315238971     ((std_PE - (1.939304e+00*std_at_rad)) * (|wtd_std_EA - mean_EA|))
69            0.434303089098738326    ((std_PE - (1.939304e+00*std_at_rad)) * (std_EA - (9.240315e-01*mean_EA)))
70            0.434961112267262362    ((std_PE - (1.939304e+00*std_at_rad)) * (std_EA - mean_EA))
71            0.435082508838183946    ((std_PE - (1.939304e+00*std_at_rad)) * (|std_EA - mean_EA|))
72            0.437001556449151007    ((std_PE - (9.677969e-01*range_at_rad)) * (mean_EA^2))
73            0.439924485994557191    ((range_PE - (3.825167e+00*wtd_std_at_rad)) * (mean_EA^6))
74            0.441049954531383848    ((std_PE - (1.939304e+00*std_at_rad)) * (mean_EA^3))
75            0.441463119061933751    ((std_PE - (9.677969e-01*range_at_rad)) * (mean_EA^3))
76            0.441756887404526399    ((std_PE - (1.939304e+00*std_at_rad)) * (mean_EA^2))
