# c0 + a0 * (((wtd_mean_at_rad-4.299198e+01) / (lambda3-4.782046e-02)) - (7.438928e+00*((wtd_range_ThermalCond-1.336274e+00) / (wtd_mean_at_rad-1.126580e+00)))) + a1 * (((wtd_std_IP-1.916737e+00) / (density-2.490763e+00)) - (9.783108e+00*((lambda-5.386273e+01) / (mean_IP+2.076359e+01))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.9134850887338; Max AE: 5.32743867169647
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.194238921045124e-04, -3.710986862314718e+00,  7.083699921530044e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA;                                               15|7|div|41|15|div|sub:7.4389279589328e+00,0.0000000000000e+00,-1.3362735860488e+00,-1.1265797334578e+00,-4.2991978592988e+01,-4.7820456017491e-02; (((wtd_mean_at_rad-4.299198e+01) / (lambda3-4.782046e-02)) - (7.438928e+00*((wtd_range_ThermalCond-1.336274e+00) / (wtd_mean_at_rad-1.126580e+00)))); $\left(\left(\frac{ wtd_{mean, at, rad} -4.299e+01 }{ lambda3-4.782e-02 } \right) - \left(7.439e+00\left(\frac{ wtd_{range, ThermalCond} -1.336e+00 }{ wtd_{mean, at, rad}-1.127e+00 } \right)\right)\right)$; (((wtd_mean_at_rad-4.299198e+01) ./ (lambda3-4.782046e-02)) - (7.438928e+00.*((wtd_range_ThermalCond-1.336274e+00) ./ (wtd_mean_at_rad-1.126580e+00)))); (((newdata$wtd_mean_at_rad-4.299198e+01) / (newdata$lambda3-4.782046e-02)) - (7.438928e+00*((newdata$wtd_range_ThermalCond-1.336274e+00) / (newdata$wtd_mean_at_rad-1.126580e+00)))); wtd_mean_at_rad,lambda3,wtd_range_ThermalCond,wtd_mean_at_rad
# 1;  2; cm^3 * eV * g^-1;                                 25|2|div|5|20|div|sub:9.7831077359538e+00,0.0000000000000e+00,-5.3862729740160e+01,2.0763592028969e+01,-1.9167373376224e+00,-2.4907632862257e+00; (((wtd_std_IP-1.916737e+00) / (density-2.490763e+00)) - (9.783108e+00*((lambda-5.386273e+01) / (mean_IP+2.076359e+01)))); $\left(\left(\frac{ wtd_{std, IP} -1.917e+00 }{ density-2.491e+00 } \right) - \left(9.783e+00\left(\frac{ lambda -5.386e+01 }{ mean_{IP}+2.076e+01 } \right)\right)\right)$; (((wtd_std_IP-1.916737e+00) ./ (density-2.490763e+00)) - (9.783108e+00.*((lambda-5.386273e+01) ./ (mean_IP+2.076359e+01)))); (((newdata$wtd_std_IP-1.916737e+00) / (newdata$density-2.490763e+00)) - (9.783108e+00*((newdata$lambda-5.386273e+01) / (newdata$mean_IP+2.076359e+01)))); wtd_std_IP,density,lambda,mean_IP
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01,  2.171781037057597e+00, -1.007443925608117e+03,  1.844365486875289e+01
B1Mo1       ,  2.500000000000000e-01,  2.079662749827992e+00, -6.865307313850930e+03,  1.812211320312412e+01
Cr3Ir1      ,  2.560000000000000e-01,  4.837254606456741e+00, -8.892106247724766e+02,  1.773238035976500e+01
Al1Os1      ,  3.900000000000000e-01,  1.484413835893333e+00, -3.082861814483931e+03,  1.850616409846736e+01
Al1Mo3      ,  5.800000000000000e-01,  1.377198475903043e+00,  3.716101829729744e+03,  1.893706576543886e+01
Sb1V3       ,  6.500000000000000e-01,  3.908373470970363e+00, -4.033014672907853e+02,  1.801141697521244e+01
Nb3Os1      ,  6.633333330000000e-01,  3.312760808770277e+00, -5.570603184459276e+02,  1.816282529797962e+01
Ti1O1       ,  7.200000000000000e-01,  1.640780034867568e+00, -2.007564027643508e+04,  1.745927605199714e+01
Ga1Mo3      ,  7.600000000000000e-01, -3.940293639449483e-01, -4.192472821409242e+03,  1.894673909768924e+01
B2Ru1       ,  8.000000000000000e-01,  2.248730954045509e+00, -8.111507929000816e+03,  1.800286880535206e+01
La1Se1      ,  1.020000000000000e+00, -1.823183396751049e+00, -1.904680899467383e+04,  1.845354354274221e+01
Co1Si2      ,  1.306666667000000e+00,  3.390390638614373e+00, -1.127881651628525e+04,  1.750794847002615e+01
Nb1O1       ,  1.380000000000000e+00,  5.004238582517942e+00, -8.981134087377030e+03,  1.720892247944632e+01
Cr1         ,  1.550000000000000e+00,  1.927927854391972e+00, -9.257289227926714e+02,  1.851419766945239e+01
Hg2Na1      ,  1.620000000000000e+00,  2.677192050894350e+00, -1.189626345684517e+03,  1.829668959785383e+01
Ga2Y1       ,  1.680000000000000e+00,  1.469976726329139e+00, -3.134204403394801e+02,  1.867380649061698e+01
Be2Nb1      ,  2.150000000000000e+00,  1.543329001999771e+00, -1.406655107573988e+04,  1.784084268799550e+01
Ge1Mo3      ,  2.179200000000000e+00,  2.372741638120341e+00, -2.931487599195188e+03,  1.827573679854135e+01
B1Hf1       ,  3.100000000000000e+00,  2.250571720741525e+00, -2.606457794909109e+03,  1.832787635851935e+01
B1Zr1       ,  3.100000000000000e+00,  3.117154261784512e+00, -1.181817523174683e+03,  1.817859465844223e+01
C1In1Ti2    ,  3.100000000000000e+00,  3.057067503042941e+00,  5.975175078749536e+02,  1.829999508192187e+01
Pt0.25V0.75 ,  3.102500000000000e+00,  4.015322402917179e+00, -1.435939090062218e+02,  1.799795347061036e+01
Sn1         ,  3.740729412000000e+00,  4.206304533736467e+00,  1.345133369607289e+03,  1.803451522843119e+01
B1Ta1       ,  4.000000000000000e+00,  4.006849937876119e+00,  4.560421673337515e+02,  1.803569193532443e+01
Sn1V3       ,  4.462500000000000e+00,  4.067075612881030e+00, -1.116557393970683e+02,  1.798589597373913e+01
