# c0 + a0 * (((wtd_mean_IP+2.468839e-01) / (lambda3-4.769851e-02)) - (6.007697e+01*((wtd_range_IP-5.556680e+00) / (mean_IP-7.070347e+00)))) + a1 * (((lambda-4.207973e+01) / (mean_IP+2.063917e+01)) - (4.587810e+00*((wtd_std_EA-1.424069e-01) / (mean_at_mass-1.743899e+01))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.5159674999672; Max AE: 6.07067330847331
# Coefficients
# Task   a0                      a1                      c0
# all , -8.884971412910483e-04,  3.616441417654812e+01,  5.712874482823530e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               21|7|div|23|20|div|sub:6.0076969077238e+01,0.0000000000000e+00,-5.5566798165116e+00,-7.0703469218384e+00,2.4688387866059e-01,-4.7698510308710e-02; (((wtd_mean_IP+2.468839e-01) / (lambda3-4.769851e-02)) - (6.007697e+01*((wtd_range_IP-5.556680e+00) / (mean_IP-7.070347e+00)))); $\left(\left(\frac{ wtd_{mean, IP} +2.469e-01 }{ lambda3-4.770e-02 } \right) - \left(6.008e+01\left(\frac{ wtd_{range, IP} -5.557e+00 }{ mean_{IP}-7.070e+00 } \right)\right)\right)$; (((wtd_mean_IP+2.468839e-01) ./ (lambda3-4.769851e-02)) - (6.007697e+01.*((wtd_range_IP-5.556680e+00) ./ (mean_IP-7.070347e+00)))); (((newdata$wtd_mean_IP+2.468839e-01) / (newdata$lambda3-4.769851e-02)) - (6.007697e+01*((newdata$wtd_range_IP-5.556680e+00) / (newdata$mean_IP-7.070347e+00)))); wtd_mean_IP,lambda3,wtd_range_IP,mean_IP
# 1;  2; eV^-1;                                            5|20|div|31|8|div|sub:4.5878098810795e+00,0.0000000000000e+00,-1.4240694712507e-01,-1.7438988736813e+01,-4.2079734187982e+01,2.0639169842706e+01; (((lambda-4.207973e+01) / (mean_IP+2.063917e+01)) - (4.587810e+00*((wtd_std_EA-1.424069e-01) / (mean_at_mass-1.743899e+01)))); $\left(\left(\frac{ lambda -4.208e+01 }{ mean_{IP}+2.064e+01 } \right) - \left(4.588e+00\left(\frac{ wtd_{std, EA} -1.424e-01 }{ mean_{at, mass}-1.744e+01 } \right)\right)\right)$; (((lambda-4.207973e+01) ./ (mean_IP+2.063917e+01)) - (4.587810e+00.*((wtd_std_EA-1.424069e-01) ./ (mean_at_mass-1.743899e+01)))); (((newdata$lambda-4.207973e+01) / (newdata$mean_IP+2.063917e+01)) - (4.587810e+00*((newdata$wtd_std_EA-1.424069e-01) / (newdata$mean_at_mass-1.743899e+01)))); lambda,mean_IP,wtd_std_EA,mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01, -1.429704853487795e+00,  4.542769092983883e+03, -1.507620504037312e+00
B1Mo1       ,  2.500000000000000e-01,  3.158672453182330e+00,  5.624706207640938e+02, -1.478534079811481e+00
Cr3Ir1      ,  2.560000000000000e-01,  5.299286227216658e+00,  1.939839317596926e+02, -1.428395996683733e+00
Al1Os1      ,  3.900000000000000e-01,  2.231440751412693e+00,  9.906269544173146e+02, -1.493654358564612e+00
Al1Mo3      ,  5.800000000000000e-01,  2.564008469271660e+00, -1.007983073417669e+03, -1.533560758579352e+00
Sb1V3       ,  6.500000000000000e-01,  4.047792749504083e+00,  2.711261313705620e+02, -1.461106407755524e+00
Nb3Os1      ,  6.633333330000000e-01,  4.048340856050483e+00,  2.928312722995735e+02, -1.460557993999495e+00
Ti1O1       ,  7.200000000000000e-01,  1.852173459193072e+00, -1.879147931336504e+02, -1.533096398434176e+00
Ga1Mo3      ,  7.600000000000000e-01,  1.473720357246683e+00,  1.491673121106566e+02, -1.535279666623479e+00
B2Ru1       ,  8.000000000000000e-01,  1.453430813091573e+00,  2.110022467622001e+03, -1.487665881215636e+00
La1Se1      ,  1.020000000000000e+00, -6.545925525217653e-01,  3.788287009351125e+03, -1.504723813218774e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.735047756149660e+00, -6.835430450360092e+02, -1.520860336491128e+00
Co1Si2      ,  1.306666667000000e+00,  3.786154627003704e+00, -4.797466320294354e+02, -1.486788737952286e+00
Nb1O1       ,  1.380000000000000e+00,  7.450673308473311e+00,  2.484407978946170e+02, -1.367569023505007e+00
Cr1         ,  1.550000000000000e+00,  3.712105518782923e+00, -9.385062681171795e+02, -1.500107237488131e+00
Hg2Na1      ,  1.620000000000000e+00,  4.149942108798160e+00,  7.414508678842316e+01, -1.463121309347734e+00
Ga2Y1       ,  1.680000000000000e+00,  2.384023264349129e+00, -2.225031498771469e+02, -1.519239734072875e+00
Be2Nb1      ,  2.150000000000000e+00,  3.227007267231344e+00,  2.621888281208076e+02, -1.484021924833038e+00
Ge1Mo3      ,  2.179200000000000e+00,  2.952009228773202e+00,  4.825165440876588e+02, -1.486212959707476e+00
B1Zr1       ,  3.100000000000000e+00,  3.055880905990581e+00,  9.298748133477939e+02, -1.472349933525428e+00
C1In1Ti2    ,  3.100000000000000e+00,  2.986289578871519e+00, -2.384216067349089e+01, -1.497705414957015e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  3.809813800191477e+00,  2.214523550510831e+02, -1.468907279523897e+00
Sn1         ,  3.740729412000000e+00,  2.436916854343839e+00,  9.804253671155980e+02, -1.488223273166185e+00
B1Ta1       ,  4.000000000000000e+00,  4.635661967439664e+00,  8.049439278803365e+01, -1.449534439214221e+00
