# c0 + a0 * (((wtd_mean_IP+2.468839e-01) / (lambda3-4.769851e-02)) - (6.007697e+01*((wtd_range_IP-5.556680e+00) / (mean_IP-7.070347e+00)))) + a1 * (((lambda-1.678014e+01) / (mean_IP+1.818957e+00)) - (1.804939e+01*((std_EA-2.397574e-01) / (mean_at_mass-1.693216e+01))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.52618713580825; Max AE: 6.21039195786694
# Coefficients
# Task   a0                      a1                      c0
# all , -8.778726562746789e-04,  1.132352103494665e+01,  2.343834695316937e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               21|7|div|23|20|div|sub:6.0076969077238e+01,0.0000000000000e+00,-5.5566798165116e+00,-7.0703469218384e+00,2.4688387866059e-01,-4.7698510308710e-02; (((wtd_mean_IP+2.468839e-01) / (lambda3-4.769851e-02)) - (6.007697e+01*((wtd_range_IP-5.556680e+00) / (mean_IP-7.070347e+00)))); $\left(\left(\frac{ wtd_{mean, IP} +2.469e-01 }{ lambda3-4.770e-02 } \right) - \left(6.008e+01\left(\frac{ wtd_{range, IP} -5.557e+00 }{ mean_{IP}-7.070e+00 } \right)\right)\right)$; (((wtd_mean_IP+2.468839e-01) ./ (lambda3-4.769851e-02)) - (6.007697e+01.*((wtd_range_IP-5.556680e+00) ./ (mean_IP-7.070347e+00)))); (((newdata$wtd_mean_IP+2.468839e-01) / (newdata$lambda3-4.769851e-02)) - (6.007697e+01*((newdata$wtd_range_IP-5.556680e+00) / (newdata$mean_IP-7.070347e+00)))); wtd_mean_IP,lambda3,wtd_range_IP,mean_IP
# 1;  2; eV^-1;                                            5|20|div|30|8|div|sub:1.8049389663503e+01,0.0000000000000e+00,-2.3975739670498e-01,-1.6932156843356e+01,-1.6780138085439e+01,1.8189568232307e+00; (((lambda-1.678014e+01) / (mean_IP+1.818957e+00)) - (1.804939e+01*((std_EA-2.397574e-01) / (mean_at_mass-1.693216e+01)))); $\left(\left(\frac{ lambda -1.678e+01 }{ mean_{IP}+1.819e+00 } \right) - \left(1.805e+01\left(\frac{ std_{EA} -2.398e-01 }{ mean_{at, mass}-1.693e+01 } \right)\right)\right)$; (((lambda-1.678014e+01) ./ (mean_IP+1.818957e+00)) - (1.804939e+01.*((std_EA-2.397574e-01) ./ (mean_at_mass-1.693216e+01)))); (((newdata$lambda-1.678014e+01) / (newdata$mean_IP+1.818957e+00)) - (1.804939e+01*((newdata$std_EA-2.397574e-01) / (newdata$mean_at_mass-1.693216e+01)))); lambda,mean_IP,std_EA,mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01, -1.478528928575089e+00,  4.542769092983883e+03, -1.848268135560786e+00
B1Mo1       ,  2.500000000000000e-01,  3.620981204079141e+00,  5.624706207640938e+02, -1.706499958054313e+00
Cr3Ir1      ,  2.560000000000000e-01,  5.157567518646006e+00,  1.939839317596926e+02, -1.599368799614740e+00
Al1Os1      ,  3.900000000000000e-01,  2.306249590733620e+00,  9.906269544173146e+02, -1.789412761635727e+00
Al1Mo3      ,  5.800000000000000e-01,  2.448373943154160e+00, -1.007983073417669e+03, -1.931806698697881e+00
Sb1V3       ,  6.500000000000000e-01,  4.105474753491078e+00,  2.711261313705620e+02, -1.686300393986640e+00
Nb3Os1      ,  6.633333330000000e-01,  4.195454447544948e+00,  2.928312722995735e+02, -1.676671406374083e+00
Ti1O1       ,  7.200000000000000e-01,  1.793007992744504e+00, -1.879147931336504e+02, -1.926106213051175e+00
Ga1Mo3      ,  7.600000000000000e-01,  1.195719956736277e+00,  1.491673121106566e+02, -1.952720979956685e+00
B2Ru1       ,  8.000000000000000e-01,  1.561658160686543e+00,  2.110022467622001e+03, -1.768386149699646e+00
La1Se1      ,  1.020000000000000e+00, -6.409911743777238e-01,  3.788287009351125e+03, -1.832796043197791e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.664828630343883e+00, -6.835430450360092e+02, -1.887538514344274e+00
Co1Si2      ,  1.306666667000000e+00,  3.978169109393077e+00, -4.797466320294354e+02, -1.755755496246886e+00
Nb1O1       ,  1.380000000000000e+00,  7.590391957866944e+00,  2.484407978946170e+02, -1.380299958280717e+00
Cr1         ,  1.550000000000000e+00,  4.122082710530756e+00, -9.385062681171795e+02, -1.778612250642229e+00
Hg2Na1      ,  1.620000000000000e+00,  4.247781070036420e+00,  7.414508678842316e+01, -1.689004319400233e+00
Ga2Y1       ,  1.680000000000000e+00,  2.105912656737268e+00, -2.225031498771469e+02, -1.901154566782298e+00
Be2Nb1      ,  2.150000000000000e+00,  3.232310004087929e+00,  2.621888281208076e+02, -1.764103981830736e+00
Ge1Mo3      ,  2.179200000000000e+00,  2.975742109178658e+00,  4.825165440876588e+02, -1.769680711670124e+00
B1Zr1       ,  3.100000000000000e+00,  3.683273916692675e+00,  9.298748133477939e+02, -1.672515227872262e+00
C1In1Ti2    ,  3.100000000000000e+00,  2.968871473957911e+00, -2.384216067349089e+01, -1.809543674347912e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  3.499089257584445e+00,  2.214523550510831e+02, -1.743702393229226e+00
Sn1         ,  3.740729412000000e+00,  2.636229768404393e+00,  9.804253671155980e+02, -1.761062526568627e+00
