# c0 + a0 * (((std_ThermalCond-3.851326e+01) * (wtd_range_at_mass+4.980477e+01)) - (4.158815e+03*(sin(9.989152e+01*mean_PE-2.617768e+00)))) + a1 * (((wtd_std_at_rad-1.017830e+02) / (density-7.609061e+00)) - (3.759517e+02*((w_log-1.704117e+02) / (lambda3-3.379186e+00)))) + a2 * (((std_at_rad+4.656895e+00) / (wtd_mean_at_rad-1.137371e+00)) - (5.436152e+00*((wtd_mean_EA-1.313369e+00) * (density+1.097612e+01)))) + a3 * (((mean_IP-2.460888e+01) / (lambda3-4.752665e-02)) - (4.739588e+01*((wtd_mean_IP-8.683032e+01) * (lambda-1.083536e+02)))) + a4 * (((wtd_std_IP-2.017940e+01) / (mean_at_mass-1.684459e+01)) - (1.377968e-07*((bulk_mod-5.124058e+07) / (wtd_mean_at_mass-1.000440e+02))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.13870481888961; Max AE: 2.57562913261688
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -2.172688509217588e-04, -5.561182166709110e-05, -1.315490264464209e-02,  3.638290737984677e-04, -1.331353404847111e+00,  1.512894205892315e+02, 
# Feature Rung, Units, and Expressions
# 0;  2; W * g * mK^-1 * mol^-1;                           42|11|mult|32|sin|sub:4.1588149436866e+03,0.0000000000000e+00,9.9891515436328e+01,-2.6177679944534e+00,-3.8513256702311e+01,4.9804773385647e+01; (((std_ThermalCond-3.851326e+01) * (wtd_range_at_mass+4.980477e+01)) - (4.158815e+03*(sin(9.989152e+01*mean_PE-2.617768e+00)))); $\left(\left(\left(std_{ThermalCond}-3.851e+01\right) * \left(wtd_{range, at, mass}+4.980e+01\right)\right) - \left(4.159e+03\left(\sin{ \left(9.989e+01mean_{PE}-2.618e+00 \right)}\right)\right)\right)$; (((std_ThermalCond-3.851326e+01) .* (wtd_range_at_mass+4.980477e+01)) - (4.158815e+03.*sin(9.989152e+01.*mean_PE-2.617768e+00))); (((newdata$std_ThermalCond-3.851326e+01) * (newdata$wtd_range_at_mass+4.980477e+01)) - (4.158815e+03*sin(9.989152e+01*newdata$mean_PE-2.617768e+00))); std_ThermalCond,wtd_range_at_mass,mean_PE
# 1;  2; AA * cm^3 * g^-1;                                 19|2|div|4|7|div|sub:3.7595167291149e+02,0.0000000000000e+00,-1.7041167216333e+02,-3.3791864562467e+00,-1.0178304764716e+02,-7.6090614909149e+00; (((wtd_std_at_rad-1.017830e+02) / (density-7.609061e+00)) - (3.759517e+02*((w_log-1.704117e+02) / (lambda3-3.379186e+00)))); $\left(\left(\frac{ wtd_{std, at, rad} -1.018e+02 }{ density-7.609e+00 } \right) - \left(3.760e+02\left(\frac{ w_{log} -1.704e+02 }{ lambda3-3.379e+00 } \right)\right)\right)$; (((wtd_std_at_rad-1.017830e+02) ./ (density-7.609061e+00)) - (3.759517e+02.*((w_log-1.704117e+02) ./ (lambda3-3.379186e+00)))); (((newdata$wtd_std_at_rad-1.017830e+02) / (newdata$density-7.609061e+00)) - (3.759517e+02*((newdata$w_log-1.704117e+02) / (newdata$lambda3-3.379186e+00)))); wtd_std_at_rad,density,w_log,lambda3
# 2;  2; Unitless;                                         18|15|div|27|2|mult|sub:5.4361522565019e+00,0.0000000000000e+00,-1.3133690397965e+00,1.0976118606342e+01,4.6568948708366e+00,-1.1373711142166e+00; (((std_at_rad+4.656895e+00) / (wtd_mean_at_rad-1.137371e+00)) - (5.436152e+00*((wtd_mean_EA-1.313369e+00) * (density+1.097612e+01)))); $\left(\left(\frac{ std_{at, rad} +4.657e+00 }{ wtd_{mean, at, rad}-1.137e+00 } \right) - \left(5.436e+00\left(\left(wtd_{mean, EA}-1.313e+00\right) * \left(density+1.098e+01\right)\right)\right)\right)$; (((std_at_rad+4.656895e+00) ./ (wtd_mean_at_rad-1.137371e+00)) - (5.436152e+00.*((wtd_mean_EA-1.313369e+00) .* (density+1.097612e+01)))); (((newdata$std_at_rad+4.656895e+00) / (newdata$wtd_mean_at_rad-1.137371e+00)) - (5.436152e+00*((newdata$wtd_mean_EA-1.313369e+00) * (newdata$density+1.097612e+01)))); std_at_rad,wtd_mean_at_rad,wtd_mean_EA,density
# 3;  2; eV;                                               20|7|div|21|5|mult|sub:4.7395879216734e+01,0.0000000000000e+00,-8.6830318885859e+01,-1.0835357177414e+02,-2.4608878354640e+01,-4.7526654778229e-02; (((mean_IP-2.460888e+01) / (lambda3-4.752665e-02)) - (4.739588e+01*((wtd_mean_IP-8.683032e+01) * (lambda-1.083536e+02)))); $\left(\left(\frac{ mean_{IP} -2.461e+01 }{ lambda3-4.753e-02 } \right) - \left(4.740e+01\left(\left(wtd_{mean, IP}-8.683e+01\right) * \left(lambda-1.084e+02\right)\right)\right)\right)$; (((mean_IP-2.460888e+01) ./ (lambda3-4.752665e-02)) - (4.739588e+01.*((wtd_mean_IP-8.683032e+01) .* (lambda-1.083536e+02)))); (((newdata$mean_IP-2.460888e+01) / (newdata$lambda3-4.752665e-02)) - (4.739588e+01*((newdata$wtd_mean_IP-8.683032e+01) * (newdata$lambda-1.083536e+02)))); mean_IP,lambda3,wtd_mean_IP,lambda
# 4;  2; eV * g^-1 * mol;                                  25|8|div|1|9|div|sub:1.3779677819567e-07,0.0000000000000e+00,-5.1240577720000e+07,-1.0004404500505e+02,-2.0179400639281e+01,-1.6844590468292e+01; (((wtd_std_IP-2.017940e+01) / (mean_at_mass-1.684459e+01)) - (1.377968e-07*((bulk_mod-5.124058e+07) / (wtd_mean_at_mass-1.000440e+02)))); $\left(\left(\frac{ wtd_{std, IP} -2.018e+01 }{ mean_{at, mass}-1.684e+01 } \right) - \left(1.378e-07\left(\frac{ bulk_{mod} -5.124e+07 }{ wtd_{mean, at, mass}-1.000e+02 } \right)\right)\right)$; (((wtd_std_IP-2.017940e+01) ./ (mean_at_mass-1.684459e+01)) - (1.377968e-07.*((bulk_mod-5.124058e+07) ./ (wtd_mean_at_mass-1.000440e+02)))); (((newdata$wtd_std_IP-2.017940e+01) / (newdata$mean_at_mass-1.684459e+01)) - (1.377968e-07*((newdata$bulk_mod-5.124058e+07) / (newdata$wtd_mean_at_mass-1.000440e+02)))); wtd_std_IP,mean_at_mass,bulk_mod,wtd_mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01,  3.111444473574848e-01,  4.878889948334756e+03,  1.478651285509014e+04,  7.813669604619722e+01, -4.088988964814741e+05, -5.267173974459136e-01
B1Mo1       ,  2.500000000000000e-01,  9.217121500445978e-01,  2.403659626616262e+03,  2.102616501215567e+04,  1.804261898058359e+02, -4.046337409250853e+05, -6.871529463067998e-01
Cr3Ir1      ,  2.560000000000000e-01,  5.339138331835043e-01, -4.754082549447508e+03,  9.755813461968492e+04,  7.036603477571748e+01, -4.023989837672097e+05, -7.263831457538640e-01
Al1Os1      ,  3.900000000000000e-01, -3.494149189775612e-01,  7.704658932123129e+03,  6.837157027718239e+02,  9.733993344718594e+01, -4.062937466749648e+05,  6.195616774258169e-01
Al1Mo3      ,  5.800000000000000e-01,  1.647473485509884e+00,  2.414288623489777e+03,  1.406354783139751e+04,  8.358516027757155e+01, -4.075138067607157e+05, -7.733691455494778e-01
Sb1V3       ,  6.500000000000000e-01,  3.225629132616878e+00,  1.549076204863559e+03, -5.036686676581389e+03,  7.945487351370819e+01, -4.057775839456794e+05, -5.044332237871116e-01
Nb3Os1      ,  6.633333330000000e-01,  1.618574937138958e+00,  2.444787239326053e+03,  2.358779771420602e+03,  5.506171124415870e+01, -4.066322344846295e+05,  2.550283017350788e-01
B2Ru1       ,  8.000000000000000e-01,  3.008239539274860e+00, -3.433897688165718e+03,  2.469866364729121e+04,  2.368347112007123e+01, -4.072642772051764e+05, -6.252405589111076e-01
La1Se1      ,  1.020000000000000e+00,  7.606922264971345e-01, -1.802497416438996e+02, -6.033077198176252e+03,  1.521766018434785e+01, -4.120282106287335e+05,  5.974163863906446e-01
Al1Nb1Ni2   ,  1.075000000000000e+00,  1.663075627060131e+00,  6.933816898666812e+03, -1.185464249002358e+03,  6.510244707568528e+01, -4.072530166862571e+05, -6.317900673365282e-01
Co1Si2      ,  1.306666667000000e+00,  1.659168605207520e+00,  2.364385215519819e+03,  1.936835108253067e+04,  2.239363663164370e+02, -4.019681597724059e+05, -8.668839701242407e-01
Nb1O1       ,  1.380000000000000e+00,  2.380175837798184e+00,  2.299067970984388e+03,  1.756221447042926e+04,  4.209274040516772e+02, -3.922032533368694e+05, -6.002487875672038e-01
Cr1         ,  1.550000000000000e+00,  1.158388565894771e+00, -1.252816951988288e+03,  2.128864084803867e+04,  8.028755671791862e+01, -4.098712832691929e+05, -7.210214302158778e-01
Hg2Na1      ,  1.620000000000000e+00,  3.272832952640043e+00,  7.761809203673292e+03, -1.353144225854116e+04,  1.419828401657858e+02, -3.991944797830452e+05, -1.775025385085491e-02
Ga2Y1       ,  1.680000000000000e+00,  2.810036278601868e+00,  1.467038462998698e+03, -3.117997681382626e+04,  1.097900359546872e+02, -4.102786079414603e+05, -6.166246305020102e-01
Be2Nb1      ,  2.150000000000000e+00,  1.417647953840050e+00,  6.277150034592671e+03,  1.781031822353994e+04,  1.908873222995779e+02, -4.010093584674907e+05, -6.703617491888656e-01
Ge1Mo3      ,  2.179200000000000e+00,  2.086395342085515e+00,  4.231995266794908e+03,  1.203740963181449e+04,  6.251650955307928e+01, -4.071444414033043e+05, -1.005939812292887e+00
B1Hf1       ,  3.100000000000000e+00,  3.728172808069896e+00, -7.971761898429237e+03,  2.064156542905756e+04,  1.734249626261442e+02, -4.066143170867484e+05, -1.557926391091556e+00
B1Zr1       ,  3.100000000000000e+00,  2.626000504112038e+00, -6.284389046000441e+03,  2.769181735334865e+04,  1.197317133399329e+02, -4.063978029613170e+05, -7.102288622776143e-01
C1In1Ti2    ,  3.100000000000000e+00,  1.808720521910679e+00,  4.609963473830928e+03,  9.443573813232610e+03,  1.073091602186732e+02, -4.049608642507610e+05, -5.965759804090257e-01
Sn1         ,  3.740729412000000e+00,  2.601741826566929e+00,  2.237613712860579e+03, -6.898627812982806e+03,  2.862480575878440e+01, -4.066984798328500e+05,  1.801719178884088e-01
B1Ta1       ,  4.000000000000000e+00,  3.332290891271766e+00,  9.287735145310266e+02,  2.493501614601666e+04,  1.767830060538977e+02, -4.030338036381601e+05, -1.947134576785442e+00
Sn1V3       ,  4.462500000000000e+00,  3.853451822442584e+00, -4.056616646895327e+03,  1.995044266088990e+04,  7.541252871490195e+01, -4.037574053777482e+05, -5.129085665385967e-01
B2Nb1       ,  4.597500000000000e+00,  5.571544234163588e+00, -1.367099419016192e+03,  2.272685878409433e+04, -8.465592485059177e+01, -4.033728088366725e+05, -6.715666361741042e-01
Al1Si1Sr1   ,  4.750000000000000e+00,  2.683197437651629e+00, -1.039804692980218e+03, -2.571882512932836e+03,  7.178638441639956e+01, -4.096347650041326e+05, -7.557817838502698e-01
Fe1Li1P1    ,  4.965000000000000e+00,  3.864302815351839e+00, -2.017996714873312e+03,  1.922379636085949e+04,  1.208247106904366e+02, -4.040748682919163e+05, -1.358863175772447e+00
Ga1Si1Sr1   ,  5.000000000000000e+00,  6.134020468285438e+00, -2.898593105924951e+03,  1.853510675721842e+03,  7.980508781278522e+01, -3.997570356308739e+05, -6.091268979144998e-01
Os0.5V0.5   ,  5.150000000000000e+00,  3.905716505812104e+00, -1.995950100790044e+03,  1.862258102805522e+03,  8.313705311554669e+01, -4.024113488123421e+05,  1.586281581967679e-01
Ir1Ti3      ,  5.185000000000000e+00,  5.254724098093756e+00, -2.257528377163896e+03,  7.405738546119859e+03,  1.047732684793616e+02, -4.001001318646831e+05, -6.256806572313409e-01
Ir1Mo1      ,  5.325000000000000e+00,  5.404527700463162e+00, -7.386156786235941e+03,  6.545010326790629e+03,  3.728226150195252e+01, -4.029981332175158e+05,  9.623791715854507e-03
La1         ,  5.343000000000000e+00,  3.718321279398112e+00, -3.722398149153988e+03,  1.733019287590823e+03,  8.067389377593410e+01, -4.045867823107136e+05,  1.636877250702198e-02
N1Ti1       ,  5.387500000000000e+00,  5.194736203884618e+00, -1.583969193649338e+03,  2.578934223999587e+04,  4.027398958069156e+02, -3.886030210941813e+05, -1.260703659855164e+00
B6Y1        ,  5.692857143000000e+00,  5.613633490669270e+00, -1.850158363232076e+03, -1.327276780941593e+03,  4.697474214265848e+01, -4.024975191731883e+05, -6.810112202330864e-01
Nb1S2       ,  5.821818182000000e+00,  5.839080459119351e+00,  3.170334619263522e+03,  1.722154522374653e+04,  1.487692914940950e+01, -3.967484737659610e+05, -5.562239331858781e-01
