# c0 + a0 * ((((range_at_rad-1.113368e+00) * (std_at_mass+5.017798e+01))+1.531022e+02) * (((mean_at_mass+4.181057e+01) * (wtd_mean_IP-4.002088e+00))-2.902137e+01)) + a1 * (((range_PE+1.417572e+01) / (lambda3-4.775746e-02)) - (3.449282e+02*((wtd_mean_IP-7.697340e+00) / (mean_IP-7.070731e+00)))) + a2 * (((w_log-3.243419e+00) * (lambda4w_low+7.661800e+00)) - (9.210929e+01*((wtd_range_ThermalCond-8.280094e+00) / (mean_at_rad-1.127477e+00))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.56880810458322; Max AE: 3.60382422511819
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  8.009993271467754e-05, -6.255443136638870e-04,  3.102179787359857e-05,  3.651567003415496e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * eV * g^2 * mol^-2;                           16|12|mult|8|21|mult|mult:1.5310216767109e+02,-2.9021371679473e+01,4.1810571180775e+01,-4.0020882840296e+00,-1.1133682496099e+00,5.0177975894674e+01; ((((range_at_rad-1.113368e+00) * (std_at_mass+5.017798e+01))+1.531022e+02) * (((mean_at_mass+4.181057e+01) * (wtd_mean_IP-4.002088e+00))-2.902137e+01)); $\left(\left(\left(\left(range_{at, rad}-1.113e+00\right) * \left(std_{at, mass}+5.018e+01\right)\right)+1.531e+02\right) * \left(\left(\left(mean_{at, mass}+4.181e+01\right) * \left(wtd_{mean, IP}-4.002e+00\right)\right)-2.902e+01\right)\right)$; ((((range_at_rad-1.113368e+00) .* (std_at_mass+5.017798e+01))+1.531022e+02) .* (((mean_at_mass+4.181057e+01) .* (wtd_mean_IP-4.002088e+00))-2.902137e+01)); ((((newdata$range_at_rad-1.113368e+00) * (newdata$std_at_mass+5.017798e+01))+1.531022e+02) * (((newdata$mean_at_mass+4.181057e+01) * (newdata$wtd_mean_IP-4.002088e+00))-2.902137e+01)); range_at_rad,std_at_mass,mean_at_mass,wtd_mean_IP
# 1;  2; Unitless;                                         34|7|div|21|20|div|sub:3.4492816109450e+02,0.0000000000000e+00,-7.6973402196868e+00,-7.0707311995330e+00,1.4175723836171e+01,-4.7757463021190e-02; (((range_PE+1.417572e+01) / (lambda3-4.775746e-02)) - (3.449282e+02*((wtd_mean_IP-7.697340e+00) / (mean_IP-7.070731e+00)))); $\left(\left(\frac{ range_{PE} +1.418e+01 }{ lambda3-4.776e-02 } \right) - \left(3.449e+02\left(\frac{ wtd_{mean, IP} -7.697e+00 }{ mean_{IP}-7.071e+00 } \right)\right)\right)$; (((range_PE+1.417572e+01) ./ (lambda3-4.775746e-02)) - (3.449282e+02.*((wtd_mean_IP-7.697340e+00) ./ (mean_IP-7.070731e+00)))); (((newdata$range_PE+1.417572e+01) / (newdata$lambda3-4.775746e-02)) - (3.449282e+02*((newdata$wtd_mean_IP-7.697340e+00) / (newdata$mean_IP-7.070731e+00)))); range_PE,lambda3,wtd_mean_IP,mean_IP
# 2;  2; K^2;                                              4|6|mult|41|14|div|sub:9.2109285740394e+01,0.0000000000000e+00,-8.2800941646138e+00,-1.1274766779144e+00,-3.2434185020746e+00,7.6618001509391e+00; (((w_log-3.243419e+00) * (lambda4w_low+7.661800e+00)) - (9.210929e+01*((wtd_range_ThermalCond-8.280094e+00) / (mean_at_rad-1.127477e+00)))); $\left(\left(\left(w_{log}-3.243e+00\right) * \left(lambda4w_{low}+7.662e+00\right)\right) - \left(9.211e+01\left(\frac{ wtd_{range, ThermalCond} -8.280e+00 }{ mean_{at, rad}-1.127e+00 } \right)\right)\right)$; (((w_log-3.243419e+00) .* (lambda4w_low+7.661800e+00)) - (9.210929e+01.*((wtd_range_ThermalCond-8.280094e+00) ./ (mean_at_rad-1.127477e+00)))); (((newdata$w_log-3.243419e+00) * (newdata$lambda4w_low+7.661800e+00)) - (9.210929e+01*((newdata$wtd_range_ThermalCond-8.280094e+00) / (newdata$mean_at_rad-1.127477e+00)))); w_log,lambda4w_low,wtd_range_ThermalCond,mean_at_rad
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
Rh1V3       ,  1.900000000000000e-01, -2.942845993209765e+00,  2.438180276345721e+04,  8.661620640231018e+03,  5.068825633001700e+03
B1Mo1       ,  2.500000000000000e-01,  1.412879142589752e+00,  3.701101856843769e+04,  1.562727789453855e+02, -5.863948034049193e+04
Cr3Ir1      ,  2.560000000000000e-01,  3.012675428047265e+00,  1.121879162076441e+04,  1.428796143988778e+02,  5.925742316929623e+04
Al1Os1      ,  3.900000000000000e-01,  5.713871814206468e-01,  1.736457526201357e+04,  5.759268082594634e+02, -2.657496165737904e+04
Al1Mo3      ,  5.800000000000000e-01,  3.268204299975283e+00,  2.269636391190088e+04, -2.253545701459680e+03, -1.046432972807918e+04
Sb1V3       ,  6.500000000000000e-01,  2.550390138750985e+00,  2.675397997074645e+04,  2.937018236891974e+02,  7.284070044715738e+03
Ti1O1       ,  7.200000000000000e-01,  2.699809454710543e+00,  6.086746559222962e+04, -6.276878602874704e+02, -9.456169264569908e+04
Ga1Mo3      ,  7.600000000000000e-01,  2.053800892310448e+00,  3.313772962405618e+04,  1.406320212096772e+02, -2.829346524739602e+04
B2Ru1       ,  8.000000000000000e-01, -1.758846673231024e-01,  3.822788407035136e+04,  3.247959846619307e+03, -5.065307635829401e+04
La1Se1      ,  1.020000000000000e+00,  1.637887081801968e+00,  6.988247561855908e+04,  6.986955210399167e+03,  1.476345386389939e+03
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.885410348209406e+00,  2.765634228743795e+04, -8.207308468637716e+02, -6.718534613739175e+03
Co1Si2      ,  1.306666667000000e+00,  6.516383698603927e-01,  2.853052274128353e+04, -1.245623210947183e+03, -8.955005800332924e+04
Nb1O1       ,  1.380000000000000e+00,  4.596520056207477e+00,  8.003657247865530e+04,  4.316369888180469e+01, -6.938862527460151e+04
Cr1         ,  1.550000000000000e+00,  2.947613209512592e+00,  2.239781191296414e+04, -7.287091125260118e+02,  1.071999249321170e+04
Hg2Na1      ,  1.620000000000000e+00,  2.889466377196826e+00,  3.139752326236683e+04, -3.859330965398630e+02, -7.480162136589891e+03
Ga2Y1       ,  1.680000000000000e+00,  2.974539086570202e+00,  2.819519256341110e+04, -5.728801714822413e+02, -2.389472940822105e+02
Be2Nb1      ,  2.150000000000000e+00,  2.432500571848510e+00,  4.364533615006188e+04, -7.262746554165801e+00, -4.619937867787959e+04
B1Hf1       ,  3.100000000000000e+00,  4.623548818647045e+00,  5.747235548263669e+04,  1.013785337403195e+03,  9.316931451179425e+03
B1Zr1       ,  3.100000000000000e+00,  3.536352927480669e+00,  3.940774186796627e+04,  6.126024108294115e+02,  1.282481148674367e+04
C1In1Ti2    ,  3.100000000000000e+00,  3.919877928334025e+00,  4.417853743743085e+04, -5.018260369501794e+02, -9.602637257036282e+03
Pt0.25V0.75 ,  3.102500000000000e+00,  4.327647905656084e+00,  4.410393299583367e+04,  1.978137551862758e+02,  1.784262833096328e+04
Sn1         ,  3.740729412000000e+00,  4.434051307875896e+00,  4.933969836440728e+04, -3.778350581114864e-01,  3.757091587200561e+03
B1Ta1       ,  4.000000000000000e+00,  5.763971080573938e+00,  6.350315329409060e+04, -5.452506328450269e+02, -9.303896186019583e+02
B2Nb1       ,  4.597500000000000e+00,  4.833888961203890e+00,  4.050591784715861e+04, -1.654739752615778e+01,  3.912925489606532e+04
Al1Si1Sr1   ,  4.750000000000000e+00,  2.563134266438142e+00,  2.687386049589114e+04, -7.427737929944543e+02, -1.351484448652694e+04
Fe1Li1P1    ,  4.965000000000000e+00,  2.059750673074619e+00,  2.385189551004758e+04, -4.700077921512932e+02, -1.643850419550378e+04
Ga1Si1Sr1   ,  5.000000000000000e+00,  5.249413623845374e+00,  3.204948134827825e+04, -8.190409290427615e+02,  5.817680959367247e+04
Os0.5V0.5   ,  5.150000000000000e+00,  2.787410074742446e+00,  1.753326797140264e+04,  5.517529888893531e-01,  3.282159659851365e+04
Ir1Ti3      ,  5.185000000000000e+00,  3.736834657941428e+00,  2.087687875601916e+04,  1.180131116213901e+02,  5.716186444409657e+04
Ir1Mo1      ,  5.325000000000000e+00,  3.709457319961641e+00,  4.130438149084264e+04,  1.732966723640541e+02,  4.649220846067636e+03
