# c0 + a0 * (range_EA - wtd_mean_EA) + a1 * ((mean_at_mass+1.406328e+02) * (range_at_rad+2.054709e+00)) + a2 * ((std_at_rad+1.006843e+00) * (mean_at_mass+1.408050e+02)) + a3 * (exp(-1.0 * lambda)) + a4 * (w_log / mean_at_mass)
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.96281019970144; Max AE: 8.36817179810815
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -4.717637841906060e+00,  2.844375435848313e-01, -5.297275353865900e-01, -1.248734418111334e+01,  8.493672982859336e-01, -6.600681309564941e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               28|27|sub; (range_EA - wtd_mean_EA); $\left(range_{EA} - wtd_{mean, EA}\right)$; (range_EA - wtd_mean_EA); (newdata$range_EA - newdata$wtd_mean_EA); range_EA,wtd_mean_EA
# 1;  1; AA * g * mol^-1;                                  8|16|mult:1.4063277072390e+02,2.0547092032725e+00; ((mean_at_mass+1.406328e+02) * (range_at_rad+2.054709e+00)); $\left(\left(mean_{at, mass}+1.406e+02\right) * \left(range_{at, rad}+2.055e+00\right)\right)$; ((mean_at_mass+1.406328e+02) .* (range_at_rad+2.054709e+00)); ((newdata$mean_at_mass+1.406328e+02) * (newdata$range_at_rad+2.054709e+00)); mean_at_mass,range_at_rad
# 2;  1; AA * g * mol^-1;                                  18|8|mult:1.0068432230166e+00,1.4080502484661e+02; ((std_at_rad+1.006843e+00) * (mean_at_mass+1.408050e+02)); $\left(\left(std_{at, rad}+1.007e+00\right) * \left(mean_{at, mass}+1.408e+02\right)\right)$; ((std_at_rad+1.006843e+00) .* (mean_at_mass+1.408050e+02)); ((newdata$std_at_rad+1.006843e+00) * (newdata$mean_at_mass+1.408050e+02)); std_at_rad,mean_at_mass
# 3;  1; Unitless;                                         5|nexp; (exp(-1.0 * lambda)); $\left(\exp{ \left(-lambda \right) } \right)$; exp(-1.0 * (lambda)); exp(-1.0 * (newdata$lambda)); lambda
# 4;  1; K * g^-1 * mol;                                   4|8|div; (w_log / mean_at_mass); $\left(\frac{ w_{log} }{ mean_{at, mass} } \right)$; (w_log ./ mean_at_mass); (newdata$w_log / newdata$mean_at_mass); w_log,mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
Rh1V3       ,  1.900000000000000e-01,  7.180093182597963e-01, -6.600000000000006e-02,  4.709460614656556e+02,  2.311935585657654e+02,  6.258152995873144e-01,  3.928748691882194e+00
B1Mo1       ,  2.500000000000000e-01,  4.228132445558436e+00, -4.249999999999998e-02,  5.344432556471040e+02,  2.634759212879770e+02,  5.946394639709921e-01,  6.603156731237589e+00
Cr3Ir1      ,  2.560000000000000e-01,  4.873532750971198e+00,  8.199999999999985e-03,  5.451077905028845e+02,  2.673399039775487e+02,  2.158006962060416e-01,  9.134608612474673e-01
Al1Os1      ,  3.900000000000000e-01,  1.834131468615257e+00, -1.114999999999999e-01,  5.694376563433623e+02,  2.797998436011400e+02,  5.783939893780083e-01,  1.624308278195087e+00
Al1Mo3      ,  5.800000000000000e-01,  1.836134779644683e+00, -3.648000000000000e-01,  4.819463215734887e+02,  2.370296953104686e+02,  7.127674990750239e-01,  4.819968177425495e+00
Sb1V3       ,  6.500000000000000e-01,  1.951560230756517e+00, -1.163000000000000e-01,  4.981629316593831e+02,  2.446112105548087e+02,  4.399474460495181e-01,  1.622865103739630e+00
Nb3Os1      ,  6.633333330000000e-01,  6.466302406043020e+00, -7.378000000000000e-01,  6.362811258635934e+02,  3.125428902828027e+02,  5.587238137077634e-01,  1.346439383985952e+00
B2Ru1       ,  8.000000000000000e-01,  1.611823315017612e+00,  2.383000000000001e-01,  5.257696495495696e+02,  2.590797189450353e+02,  6.885963697638828e-01,  6.626686688834067e+00
La1Se1      ,  1.020000000000000e+00,  1.299020764540750e+00,  2.605000000000000e-01,  7.299225149458249e+02,  3.600905762393844e+02,  6.923248479916250e-01,  1.067231696503155e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  4.313095912906135e+00, -1.965000000000000e-01,  4.973390729134942e+02,  2.409681387242510e+02,  4.849546003266664e-01,  2.623258986243241e+00
Co1Si2      ,  1.306666667000000e+00,  2.915431136937160e+00, -4.197000000000000e-01,  4.059803794473862e+02,  1.993995277931437e+02,  7.203630197053014e-01,  7.868091179877544e+00
Nb1O1       ,  1.380000000000000e+00,  6.998204774569497e+00, -6.090000000000001e-01,  5.920282803723931e+02,  2.922705015469223e+02,  6.301483570111875e-01,  5.914269028830421e+00
Cr1         ,  1.550000000000000e+00,  4.133422889312566e+00, -6.660000000000000e-01,  3.957963134923732e+02,  1.941205059417786e+02,  6.380108433087717e-01,  6.841403489877125e+00
Hg2Na1      ,  1.620000000000000e+00, -1.653280589280049e-01,  3.653000000000001e-01,  6.044812874063342e+02,  2.972658023173333e+02,  5.402625791087181e-01,  5.155124433205208e-01
Ga2Y1       ,  1.680000000000000e+00,  5.184195962331445e+00, -2.953000000000000e-01,  6.014915520123818e+02,  2.964663556089583e+02,  3.110193966805510e-01,  2.768854079460980e-01
Be2Nb1      ,  2.150000000000000e+00,  3.874286904667169e-01,  5.952999999999999e-01,  5.240984611470103e+02,  2.583502883446221e+02,  6.276955644732067e-01,  6.377397621441915e+00
Ge1Mo3      ,  2.179200000000000e+00,  2.488315570141626e+00, -2.930000000000000e-01,  5.386246290780588e+02,  2.649015545254767e+02,  6.369908421779825e-01,  3.274948392454621e+00
B1Hf1       ,  3.100000000000000e+00,  3.625219542851580e+00,  1.385000000000000e-01,  6.975331368997703e+02,  3.441924850243189e+02,  6.696500610379346e-01,  3.726384633265009e+00
