# c0 + a0 * (((range_at_mass-6.115136e+03) / (wtd_mean_at_mass-9.990643e+01)) - (4.059527e-04*((wtd_std_PE+1.664335e+04) / (lambda3-4.769498e-02)))) + a1 * ((mean_IP + 6.926281e-01*lambda) - (6.166311e+01*((wtd_mean_PE-1.844015e+00) / (mean_at_mass-1.739303e+01))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.30878620003034; Max AE: 5.67434638508465
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.123120969069725e-03,  1.871170606531268e+00, -1.167345993361790e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         10|9|div|37|7|div|sub:4.0595268201028e-04,0.0000000000000e+00,1.6643349963265e+04,-4.7694983666110e-02,-6.1151356360836e+03,-9.9906428617565e+01; (((range_at_mass-6.115136e+03) / (wtd_mean_at_mass-9.990643e+01)) - (4.059527e-04*((wtd_std_PE+1.664335e+04) / (lambda3-4.769498e-02)))); $\left(\left(\frac{ range_{at, mass} -6.115e+03 }{ wtd_{mean, at, mass}-9.991e+01 } \right) - \left(4.060e-04\left(\frac{ wtd_{std, PE} +1.664e+04 }{ lambda3-4.769e-02 } \right)\right)\right)$; (((range_at_mass-6.115136e+03) ./ (wtd_mean_at_mass-9.990643e+01)) - (4.059527e-04.*((wtd_std_PE+1.664335e+04) ./ (lambda3-4.769498e-02)))); (((newdata$range_at_mass-6.115136e+03) / (newdata$wtd_mean_at_mass-9.990643e+01)) - (4.059527e-04*((newdata$wtd_std_PE+1.664335e+04) / (newdata$lambda3-4.769498e-02)))); range_at_mass,wtd_mean_at_mass,wtd_std_PE,lambda3
# 1;  2; eV;                                               20|5|add|33|8|div|sub:6.1663111484950e+01,0.0000000000000e+00,-1.8440146167178e+00,-1.7393032151906e+01,6.9262811512494e-01,0.0000000000000e+00; ((mean_IP + 6.926281e-01*lambda) - (6.166311e+01*((wtd_mean_PE-1.844015e+00) / (mean_at_mass-1.739303e+01)))); $\left(\left(mean_{IP} + 0.693lambda\right) - \left(6.166e+01\left(\frac{ wtd_{mean, PE} -1.844e+00 }{ mean_{at, mass}-1.739e+01 } \right)\right)\right)$; ((mean_IP + (6.926281e-01.*lambda)) - (6.166311e+01.*((wtd_mean_PE-1.844015e+00) ./ (mean_at_mass-1.739303e+01)))); ((newdata$mean_IP + (6.926281e-01*newdata$lambda)) - (6.166311e+01*((newdata$wtd_mean_PE-1.844015e+00) / (newdata$mean_at_mass-1.739303e+01)))); mean_IP,lambda,wtd_mean_PE,mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 57                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
Rh1V3       ,  1.900000000000000e-01,  2.375907249688492e+00,  4.637524831690929e+01,  7.480494894810092e+00
B1Mo1       ,  2.500000000000000e-01,  2.641425649134943e+00,  5.640115222202309e+01,  7.616376730303477e+00
Cr3Ir1      ,  2.560000000000000e-01,  5.732686822341575e+00,  4.628896086722477e+02,  9.024439391658975e+00
Al1Os1      ,  3.900000000000000e-01,  1.865318198778298e+00, -7.422676080472545e+02,  7.680985580624621e+00
Al1Mo3      ,  5.800000000000000e-01,  1.726747209221376e+00,  1.062273690412226e+03,  6.523801327167885e+00
Sb1V3       ,  6.500000000000000e-01,  4.170201004532863e+00,  1.800095587319303e+02,  8.359199515805651e+00
Nb3Os1      ,  6.633333330000000e-01,  3.190720152857350e+00, -3.924838426605490e+02,  8.179364760629923e+00
Ti1O1       ,  7.200000000000000e-01,  2.756781431473915e+00,  2.373624532186744e+02,  7.569408458627050e+00
Ga1Mo3      ,  7.600000000000000e-01,  9.773789667737715e-01,  2.464231513556014e+02,  6.613013184713671e+00
B2Ru1       ,  8.000000000000000e-01,  1.066195928207430e+00, -1.467339391527840e+03,  7.689120089302683e+00
La1Se1      ,  1.020000000000000e+00, -8.765469296292776e-01, -3.601738812589088e+03,  7.931987247829666e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.360480213324311e+00,  1.286468964228069e+02,  7.422868909699237e+00
Co1Si2      ,  1.306666667000000e+00,  4.242915505291529e+00,  6.310818627068973e+02,  8.127315656104287e+00
Nb1O1       ,  1.380000000000000e+00,  5.883199625788723e+00, -1.472345269604858e+00,  9.383598224536998e+00
Cr1         ,  1.550000000000000e+00,  2.152896423584256e+00, -2.838206170800233e+01,  7.406183486145022e+00
Hg2Na1      ,  1.620000000000000e+00,  3.741749690477555e+00, -1.795873135701019e+02,  8.346063072621256e+00
Ga2Y1       ,  1.680000000000000e+00,  1.982072651265123e+00,  2.518772358702016e+02,  7.146672747513798e+00
Be2Nb1      ,  2.150000000000000e+00,  4.847651122632162e+00, -3.079572693954101e+01,  8.847775999230860e+00
Ge1Mo3      ,  2.179200000000000e+00,  2.984859551977472e+00,  4.699776354571983e+02,  7.551677916966819e+00
B1Hf1       ,  3.100000000000000e+00,  4.059403341899531e+00,  7.162173340358744e+02,  7.978141873938774e+00
B1Zr1       ,  3.100000000000000e+00,  3.340068801807869e+00, -6.267680917393180e+01,  8.061222382092465e+00
C1In1Ti2    ,  3.100000000000000e+00,  3.938531646284650e+00,  3.633564982452434e+02,  8.125340481732019e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  4.662695199615633e+00,  4.476621718156354e+02,  8.461749188311394e+00
