# c0 + a0 * (((wtd_std_at_mass+1.812334e+01) / (mean_PE+6.599236e-01)) - (1.718402e-01*((range_ThermalCond-2.511282e+01) / (wtd_mean_IP-8.933591e+00)))) + a1 * (((L_avg-5.294290e-01)^6) + 1.545381e+03*((range_PE-2.630802e+00) / (wtd_mean_at_rad-1.144957e+00))) + a2 * (((range_at_mass-6.115136e+03) / (wtd_mean_at_mass-9.990643e+01)) - (4.059527e-04*((wtd_std_PE+1.664335e+04) / (lambda3-4.769498e-02)))) + a3 * ((wtd_mean_IP + 6.140848e-01*lambda) - (6.261568e+01*((mean_PE-1.773813e+00) / (mean_at_mass-1.716509e+01))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.4555070683206; Max AE: 3.69280545955881
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -4.000922866532360e-02,  1.709148646079970e-05,  1.166066467071703e-03,  2.107195317341226e+00, -1.245502439532939e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; g * mol^-1;                                       13|32|div|40|21|div|sub:1.7184017871536e-01,0.0000000000000e+00,-2.5112822464946e+01,-8.9335913078062e+00,1.8123342108470e+01,6.5992358025614e-01; (((wtd_std_at_mass+1.812334e+01) / (mean_PE+6.599236e-01)) - (1.718402e-01*((range_ThermalCond-2.511282e+01) / (wtd_mean_IP-8.933591e+00)))); $\left(\left(\frac{ wtd_{std, at, mass} +1.812e+01 }{ mean_{PE}+6.599e-01 } \right) - \left(1.718e-01\left(\frac{ range_{ThermalCond} -2.511e+01 }{ wtd_{mean, IP}-8.934e+00 } \right)\right)\right)$; (((wtd_std_at_mass+1.812334e+01) ./ (mean_PE+6.599236e-01)) - (1.718402e-01.*((range_ThermalCond-2.511282e+01) ./ (wtd_mean_IP-8.933591e+00)))); (((newdata$wtd_std_at_mass+1.812334e+01) / (newdata$mean_PE+6.599236e-01)) - (1.718402e-01*((newdata$range_ThermalCond-2.511282e+01) / (newdata$wtd_mean_IP-8.933591e+00)))); wtd_std_at_mass,mean_PE,range_ThermalCond,wtd_mean_IP
# 1;  2; AA^6;                                             0|sp|34|15|div|add:1.5453814900359e+03,0.0000000000000e+00,-2.6308019515907e+00,-1.1449571212099e+00,1.0000000000000e+00,-5.2942897479082e-01; (((L_avg-5.294290e-01)^6) + 1.545381e+03*((range_PE-2.630802e+00) / (wtd_mean_at_rad-1.144957e+00))); $\left(\left(\left(L_{avg}-5.294e-01\right)^6\right) + 1.55e+03\left(\frac{ range_{PE} -2.631e+00 }{ wtd_{mean, at, rad}-1.145e+00 } \right)\right)$; ((L_avg-5.294290e-01).^6 + (1.545381e+03.*((range_PE-2.630802e+00) ./ (wtd_mean_at_rad-1.144957e+00)))); ((newdata$L_avg-5.294290e-01)^6 + (1.545381e+03*((newdata$range_PE-2.630802e+00) / (newdata$wtd_mean_at_rad-1.144957e+00)))); L_avg,range_PE,wtd_mean_at_rad
# 2;  2; Unitless;                                         10|9|div|37|7|div|sub:4.0595268201028e-04,0.0000000000000e+00,1.6643349963265e+04,-4.7694983666110e-02,-6.1151356360836e+03,-9.9906428617565e+01; (((range_at_mass-6.115136e+03) / (wtd_mean_at_mass-9.990643e+01)) - (4.059527e-04*((wtd_std_PE+1.664335e+04) / (lambda3-4.769498e-02)))); $\left(\left(\frac{ range_{at, mass} -6.115e+03 }{ wtd_{mean, at, mass}-9.991e+01 } \right) - \left(4.060e-04\left(\frac{ wtd_{std, PE} +1.664e+04 }{ lambda3-4.769e-02 } \right)\right)\right)$; (((range_at_mass-6.115136e+03) ./ (wtd_mean_at_mass-9.990643e+01)) - (4.059527e-04.*((wtd_std_PE+1.664335e+04) ./ (lambda3-4.769498e-02)))); (((newdata$range_at_mass-6.115136e+03) / (newdata$wtd_mean_at_mass-9.990643e+01)) - (4.059527e-04*((newdata$wtd_std_PE+1.664335e+04) / (newdata$lambda3-4.769498e-02)))); range_at_mass,wtd_mean_at_mass,wtd_std_PE,lambda3
# 3;  2; eV;                                               21|5|add|32|8|div|sub:6.2615678629257e+01,0.0000000000000e+00,-1.7738127384434e+00,-1.7165086170633e+01,6.1408476557320e-01,0.0000000000000e+00; ((wtd_mean_IP + 6.140848e-01*lambda) - (6.261568e+01*((mean_PE-1.773813e+00) / (mean_at_mass-1.716509e+01)))); $\left(\left(wtd_{mean, IP} + 0.614lambda\right) - \left(6.262e+01\left(\frac{ mean_{PE} -1.774e+00 }{ mean_{at, mass}-1.717e+01 } \right)\right)\right)$; ((wtd_mean_IP + (6.140848e-01.*lambda)) - (6.261568e+01.*((mean_PE-1.773813e+00) ./ (mean_at_mass-1.716509e+01)))); ((newdata$wtd_mean_IP + (6.140848e-01*newdata$lambda)) - (6.261568e+01*((newdata$mean_PE-1.773813e+00) / (newdata$mean_at_mass-1.716509e+01)))); wtd_mean_IP,lambda,mean_PE,mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 57                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01,  1.433801841635650e+00,  2.281537085021191e+01, -2.909148709429027e+03,  4.637524831690929e+01,  7.022271053108237e+00
B1Mo1       ,  2.500000000000000e-01,  5.965367489761693e-01,  3.404626305494873e+01, -7.904814349453960e+04,  5.640115222202309e+01,  7.450191503774366e+00
Cr3Ir1      ,  2.560000000000000e-01,  3.948805459558811e+00,  3.175102472886105e+01, -8.305494041383348e+03,  4.628896086722477e+02,  8.198744990451129e+00
Al1Os1      ,  3.900000000000000e-01,  2.891479418749204e-01,  5.216525547398763e+01, -1.728963919177977e+04, -7.422676080472545e+02,  7.589378564832039e+00
Al1Mo3      ,  5.800000000000000e-01,  2.260321819829015e+00,  2.358481207199760e+01, -2.826355709881855e+03,  1.062273690412226e+03,  6.866274391563360e+00
Sb1V3       ,  6.500000000000000e-01,  3.192591651681349e+00,  1.663146360363315e+01, -2.694150949531590e+03,  1.800095587319303e+02,  7.663823034701629e+00
Nb3Os1      ,  6.633333330000000e-01,  2.105423025909485e+00,  2.290993874204669e+01,  2.935027091604116e+03, -3.924838426605490e+02,  7.538245050352593e+00
Ti1O1       ,  7.200000000000000e-01,  3.969162186837528e+00,  1.123044594168383e+01,  7.564883416230934e+04,  2.373624532186744e+02,  7.262628439716934e+00
Ga1Mo3      ,  7.600000000000000e-01,  1.534280869912568e+00,  1.766936535170957e+01, -3.725772214194936e+03,  2.464231513556014e+02,  6.868170234014947e+00
B2Ru1       ,  8.000000000000000e-01,  1.341060819211760e+00,  3.279924610977863e+01,  4.020842277984505e+04, -1.467339391527840e+03,  7.655745609417255e+00
La1Se1      ,  1.020000000000000e+00, -3.608709715604427e-01,  1.764238989811123e+01,  2.615748365124683e+04, -3.601738812589088e+03,  7.855374522722391e+00
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.459035842500841e+00,  3.140827352942111e+01,  6.525394001309600e+03,  1.286468964228069e+02,  7.549913095046707e+00
Co1Si2      ,  1.306666667000000e+00,  4.193398445760600e-02,  1.721823699443242e+01, -2.562757474977378e+05,  6.310818627068973e+02,  7.986965751544930e+00
Nb1O1       ,  1.380000000000000e+00,  2.319254955611217e+00,  1.383988124991107e+01, -2.396873779190446e+05, -1.472345269604858e+00,  9.219047039291715e+00
Cr1         ,  1.550000000000000e+00,  2.271104454616802e+00,  5.820254101630900e+00, -1.638002798677930e+04, -2.838206170800233e+01,  7.247570739406304e+00
Hg2Na1      ,  1.620000000000000e+00,  2.180741395772215e+00,  1.144335120512418e+02, -4.487945580146301e+03, -1.795873135701019e+02,  9.254139180475180e+00
Ga2Y1       ,  1.680000000000000e+00,  2.100607295301607e+00,  1.134104964842536e+01, -8.150551281563257e+03,  2.518772358702016e+02,  7.049644451741184e+00
Be2Nb1      ,  2.150000000000000e+00,  3.256284779147682e+00,  6.508632260151902e+01, -4.866140804621248e+04, -3.079572693954101e+01,  9.103554967998480e+00
Ge1Mo3      ,  2.179200000000000e+00,  2.724789893856304e+00,  1.560843142208187e+01, -5.003795231881822e+03,  4.699776354571983e+02,  7.280669524215951e+00
B1Hf1       ,  3.100000000000000e+00,  3.141049683799756e+00,  4.111836473707795e+01, -1.305932217430570e+04,  7.162173340358744e+02,  7.891643556324819e+00
B1Zr1       ,  3.100000000000000e+00,  3.003858353183319e+00,  2.240348428561606e+01, -1.271731544454943e+04, -6.267680917393180e+01,  7.899444293269289e+00
C1In1Ti2    ,  3.100000000000000e+00,  2.324552354561872e+00,  3.374079603722144e+01, -1.269230004824239e+04,  3.633564982452434e+02,  7.556372344363290e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  3.077902650132011e+00,  3.029518123747904e+01,  1.512748973247908e+02,  4.476621718156354e+02,  7.697636942134633e+00
Sn1         ,  3.740729412000000e+00,  3.354926436492934e+00,  4.202727155956108e+00,  3.198981817702184e+04, -1.120416170670653e+02,  7.385168808926935e+00
B1Ta1       ,  4.000000000000000e+00,  4.807501514335603e+00,  4.346836645280958e+01, -1.738467206204575e+04,  1.664642040954169e+03,  8.237351423229352e+00
Sn1V3       ,  4.462500000000000e+00,  3.742328629335576e+00,  1.921229885835374e+01, -2.796116430362103e+03,  1.876418497549901e+02,  7.970314408898932e+00
B2Nb1       ,  4.597500000000000e+00,  5.412078295797255e+00,  2.183693216132666e+01,  8.885128052882476e+04,  7.484718782880668e+01,  8.131616518051844e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  2.159184866679812e+00,  3.457876457892729e+01, -5.826329160379669e+03,  8.338661654717723e+01,  7.593043282671416e+00
Fe1Li1P1    ,  4.965000000000000e+00,  4.313711612666849e+00,  2.655494377826634e+01, -2.471593586269666e+04,  2.543900152189752e+02,  8.521742192048748e+00
Ga1Si1Sr1   ,  5.000000000000000e+00,  5.304248002825823e+00,  2.656502616253299e+01, -6.025301936928946e+03,  1.587479894480701e+02,  8.893332815158525e+00
Os0.5V0.5   ,  5.150000000000000e+00,  2.931752247916578e+00,  3.846988452365643e+01, -9.126989987593010e+03, -2.954461272852648e+02,  8.269964608465363e+00
