# c0 + a0 * ((((mean_EA-1.793574e+00) * (wtd_range_at_mass-9.791750e+01))-1.302135e+02) * ((wtd_std_at_rad - (1.069320e+00*std_at_rad))+3.518601e-02)) + a1 * ((((wtd_std_at_mass-9.459632e+00) * (wtd_mean_EA-4.096760e-01))+3.431980e+00) * (|mean_EA - (-1.047304e+01*std_IP+2.290246e+01)|-8.080850e+00)) + a2 * (((std_IP-1.435303e+01) / (lambda4w_low-4.636252e+00)) + 4.414455e+01*((range_EA-7.620191e-01) / (mean_IP-7.017653e+00))) + a3 * ((|wtd_std_PE - (-1.886774e+00*lambda+1.085706e+00)|-1.139579e-01) * (((w_log-6.285796e+01) / (wtd_mean_at_mass-6.206116e+00))+1.424334e+00))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.0853074017836; Max AE: 2.94128457604457
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  6.867506938136835e-01, -2.107494378073514e-02, -1.837307859162020e-02,  1.005149007037823e+00,  1.440372913705904e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * eV * g * mol^-1;                             26|11|mult|19|18|sub|mult:-1.3021350061188e+02,3.5186006763342e-02,1.0693199495360e+00,0.0000000000000e+00,-1.7935741278695e+00,-9.7917502262250e+01; ((((mean_EA-1.793574e+00) * (wtd_range_at_mass-9.791750e+01))-1.302135e+02) * ((wtd_std_at_rad - (1.069320e+00*std_at_rad))+3.518601e-02)); $\left(\left(\left(\left(mean_{EA}-1.794e+00\right) * \left(wtd_{range, at, mass}-9.792e+01\right)\right)-1.302e+02\right) * \left(\left(wtd_{std, at, rad} - \left(1.069e+00std_{at, rad}\right)\right)+3.519e-02\right)\right)$; ((((mean_EA-1.793574e+00) .* (wtd_range_at_mass-9.791750e+01))-1.302135e+02) .* ((wtd_std_at_rad - (1.069320e+00.*std_at_rad))+3.518601e-02)); ((((newdata$mean_EA-1.793574e+00) * (newdata$wtd_range_at_mass-9.791750e+01))-1.302135e+02) * ((newdata$wtd_std_at_rad - (1.069320e+00*newdata$std_at_rad))+3.518601e-02)); mean_EA,wtd_range_at_mass,wtd_std_at_rad,std_at_rad
# 1;  2; eV^2 * g * mol^-1;                                13|27|mult|26|24|abd|mult:3.4319803657905e+00,-8.0808500869939e+00,-1.0473040092594e+01,2.2902458998066e+01,-9.4596316218604e+00,-4.0967603910246e-01; ((((wtd_std_at_mass-9.459632e+00) * (wtd_mean_EA-4.096760e-01))+3.431980e+00) * (|mean_EA - (-1.047304e+01*std_IP+2.290246e+01)|-8.080850e+00)); $\left(\left(\left(\left(wtd_{std, at, mass}-9.460e+00\right) * \left(wtd_{mean, EA}-4.097e-01\right)\right)+3.432e+00\right) * \left(\left(\left|mean_{EA} - \left(-1.047e+01std_{IP}+2.290e+01\right)\right|\right)-8.081e+00\right)\right)$; ((((wtd_std_at_mass-9.459632e+00) .* (wtd_mean_EA-4.096760e-01))+3.431980e+00) .* (abs(mean_EA - (-1.047304e+01.*std_IP+2.290246e+01))-8.080850e+00)); ((((newdata$wtd_std_at_mass-9.459632e+00) * (newdata$wtd_mean_EA-4.096760e-01))+3.431980e+00) * (abs(newdata$mean_EA - (-1.047304e+01*newdata$std_IP+2.290246e+01))-8.080850e+00)); wtd_std_at_mass,wtd_mean_EA,mean_EA,std_IP
# 2;  2; K^-1 * eV;                                        24|6|div|28|20|div|add:4.4144550999323e+01,0.0000000000000e+00,-7.6201908257314e-01,-7.0176532971327e+00,-1.4353027353563e+01,-4.6362519030456e+00; (((std_IP-1.435303e+01) / (lambda4w_low-4.636252e+00)) + 4.414455e+01*((range_EA-7.620191e-01) / (mean_IP-7.017653e+00))); $\left(\left(\frac{ std_{IP} -1.435e+01 }{ lambda4w_{low}-4.636e+00 } \right) + 44.1\left(\frac{ range_{EA} -7.620e-01 }{ mean_{IP}-7.018e+00 } \right)\right)$; (((std_IP-1.435303e+01) ./ (lambda4w_low-4.636252e+00)) + (4.414455e+01.*((range_EA-7.620191e-01) ./ (mean_IP-7.017653e+00)))); (((newdata$std_IP-1.435303e+01) / (newdata$lambda4w_low-4.636252e+00)) + (4.414455e+01*((newdata$range_EA-7.620191e-01) / (newdata$mean_IP-7.017653e+00)))); std_IP,lambda4w_low,range_EA,mean_IP
# 3;  2; K * g^-1 * mol;                                   37|5|abd|4|9|div|mult:-1.1395790089103e-01,1.4243337988698e+00,-6.2857958321150e+01,-6.2061156844522e+00,-1.8867740343052e+00,1.0857056373751e+00; ((|wtd_std_PE - (-1.886774e+00*lambda+1.085706e+00)|-1.139579e-01) * (((w_log-6.285796e+01) / (wtd_mean_at_mass-6.206116e+00))+1.424334e+00)); $\left(\left(\left(\left|wtd_{std, PE} - \left(-1.887e+00lambda+1.086e+00\right)\right|\right)-1.140e-01\right) * \left(\left(\frac{ w_{log} -6.286e+01 }{ wtd_{mean, at, mass}-6.206e+00 } \right)+1.424e+00\right)\right)$; ((abs(wtd_std_PE - (-1.886774e+00.*lambda+1.085706e+00))-1.139579e-01) .* (((w_log-6.285796e+01) ./ (wtd_mean_at_mass-6.206116e+00))+1.424334e+00)); ((abs(newdata$wtd_std_PE - (-1.886774e+00*newdata$lambda+1.085706e+00))-1.139579e-01) * (((newdata$w_log-6.285796e+01) / (newdata$wtd_mean_at_mass-6.206116e+00))+1.424334e+00)); wtd_std_PE,lambda,w_log,wtd_mean_at_mass
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01,  5.337654102176115e-01, -9.533946052389987e-01,  6.569865982480125e+01, -7.945969042554478e+01, -3.255106151907012e-01
B1Mo1       ,  2.500000000000000e-01, -3.122423127996183e-01, -6.473190608565195e-01,  5.439397140020010e+01, -1.974868330763038e+01, -5.218754929792473e-01
Cr3Ir1      ,  2.560000000000000e-01,  2.845724683224185e+00, -2.266188767502274e+00,  3.804894922596969e+01,  6.581045357306869e+00,  3.864553394704043e+00
Al1Os1      ,  3.900000000000000e-01,  2.309247490659300e-02, -3.090017208537136e+00, -4.739077670592149e+00, -1.513694100767758e+01,  3.251289296617146e-01
Al1Mo3      ,  5.800000000000000e-01,  1.077898636182618e-01,  9.871933179951111e-01,  6.802241895853000e+01,  6.074140937524553e+01,  5.362753120926007e-01
Sb1V3       ,  6.500000000000000e-01,  1.950180329133020e+00, -6.318483255752564e-01,  3.324144371769633e+01, -1.441259683236541e+01,  1.372420869913432e+00
Nb3Os1      ,  6.633333330000000e-01,  6.234540777310078e-01, -5.133034488921593e-01,  6.939979353992373e+01, -3.519487821578612e+01,  3.497502807988149e-01
Ti1O1       ,  7.200000000000000e-01,  1.911056369732677e-01, -1.206331455644518e-01,  3.079926244764540e+01,  1.097021578646398e+01, -3.141554304131857e-01
Ga1Mo3      ,  7.600000000000000e-01,  1.061972558838077e+00,  7.062235954648599e-01,  3.117904491497183e+01,  2.477708222568646e+01,  2.476528325051998e-01
B2Ru1       ,  8.000000000000000e-01,  3.205730079996647e+00,  1.460130196719163e+00,  6.573789792048403e+01, -4.854772598774416e+00,  2.048290463061916e+00
La1Se1      ,  1.020000000000000e+00,  3.961284576044573e+00, -4.729463737313764e-01, -1.641262991294346e+02,  5.668146495815311e+01,  4.259750473897718e-01
Al1Nb1Ni2   ,  1.075000000000000e+00,  8.177144720060607e-01,  1.499065088059389e-01,  7.180880563619679e+01,  8.964213268060544e+00,  9.475807958146401e-01
Co1Si2      ,  1.306666667000000e+00,  2.211748910045525e+00, -1.086492319898682e+00,  7.715141087793599e+01,  1.940610015725151e+01,  3.482107405518741e+00
Nb1O1       ,  1.380000000000000e+00,  2.166333413801356e+00, -1.140585393506512e-01,  1.569280006697602e+02, -3.792315011870896e+00,  4.021157602316441e+00
Cr1         ,  1.550000000000000e+00, -8.043440528090705e-01, -6.968327698423089e-01,  1.425823877213687e+01,  1.327514547223375e+02,  9.683916574870719e-01
Hg2Na1      ,  1.620000000000000e+00,  1.614109251256211e+00,  5.161614583524127e-02,  3.484548311888870e+01, -1.546654750017964e+01,  5.854728149227822e-01
Ga2Y1       ,  1.680000000000000e+00,  1.062886911364292e+00,  3.367873322727635e-01,  4.763828584719750e+01,  3.624706439030039e+01,  1.055733443420953e+00
Be2Nb1      ,  2.150000000000000e+00,  2.932956792110284e+00,  1.139209397264291e+00,  4.306258668351263e-01,  4.424666348673146e+00,  7.965000087831584e-01
Ge1Mo3      ,  2.179200000000000e+00,  2.140019746973300e+00,  1.187199982408439e+00,  3.162601815753159e+01, -1.663883744327887e+01,  2.438905143379543e-01
B1Zr1       ,  3.100000000000000e+00,  2.091660339467452e+00, -1.713064727668194e-01,  9.458927534188719e+00, -6.163475829809887e+01, -1.633007904690675e-01
C1In1Ti2    ,  3.100000000000000e+00,  2.892419092138306e+00,  1.299230768307428e+00, -2.231727898990591e+01,  2.326001495058302e+01,  5.141737453179590e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  4.067232993461626e+00,  3.829000099146621e+00,  4.730301964925094e+01,  4.323426959510143e+01,  1.779384653837580e+00
Sn1         ,  3.740729412000000e+00,  3.595020141783218e+00, -2.536636798759730e+00, -5.508841767121175e+01, -9.964803345156534e+01,  9.002226015713281e-01
B1Ta1       ,  4.000000000000000e+00,  4.167867140452313e+00, -5.971116464093640e-01, -6.067176759735396e+01, -2.543539916443978e+01,  1.384451832921485e+00
Sn1V3       ,  4.462500000000000e+00,  4.581936879963936e+00, -7.345577866432208e-01,  9.046904349648058e+01, -1.404967603079431e+02,  2.956073180848345e+00
B2Nb1       ,  4.597500000000000e+00,  5.608417937111928e+00,  1.958356997117158e+00,  3.280813372097014e+01, -1.278751705485827e+01,  3.262825204837729e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  3.441528296467723e+00, -3.516328504965875e-01,  1.964593721297047e+01, -6.829987820316364e+01,  1.394616588437496e+00
Fe1Li1P1    ,  4.965000000000000e+00,  3.034749842688886e+00, -6.999964003759038e-01, -3.344355405038907e+01, -5.739789878446109e+00,  1.258342098312014e+00
Ga1Si1Sr1   ,  5.000000000000000e+00,  6.272263570493693e+00, -3.180316532056783e-01,  1.623132128742915e+01, -6.835556006239020e+01,  4.115281607739734e+00
Ir1Ti3      ,  5.185000000000000e+00,  4.397028786512721e+00, -4.079534107197693e-01,  1.129990897989581e+01,  3.375961478136681e+01,  4.074252806368022e+00
La1         ,  5.343000000000000e+00,  5.968368116406807e+00, -1.249086709653585e-01,  3.691464828419232e+01,  2.334529976045668e+01,  5.790858313457446e+00
Nb1S2       ,  5.821818182000000e+00,  5.487628517071317e+00,  2.714368186909402e+00, -1.364372624083726e+02,  2.068374780515886e+01, -3.106227444236885e-01
Ge1V3       ,  6.680000000000000e+00,  7.626105337893240e+00,  6.896520705261353e-01,  2.467497372537577e+01,  9.098338675356695e+00,  6.366520304000643e+00
Sn1Ta3      ,  6.692500000000000e+00,  5.841028670130744e+00,  1.116869706421308e+00,  6.080233295639356e+01,  8.534114343543866e+00,  5.045867207215984e+00
