# c0 + a0 * (((std_at_mass-2.017560e+01) / (density-1.197423e+01)) - (3.798449e-03*((range_at_rad-9.979541e+01) / (wtd_mean_at_rad-1.504039e+00)))) + a1 * ((((wtd_range_ThermalCond-2.590965e+01) / (mean_at_rad-1.112840e+00))+2.678332e+01) * (((range_at_rad-2.034221e+00) * (std_at_rad+5.780920e-01))+1.183810e+00)) + a2 * (((range_ThermalCond-1.015360e+02) / (lambda3-4.693258e-02)) - (8.199116e+02*((wtd_mean_EA+6.863007e+02) / (wtd_mean_at_mass-1.002493e+02)))) + a3 * ((|std_EA - (4.689087e-01*mean_EA+2.155683e-01)|+1.602634e-01) * (((lambda-5.151762e+01) / (wtd_mean_IP+2.983233e+01))+1.387816e+00))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.08911522066696; Max AE: 2.25317666520533
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.195484973039890e-02,  1.239822642936052e-01,  1.461422828524058e-05,  1.177449049031853e+02,  2.494724800056106e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * mol^-1;                                    12|2|div|16|15|div|sub:3.7984487458546e-03,0.0000000000000e+00,-9.9795412097826e+01,-1.5040387167584e+00,-2.0175599863211e+01,-1.1974233756844e+01; (((std_at_mass-2.017560e+01) / (density-1.197423e+01)) - (3.798449e-03*((range_at_rad-9.979541e+01) / (wtd_mean_at_rad-1.504039e+00)))); $\left(\left(\frac{ std_{at, mass} -2.018e+01 }{ density-1.197e+01 } \right) - \left(3.798e-03\left(\frac{ range_{at, rad} -9.980e+01 }{ wtd_{mean, at, rad}-1.504e+00 } \right)\right)\right)$; (((std_at_mass-2.017560e+01) ./ (density-1.197423e+01)) - (3.798449e-03.*((range_at_rad-9.979541e+01) ./ (wtd_mean_at_rad-1.504039e+00)))); (((newdata$std_at_mass-2.017560e+01) / (newdata$density-1.197423e+01)) - (3.798449e-03*((newdata$range_at_rad-9.979541e+01) / (newdata$wtd_mean_at_rad-1.504039e+00)))); std_at_mass,density,range_at_rad,wtd_mean_at_rad
# 1;  2; AA * W * mK^-1;                                   41|14|div|16|18|mult|mult:2.6783319729253e+01,1.1838099320430e+00,-2.0342207310532e+00,5.7809199218145e-01,-2.5909653542809e+01,-1.1128400696559e+00; ((((wtd_range_ThermalCond-2.590965e+01) / (mean_at_rad-1.112840e+00))+2.678332e+01) * (((range_at_rad-2.034221e+00) * (std_at_rad+5.780920e-01))+1.183810e+00)); $\left(\left(\left(\frac{ wtd_{range, ThermalCond} -2.591e+01 }{ mean_{at, rad}-1.113e+00 } \right)+2.678e+01\right) * \left(\left(\left(range_{at, rad}-2.034e+00\right) * \left(std_{at, rad}+5.781e-01\right)\right)+1.184e+00\right)\right)$; ((((wtd_range_ThermalCond-2.590965e+01) ./ (mean_at_rad-1.112840e+00))+2.678332e+01) .* (((range_at_rad-2.034221e+00) .* (std_at_rad+5.780920e-01))+1.183810e+00)); ((((newdata$wtd_range_ThermalCond-2.590965e+01) / (newdata$mean_at_rad-1.112840e+00))+2.678332e+01) * (((newdata$range_at_rad-2.034221e+00) * (newdata$std_at_rad+5.780920e-01))+1.183810e+00)); wtd_range_ThermalCond,mean_at_rad,range_at_rad,std_at_rad
# 2;  2; W * mK^-1;                                        40|7|div|27|9|div|sub:8.1991159658391e+02,0.0000000000000e+00,6.8630065337898e+02,-1.0024925757102e+02,-1.0153600620920e+02,-4.6932582529164e-02; (((range_ThermalCond-1.015360e+02) / (lambda3-4.693258e-02)) - (8.199116e+02*((wtd_mean_EA+6.863007e+02) / (wtd_mean_at_mass-1.002493e+02)))); $\left(\left(\frac{ range_{ThermalCond} -1.015e+02 }{ lambda3-4.693e-02 } \right) - \left(8.199e+02\left(\frac{ wtd_{mean, EA} +6.863e+02 }{ wtd_{mean, at, mass}-1.002e+02 } \right)\right)\right)$; (((range_ThermalCond-1.015360e+02) ./ (lambda3-4.693258e-02)) - (8.199116e+02.*((wtd_mean_EA+6.863007e+02) ./ (wtd_mean_at_mass-1.002493e+02)))); (((newdata$range_ThermalCond-1.015360e+02) / (newdata$lambda3-4.693258e-02)) - (8.199116e+02*((newdata$wtd_mean_EA+6.863007e+02) / (newdata$wtd_mean_at_mass-1.002493e+02)))); range_ThermalCond,lambda3,wtd_mean_EA,wtd_mean_at_mass
# 3;  2; Unitless;                                         30|26|abd|5|21|div|mult:1.6026338976244e-01,1.3878162340256e+00,-5.1517616418738e+01,2.9832333785090e+01,4.6890871770891e-01,2.1556833407262e-01; ((|std_EA - (4.689087e-01*mean_EA+2.155683e-01)|+1.602634e-01) * (((lambda-5.151762e+01) / (wtd_mean_IP+2.983233e+01))+1.387816e+00)); $\left(\left(\left(\left|std_{EA} - \left(4.689e-01mean_{EA}+2.156e-01\right)\right|\right)+1.603e-01\right) * \left(\left(\frac{ lambda -5.152e+01 }{ wtd_{mean, IP}+2.983e+01 } \right)+1.388e+00\right)\right)$; ((abs(std_EA - (4.689087e-01.*mean_EA+2.155683e-01))+1.602634e-01) .* (((lambda-5.151762e+01) ./ (wtd_mean_IP+2.983233e+01))+1.387816e+00)); ((abs(newdata$std_EA - (4.689087e-01*newdata$mean_EA+2.155683e-01))+1.602634e-01) * (((newdata$lambda-5.151762e+01) / (newdata$wtd_mean_IP+2.983233e+01))+1.387816e+00)); std_EA,mean_EA,lambda,wtd_mean_IP
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
Rh1V3       ,  1.900000000000000e-01, -2.650736922720059e-01, -2.475102883739810e+02,  1.861472159341247e-01,  1.582117514934874e+04, -4.683294519761473e-04
B1Mo1       ,  2.500000000000000e-01,  1.059544228412779e+00, -7.816470899980376e+00, -2.270060867112095e+01,  1.212673240989730e+04,  1.100271975716961e-02
Cr3Ir1      ,  2.560000000000000e-01,  2.452439773423424e+00, -2.479745135108922e+02, -3.794452105158502e-02,  4.267837498237129e+04,  1.956098188753589e-02
Al1Os1      ,  3.900000000000000e-01,  7.171769482937925e-01,  4.129070974821486e+01, -1.690054033838044e+01, -6.701586259942284e+04,  6.824756385807935e-03
Al1Mo3      ,  5.800000000000000e-01,  1.186400328198564e+00, -1.237143140684000e+01, -8.382986335112532e+00,  2.684549309760901e+04, -4.360361971073701e-03
Nb3Os1      ,  6.633333330000000e-01,  2.726054905691461e+00, -3.548266904647478e+01, -6.009392343064598e-01, -3.362594500313339e+04,  1.037363889909864e-02
Ti1O1       ,  7.200000000000000e-01,  2.161414857065657e+00, -3.497279906602058e-01, -3.115697681245785e+01,  1.001675443785877e+04,  2.876894251253994e-02
Ga1Mo3      ,  7.600000000000000e-01, -7.430449132548710e-02, -5.301759333817509e+00, -2.385291960805129e+01,  5.228350953269129e+04, -2.653123006389926e-03
La1Se1      ,  1.020000000000000e+00,  1.705831473633607e+00,  1.122089565945466e+00, -4.732600350476567e-02, -9.391298354030101e+04,  4.892149069097251e-03
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.404833009794292e+00, -3.687771089749369e+00, -6.032620249779162e+00,  1.400537794887841e+04,  4.224854459650451e-03
Co1Si2      ,  1.306666667000000e+00,  1.403765784810222e+00, -4.088840093396234e-01, -2.766288758963822e+01,  1.342746065810601e+04,  1.823777086849564e-02
Cr1         ,  1.550000000000000e+00,  1.962983924651139e+00,  4.301082893101071e-01, -5.231375756540525e-01,  9.368745026128403e+03, -5.171688348328611e-03
Hg2Na1      ,  1.620000000000000e+00,  2.994647763890915e+00, -3.274423749445094e+01, -5.615054124605449e+00, -1.351867722760532e+04,  1.516080516353290e-02
Ga2Y1       ,  1.680000000000000e+00,  1.901911090419240e+00, -4.776364313722613e+00,  3.545811537368349e-02,  2.327022952052080e+04, -7.475360540032241e-03
Be2Nb1      ,  2.150000000000000e+00,  2.977389105851695e-01, -4.415998666414938e+00, -2.789786549423091e+01,  9.544966889488987e+03,  9.980516097890496e-03
Ge1Mo3      ,  2.179200000000000e+00,  1.247582348558681e+00, -3.537964825333513e+00, -2.283665800275900e+01,  5.512508454590155e+04,  6.971710455748255e-03
B1Hf1       ,  3.100000000000000e+00,  3.438693893729305e+00, -7.461993585656113e+01, -2.338785948679444e+00,  9.473028949868221e+04,  6.298337203591424e-03
B1Zr1       ,  3.100000000000000e+00,  3.280072173453067e+00, -4.999864063805368e+00, -2.338785948679444e+00,  8.803460635255578e+03,  8.547564686313149e-03
C1In1Ti2    ,  3.100000000000000e+00,  3.221456205563719e+00, -6.100877396292391e+00,  9.542549212932073e-01,  1.205322182017556e+04,  4.290693149833886e-03
Pt0.25V0.75 ,  3.102500000000000e+00,  3.255693245135323e+00, -3.366177721842840e+01,  2.023766057727256e-01,  4.232594184989548e+04,  4.414100528639399e-03
Sn1         ,  3.740729412000000e+00,  3.011284932059820e+00, -1.785849243132982e-01, -5.231375756540525e-01, -2.725201817947411e+04,  8.338552609306582e-03
Sn1V3       ,  4.462500000000000e+00,  4.124460770474337e+00, -4.493648206932883e+01,  1.276305006462937e+00,  1.739179549430757e+04,  1.490117986963348e-02
B2Nb1       ,  4.597500000000000e+00,  4.564083041254659e+00, -4.965171488347858e+00,  4.136123805440527e+00,  8.819339315908474e+03,  1.262918585364878e-02
Al1Si1Sr1   ,  4.750000000000000e+00,  3.260791734730724e+00, -5.581495204730653e+00,  7.284392281167795e+00,  1.115841262935284e+04, -1.982371700602458e-03
Fe1Li1P1    ,  4.965000000000000e+00,  3.572587242787166e+00, -1.320832336597792e+00, -2.073418315610799e+00,  8.581573710724382e+03,  1.040645296867622e-02
Ga1Si1Sr1   ,  5.000000000000000e+00,  5.104730548740513e+00, -5.481036788518378e+00,  3.508565786280995e+00,  1.465129105126206e+04,  1.721020097490669e-02
Os0.5V0.5   ,  5.150000000000000e+00,  4.368216776555093e+00, -9.806632805002238e-01, -8.948405428080175e-01, -2.774602196092666e+04,  2.039703302874598e-02
Ir1Ti3      ,  5.185000000000000e+00,  4.919886639734384e+00, -9.218168587695455e+00, -8.204577469085812e-01,  3.455855535685436e+04,  1.810727397259757e-02
Ir1Mo1      ,  5.325000000000000e+00,  4.836672358233997e+00, -6.373509652119076e+00,  1.205923332858812e+00, -1.478228217919642e+04,  2.110206340850591e-02
La1         ,  5.343000000000000e+00,  4.196920167871430e+00,  4.127917306120229e+00, -2.243040093895601e-03, -1.457010812158154e+04,  1.584829272803494e-02
N1Ti1       ,  5.387500000000000e+00,  7.640676665205326e+00, -5.834281368738623e-01, -4.307773878759058e+00,  7.844586033496983e+03,  4.732579854637894e-02
B6Y1        ,  5.692857143000000e+00,  5.172593470050816e+00, -3.020984186580513e+00,  6.862400405227075e-01,  6.778554887663692e+03,  2.148576315398137e-02
Nb1S2       ,  5.821818182000000e+00,  6.973402735022033e+00, -2.780841814549446e+00,  6.074067590095160e-01,  1.477084076568180e+04,  3.584656491259216e-02
Ge1V3       ,  6.680000000000000e+00,  5.330141871387872e+00, -4.795089491558451e+00,  3.571726604143211e+00,  1.282800690618624e+04,  1.921475476426262e-02
