# FEAT_ID     Score                   Feature Expression
0             0.685513709367589597    (((mean_IP+4.081610e-01) * (lambda+8.810381e+00)) - (8.489754e+01*((wtd_range_IP-1.116751e+00) / (mean_at_mass-1.850439e+01))))
1             0.685587296957101855    (((lambda+1.141637e+01) * (mean_IP+5.889087e-01)) - (2.695852e+01*((std_IP-1.289026e+00) / (density-2.522217e+00))))
2             0.685707844565271896    (((mean_EA+9.903528e+01) / (mean_at_mass-1.801745e+01)) - (8.014439e-01*((mean_IP+3.906677e+00) * (lambda+8.613952e+00))))
3             0.686034294055965721    ((((lambda+5.247657e+00) * (wtd_mean_IP-2.759367e+00))-3.445649e+01) * (((range_at_mass-1.250698e+02) / (density-2.599503e+00))+6.375561e+01))
4             0.686049340689378173    (((mean_IP+1.795037e-01) * (lambda+1.055175e+01)) - (2.435395e+01*((std_IP-1.287107e+00) / (density-2.528776e+00))))
5             0.686233647438665773    ((((wtd_mean_IP-2.759820e+00) * (lambda+5.219053e+00))-3.435339e+01) * (((range_at_mass-1.229622e+02) / (density-2.596331e+00))+6.131868e+01))
6             0.686590536746361391    ((((wtd_mean_at_mass-4.836092e+01) / (mean_at_mass-1.695129e+01))+1.397498e+00) * (((mean_IP-2.711527e+00) * (lambda+4.517208e+00))-3.079813e+01))
7             0.686930939858616307    ((((L_avg-4.129409e+00) / (wtd_mean_at_mass-1.541406e+01))+4.037963e-02) * (((mean_IP-1.951638e+00) * (lambda+2.962662e+00))-2.126567e+01))
8             0.687424782476705909    ((((lambda+7.943044e+00) * (wtd_mean_IP-1.025681e+00))-6.210902e+01) * (((wtd_mean_at_mass-7.532280e+01) / (density-2.648291e+00))+2.093266e+01))
9             0.687439155443038685    ((((wtd_mean_IP-1.026681e+00) * (lambda+7.904949e+00))-6.187931e+01) * (((wtd_mean_at_mass-7.523627e+01) / (density-2.647233e+00))+2.072351e+01))
10            0.688076171643276391    ((((range_at_mass-9.245110e+01) / (density-2.644487e+00))+4.284575e+01) * (((wtd_mean_IP-1.517455e+00) * (lambda+2.357959e+00))-2.137409e+01))
11            0.68812893364973815     ((((wtd_std_at_mass-5.954954e+01) / (density-2.625003e+00))+3.313201e+01) * (((lambda-2.139449e+01) / (mean_IP+3.972182e+00))+1.683796e+00))
12            0.689632326044758659    ((((L_avg-4.291240e+00) / (wtd_mean_at_mass-1.535008e+01))+4.173115e-02) * (((lambda+3.377747e+00) * (mean_IP-1.830823e+00))-2.474996e+01))
13            0.691151648235770466    ((((lambda-1.538795e+01) / (wtd_mean_IP-1.465706e+00))+4.667770e-01) * (((mean_PE-1.677745e+00) / (mean_at_mass-1.754086e+01))+7.198890e-02))
