# c0 + a0 * ((((std_at_mass+5.023729e+01) * (range_at_rad-1.115476e+00))+1.517203e+02) * (((mean_at_mass+3.993456e+01) * (wtd_mean_IP-3.966986e+00))-3.659485e+01)) + a1 * (((L_avg+9.200611e+00) / (lambda3-4.774920e-02)) - (3.935441e+00*((wtd_range_ThermalCond-9.527968e+01) / (mean_IP-7.064809e+00)))) + a2 * (((w_log-3.243419e+00) * (lambda4w_low+7.661800e+00)) - (9.210929e+01*((wtd_range_ThermalCond-8.280094e+00) / (mean_at_rad-1.127477e+00))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.58034962763447; Max AE: 3.62293426060968
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  8.449295604273072e-05, -5.531894706417394e-04,  3.094031027509550e-05,  5.292934401231318e-01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * eV * g^2 * mol^-2;                           12|16|mult|8|21|mult|mult:1.5172025093695e+02,-3.6594846892506e+01,3.9934562629721e+01,-3.9669864001773e+00,5.0237287956039e+01,-1.1154764875262e+00; ((((std_at_mass+5.023729e+01) * (range_at_rad-1.115476e+00))+1.517203e+02) * (((mean_at_mass+3.993456e+01) * (wtd_mean_IP-3.966986e+00))-3.659485e+01)); $\left(\left(\left(\left(std_{at, mass}+5.024e+01\right) * \left(range_{at, rad}-1.115e+00\right)\right)+1.517e+02\right) * \left(\left(\left(mean_{at, mass}+3.993e+01\right) * \left(wtd_{mean, IP}-3.967e+00\right)\right)-3.659e+01\right)\right)$; ((((std_at_mass+5.023729e+01) .* (range_at_rad-1.115476e+00))+1.517203e+02) .* (((mean_at_mass+3.993456e+01) .* (wtd_mean_IP-3.966986e+00))-3.659485e+01)); ((((newdata$std_at_mass+5.023729e+01) * (newdata$range_at_rad-1.115476e+00))+1.517203e+02) * (((newdata$mean_at_mass+3.993456e+01) * (newdata$wtd_mean_IP-3.966986e+00))-3.659485e+01)); std_at_mass,range_at_rad,mean_at_mass,wtd_mean_IP
# 1;  2; AA;                                               0|7|div|41|20|div|sub:3.9354411250338e+00,0.0000000000000e+00,-9.5279675903766e+01,-7.0648086476096e+00,9.2006111158356e+00,-4.7749199240596e-02; (((L_avg+9.200611e+00) / (lambda3-4.774920e-02)) - (3.935441e+00*((wtd_range_ThermalCond-9.527968e+01) / (mean_IP-7.064809e+00)))); $\left(\left(\frac{ L_{avg} +9.201e+00 }{ lambda3-4.775e-02 } \right) - \left(3.935e+00\left(\frac{ wtd_{range, ThermalCond} -9.528e+01 }{ mean_{IP}-7.065e+00 } \right)\right)\right)$; (((L_avg+9.200611e+00) ./ (lambda3-4.774920e-02)) - (3.935441e+00.*((wtd_range_ThermalCond-9.527968e+01) ./ (mean_IP-7.064809e+00)))); (((newdata$L_avg+9.200611e+00) / (newdata$lambda3-4.774920e-02)) - (3.935441e+00*((newdata$wtd_range_ThermalCond-9.527968e+01) / (newdata$mean_IP-7.064809e+00)))); L_avg,lambda3,wtd_range_ThermalCond,mean_IP
# 2;  2; K^2;                                              4|6|mult|41|14|div|sub:9.2109285740394e+01,0.0000000000000e+00,-8.2800941646138e+00,-1.1274766779144e+00,-3.2434185020746e+00,7.6618001509391e+00; (((w_log-3.243419e+00) * (lambda4w_low+7.661800e+00)) - (9.210929e+01*((wtd_range_ThermalCond-8.280094e+00) / (mean_at_rad-1.127477e+00)))); $\left(\left(\left(w_{log}-3.243e+00\right) * \left(lambda4w_{low}+7.662e+00\right)\right) - \left(9.211e+01\left(\frac{ wtd_{range, ThermalCond} -8.280e+00 }{ mean_{at, rad}-1.127e+00 } \right)\right)\right)$; (((w_log-3.243419e+00) .* (lambda4w_low+7.661800e+00)) - (9.210929e+01.*((wtd_range_ThermalCond-8.280094e+00) ./ (mean_at_rad-1.127477e+00)))); (((newdata$w_log-3.243419e+00) * (newdata$lambda4w_low+7.661800e+00)) - (9.210929e+01*((newdata$wtd_range_ThermalCond-8.280094e+00) / (newdata$mean_at_rad-1.127477e+00)))); w_log,lambda4w_low,wtd_range_ThermalCond,mean_at_rad
# Number of Samples Per Task
# Task, n_samples               
# all , 52                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
Rh1V3       ,  1.900000000000000e-01, -2.173561689162140e+00,  2.320014771986843e+04,  8.712991631942910e+03,  5.068825633001700e+03
B1Mo1       ,  2.500000000000000e-01,  1.470822137324032e+00,  3.522400734231638e+04,  3.982868481959397e+02, -5.863948034049193e+04
Cr3Ir1      ,  2.560000000000000e-01,  3.064012928524437e+00,  1.017249115425329e+04,  2.860275310684937e+02,  5.925742316929623e+04
Al1Os1      ,  3.900000000000000e-01,  8.556649778158363e-01,  1.625218687330547e+04,  4.059842532851002e+02, -2.657496165737904e+04
Al1Mo3      ,  5.800000000000000e-01,  3.121637362448200e+00,  2.148463269204230e+04, -1.989939186681872e+03, -1.046432972807918e+04
Sb1V3       ,  6.500000000000000e-01,  2.624016169435752e+00,  2.550730974393085e+04,  5.167066151260778e+02,  7.284070044715738e+03
Ti1O1       ,  7.200000000000000e-01,  2.579992600593603e+00,  5.786644716141737e+04, -1.575592077102757e+02, -9.456169264569908e+04
Ga1Mo3      ,  7.600000000000000e-01,  1.944321732280150e+00,  3.176832766479209e+04,  7.118049929736895e+02, -2.829346524739602e+04
B2Ru1       ,  8.000000000000000e-01,  1.324673933431000e-01,  3.642655242356617e+04,  3.447989055840493e+03, -5.065307635829401e+04
La1Se1      ,  1.020000000000000e+00,  2.223783429658188e+00,  6.784648694770185e+04,  7.382170216257915e+03,  1.476345386389939e+03
Al1Nb1Ni2   ,  1.075000000000000e+00,  2.918511470861898e+00,  2.625932561401236e+04, -6.839673412915791e+02, -6.718534613739175e+03
Co1Si2      ,  1.306666667000000e+00,  5.995830473963940e-01,  2.694700989487133e+04, -1.019838038247917e+03, -8.955005800332924e+04
Nb1O1       ,  1.380000000000000e+00,  4.686487030749013e+00,  7.692674056148739e+04,  3.537097739060874e+02, -6.938862527460151e+04
Cr1         ,  1.550000000000000e+00,  3.186964499881499e+00,  2.112770055822790e+04, -9.776926713625825e+02,  1.071999249321170e+04
Hg2Na1      ,  1.620000000000000e+00,  2.606043903410248e+00,  2.972988924759316e+04,  3.683678657414006e+02, -7.480162136589891e+03
Ga2Y1       ,  1.680000000000000e+00,  2.979187097528498e+00,  2.694159870942427e+04, -3.270334215463608e+02, -2.389472940822105e+02
Be2Nb1      ,  2.150000000000000e+00,  2.481326594101626e+00,  4.160375945974248e+04,  2.418129077917223e+02, -4.619937867787959e+04
B1Hf1       ,  3.100000000000000e+00,  4.622116796272508e+00,  5.552369466913309e+04,  1.603079114543188e+03,  9.316931451179425e+03
B1Zr1       ,  3.100000000000000e+00,  3.372719763549155e+00,  3.749577565810466e+04,  1.304266053409811e+03,  1.282481148674367e+04
C1In1Ti2    ,  3.100000000000000e+00,  3.855130789312525e+00,  4.221898041630388e+04, -1.007601768575848e+02, -9.602637257036282e+03
Pt0.25V0.75 ,  3.102500000000000e+00,  4.419779403344951e+00,  4.256553579376311e+04,  4.664919560376568e+02,  1.784262833096328e+04
Sn1         ,  3.740729412000000e+00,  4.212706181562488e+00,  4.775953910608937e+04,  8.463239109908391e+02,  3.757091587200561e+03
B1Ta1       ,  4.000000000000000e+00,  5.736951163400585e+00,  6.137613870726574e+04, -9.145668812077520e+01, -9.303896186019583e+02
B2Nb1       ,  4.597500000000000e+00,  4.529187313921781e+00,  3.858048052647591e+04,  8.506240333967144e+02,  3.912925489606532e+04
Al1Si1Sr1   ,  4.750000000000000e+00,  2.352782872419693e+00,  2.533235415609162e+04, -1.830067874256343e+02, -1.351484448652694e+04
Fe1Li1P1    ,  4.965000000000000e+00,  1.921234194219650e+00,  2.231302231712014e+04, -2.758541395457178e+01, -1.643850419550378e+04
Ga1Si1Sr1   ,  5.000000000000000e+00,  5.172778743823717e+00,  3.050657247525809e+04, -4.806423314283246e+02,  5.817680959367247e+04
Os0.5V0.5   ,  5.150000000000000e+00,  2.693138882759082e+00,  1.630129105578424e+04,  4.139796952327227e+02,  3.282159659851365e+04
Ir1Ti3      ,  5.185000000000000e+00,  3.779598086303289e+00,  1.967517533641970e+04,  3.266781275620211e+02,  5.716186444409657e+04
Ir1Mo1      ,  5.325000000000000e+00,  3.672912205483986e+00,  3.961655872908542e+04,  6.282652578539000e+02,  4.649220846067636e+03
La1         ,  5.343000000000000e+00,  5.068319907246752e+00,  2.404865612587433e+04, -2.515861463211101e+02,  7.653154070000334e+04
N1Ti1       ,  5.387500000000000e+00,  6.360915797855081e+00,  5.998906587312124e+04,  1.382011933462811e+02,  2.713031283124498e+04
