# c0 + a0 * ((((mean_ThermalCond-1.051524e+02) / (wtd_mean_at_rad-8.715067e-01))+1.786943e+02) * (((std_at_rad+1.052412e-02) * (mean_EA-1.679483e-01))-2.000511e-01)) + a1 * (((lambda4w_low+5.644151e+00) / (lambda3-4.776380e-02)) + 3.128977e+04*((wtd_mean_IP-7.092596e+00) / (lambda3-2.469087e+01))) + a2 * ((((wtd_range_at_mass-2.463768e+01) / (lambda-7.045328e-01))+8.449652e+01) * ((range_IP - (5.442407e+00*lambda))-1.911268e+00))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.62797931929157; Max AE: 3.65777972267257
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  9.498524079484748e-02, -6.767045218942230e-04, -2.538958938776565e-03,  2.986752106601636e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W * eV * mK^-1;                                   38|15|div|18|26|mult|mult:1.7869431753285e+02,-2.0005112249231e-01,1.0524121806804e-02,-1.6794834087211e-01,-1.0515238452500e+02,-8.7150668343165e-01; ((((mean_ThermalCond-1.051524e+02) / (wtd_mean_at_rad-8.715067e-01))+1.786943e+02) * (((std_at_rad+1.052412e-02) * (mean_EA-1.679483e-01))-2.000511e-01)); $\left(\left(\left(\frac{ mean_{ThermalCond} -1.052e+02 }{ wtd_{mean, at, rad}-8.715e-01 } \right)+1.787e+02\right) * \left(\left(\left(std_{at, rad}+1.052e-02\right) * \left(mean_{EA}-1.679e-01\right)\right)-2.001e-01\right)\right)$; ((((mean_ThermalCond-1.051524e+02) ./ (wtd_mean_at_rad-8.715067e-01))+1.786943e+02) .* (((std_at_rad+1.052412e-02) .* (mean_EA-1.679483e-01))-2.000511e-01)); ((((newdata$mean_ThermalCond-1.051524e+02) / (newdata$wtd_mean_at_rad-8.715067e-01))+1.786943e+02) * (((newdata$std_at_rad+1.052412e-02) * (newdata$mean_EA-1.679483e-01))-2.000511e-01)); mean_ThermalCond,wtd_mean_at_rad,std_at_rad,mean_EA
# 1;  2; K;                                                6|7|div|21|7|div|add:3.1289767355509e+04,0.0000000000000e+00,-7.0925962985049e+00,-2.4690869115804e+01,5.6441509784331e+00,-4.7763802469110e-02; (((lambda4w_low+5.644151e+00) / (lambda3-4.776380e-02)) + 3.128977e+04*((wtd_mean_IP-7.092596e+00) / (lambda3-2.469087e+01))); $\left(\left(\frac{ lambda4w_{low} +5.644e+00 }{ lambda3-4.776e-02 } \right) + 3.13e+04\left(\frac{ wtd_{mean, IP} -7.093e+00 }{ lambda3-2.469e+01 } \right)\right)$; (((lambda4w_low+5.644151e+00) ./ (lambda3-4.776380e-02)) + (3.128977e+04.*((wtd_mean_IP-7.092596e+00) ./ (lambda3-2.469087e+01)))); (((newdata$lambda4w_low+5.644151e+00) / (newdata$lambda3-4.776380e-02)) + (3.128977e+04*((newdata$wtd_mean_IP-7.092596e+00) / (newdata$lambda3-2.469087e+01)))); lambda4w_low,lambda3,wtd_mean_IP,lambda3
# 2;  2; eV * g * mol^-1;                                  11|5|div|22|5|sub|mult:8.4496524047351e+01,-1.9112678689471e+00,5.4424066854842e+00,0.0000000000000e+00,-2.4637679395695e+01,-7.0453282171579e-01; ((((wtd_range_at_mass-2.463768e+01) / (lambda-7.045328e-01))+8.449652e+01) * ((range_IP - (5.442407e+00*lambda))-1.911268e+00)); $\left(\left(\left(\frac{ wtd_{range, at, mass} -2.464e+01 }{ lambda-7.045e-01 } \right)+8.450e+01\right) * \left(\left(range_{IP} - \left(5.442e+00lambda\right)\right)-1.911e+00\right)\right)$; ((((wtd_range_at_mass-2.463768e+01) ./ (lambda-7.045328e-01))+8.449652e+01) .* ((range_IP - (5.442407e+00.*lambda))-1.911268e+00)); ((((newdata$wtd_range_at_mass-2.463768e+01) / (newdata$lambda-7.045328e-01))+8.449652e+01) * ((newdata$range_IP - (5.442407e+00*newdata$lambda))-1.911268e+00)); wtd_range_at_mass,lambda,range_IP,lambda
# Number of Samples Per Task
# Task, n_samples               
# all , 51                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
Rh1V3       ,  1.900000000000000e-01,  1.576338680941913e+00, -2.434791493497687e+01,  5.803986727999160e+02, -5.100663598367055e+02
B1Mo1       ,  2.500000000000000e-01,  2.373302187126793e+00, -8.315693358756469e+00, -4.275948475781942e+02,  4.448167655933057e+01
Cr3Ir1      ,  2.560000000000000e-01,  8.313886972941286e-01, -3.808518288512821e+01, -2.075369585055937e+02, -5.205778003279502e+02
Al1Os1      ,  3.900000000000000e-01, -2.028113562939458e+00, -3.755434593484706e+01, -1.345221011592411e+02,  6.060707673032724e+02
Al1Mo3      ,  5.800000000000000e-01, -4.830370817109009e-01, -3.990946234405973e+01, -7.366488189113841e+02,  6.989986394187845e+01
Sb1V3       ,  6.500000000000000e-01,  1.551040801569133e+00, -8.087722609785063e+00, -2.753342263346542e+01,  2.702402967533021e+02
Nb3Os1      ,  6.633333330000000e-01,  2.485769607844833e+00, -1.415235328642285e+01, -9.327371268071772e+00, -3.296509836652333e+02
Ti1O1       ,  7.200000000000000e-01,  3.122615520693198e+00, -1.655479420205965e+01, -4.093531741537145e+03,  4.181977487371317e+02
Ga1Mo3      ,  7.600000000000000e-01,  2.923906480843770e-01, -1.991466088792855e+01,  9.989980078789310e+02,  4.991657308790946e+01
B2Ru1       ,  8.000000000000000e-01,  2.315035914231028e+00,  8.147641811618730e-02,  1.893803148204893e+03, -2.371404654119443e+02
La1Se1      ,  1.020000000000000e+00,  2.438182919396909e+00,  1.428460457858631e+01,  2.748046954360478e+03,  1.803100935126001e+01
Al1Nb1Ni2   ,  1.075000000000000e+00,  1.225407826038876e+00, -1.427036992771997e+01,  2.574199602378663e+02,  9.124704700406380e+01
Co1Si2      ,  1.306666667000000e+00,  2.627225302473872e+00, -3.141254603549768e+01, -1.982459226095926e+03, -5.051922276778724e+02
Nb1O1       ,  1.380000000000000e+00,  2.256811054993013e+00, -3.107487267550411e+01, -3.535036061935883e+03,  6.713841386892888e+01
Cr1         ,  1.550000000000000e+00,  1.485538064810207e+00, -3.062116151831861e+01,  8.802592950853899e+02, -7.889138234086099e+02
Hg2Na1      ,  1.620000000000000e+00,  2.279536281589028e+00, -2.234366407285455e+01, -1.945019505162581e+03, -3.895257672750594e+01
Ga2Y1       ,  1.680000000000000e+00,  2.894081928269643e+00, -5.471292118138298e+00,  1.413061611284184e+03, -5.448087331833760e+02
Be2Nb1      ,  2.150000000000000e+00,  2.045570691937810e+00, -2.377454779658497e+01, -1.357078971826767e+03, -1.570361181078398e+02
Ge1Mo3      ,  2.179200000000000e+00,  1.962045767311482e+00, -6.959811617267087e+00,  1.295879038745979e+02,  1.086800704762446e+02
B1Zr1       ,  3.100000000000000e+00,  3.207201151749878e+00,  1.211415007897062e+00,  1.012152111042205e+02, -6.848290742470095e+01
C1In1Ti2    ,  3.100000000000000e+00,  2.542212513897423e+00, -6.864029526747991e+00, -9.679691327105355e+02,  1.762876813825266e+02
Pt0.25V0.75 ,  3.102500000000000e+00,  3.940589823186842e+00,  1.513858967788754e+01, -9.518201964959113e+01,  2.160393238291392e+02
Sn1         ,  3.740729412000000e+00,  2.607366500923917e+00, -1.988594393087600e+01, -5.106904504081180e+02, -4.584158539053984e+02
B1Ta1       ,  4.000000000000000e+00,  3.404094057742501e+00, -2.872741482052156e+00, -1.457504373949847e+03,  1.166185886094752e+02
Sn1V3       ,  4.462500000000000e+00,  3.431755184391984e+00, -1.277410696332061e+01,  4.230483759872299e+02, -7.659176455953680e+02
B2Nb1       ,  4.597500000000000e+00,  6.682013380327841e+00,  2.774425454709065e+00, -5.833230240635029e+02, -1.196157381417891e+03
Al1Si1Sr1   ,  4.750000000000000e+00,  2.880487330646170e+00, -7.329684795091743e+00,  7.601832055978376e+02, -4.349682443013093e+02
Fe1Li1P1    ,  4.965000000000000e+00,  2.723394966779340e+00, -5.632834536395803e+00, -1.207868292847385e+03,  2.149270404942579e+02
Ga1Si1Sr1   ,  5.000000000000000e+00,  7.145594601249503e+00, -5.784966903678137e+00, -1.720666925510224e+03, -1.395826386040360e+03
