# FEAT_ID     Score                   Feature Expression
0             0.711102483859213264    ((wtd_mean_IP + 7.954753e-01*lambda) - (6.974733e-02*((wtd_mean_EA+4.153715e+02) / (mean_at_mass-1.893858e+01))))
1             0.711313909721008941    ((((range_at_mass-9.227906e+01) / (density-2.705978e+00))+5.618763e+01) * (((lambda-2.047948e+01) / (wtd_mean_IP+2.747961e+00))+1.880145e+00))
2             0.71142182083740868     ((wtd_mean_IP + 7.571141e-01*lambda) - (2.452701e+00*((wtd_range_at_rad+1.119607e+01) / (mean_at_mass-1.896953e+01))))
3             0.712269626270131795    (((lambda-1.430616e+01) / (mean_IP-7.302613e-01)) - (1.984656e+01*((std_EA-1.213728e-01) / (wtd_mean_at_mass-1.538647e+01))))
4             0.712380578828361588    (((wtd_mean_IP + 6.874856e-01*lambda)-8.791711e+00) * (((wtd_mean_at_mass-5.248173e+01) / (mean_at_mass-1.735932e+01))+1.995365e+00))
5             0.712578770520624238    (((wtd_mean_IP + 7.821399e-01*lambda)-8.891167e+00) * (((wtd_range_at_mass-1.945915e+02) / (wtd_mean_at_mass-1.508382e+01))+1.329803e+01))
6             0.712622936218454739    ((wtd_mean_IP + 7.240604e-01*lambda) + 1.828784e-01*((V_molar-1.657445e+02) / (mean_at_mass-1.900539e+01)))
7             0.716308255766783808    ((((mean_PE-1.655168e+00) / (mean_at_mass-1.766785e+01))+4.023139e-02) * (((lambda-1.430312e+01) / (wtd_mean_IP-1.691437e+00))+9.538889e-01))
8             0.716568298696673267    ((wtd_mean_IP + 6.141055e-01*lambda) - (5.935184e+01*((wtd_mean_PE-1.788436e+00) / (mean_at_mass-1.758587e+01))))
9             0.716866183881337604    (((wtd_mean_IP + 6.577430e-01*lambda)-7.844862e+00) * (((mean_ThermalCond-6.385051e+01) / (mean_at_mass-1.733831e+01))+5.932536e+00))
10            0.719164205206237805    ((((mean_PE-1.627864e+00) / (wtd_mean_at_mass-1.557657e+01))+4.423042e-02) * (((lambda-1.298641e+01) / (wtd_mean_IP-2.789275e+00))+6.736632e-01))
11            0.719503953165348653    ((wtd_mean_IP + 6.180404e-01*lambda) - (6.177765e+01*((mean_PE-1.777621e+00) / (mean_at_mass-1.715717e+01))))
12            0.722293193922126431    (((wtd_range_at_mass-4.624086e+01) / (density-8.335260e+00)) - (3.172168e+02*((lambda-1.111171e-01) / (wtd_mean_at_mass-1.498475e+01))))
13            0.723648232231477673    (((lambda+1.016980e+01) * (wtd_mean_IP+2.095431e-01)) - (4.927462e-01*((L_avg-2.747290e+00) / (mean_at_rad-1.126374e+00))))
14            0.72898298817552698     (((wtd_mean_IP-1.448789e+00) * (lambda+7.988651e+00)) - (3.808897e-01*((L_avg-2.570127e+00) / (mean_at_rad-1.126964e+00))))
#-----------------------------------------------------------------------
15            0.468481755286743906    ((((mean_EA-4.906256e-01) / (mean_PE-1.004631e+00))-2.546951e-01) * (((std_ThermalCond-6.451568e+01) / (density-8.461463e+00))-4.719588e+00))
16            0.46955033142457242     (((range_at_mass+2.353613e+01) * (wtd_range_PE-6.412022e-01)) + 2.799328e-01*((wtd_std_at_mass-2.819470e+01) / (mean_IP-7.039483e+00)))
17            0.471604066717996262    (((density+5.362292e+01) / (wtd_mean_at_mass-1.002703e+02)) + 2.696898e+01*((wtd_range_PE-9.562710e-01) * (wtd_std_IP-1.478891e-01)))
18            0.471953121198664616    (((wtd_std_at_mass+9.868973e+01) / (mean_at_mass-9.697639e+01)) + 1.659326e+01*((wtd_std_ThermalCond-3.694739e+00) / (mean_IP-8.320111e+00)))
19            0.489554392165779617    ((((std_IP-2.146289e+00) / (mean_IP-6.979356e+00))-3.376632e+00) * (((range_at_mass-2.461470e+01) * (wtd_mean_IP-8.408760e+00))+6.506840e+01))
20            0.490116637852071879    (((std_at_rad+9.889319e+00) / (lambda3-4.829770e-02)) - (9.327545e+00*((wtd_mean_IP-1.665884e+01) / (mean_IP-7.074030e+00))))
21            0.503197812146655599    (((wtd_std_IP-2.278290e+01) / (mean_IP-7.066922e+00)) - (1.844345e+00*((wtd_std_EA-1.470935e-02) / (lambda3-4.724680e-02))))
22            0.509722322392031191    (((wtd_mean_PE+3.252578e+01) / (lambda3-4.783982e-02)) + 6.146928e+00*((wtd_std_ThermalCond+4.319439e+01) / (mean_IP-7.072954e+00)))
23            0.522188297462876094    (((wtd_std_at_mass+1.713792e+02) / (lambda3-4.784197e-02)) - (6.762601e+01*((wtd_mean_ThermalCond-4.166984e+01) / (mean_IP-7.038197e+00))))
24            0.53489894993794207     (((mean_at_rad+1.810394e+01) / (mean_IP-7.075535e+00)) + 1.904621e+00*((std_EA+7.026662e-02) / (lambda3-4.731737e-02)))
25            0.535012482530771716    (((wtd_mean_at_rad+1.744505e+01) / (mean_IP-7.075512e+00)) + 1.916293e+00*((std_EA+4.357194e-02) / (lambda3-4.729720e-02)))
26            0.552492616392261549    ((((wtd_range_IP-9.098019e-01) / (lambda3-4.709142e-02))+7.825728e+01) * (((wtd_range_at_mass-9.973860e+00) / (mean_IP-7.090535e+00))+1.377927e+01))
27            0.558243703152137449    ((((wtd_mean_PE-7.831237e-01) / (lambda3-4.781793e-02))+7.280194e+01) * (((wtd_std_at_mass-2.526334e+01) / (mean_IP-6.990972e+00))+1.783254e+01))
28            0.561708177036185696    (((density+9.018876e+01) / (lambda3-4.791121e-02)) + 6.898568e+03*((wtd_range_IP-7.018901e+00) / (wtd_mean_at_mass-9.877593e+01)))
29            0.60220912727385012     (((density+6.673039e+01) / (lambda3-4.791485e-02)) + 1.623033e+03*((wtd_range_at_mass-3.672798e+01) / (wtd_mean_at_mass-9.941565e+01)))
#-----------------------------------------------------------------------
30            0.4836231378389515      ((((range_at_mass-2.045864e+00)^3)+3.271263e+03) * (((wtd_mean_EA-1.905070e-01) / (wtd_mean_PE-2.488930e+00))+1.137160e+00))
31            0.483866923295446227    (((std_at_mass+1.659339e+01) * (range_at_mass-1.279487e+02)) + 3.615752e-04*((std_ThermalCond+3.747193e+06) / (wtd_mean_IP-1.012147e+01)))
32            0.48391444356110036     (((range_at_mass-8.542965e+01) * (wtd_std_at_mass-1.461295e+01)) + 1.175888e+03*((std_PE-1.395534e-01) / (mean_IP-1.013687e+01)))
33            0.485006516803864474    ((((std_PE-1.370928e+00) / (wtd_mean_PE-2.496396e+00))-3.113576e+00) * ((wtd_range_EA - (1.191377e+00*range_at_mass))+5.302833e+01))
34            0.485702103007253638    (((range_at_mass-1.073704e+02) * (std_at_mass+6.576650e+00)) + 8.797820e-04*((mean_ThermalCond+1.680679e+06) / (wtd_mean_IP-1.011838e+01)))
35            0.489729283364711054    (((std_at_mass+9.726812e+00) * (range_at_mass-1.000000e+02)) + 1.421553e-04*((range_at_mass+1.192064e+07) / (mean_IP-1.011032e+01)))
36            0.489890799636406415    ((((std_PE-1.287585e+00) / (wtd_mean_PE-2.495904e+00))-2.767188e+00) * ((wtd_std_EA - (1.226442e+00*range_at_mass))+5.384592e+01))
37            0.491324948497483371    ((((range_PE-2.610596e+00) / (wtd_mean_PE-2.495864e+00))-5.507766e+00) * ((wtd_std_PE + 1.094445e+00*std_at_mass)-2.512277e+01))
38            0.49362214769596563     ((((std_PE-1.254458e+00) / (wtd_mean_PE-2.496623e+00))-2.589681e+00) * ((range_EA - (1.268781e+00*range_at_mass))+5.714067e+01))
39            0.49782352229913146     (((wtd_range_ThermalCond-4.332136e+01) / (wtd_mean_IP-1.008009e+01)) - (3.276856e+00*((wtd_std_at_rad-1.351015e-01) * (range_at_mass-1.072707e+02))))
40            0.498626627373723152    (((std_at_rad+1.540192e+00) * (wtd_std_at_mass-1.471083e+02)) - (4.758074e-01*((range_ThermalCond-6.667204e+01) / (mean_IP-1.016708e+01))))
41            0.499197545551821498    ((((wtd_mean_EA-9.515895e-01) / (mean_PE-2.489282e+00))+5.036566e-02) * ((range_ThermalCond + 4.716517e+00*std_at_mass)-1.016817e+02))
42            0.499330281260445874    ((((range_PE-2.480895e+00) / (wtd_mean_PE-2.497866e+00))-4.801282e+00) * ((std_PE + 1.194349e+00*std_at_mass)-2.973881e+01))
43            0.510088042055450774    (((wtd_mean_EA-5.736100e-01) * (wtd_range_at_mass-2.650563e+01)) + 1.317985e-01*((wtd_mean_ThermalCond-1.109429e+00) / (mean_IP-1.024391e+01)))
44            0.518988446043144203    (((mean_EA+8.457860e+00) * (range_at_mass-1.004812e+03)) - (1.264661e+01*((wtd_range_ThermalCond-3.048689e+01) / (wtd_mean_IP-1.017936e+01))))
#-----------------------------------------------------------------------
45            0.365058928166338337    ((((wtd_std_ThermalCond+1.590401e+00) * (bulk_mod-4.907026e+01))+5.003808e+01) * (((mean_PE-3.182431e-01) / (wtd_mean_IP-9.207125e+00))+5.364204e+00))
46            0.366913093528839163    ((wtd_range_ThermalCond * mean_IP) / (wtd_range_ThermalCond + 1.203062e+01*mean_EA))
47            0.366984526448697335    ((mean_EA + 5.169148e-01*bulk_mod) - (1.617257e+00*((mean_ThermalCond-7.108258e+01) / (mean_IP-8.899759e+00))))
48            0.367009766953893757    (((wtd_mean_ThermalCond+2.339017e+02) * (mean_PE+3.424704e+00)) - (7.704048e+00*((wtd_range_ThermalCond-6.678005e+01) / (mean_IP-9.404932e+00))))
49            0.367436544296355028    ((((wtd_mean_ThermalCond-1.085993e+02) * (std_EA+6.258149e-01))+5.378895e+01) * ((wtd_mean_EA - (1.440911e+00*L_avg))+5.041104e+00))
50            0.367936505219996046    ((range_at_rad + 5.390490e-01*bulk_mod) - (1.677664e+00*((mean_ThermalCond-7.082168e+01) / (mean_IP-8.898847e+00))))
51            0.369666777797106438    ((((std_EA+8.659801e-01) * (wtd_mean_ThermalCond-1.255031e+02))+8.994501e+01) * ((wtd_mean_EA - (1.369733e+00*L_avg))+4.843529e+00))
52            0.371162218757711937    ((((wtd_range_at_rad-6.596069e-03) / (wtd_mean_IP-9.269035e+00))+2.362500e+00) * (((bulk_mod+2.105276e+02)^2)-6.434300e+04))
53            0.371887790665344498    (((wtd_range_PE-4.753062e+00) * (bulk_mod-9.961400e+01)) + 1.424061e+01*((mean_ThermalCond-7.369598e+01) / (mean_IP-8.907727e+00)))
54            0.372075583875283833    ((range_ThermalCond + 2.178693e+00*range_at_mass) - (2.147257e+00*((wtd_range_ThermalCond-1.115242e+02) / (mean_IP-9.445716e+00))))
55            0.373130351279518879    (((bulk_mod+4.630658e+02) * (wtd_mean_at_rad-1.071681e+01)) + 6.154460e+00*((w_log-2.788193e+02) / (wtd_mean_IP-8.959396e+00)))
56            0.379951497345620948    (((mean_at_rad-9.356719e+00) * (bulk_mod+4.755184e+02)) + 5.302282e+00*((w_log-2.793970e+02) / (wtd_mean_IP-8.959884e+00)))
57            0.402355728003022162    ((((std_IP-3.633821e-01) / (wtd_mean_IP-9.350458e+00))+5.668853e+00) * ((mean_ThermalCond + 6.862385e-01*bulk_mod)-3.182892e+01))
58            0.403770509208789263    ((((range_IP+3.023643e-01) / (wtd_mean_IP-9.359715e+00))+1.411358e+01) * ((mean_ThermalCond + 6.619602e-01*bulk_mod)-3.058236e+01))
59            0.406149201988343422    ((((wtd_range_EA-6.882364e-01) / (mean_IP-9.257797e+00))-7.808055e-01) * (((V_molar+9.327349e+01) * (wtd_range_ThermalCond-1.847173e+02))+2.120136e+04))
#-----------------------------------------------------------------------
60            0.357024836812374846    (((sin(5.360120e+01*lambda3+4.160107e-01))+4.924588e-01) * ((std_PE + 1.638981e+01*mean_IP)-8.542397e+01))
61            0.359145988069511424    ((((std_PE-1.904520e-01) * (std_at_mass-1.197811e+02))+4.188261e+01) * (((wtd_std_IP-9.925720e-02) / (wtd_mean_PE-2.046719e+00))-8.537155e+00))
62            0.3601514988337568      (((std_IP-6.657448e-02) / (wtd_mean_PE-2.046100e+00)) + 1.436075e-01*((std_EA+2.376117e+00) * (density+1.126024e+02)))
63            0.361322086171198154    (((wtd_mean_IP+1.265586e+01) * (wtd_std_EA-3.417213e+00)) + 1.964102e+00*((std_IP-1.181549e-01) / (wtd_mean_PE-2.046152e+00)))
64            0.362700280772630002    (((wtd_std_PE - (1.908171e+00*std_at_rad))+4.319884e-02) * (|wtd_range_EA - (1.434843e+00*mean_EA-6.081666e-01)|-2.843690e-01))
65            0.367536232238064975    (((sin(5.359882e+01*lambda3+1.728883e-01))+5.775838e-01) * ((range_PE - (0.000000e+00*density))+1.040800e+00))
66            0.379367465731247855    (((sin(5.359862e+01*lambda3+4.162808e-01))+4.994744e-01) * ((wtd_std_IP + 1.291137e+00*wtd_mean_at_rad)-1.084610e+00))
67            0.388563637858968747    ((((bulk_mod-2.178215e+02) * (mean_PE+1.397439e+00))+5.975338e+02) * (((std_IP-6.024166e-01) / (wtd_mean_PE-2.057486e+00))-1.538931e+01))
68            0.389032022623060358    ((((std_IP-6.014505e-01) / (wtd_mean_PE-2.057444e+00))-1.540736e+01) * (((bulk_mod-2.199679e+02) * (mean_PE+1.498492e+00))+6.229482e+02))
69            0.390677086136704932    ((((std_IP-6.014746e-01) / (wtd_mean_PE-2.057335e+00))-1.566593e+01) * (((mean_PE+1.819466e+00) * (bulk_mod-2.407829e+02))+7.635660e+02))
70            0.39491574719440975     ((((std_at_mass+3.026933e+00) / (wtd_mean_PE-2.051856e+00))+2.458984e+02) * (((std_IP+1.089125e-01) * (mean_ThermalCond+6.872668e+01))-1.188315e+02))
71            0.397007514683988483    (((sin(5.359864e+01*lambda3+3.855429e-01))+5.084707e-01) * ((std_IP + 1.115684e+00*wtd_mean_at_rad)-8.860253e-01))
72            0.397372509710650579    ((((mean_PE+1.275324e+00) * (bulk_mod-2.126004e+02))+5.609267e+02) * (((std_IP-5.872421e-01) / (wtd_mean_PE-2.056297e+00))-1.725022e+01))
