# c0 + a0 * (IP_wtd_range * lambda3) + a1 * (w_log^3) + a2 * (lambda4w_low / lambda3) + a3 * w_log
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.34944268281895; Max AE: 6.92206809059429
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -1.579956284758788e-01,  1.837601236513360e+05,  4.846068803211837e+02, -4.150638993338985e+02,  3.762298958824962e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV;                                               22|3|mult; (IP_wtd_range * lambda3); $\left(IP_{wtd, range} lambda3\right)$; (IP_wtd_range .* lambda3); (newdata$IP_wtd_range * newdata$lambda3); IP_wtd_range,lambda3
# 1;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# 2;  1; eV;                                               2|3|div; (lambda4w_low / lambda3); $\left(\frac{ lambda4w_{low} }{ lambda3 } \right)$; (lambda4w_low ./ lambda3); (newdata$lambda4w_low / newdata$lambda3); lambda4w_low,lambda3
# 3;  0; eV;                                               1; w_log; $w_{log}$; w_log; newdata$w_log; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  1.850992534435512e+00,  1.303825500000000e-01,  1.794357303199999e-05,  1.171744224974891e-02,  2.618000000000000e-02
Se2Ta1      ,  1.250000000000000e-01, -5.841209828507042e-01,  8.071298105600000e+01,  9.861112800000000e-08,  2.126538657776917e-02,  4.620000000000000e-03
Ti1         ,  1.620000000000000e-01,  1.731959586365503e+00,  0.000000000000000e+00,  8.242407999999999e-06,  9.986084963575345e-03,  2.020000000000000e-02
B1Mo1       ,  2.500000000000000e-01,  4.387916067017044e+00,  1.187487900000000e-01,  2.464217100000000e-05,  1.690956177321891e-02,  2.910000000000000e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.575004118214404e+00,  1.267131710000000e-01,  1.316532736000000e-06,  6.479271203780387e-03,  1.096000000000000e-02
Pt1Te1      ,  5.900000000000000e-01,  3.682363997399462e+00,  1.384806400000000e-02,  4.494550960000001e-07,  6.229896106777092e-03,  7.660000000000000e-03
Sb1V3       ,  6.500000000000000e-01,  1.925887286654320e+00,  9.662210900000001e-02,  8.792838143999999e-06,  1.058590016908035e-02,  2.064000000000000e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.955267727492332e+00,  4.743578000000000e-01,  6.294227929999998e-07,  7.654348679414568e-03,  8.569999999999999e-03
Rh1Te2      ,  7.550000000000000e-01,  9.697501799694076e-01,  2.280204400000000e-02,  1.767172329000000e-06,  3.929866989117291e-03,  1.209000000000000e-02
Zr1         ,  9.966666670000000e-01,  3.114382089586782e+00,  0.000000000000000e+00,  2.072671874999999e-06,  8.797385221614688e-03,  1.275000000000000e-02
Be2Ta3      ,  1.000000000000000e+00,  7.437464253432833e-01,  3.549048000000000e-02,  3.936827538999999e-06,  5.813953488372093e-03,  1.579000000000000e-02
Nb3Sb1      ,  1.100000000000000e+00,  3.149760188565836e+00,  2.066963080000000e-01,  6.048464248000001e-06,  1.211521397856802e-02,  1.822000000000000e-02
Nb1O1       ,  1.380000000000000e+00,  2.407007998827793e+00,  4.619193550000000e-01,  1.566253000800000e-05,  1.284430915435444e-02,  2.502000000000000e-02
Sb1         ,  1.416666667000000e+00,  5.011487764188955e+00,  0.000000000000000e+00,  7.888890240000000e-07,  1.019261816369196e-02,  9.240000000000000e-03
