# c0 + a0 * (EA_wtd_range * lambda4w_low) + a1 * (lambda4w_low^3) + a2 * (w_log^3) + a3 * (w_log * lambda) + a4 * w_log
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.18196373341477; Max AE: 5.68601405129349
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -5.756661296179953e+01,  8.502127277602044e+00,  1.802285392972310e+05,  6.235022579281032e+02, -4.823561639904394e+02,  3.407995584308352e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; eV^2;                                             34|2|mult; (EA_wtd_range * lambda4w_low); $\left(EA_{wtd, range} lambda4w_{low}\right)$; (EA_wtd_range .* lambda4w_low); (newdata$EA_wtd_range * newdata$lambda4w_low); EA_wtd_range,lambda4w_low
# 1;  1; eV^3;                                             2|cb; (lambda4w_low^3); $\left(lambda4w_{low}^3\right)$; (lambda4w_low).^3; (newdata$lambda4w_low)^3; lambda4w_low
# 2;  1; eV^3;                                             1|cb; (w_log^3); $\left(w_{log}^3\right)$; (w_log).^3; (newdata$w_log)^3; w_log
# 3;  1; eV;                                               1|0|mult; (w_log * lambda); $\left(w_{log} lambda\right)$; (w_log .* lambda); (newdata$w_log * newdata$lambda); w_log,lambda
# 4;  0; eV;                                               1; w_log; $w_{log}$; w_log; newdata$w_log; w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  1.309085555889195e+00,  1.640100000000000e-04,  1.157625000000000e-09,  1.794357303199999e-05,  1.171555000000000e-02,  2.618000000000000e-02
Se2Ta1      ,  1.250000000000000e-01,  1.485466202236515e-01,  1.566032094000000e+00,  8.920486980718982e+00,  9.861112800000000e-08,  2.126586000000000e-02,  4.620000000000000e-03
Ti1         ,  1.620000000000000e-01,  1.399431013027140e+00,  0.000000000000000e+00,  1.815848000000000e-09,  8.242407999999999e-06,  1.002324000000000e-02,  2.020000000000000e-02
B1Mo1       ,  2.500000000000000e-01,  4.323831263597143e+00,  7.808849999999999e-04,  3.692603700000000e-08,  2.464217100000000e-05,  1.693038000000000e-02,  2.910000000000000e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.353964011260524e+00,  6.221740000000000e-04,  2.352637000000000e-09,  1.316532736000000e-06,  6.465303999999999e-03,  1.096000000000000e-02
Pt1Te1      ,  5.900000000000000e-01,  3.670430409907410e+00,  2.645450000000000e-04,  3.827275300000001e-08,  4.494550960000001e-07,  6.241368000000000e-03,  7.660000000000000e-03
Sb1V3       ,  6.500000000000000e-01,  1.638512073560290e+00,  2.943360000000000e-04,  2.985984000000001e-09,  8.792838143999999e-06,  1.061515200000000e-02,  2.064000000000000e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.048423773260733e+00,  1.972698000000000e-03,  1.627713359999999e-07,  6.294227929999998e-07,  7.657294999999999e-03,  8.569999999999999e-03
Rh1Te2      ,  7.550000000000000e-01,  3.117739343501287e-01,  4.819099999999999e-05,  2.196999999999999e-12,  1.767172329000000e-06,  3.880890000000000e-03,  1.209000000000000e-02
Zr1         ,  9.966666670000000e-01,  3.110410712093302e+00,  0.000000000000000e+00,  2.388787200000000e-08,  2.072671874999999e-06,  8.787300000000000e-03,  1.275000000000000e-02
Be2Ta3      ,  1.000000000000000e+00,  1.637814654333184e-01,  4.637999999999999e-05,  2.699999999999999e-11,  3.936827538999999e-06,  5.878617000000000e-03,  1.579000000000000e-02
Nb3Sb1      ,  1.100000000000000e+00,  3.241455170002082e+00,  2.357200000000000e-04,  4.473887500000001e-08,  6.048464248000001e-06,  1.210172400000000e-02,  1.822000000000000e-02
Nb1O1       ,  1.380000000000000e+00,  2.130569262546584e+00,  4.913200000000000e-04,  5.177716999999999e-09,  1.566253000800000e-05,  1.282525200000000e-02,  2.502000000000000e-02
Sb1         ,  1.416666667000000e+00,  5.451243936159273e+00,  0.000000000000000e+00,  2.571353000000000e-06,  7.888890240000000e-07,  1.019726400000000e-02,  9.240000000000000e-03
Sb1Sn1      ,  1.430000000000000e+00,  3.893430428757560e+00,  2.769000000000000e-04,  7.730877599999999e-08,  4.800486870000000e-07,  6.722838000000000e-03,  7.830000000000000e-03
S2Ta1       ,  1.488116666500000e+00,  2.805110676401489e+00,  1.614600000000000e-01,  8.869742999999999e-03,  9.791466569999998e-07,  2.121842400000000e-02,  9.930000000000000e-03
B2C2Y1      ,  1.800000000000000e+00,  4.672081153365603e+00,  7.449150000000001e-04,  4.019679000000000e-09,  4.638436885699999e-05,  1.648468400000000e-02,  3.593000000000000e-02
