# FEAT_ID     Score                   Feature Expression
0             0.625362506525672601    ((ThermalCond_wtd_range * IP_wtd_mean) / (at_mass_wtd_mean^6))
1             0.626288189410583507    ((ThermalCond_range^2) / (at_mass_wtd_mean^6))
2             0.626612268030000141    ((ThermalCond_std * ThermalCond_range) / (at_mass_wtd_mean^6))
3             0.62663645231498466     ((w_log^3) * (ThermalCond_wtd_std * lambda3))
4             0.626898023489182332    ((ThermalCond_std^2) / (at_mass_wtd_mean^6))
5             0.626984537716695822    ((ThermalCond_wtd_range * IP_mean) / (at_mass_wtd_mean^6))
6             0.62840750628634523     ((w_log^3) * (ThermalCond_range * lambda3))
7             0.628717974575460969    ((w_log^3) * (lambda3 / at_rad_mean))
8             0.629184795377297879    ((w_log^3) * (ThermalCond_wtd_range * lambda4w_low))
9             0.630435653429463061    ((w_log^3) * (ThermalCond_std * lambda3))
10            0.632236094444042163    ((w_log^3) * (ThermalCond_wtd_std * lambda4w_low))
11            0.632281020394124815    ((w_log^3) * (lambda3 / L_avg))
12            0.634871242044571793    ((w_log^3) * (lambda3 / at_rad_wtd_mean))
13            0.63533998959957072     ((w_log^3) * (ThermalCond_range * lambda4w_low))
14            0.635601868000076342    ((w_log^3) * (at_rad_wtd_mean * lambda3))
15            0.635609378710262241    ((w_log^3) * (ThermalCond_std * lambda4w_low))
16            0.636016412339746484    ((w_log^3) * (ThermalCond_wtd_mean * lambda4w_low))
17            0.638883325946194458    ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3))
18            0.640168303960925944    ((w_log^3) * (ThermalCond_wtd_mean - ThermalCond_mean))
19            0.647203030914798583    ((w_log^3) * (at_rad_mean * lambda3))
20            0.649269819635817647    ((lambda4w_low / lambda3)^3)
21            0.649373855108266951    ((lambda4w_low * w_log) * (w_log / lambda))
22            0.649429710910294888    ((w_log * lambda)^3)
23            0.650677668835173084    ((w_log^3) * (lambda3 / density))
24            0.656277369364474894    ((V_molar * lambda4w_low) * (w_log^3))
25            0.658869433380967928    ((w_log^3) * (ThermalCond_mean * lambda4w_low))
26            0.674474520322684623    ((IP_mean * lambda4w_low) * (w_log^3))
27            0.674913425258836241    ((IP_wtd_mean * lambda4w_low) * (w_log^3))
28            0.679776862988609065    ((w_log^3) * (lambda3 / PE_wtd_mean))
29            0.684375285260568678    ((w_log^3) * (lambda3 / PE_mean))
#-----------------------------------------------------------------------
30            0.281818078929145233    ((at_rad_wtd_mean * lambda4w_low) * (ThermalCond_wtd_range - ThermalCond_wtd_mean))
31            0.281852906501297462    ((lambda3 / IP_wtd_mean) * (|ThermalCond_std - ThermalCond_mean|))
32            0.281930523995258087    ((lambda3 / IP_mean) * (ThermalCond_wtd_std - ThermalCond_wtd_mean))
33            0.282005236107341739    ((PE_wtd_mean * lambda3) * (|ThermalCond_std - ThermalCond_mean|))
34            0.2821542116541782      ((EA_mean / at_mass_wtd_mean) / (|PE_std - lambda3|))
35            0.282807842637099682    ((lambda4w_low / IP_wtd_mean) * (ThermalCond_wtd_range - ThermalCond_wtd_mean))
36            0.282993775972217199    ((lambda4w_low / IP_mean) * (ThermalCond_wtd_range - ThermalCond_wtd_mean))
37            0.283077451821686532    ((EA_mean / lambda) / (at_mass_wtd_std + at_mass_wtd_mean))
38            0.283338658923286579    ((PE_range - lambda3) * (ThermalCond_wtd_std - ThermalCond_wtd_mean))
39            0.283487777689881149    ((density * lambda3) * (ThermalCond_wtd_range - ThermalCond_wtd_mean))
40            0.283489244771226834    (cos(lambda) * (EA_wtd_mean / at_mass_mean))
41            0.284021790877195202    ((exp(-1.0 * lambda3)) * (EA_mean / at_mass_wtd_mean))
42            0.284067429860220322    ((exp(-1.0 * lambda3)) * (EA_mean / at_mass_mean))
43            0.284748598966721556    ((lambda3 / IP_wtd_mean) * (ThermalCond_wtd_std - ThermalCond_wtd_mean))
44            0.285469319823327072    ((density * lambda4w_low) * (ThermalCond_wtd_std - ThermalCond_wtd_mean))
45            0.286619629295113088    ((at_rad_mean * lambda3) * (ThermalCond_wtd_range - ThermalCond_wtd_mean))
46            0.287301581087874291    ((ThermalCond_wtd_range - ThermalCond_wtd_mean) * (PE_wtd_range - lambda3))
47            0.287706987478509146    ((at_rad_wtd_mean * lambda3) * (ThermalCond_wtd_range - ThermalCond_wtd_mean))
48            0.290721718859116574    ((ThermalCond_wtd_range - ThermalCond_wtd_mean) * (PE_wtd_std - lambda3))
49            0.291135479226895866    ((PE_range * lambda4w_low) - (lambda4w_low - w_log))
50            0.294004166726255123    ((lambda3 / IP_mean) * (ThermalCond_wtd_range - ThermalCond_wtd_mean))
51            0.29469435566230584     ((lambda4w_low - w_log) * (ThermalCond_std - ThermalCond_wtd_mean))
52            0.294832355420782954    ((lambda3 / IP_wtd_mean) * (ThermalCond_wtd_range - ThermalCond_wtd_mean))
53            0.294883731054768394    ((ThermalCond_wtd_range - ThermalCond_wtd_mean) * (PE_std - lambda3))
54            0.295535892589476379    ((density * lambda4w_low) * (ThermalCond_wtd_range - ThermalCond_wtd_mean))
55            0.298821500430899889    ((PE_range - lambda3) * (ThermalCond_wtd_range - ThermalCond_wtd_mean))
56            0.31020794294542231     (cos(lambda) * (EA_mean / at_mass_wtd_mean))
57            0.310557033513496616    (cos(lambda) * (EA_mean / at_mass_mean))
58            0.314510686230654646    ((lambda4w_low - w_log) * (ThermalCond_wtd_std - ThermalCond_wtd_mean))
59            0.329299188122039621    ((lambda4w_low - w_log) * (ThermalCond_wtd_range - ThermalCond_wtd_mean))
#-----------------------------------------------------------------------
60            0.247436437954478089    ((IP_std * at_mass_wtd_range) * sin(lambda))
61            0.247790855255444753    ((IP_std - lambda4w_low) - (EA_mean / lambda))
62            0.248416608383359133    (|cos(PE_wtd_std) - (PE_std * lambda)|)
63            0.248985989125783458    (sin(lambda) + exp(PE_std))
64            0.249286551803012957    ((IP_wtd_std * at_mass_wtd_range) * sin(lambda))
65            0.251832921002358878    (sin(lambda) + sin(PE_wtd_range))
66            0.252076933616818211    (sin(lambda) * (PE_wtd_range / L_avg))
67            0.25307207495155537     (|(PE_wtd_range * lambda) - cos(PE_std)|)
68            0.253480805905485773    ((IP_wtd_range * at_mass_wtd_range) * sin(lambda))
69            0.254178242806947452    (sin(lambda) + (PE_std * PE_wtd_range))
70            0.254403341846685283    (sin(lambda) + (PE_wtd_std * PE_wtd_range))
71            0.254859046981759652    ((IP_wtd_std * lambda4w_low) * (at_mass_wtd_mean / lambda3))
72            0.254917523510327593    ((IP_wtd_std * lambda) * (at_mass_wtd_mean * w_log))
73            0.255050928078359995    (|cos(PE_std) - (PE_std * lambda)|)
74            0.255125257365604208    (sin(lambda) * (PE_wtd_range * at_mass_wtd_range))
75            0.257432166157553211    (|cos(PE_wtd_range) - (PE_wtd_range * lambda)|)
76            0.257801638162565738    (|sin(PE_mean) - (PE_wtd_std * lambda)|)
77            0.258481331682756499    (sin(lambda) + PE_wtd_range)
78            0.259321003490006363    (sin(lambda) + (PE_wtd_range^2))
79            0.261329092227534421    ((IP_wtd_range / lambda3) * (at_mass_wtd_mean * lambda4w_low))
80            0.261391590679799446    ((IP_wtd_range * w_log) * (at_mass_wtd_mean * lambda))
81            0.263571497566758739    (|sin(PE_wtd_mean) - (PE_wtd_std * lambda)|)
82            0.26493914747124675     (|sin(PE_mean) - (PE_std * lambda)|)
83            0.266865199290472088    (sin(lambda) + exp(PE_wtd_range))
84            0.271110485015248814    (|sin(PE_wtd_mean) - (PE_std * lambda)|)
85            0.278011343855495807    (sin(lambda) + (PE_wtd_std + PE_wtd_mean))
86            0.279211724906565872    (|sin(PE_wtd_mean) - (PE_wtd_range * lambda)|)
87            0.280207596032784612    (sin(lambda) + (PE_wtd_range + PE_wtd_mean))
88            0.280252252584474115    (|sin(PE_mean) - (PE_wtd_range * lambda)|)
89            0.280268055631029189    (sin(lambda) + (PE_std + PE_wtd_mean))
#-----------------------------------------------------------------------
90            0.152744102537545501    ((EA_mean / L_avg) / (at_mass_mean * w_log))
91            0.152980176310282545    ((EA_wtd_mean * lambda3) / (at_mass_wtd_mean * lambda4w_low))
92            0.153412099548350167    ((|EA_range - EA_mean|) * (EA_wtd_mean / L_avg))
