# c0 + a0 * ((at_mass_wtd_range / L_avg) / (L_avg^6)) + a1 * ((at_mass_mean * density) / (|PE_wtd_mean - lambda3|)) + a2 * (|sin(PE_mean) - (PE_wtd_range * lambda)|) + a3 * ((lambda3 / IP_wtd_mean) * (|ThermalCond_std - ThermalCond_mean|)) + a4 * ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.61600857416377; Max AE: 4.72161099998281
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.622330440592515e+02,  8.330137210982030e-04, -4.577782068470422e+00,  1.269682733534681e-01, -8.713177951692283e+03,  5.222766942289192e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-7 * g * mol^-1;                               10|4|div|4|sp|div; ((at_mass_wtd_range / L_avg) / (L_avg^6)); $\left(\frac{ \left(\frac{ at_{mass, wtd, range} }{ L_{avg} } \right) }{ \left(L_{avg}^6\right) } \right)$; ((at_mass_wtd_range ./ L_avg) ./ (L_avg).^6); ((newdata$at_mass_wtd_range / newdata$L_avg) / (newdata$L_avg)^6); at_mass_wtd_range,L_avg,L_avg
# 1;  2; cm^-3 * g^2 * mol^-1;                             7|5|mult|26|3|abd|div; ((at_mass_mean * density) / (|PE_wtd_mean - lambda3|)); $\left(\frac{ \left(at_{mass, mean} density\right) }{ \left(\left|PE_{wtd, mean} - lambda3\right|\right) } \right)$; ((at_mass_mean .* density) ./ abs(PE_wtd_mean - lambda3)); ((newdata$at_mass_mean * newdata$density) / abs(newdata$PE_wtd_mean - newdata$lambda3)); at_mass_mean,density,PE_wtd_mean,lambda3
# 2;  2; Unitless;                                         25|sin|28|0|mult|abd; (|sin(PE_mean) - (PE_wtd_range * lambda)|); $\left(\left|\left(\sin{ PE_{mean} }\right) - \left(PE_{wtd, range} lambda\right)\right|\right)$; abs(sin(PE_mean) - (PE_wtd_range .* lambda)); abs(sin(newdata$PE_mean) - (newdata$PE_wtd_range * newdata$lambda)); PE_mean,PE_wtd_range,lambda
# 3;  2; W * eV^-1 * mK^-1;                                3|20|div|41|37|abd|mult; ((lambda3 / IP_wtd_mean) * (|ThermalCond_std - ThermalCond_mean|)); $\left(\left(\frac{ lambda3 }{ IP_{wtd, mean} } \right) \left(\left|ThermalCond_{std} - ThermalCond_{mean}\right|\right)\right)$; ((lambda3 ./ IP_wtd_mean) .* abs(ThermalCond_std - ThermalCond_mean)); ((newdata$lambda3 / newdata$IP_wtd_mean) * abs(newdata$ThermalCond_std - newdata$ThermalCond_mean)); lambda3,IP_wtd_mean,ThermalCond_std,ThermalCond_mean
# 4;  2; W * g^-3 * mK^-1 * mol^3;                         38|37|sub|7|cb|div; ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3)); $\left(\frac{ \left(ThermalCond_{wtd, mean} - ThermalCond_{mean}\right) }{ \left(at_{mass, mean}^3\right) } \right)$; ((ThermalCond_wtd_mean - ThermalCond_mean) ./ (at_mass_mean).^3); ((newdata$ThermalCond_wtd_mean - newdata$ThermalCond_mean) / (newdata$at_mass_mean)^3); ThermalCond_wtd_mean,ThermalCond_mean,at_mass_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  6.074428399737044e-01,  2.105189994494152e-04,  9.679892058866383e+01,  8.394875998101802e-01,  3.089526509347227e-01,  1.063157412972671e-04
Se2Ta1      ,  1.250000000000000e-01,  2.674098283022049e-01,  7.764778462902848e-05,  1.195157022387045e+01,  1.249609401052571e+00,  5.553843505305959e+00, -4.288632248378643e-06
Ti1         ,  1.620000000000000e-01,  8.327592637654118e-01,  0.000000000000000e+00,  1.630846647341360e+02,  9.995258306054791e-01,  3.918457820738137e-01,  0.000000000000000e+00
B1Mo1       ,  2.500000000000000e-01,  2.122675894451304e+00,  2.465830534758040e-03,  2.447979515467113e+02,  8.283013666488737e-01,  6.909824561403508e-01,  0.000000000000000e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.246006858953798e+00,  1.922604894687246e-03,  5.849317859507321e+02,  8.651532823601794e-01,  8.169616222874067e-01, -9.276597449271520e-06
Pt1Te1      ,  5.900000000000000e-01,  2.978072385911636e+00,  6.928034531596728e-04,  1.215049885267971e+03,  7.410088924257960e-01,  1.806264191264859e-01,  0.000000000000000e+00
Sb1V3       ,  6.500000000000000e-01,  1.636454523502750e+00,  4.078856533433691e-04,  4.259944717912156e+02,  8.829807461524481e-01,  4.522086017037191e-01,  2.601451388777252e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.632031966572678e+00,  6.130146459235290e-04,  4.256392846787074e+02,  8.023766113830366e-01,  2.837387537204302e+00, -3.076919771969048e-05
Rh1Te2      ,  7.550000000000000e-01,  2.157361068299243e+00,  2.363701684012152e-05,  4.803681129144490e+02,  7.886608924257960e-01,  1.168491699046273e-02, -1.600337673223591e-05
Zr1         ,  9.966666670000000e-01,  1.430484070332351e+00,  0.000000000000000e+00,  6.136693174949880e+02,  9.711483779210446e-01,  1.120183750376847e+00,  0.000000000000000e+00
Be2Ta3      ,  1.000000000000000e+00,  1.709817107598771e+00,  6.161435445818649e-04,  8.706971769168247e+02,  9.868500999047014e-01,  3.475281217506381e-01, -1.552226684715963e-05
C1Si1       ,  1.075000000000000e+00,  3.757006163039133e+00,  5.206090982889713e-03,  4.040676796141152e+01,  5.985002664279611e-01,  3.117185246239440e+00,  0.000000000000000e+00
Nb3Sb1      ,  1.100000000000000e+00,  1.976212340326200e+00,  1.004052452206357e-04,  7.009686391918169e+02,  8.557468986299051e-01,  9.727746808128035e-01,  6.065394190454105e-06
Nb1O1       ,  1.380000000000000e+00,  5.130212923695416e+00,  1.690672460973030e-03,  1.681314414059389e+02,  1.107386495240819e-01,  3.516468567502835e-04,  0.000000000000000e+00
Sb1         ,  1.416666667000000e+00,  2.646604482344030e+00,  0.000000000000000e+00,  1.214788389125785e+03,  8.873623686333755e-01,  3.733638888888888e+00,  0.000000000000000e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.014836580025633e+00,  5.593036691200608e-05,  6.215712656244307e+02,  8.685683351185052e-01,  1.900750750750750e+00,  0.000000000000000e+00
B2C2Y1      ,  1.800000000000000e+00,  4.015415276639981e-01,  4.745854829662043e-04,  8.433273852739207e+01,  7.612920142810717e-01,  6.047940881918248e-02,  1.711337967681722e-04
Re2Y1       ,  1.830000000000000e+00,  2.483239012721349e+00,  8.955653685307666e-05,  1.272229353700262e+03,  8.391713202299663e-01,  3.535230762930506e-01,  1.972214929220701e-06
S1Y1        ,  1.900000000000000e+00,  3.598383316888437e+00,  2.229161545535128e-03,  1.923322036542606e+02,  4.690760876874144e-01,  8.548983531398928e-03,  0.000000000000000e+00
Ga2Pt1      ,  1.900000000000000e+00,  3.356324313154126e+00,  2.485532967922568e-03,  9.469494366840166e+02,  7.276755704780904e-01,  1.935422869903802e+00, -3.087598551581606e-06
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.819504080782349e+00,  2.282231377363683e-04,  5.794328581717730e+02,  7.598574722360866e-01,  4.375094495223696e+00,  0.000000000000000e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.947821293914364e+00,  2.264655525766108e-04,  7.332846194573841e+02,  6.638162684539188e-01,  1.122417413585554e+00,  3.010059528808160e-06
Be2Nb1      ,  2.150000000000000e+00, -4.257879492515597e-01,  8.815063549179649e-04,  1.883793626706304e+02,  9.934619295295956e-01,  7.229928084739559e-01,  1.712844492374312e-04
In1Te1      ,  2.206000000000000e+00,  2.286270814409351e+00,  2.171216656545537e-04,  7.093358358492960e+02,  7.867590140222005e-01,  3.071978913219789e-01,  0.000000000000000e+00
C2Cl2Y2     ,  2.300000000000000e+00,  4.522129614795131e+00,  1.312205642404358e-04,  3.127307951904101e+02,  2.921820219405292e-01,  2.796847818058196e+00,  0.000000000000000e+00
Be2Nb3      ,  2.300000000000000e+00,  1.900281457277478e+00,  2.963504156513941e-04,  2.420355713035695e+02,  9.934248895295956e-01,  6.304138940986049e-01, -1.027705184093434e-04
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.131038826091462e+00,  7.268316564775063e-04,  1.236887729278373e+03,  5.255266035676791e-01,  1.466794293555165e+00,  2.350319815371540e-06
As1Pt1Sr1   ,  2.425000000000000e+00,  3.584384305180334e+00,  2.317099974912354e-04,  7.319344801092772e+02,  5.509118727309963e-01,  1.860853627747876e+00,  0.000000000000000e+00
Bi1Nb3      ,  2.516666667000000e+00,  2.300487543873228e+00,  3.679570156896892e-04,  1.163512432436274e+03,  8.663484558223153e-01,  3.457128346513822e-01,  3.343916741393739e-06
Re1         ,  2.581333333000000e+00,  3.525322839907190e+00,  0.000000000000000e+00,  2.740080292132965e+03,  9.463000876874145e-01,  2.772243654822335e+00,  0.000000000000000e+00
Hf1In1Pd2   ,  2.630000000000000e+00,  3.039372025265770e+00,  5.979142519747614e-04,  1.094729264054720e+03,  7.427723171376184e-01,  1.731930984797782e+00,  1.373936866401634e-06
Nb3Rh1      ,  2.742333333000000e+00,  2.600731725309087e+00,  4.152637922838020e-05,  6.009450116523240e+02,  7.792580140222005e-01,  1.693983270839342e+00, -2.557317494569287e-05
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.338371243194496e+00,  4.239990158681306e-04,  1.066371631547094e+03,  7.223606340081361e-01,  5.563704803748763e+00,  2.766946656792411e-05
N1Ni3Zn1    ,  3.000000000000000e+00,  5.343473784806840e+00,  1.534868383233961e-03,  1.359206256520318e+02,  1.590664838195901e-01,  1.002391890240779e+01,  9.021636605853664e-05
B1Hf1       ,  3.100000000000000e+00,  4.695561992620040e+00,  1.640933536845656e-02,  6.857480704808447e+02,  8.291013498101802e-01,  2.746068901672948e-01,  0.000000000000000e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  4.237731323038451e+00,  9.963244122470835e-04,  1.678746470008839e+03,  6.832484465869579e-01,  4.208463941253837e+00, -5.546757106305321e-06
C2Y1        ,  3.150000000000000e+00,  1.531766700163236e+00,  2.079718030575928e-03,  1.225753943654607e+02,  6.087367825782535e-01,  3.487224136131119e-01,  1.593125467095566e-04
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.648143879212930e+00,  6.903502923236478e-04,  7.947080711790892e+02,  7.358202491198576e-01,  3.732875838722449e-01,  3.166968255440470e-06
In1Sb1      ,  3.320000000000000e+00,  4.589946033279416e+00,  1.348814928100417e-04,  2.246865963198004e+03,  7.633604692690193e-01,  7.624932760293914e+00,  0.000000000000000e+00
Bi2K1       ,  3.575000000000000e+00,  4.011791662118322e+00,  1.301706767543778e-04,  1.048768844617531e+03,  5.020155128517197e-01,  9.638615352901068e-01, -8.034459435168938e-06
Al1Hf1Pd2   ,  3.621666666500000e+00,  5.208460167207316e+00,  1.054420611813202e-03,  1.064854138743109e+03,  4.608314747830143e-01,  7.588610805149702e+00, -8.454607719386218e-06
Hg0.5In0.5  ,  3.810000000000000e+00,  3.161825080671750e+00,  7.133964656616550e-04,  3.181675814730225e+02,  7.372406148646304e-01,  7.349950813609465e+00,  0.000000000000000e+00
C1W2        ,  3.835000000000000e+00,  5.543897704042273e+00,  1.041262449996528e-02,  8.005541853316943e+02,  5.754248298685634e-01,  5.133060738650768e+00,  6.034539838122221e-06
C1Ga1Mo2    ,  3.900000000000000e+00,  2.549736136634797e+00,  6.582547606507644e-05,  3.252760007919796e+02,  6.655543493984089e-01,  3.725498148407287e+00,  4.371843980978818e-05
Ba1Ge3      ,  4.000000000000000e+00,  6.313962132953486e+00,  7.140973863573586e-05,  3.584177890607361e+03,  5.063529910375886e-01,  3.867061427780852e+00,  9.075868819635278e-06
Bi2Rb1      ,  4.250000000000000e+00,  2.552761516811207e+00,  8.872262889753344e-05,  7.595330346389130e+02,  7.334677128517197e-01,  1.401986659628581e-01, -2.611441445872221e-06
Ba1Sn3      ,  4.300000000000000e+00,  1.924643410196798e+00,  1.248594836875596e-05,  5.316044731144664e+02,  8.128586589502953e-01,  2.249801791220085e-01,  5.791060141753881e-06
Rh1Se2      ,  4.350000000000000e+00,  3.230282187982827e+00,  3.864017019159622e-05,  3.756001635310478e+02,  5.688307014143134e-01,  2.915869466048101e-02, -3.312766028747826e-05
Al1Au2Sc1   ,  4.400000000000000e+00,  5.729302917121472e+00,  1.354065300433304e-03,  1.342806194237909e+03,  3.573376989879327e-01,  7.654810762247636e+00,  1.926026769256447e-05
B2Nb1       ,  4.597500000000000e+00,  3.971703071479979e+00,  1.158877679063283e-02,  2.400017107728493e+02,  8.264189288804563e-01,  1.346427745664740e+00, -3.226618629073483e-05
Pb3Y1       ,  4.720000000000000e+00,  4.470134378189459e+00,  7.562856226514153e-04,  1.609729699008751e+03,  5.533062500572953e-01,  2.588120275396938e+00,  1.371226681456777e-06
