# c0 + a0 * ((IP_mean * lambda4w_low) * (w_log^3))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.85238548521091; Max AE: 8.99522654228592
# Coefficients
# Task   a0                      c0
# all ,  2.139306687899175e+06,  3.113180969944024e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^5;                                             19|2|mult|1|cb|mult; ((IP_mean * lambda4w_low) * (w_log^3)); $\left(\left(IP_{mean} lambda4w_{low}\right) \left(w_{log}^3\right)\right)$; ((IP_mean .* lambda4w_low) .* (w_log).^3); ((newdata$IP_mean * newdata$lambda4w_low) * (newdata$w_log)^3); IP_mean,lambda4w_low,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  3.418580638805618e+00,  1.427563755066371e-07
Se2Ta1      ,  1.250000000000000e-01,  6.972520479355817e+00,  1.804014137496906e-06
Ti1         ,  1.620000000000000e-01,  3.260067002424944e+00,  6.866057742527999e-08
B1Mo1       ,  2.500000000000000e-01,  4.464023960171014e+00,  6.314396144638500e-07
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.138716780412675e+00,  1.193648886954496e-08
Pt1Te1      ,  5.900000000000000e-01,  3.142293391934161e+00,  1.360834430837309e-08
Sb1V3       ,  6.500000000000000e-01,  3.321563042056515e+00,  9.740635753218047e-08
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.162831535527431e+00,  2.320871797589927e-08
Rh1Te2      ,  7.550000000000000e-01,  3.117227963730808e+00,  1.891731470609565e-09
Zr1         ,  9.966666670000000e-01,  3.197898163058936e+00,  3.960030302999999e-08
Be2Ta3      ,  1.000000000000000e+00,  3.134926363229800e+00,  1.016469186432105e-08
C1Si1       ,  1.075000000000000e+00,  1.007022654228592e+01,  3.252009453199905e-06
Nb3Sb1      ,  1.100000000000000e+00,  3.466859781967944e+00,  1.653240341950398e-07
Nb1O1       ,  1.380000000000000e+00,  3.703778080450835e+00,  2.760693984866589e-07
Sb1         ,  1.416666667000000e+00,  3.312947751228271e+00,  9.337921599283200e-08
Sb1Sn1      ,  1.430000000000000e+00,  3.148145154934133e+00,  1.634369919370704e-08
S2Ta1       ,  1.488116666500000e+00,  7.069797972493773e+00,  1.849485641740874e-06
B2C2Y1      ,  1.800000000000000e+00,  4.468747786310955e+00,  6.336477252348119e-07
Re2Y1       ,  1.830000000000000e+00,  3.155166708256080e+00,  1.962586222421749e-08
S1Y1        ,  1.900000000000000e+00,  3.293859903861989e+00,  8.445677047613695e-08
Ga2Pt1      ,  1.900000000000000e+00,  3.135913739689101e+00,  1.062623226191155e-08
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.123187405280597e+00,  4.677419742187499e-09
Be2Nb1      ,  2.150000000000000e+00,  3.489919174024913e+00,  1.761029431693363e-07
In1Te1      ,  2.206000000000000e+00,  3.123268089030971e+00,  4.715134648063380e-09
C2Cl2Y2     ,  2.300000000000000e+00,  3.329372309377086e+00,  1.010567305080341e-07
Be2Nb3      ,  2.300000000000000e+00,  3.212098102959703e+00,  4.623793941055609e-08
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.113625317791210e+00,  2.077064731766250e-10
As1Pt1Sr1   ,  2.425000000000000e+00,  3.137675442634520e+00,  1.144972473046875e-08
Bi1Nb3      ,  2.516666667000000e+00,  3.237188429674773e+00,  5.796619083752127e-08
Re1         ,  2.581333333000000e+00,  3.345657526888763e+00,  1.086691114741636e-07
Hf1In1Pd2   ,  2.630000000000000e+00,  3.124425414851317e+00,  5.256116372139200e-09
Nb3Rh1      ,  2.742333333000000e+00,  3.290526896098501e+00,  8.289878546055167e-08
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.144885441057182e+00,  1.481997475747269e-08
N1Ni3Zn1    ,  3.000000000000000e+00,  5.513757666440272e+00,  1.122128355917797e-06
B1Hf1       ,  3.100000000000000e+00,  3.407939550003621e+00,  1.377822926123107e-07
Pt0.25V0.75 ,  3.102500000000000e+00,  6.712668921717429e+00,  1.682548823940782e-06
C2Y1        ,  3.150000000000000e+00,  3.660565284985680e+00,  2.558699592432884e-07
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.115367150777323e+00,  1.021910904904500e-09
In1Sb1      ,  3.320000000000000e+00,  3.180377055200056e+00,  3.141021604621824e-08
Bi2K1       ,  3.575000000000000e+00,  3.118887726013667e+00,  2.667572677598400e-09
Al1Hf1Pd2   ,  3.621666666500000e+00,  3.130875181378837e+00,  8.271002720133268e-09
Hg0.5In0.5  ,  3.810000000000000e+00,  3.120774535261467e+00,  3.549544981276321e-09
C1W2        ,  3.835000000000000e+00,  3.736791547919243e+00,  2.915012520189952e-07
C1Ga1Mo2    ,  3.900000000000000e+00,  3.948229469805694e+00,  3.903360395146049e-07
Ba1Ge3      ,  4.000000000000000e+00,  3.353545430779564e+00,  1.123562424196327e-07
Bi2Rb1      ,  4.250000000000000e+00,  3.114041481893206e+00,  4.022387038051200e-10
Ba1Sn3      ,  4.300000000000000e+00,  3.116139953815815e+00,  1.383150853745760e-09
Rh1Se2      ,  4.350000000000000e+00,  3.411849948542631e+00,  1.396101738418364e-07
Al1Au2Sc1   ,  4.400000000000000e+00,  3.119972713186195e+00,  3.174740340217875e-09
B2Nb1       ,  4.597500000000000e+00,  7.105615715847174e+00,  1.866228329246131e-06
Pb3Y1       ,  4.720000000000000e+00,  3.135755412741191e+00,  1.055222372970528e-08
Bi2Cs1      ,  4.750000000000000e+00,  3.114320570548924e+00,  5.326962288048000e-10
Al1Si1Sr1   ,  4.750000000000000e+00,  3.274219796421758e+00,  7.527617586979872e-08
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.124240794408266e+00,  5.169817178061335e-09
Br2C2Y2     ,  5.050000000000000e+00,  3.459180991671766e+00,  1.617346515508342e-07
