# c0 + a0 * ((PE_std^6) * (EA_wtd_mean / at_mass_mean)) + a1 * ((exp(-1.0 * lambda)) - (PE_wtd_range^2)) + a2 * ((lambda4w_low / L_avg) * (ThermalCond_wtd_range - ThermalCond_wtd_mean)) + a3 * ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.78160589924897; Max AE: 4.17958757492496
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -4.004172479563330e+02, -6.564299709478232e+00, -3.632621599093617e+00, -8.618368147332932e+03,  5.743931899746422e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * g^-1 * mol;                                  29|sp|32|7|div|mult; ((PE_std^6) * (EA_wtd_mean / at_mass_mean)); $\left(\left(PE_{std}^6\right) \left(\frac{ EA_{wtd, mean} }{ at_{mass, mean} } \right)\right)$; ((PE_std).^6 .* (EA_wtd_mean ./ at_mass_mean)); ((newdata$PE_std)^6 * (newdata$EA_wtd_mean / newdata$at_mass_mean)); PE_std,EA_wtd_mean,at_mass_mean
# 1;  2; Unitless;                                         0|nexp|28|sq|sub; ((exp(-1.0 * lambda)) - (PE_wtd_range^2)); $\left(\left(\exp{ \left(-lambda \right) } \right) - \left(PE_{wtd, range}^2\right)\right)$; (exp(-1.0 * (lambda)) - (PE_wtd_range)^2); (exp(-1.0 * (newdata$lambda)) - (newdata$PE_wtd_range)^2); lambda,PE_wtd_range
# 2;  2; AA^-1 * W * eV * mK^-1;                           2|4|div|40|38|sub|mult; ((lambda4w_low / L_avg) * (ThermalCond_wtd_range - ThermalCond_wtd_mean)); $\left(\left(\frac{ lambda4w_{low} }{ L_{avg} } \right) \left(ThermalCond_{wtd, range} - ThermalCond_{wtd, mean}\right)\right)$; ((lambda4w_low ./ L_avg) .* (ThermalCond_wtd_range - ThermalCond_wtd_mean)); ((newdata$lambda4w_low / newdata$L_avg) * (newdata$ThermalCond_wtd_range - newdata$ThermalCond_wtd_mean)); lambda4w_low,L_avg,ThermalCond_wtd_range,ThermalCond_wtd_mean
# 3;  2; W * g^-3 * mK^-1 * mol^3;                         38|37|sub|7|cb|div; ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3)); $\left(\frac{ \left(ThermalCond_{wtd, mean} - ThermalCond_{mean}\right) }{ \left(at_{mass, mean}^3\right) } \right)$; ((ThermalCond_wtd_mean - ThermalCond_mean) ./ (at_mass_mean).^3); ((newdata$ThermalCond_wtd_mean - newdata$ThermalCond_mean) / (newdata$at_mass_mean)^3); ThermalCond_wtd_mean,ThermalCond_mean,at_mass_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -1.512520115618991e+00,  7.531542262078061e-03,  5.183289262503299e-01, -2.148366580703883e-02,  1.063157412972671e-04
Se2Ta1      ,  1.250000000000000e-01,  5.443632980718882e-01,  2.343805460129746e-04, -2.077871645745388e-01,  1.791173852433187e+00, -4.288632248378643e-06
Ti1         ,  1.620000000000000e-01,  1.771947553414202e+00,  0.000000000000000e+00,  6.088398609231033e-01, -6.778293629652181e-03,  0.000000000000000e+00
B1Mo1       ,  2.500000000000000e-01,  2.179876596309589e+00,  4.470648270435832e-10,  5.552914559969617e-01, -2.231017369727047e-02,  0.000000000000000e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.577625452675122e+00,  1.863059545590691e-06,  5.026264702347094e-01, -1.483259767092412e-02, -9.276597449271520e-06
Pt1Te1      ,  5.900000000000000e-01,  2.898759774965192e+00,  6.750804685078899e-09,  4.346278640802002e-01, -2.163214652516262e-03,  0.000000000000000e+00
Sb1V3       ,  6.500000000000000e-01,  1.987633724833135e+00,  6.568223550598254e-07,  5.731127414562790e-01, -7.837011187519245e-03,  2.601451388777252e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.859157138415747e+00,  2.376562963197986e-06,  3.608209699522862e-01, -6.043392193959778e-02, -3.076919771969048e-05
Rh1Te2      ,  7.550000000000000e-01,  1.160991412336631e+00,  7.806574877139643e-09,  7.190232509901412e-01,  2.687415113646933e-04, -1.600337673223591e-05
Zr1         ,  9.966666670000000e-01,  2.510850185842986e+00,  0.000000000000000e+00,  5.019774904684602e-01, -1.708104718607932e-02,  0.000000000000000e+00
Be2Ta3      ,  1.000000000000000e+00,  1.370704320026421e+00,  3.739238984523060e-12,  6.880185072693042e-01, -2.575412477084607e-03, -1.552226684715963e-05
C1Si1       ,  1.075000000000000e+00,  3.730401466104189e+00,  7.782424767457703e-05,  4.431317576743838e-01, -2.550448430493273e-01,  0.000000000000000e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.586529140769524e+00,  1.133025405977674e-06,  4.861916711402197e-01, -2.390355485091020e-02,  6.065394190454105e-06
Nb1O1       ,  1.380000000000000e+00,  2.120381081604810e+00,  1.310636966225652e-02, -2.474636817754985e-01, -1.097783821179021e-05,  0.000000000000000e+00
Sb1         ,  1.416666667000000e+00,  3.956792237512170e+00,  0.000000000000000e+00,  3.316749022153112e-01, -1.073807968647943e-01,  0.000000000000000e+00
Sb1Sn1      ,  1.430000000000000e+00,  3.061904016952290e+00,  7.838627674450033e-11,  4.217299241254282e-01, -2.376624282293870e-02,  0.000000000000000e+00
S2Ta1       ,  1.488116666500000e+00,  5.667704241424961e+00,  3.473390705544149e-04, -1.123680584446882e-01,  2.043392886014551e-01, -7.834731027649989e-06
